Name,Position
Dwyane Wade,["Shooting guard"]
LeBron James,["Power forward"]
Chris Bosh,["Center"]
Mario Chalmers,["Point guard"]
Udonis Halsem,["Center"]
Shane Battier,["Small forward"]
Mike Miller,["Small forward"]
Norris Cole,["Point guard"] 
Rashard Lewis,["Forward"]
Joel Anthony,["Center"]
Ray Allen,["Shooting guard"]
Josh Harrellson,["Center", "Power forward"]
James Jones,["Small forward", "Point guard"]
Jarvis Varnado,["Forward"]
Chris Andersen,["Center"]
Juwan Howard,["Power forward"]
Terrel Harris,["Shooting guard"]
Dexter Pittman,["Center"]
