Name,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shane Battier,28:00,2,5,.400,2,5,.400,0,0,,0,0,0,0,1,2,0,5,6,+7
Ray Allen,27:24,5,10,.500,3,6,.500,2,2,1.000,1,6,7,1,0,0,0,1,15,+2
Norris Cole,16:31,2,7,.286,0,1,.000,0,0,,0,0,0,0,0,0,1,1,4,-8
Joel Anthony,11:37,0,1,.000,0,0,,2,4,.500,1,1,2,0,0,0,0,0,2,-6
Mike Miller,7:29,1,3,.333,1,3,.333,0,0,,0,2,2,2,0,0,0,2,3,+2
Josh Harrellson,0:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Shane Battier,26:00,1,6,.167,1,5,.200,0,0,,0,1,1,1,1,0,0,2,3,+2
Ray Allen,23:16,2,3,.667,1,2,.500,0,0,,2,3,5,2,0,0,2,4,5,-4
Norris Cole,15:56,3,8,.375,0,1,.000,0,2,.000,0,4,4,0,0,0,0,2,6,+1
Mike Miller,10:14,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+6
Joel Anthony,7:11,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-12
Ray Allen,24:15,8,12,.667,3,4,.750,1,1,1.000,3,3,6,0,1,1,0,1,20,+19
Mike Miller,21:51,4,5,.800,2,3,.667,3,3,1.000,0,4,4,1,0,1,0,1,13,+16
Norris Cole,19:38,2,7,.286,0,0,,0,0,,1,2,3,4,0,0,1,3,4,+10
Shane Battier,17:43,0,5,.000,0,5,.000,0,0,,1,0,1,1,0,0,1,0,0,-2
Joel Anthony,5:02,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+3
James Jones,1:46,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+5
Shane Battier,17:15,0,3,.000,0,3,.000,0,0,,1,0,1,0,0,0,0,2,0,-5
Ray Allen,16:28,0,5,.000,0,4,.000,0,0,,0,1,1,1,0,2,1,3,0,-20
Norris Cole,15:02,2,2,1.000,1,1,1.000,0,0,,0,3,3,0,0,0,1,1,5,-18
Mike Miller,14:29,1,3,.333,1,1,1.000,0,0,,0,2,2,1,0,0,0,1,3,-4
Joel Anthony,11:51,0,1,.000,0,0,,0,0,,0,1,1,0,0,3,0,2,0,0
Ray Allen,29:29,5,11,.455,2,5,.400,3,4,.750,0,5,5,1,1,0,3,2,15,+2
Mike Miller,24:16,2,6,.333,1,4,.250,0,0,,2,6,8,4,1,0,3,1,5,0
Norris Cole,12:39,2,3,.667,2,2,1.000,0,0,,0,1,1,0,0,0,0,0,6,+11
Joel Anthony,11:49,0,1,.000,0,0,,0,0,,2,2,4,0,0,0,2,2,0,-4
Joel Anthony,24:01,1,3,.333,0,0,,2,2,1.000,4,3,7,2,1,3,1,3,4,+7
Norris Cole,20:55,3,6,.500,0,2,.000,0,0,,0,1,1,5,0,0,0,2,6,+4
Mike Miller,20:54,4,8,.500,4,8,.500,0,0,,0,1,1,3,0,0,0,0,12,+11
Ray Allen,17:05,4,9,.444,1,5,.200,1,1,1.000,0,1,1,0,1,0,1,3,10,-3
Rashard Lewis,12:00,3,5,.600,2,4,.500,0,0,,1,1,2,1,0,0,0,2,8,-2
Jarvis Varnado,5:51,1,1,1.000,0,0,,0,0,,0,0,0,0,0,1,0,1,2,-1
James Jones,5:51,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,1,0,-1
Josh Harrellson,2:52,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-4
Rashard Lewis,27:16,4,10,.400,2,6,.333,3,3,1.000,0,4,4,0,1,1,1,1,13,+1
Ray Allen,23:23,4,6,.667,2,4,.500,0,0,,0,0,0,3,0,0,2,3,10,0
Joel Anthony,22:54,1,1,1.000,0,0,,1,2,.500,2,0,2,2,1,0,0,1,3,+1
Norris Cole,6:02,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,1,0,0,-9
Mike Miller,4:44,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-11
Ray Allen,26:28,3,11,.273,2,7,.286,2,2,1.000,0,5,5,3,0,0,3,1,10,+17
Norris Cole,18:12,2,6,.333,0,0,,3,4,.750,0,1,1,0,0,0,1,4,7,-19
Joel Anthony,12:56,0,1,.000,0,0,,0,0,,3,2,5,2,1,2,0,0,0,-4
Rashard Lewis,12:00,1,3,.333,0,2,.000,1,2,.500,0,2,2,1,0,0,1,1,3,-13
Mike Miller,12:00,0,3,.000,0,3,.000,0,0,,1,2,3,0,0,0,0,2,0,-13
Shane Battier,10:09,0,3,.000,0,3,.000,0,0,,0,2,2,0,0,0,0,0,0,-1
James Jones,5:50,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-10
Jarvis Varnado,5:50,0,1,.000,0,0,,0,0,,0,0,0,0,0,1,1,3,0,-10
Ray Allen,31:02,3,8,.375,1,3,.333,2,2,1.000,1,2,3,2,0,0,0,0,9,+5
Joel Anthony,19:21,0,0,,0,0,,1,4,.250,1,3,4,1,1,0,0,3,1,+5
Shane Battier,17:56,0,4,.000,0,2,.000,2,2,1.000,0,1,1,0,0,0,0,6,2,-4
Norris Cole,15:40,3,6,.500,0,2,.000,0,0,,0,0,0,0,1,0,0,2,6,0
Rashard Lewis,8:33,0,0,,0,0,,0,0,,0,2,2,1,0,0,0,0,0,+10
Ray Allen,29:22,7,10,.700,4,7,.571,0,0,,0,2,2,0,0,0,1,0,18,-6
Shane Battier,26:20,1,3,.333,1,2,.500,0,0,,3,4,7,1,1,0,1,2,3,+11
Norris Cole,16:03,2,3,.667,0,0,,2,2,1.000,1,0,1,1,1,0,0,3,6,-4
Joel Anthony,10:14,1,2,.500,0,0,,0,0,,1,2,3,0,0,0,1,0,2,-4
Mike Miller,5:19,0,4,.000,0,1,.000,0,0,,0,2,2,1,0,0,0,0,0,-1
Ray Allen,23:19,3,6,.500,2,3,.667,3,4,.750,0,1,1,3,1,1,1,3,11,0
Norris Cole,19:32,3,8,.375,0,2,.000,1,1,1.000,0,1,1,1,1,0,1,3,7,-2
Joel Anthony,17:02,1,1,1.000,0,0,,0,0,,1,0,1,1,0,2,1,0,2,+20
Shane Battier,16:07,1,4,.250,1,3,.333,0,0,,0,1,1,0,1,0,0,2,3,-8
Mike Miller,12:00,1,1,1.000,0,0,,0,0,,0,3,3,1,0,0,1,1,2,+10
Rashard Lewis,3:32,2,3,.667,1,2,.500,0,0,,0,1,1,0,0,0,0,1,5,+4
Chris Andersen,3:32,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,0,2,+4
James Jones,2:20,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+3
Ray Allen,38:08,7,17,.412,2,8,.250,5,7,.714,0,5,5,0,0,1,1,2,21,+2
Shane Battier,35:59,1,3,.333,0,2,.000,0,0,,2,0,2,2,0,2,1,5,2,0
Norris Cole,13:05,3,6,.500,0,0,,0,0,,1,1,2,0,0,0,1,0,6,+9
Joel Anthony,11:44,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-3
Rashard Lewis,9:14,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-2
Norris Cole,21:14,3,7,.429,0,1,.000,1,2,.500,0,2,2,2,0,0,1,2,7,+7
Ray Allen,20:02,2,3,.667,2,3,.667,0,0,,2,1,3,2,2,0,2,0,6,+4
Rashard Lewis,14:54,2,3,.667,2,3,.667,0,0,,0,2,2,0,1,0,0,0,6,-5
Shane Battier,14:00,1,3,.333,1,2,.500,0,0,,1,0,1,0,0,2,0,2,3,+8
Chris Andersen,9:46,1,4,.250,0,0,,1,1,1.000,3,2,5,0,1,1,0,3,3,-1
Mike Miller,4:26,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,-1
James Jones,3:16,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,1,3,+1
Shane Battier,27:48,4,9,.444,3,8,.375,0,0,,0,2,2,1,0,2,1,1,11,-3
Ray Allen,27:02,0,4,.000,0,1,.000,0,0,,0,2,2,5,3,0,0,0,0,0
Chris Andersen,12:20,4,4,1.000,0,0,,1,1,1.000,1,2,3,1,1,1,1,4,9,0
Norris Cole,11:07,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-3
Rashard Lewis,1:40,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-8
Shane Battier,33:43,2,5,.400,1,3,.333,0,0,,2,3,5,0,0,2,0,2,5,+3
Ray Allen,19:46,0,2,.000,0,2,.000,1,2,.500,0,1,1,2,0,0,2,1,1,-10
Norris Cole,17:52,2,4,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,1,4,-2
Chris Andersen,11:01,0,1,.000,0,0,,1,2,.500,3,1,4,0,0,0,0,4,1,+1
Rashard Lewis,6:30,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,2,-6
Norris Cole,29:13,2,6,.333,0,0,,0,0,,1,1,2,5,0,0,0,2,4,+3
Ray Allen,26:09,2,8,.250,0,4,.000,3,3,1.000,0,0,0,1,1,2,0,2,7,+4
Shane Battier,24:10,2,5,.400,1,4,.250,0,0,,1,1,2,0,0,0,0,1,5,+3
Chris Andersen,15:33,2,3,.667,0,0,,0,1,.000,1,5,6,1,1,0,1,1,4,+4
Norris Cole,25:10,5,10,.500,0,2,.000,0,0,,0,1,1,2,1,0,2,3,10,+4
Ray Allen,20:44,1,8,.125,1,3,.333,2,2,1.000,0,0,0,1,1,0,1,0,5,-11
Rashard Lewis,18:52,2,7,.286,1,4,.250,0,0,,2,3,5,1,0,1,0,0,5,-9
Chris Andersen,12:29,1,2,.500,0,0,,1,2,.500,1,3,4,0,0,1,0,2,3,-3
Joel Anthony,7:05,1,1,1.000,0,0,,0,0,,1,2,3,0,1,0,0,1,2,-2
Shane Battier,29:11,3,5,.600,3,5,.600,0,0,,1,1,2,2,1,1,1,2,9,+11
Ray Allen,20:35,1,6,.167,0,2,.000,0,0,,1,0,1,2,0,0,1,3,2,+4
Norris Cole,18:43,3,6,.500,1,2,.500,0,0,,0,2,2,2,0,0,0,0,7,+4
Chris Andersen,12:40,0,0,,0,0,,0,0,,0,3,3,0,1,2,0,4,0,+3
Joel Anthony,4:52,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,+4
Rashard Lewis,3:19,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,+2
Ray Allen,29:16,5,11,.455,3,6,.500,1,1,1.000,0,1,1,1,2,0,0,0,14,+3
Shane Battier,20:38,3,7,.429,3,6,.500,0,0,,1,1,2,1,0,1,0,2,9,-6
Norris Cole,15:44,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,5,0,-28
Joel Anthony,12:39,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,1,3,0,-4
Chris Andersen,6:13,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,1,0,-9
Rashard Lewis,5:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-9
James Jones,1:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Jarvis Varnado,0:51,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Ray Allen,30:16,3,9,.333,1,5,.200,6,6,1.000,1,2,3,1,0,0,1,1,13,+6
Rashard Lewis,19:22,1,5,.200,1,4,.250,0,0,,0,3,3,1,0,0,0,3,3,+10
Norris Cole,16:46,4,7,.571,1,2,.500,0,0,,0,2,2,2,1,0,1,2,9,0
Chris Andersen,6:41,0,3,.000,0,0,,1,2,.500,2,2,4,0,0,0,0,4,1,-6
Joel Anthony,2:33,0,0,,0,0,,0,0,,1,0,1,0,0,0,1,2,0,+1
Shane Battier,31:48,5,8,.625,5,8,.625,2,2,1.000,0,3,3,1,1,0,0,2,17,+18
Ray Allen,29:01,6,12,.500,2,6,.333,1,2,.500,0,4,4,2,0,0,1,3,15,+9
Norris Cole,19:46,1,3,.333,0,0,,2,2,1.000,0,1,1,3,1,0,1,0,4,+15
Chris Andersen,9:20,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,0,0,-3
Joel Anthony,7:17,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,0,0,+15
Ray Allen,29:12,4,11,.364,1,3,.333,2,3,.667,0,0,0,2,2,1,2,2,11,+14
Shane Battier,23:11,1,3,.333,1,3,.333,0,0,,1,0,1,0,1,1,0,1,3,+17
Norris Cole,20:09,4,6,.667,0,0,,0,0,,0,2,2,1,2,0,0,1,8,+13
Chris Andersen,13:42,0,2,.000,0,0,,1,2,.500,1,1,2,0,1,2,1,2,1,+7
Joel Anthony,2:12,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0
James Jones,2:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Rashard Lewis,2:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Ray Allen,25:32,4,9,.444,4,6,.667,0,0,,0,1,1,3,0,0,1,0,12,+12
Shane Battier,25:08,2,2,1.000,2,2,1.000,0,0,,1,1,2,1,0,0,0,2,6,+9
Norris Cole,21:06,5,10,.500,0,0,,2,2,1.000,0,3,3,1,2,0,1,2,12,+9
Chris Andersen,13:40,0,1,.000,0,0,,2,2,1.000,0,5,5,0,0,1,0,0,2,+4
Joel Anthony,6:50,0,0,,0,0,,2,2,1.000,0,2,2,0,0,1,0,1,2,+3
Rashard Lewis,5:26,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+3
James Jones,4:05,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,0
Jarvis Varnado,2:57,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1
Shane Battier,23:46,4,7,.571,4,7,.571,2,2,1.000,0,1,1,0,2,1,0,3,14,+5
Ray Allen,20:48,4,6,.667,3,3,1.000,0,0,,0,1,1,0,1,0,3,0,11,+4
Chris Andersen,14:56,0,1,.000,0,0,,0,0,,2,2,4,0,0,0,1,1,0,-9
Norris Cole,13:03,1,4,.250,0,2,.000,0,0,,0,1,1,2,0,1,0,1,2,-4
Rashard Lewis,4:55,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-6
Ray Allen,41:12,8,14,.571,5,10,.500,0,0,,0,4,4,3,0,0,1,1,21,+12
Norris Cole,24:54,1,2,.500,0,0,,0,0,,0,2,2,1,3,0,2,4,2,+1
Rashard Lewis,18:12,1,5,.200,1,2,.500,0,0,,0,3,3,0,0,1,1,3,3,+7
Chris Andersen,16:50,4,5,.800,0,0,,2,2,1.000,0,3,3,0,0,1,0,2,10,+11
Ray Allen,28:38,4,9,.444,2,5,.400,0,0,,0,6,6,1,0,0,0,4,10,+7
Shane Battier,26:16,4,5,.800,4,5,.800,2,2,1.000,1,1,2,2,0,0,0,2,14,+7
Norris Cole,20:18,1,4,.250,0,0,,2,2,1.000,0,2,2,2,2,0,0,1,4,+6
Chris Andersen,15:29,1,2,.500,0,0,,2,2,1.000,0,4,4,0,0,1,0,3,4,+3
Rashard Lewis,4:12,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-2
Joel Anthony,0:22,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Shane Battier,23:18,4,4,1.000,4,4,1.000,0,0,,0,2,2,0,0,1,0,3,12,+5
Ray Allen,21:16,2,7,.286,1,3,.333,2,2,1.000,1,3,4,1,1,0,1,2,7,-12
Norris Cole,15:29,2,4,.500,0,1,.000,0,0,,0,2,2,2,1,0,1,2,4,0
Chris Andersen,11:25,0,1,.000,0,0,,1,2,.500,1,2,3,0,0,2,0,1,1,+4
Rashard Lewis,6:19,0,3,.000,0,0,,0,0,,0,0,0,1,1,0,0,1,0,-4
Ray Allen,26:21,4,10,.400,2,6,.333,3,3,1.000,0,2,2,1,0,0,1,2,13,+8
Shane Battier,24:38,1,4,.250,1,4,.250,0,0,,0,2,2,1,2,0,1,1,3,+9
Norris Cole,22:45,1,6,.167,0,1,.000,2,2,1.000,0,2,2,2,1,1,2,1,4,-4
Chris Andersen,14:55,2,2,1.000,0,0,,2,2,1.000,2,5,7,1,0,1,0,2,6,+3
Joel Anthony,1:58,1,2,.500,0,0,,0,0,,2,0,2,0,0,1,0,0,2,0
James Jones,1:58,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Rashard Lewis,1:58,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,0
Mike Miller,1:58,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Shane Battier,28:04,1,3,.333,1,3,.333,0,0,,1,5,6,3,1,0,0,2,3,-5
Ray Allen,22:59,1,8,.125,1,7,.143,2,2,1.000,0,2,2,1,2,1,1,0,5,+2
Norris Cole,20:27,2,3,.667,2,2,1.000,2,4,.500,0,0,0,2,0,0,3,3,8,-4
Chris Andersen,14:38,2,3,.667,0,0,,1,1,1.000,0,1,1,1,1,1,1,4,5,-4
Mike Miller,3:42,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,1,1,0,0,-2
Shane Battier,27:07,4,9,.444,3,8,.375,0,0,,2,4,6,2,1,0,2,0,11,+11
Ray Allen,26:50,5,8,.625,1,4,.250,1,1,1.000,1,1,2,2,2,0,1,0,12,+10
Norris Cole,25:28,1,4,.250,0,1,.000,0,0,,1,1,2,2,2,0,0,2,2,+8
Chris Andersen,16:42,2,4,.500,0,0,,0,0,,1,2,3,0,0,2,1,1,4,+3
