Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dwyane Wade,Dallas Mavericks,W,1/2/2013,44:36,9,21,0.429,1,3,0.333,8,9,0.889,2,8,10,5,2,2,1,0,27,12
LeBron James,Dallas Mavericks,W,1/2/2013,42:01,11,20,0.55,1,3,0.333,9,11,0.818,1,11,12,9,3,1,4,0,32,12
Chris Bosh,Dallas Mavericks,W,1/2/2013,39:42,7,10,0.7,1,1,1,2,3,0.667,0,4,4,0,0,3,0,2,17,17
Mario Chalmers,Dallas Mavericks,W,1/2/2013,26:42,3,8,0.375,1,4,0.25,2,2,1,0,3,3,4,3,0,0,2,9,16
Udonis Haslem,Dallas Mavericks,W,1/2/2013,20:28,2,4,0.5,0,0,,0,0,,2,4,6,0,3,0,3,3,4,-4
LeBron James,Chicago Bulls,L,1/4/2013,41:05,8,14,0.571,1,5,0.2,13,16,0.813,0,6,6,2,1,0,2,2,30,-18
Chris Bosh,Chicago Bulls,L,1/4/2013,37:55,5,12,0.417,0,2,0,4,4,1,1,4,5,5,1,2,4,4,14,10
Dwyane Wade,Chicago Bulls,L,1/4/2013,32:52,7,11,0.636,1,1,1,7,9,0.778,0,3,3,4,2,0,3,3,22,-3
Mario Chalmers,Chicago Bulls,L,1/4/2013,25:05,2,6,0.333,1,3,0.333,0,0,,0,1,1,3,1,0,1,2,5,-11
Udonis Haslem,Chicago Bulls,L,1/4/2013,20:26,2,3,0.667,0,0,,0,0,,1,2,3,0,2,0,0,3,4,-6
LeBron James,Washington Wizards,W,1/6/2013,34:57,9,17,0.529,2,3,0.667,4,4,1,1,1,2,7,0,1,1,0,24,26
Chris Bosh,Washington Wizards,W,1/6/2013,31:52,6,11,0.545,0,0,,5,5,1,1,8,9,2,0,4,1,2,17,12
Dwyane Wade,Washington Wizards,W,1/6/2013,29:13,7,14,0.5,0,1,0,0,1,0,1,6,7,1,1,1,2,2,14,23
Udonis Haslem,Washington Wizards,W,1/6/2013,28:40,1,4,0.25,0,0,,0,0,,2,10,12,2,3,0,0,2,2,21
Mario Chalmers,Washington Wizards,W,1/6/2013,25:03,1,7,0.143,1,5,0.2,2,2,1,0,4,4,2,1,0,3,1,5,7
LeBron James,Indiana Pacers,L,1/8/2013,42:36,10,20,0.5,1,1,1,1,4,0.25,3,7,10,4,1,2,7,2,22,-5
Chris Bosh,Indiana Pacers,L,1/8/2013,36:09,5,10,0.5,0,0,,4,4,1,1,4,5,3,1,2,1,3,14,-10
Dwyane Wade,Indiana Pacers,L,1/8/2013,35:45,9,16,0.563,4,6,0.667,8,10,0.8,1,4,5,3,0,1,2,3,30,7
Mario Chalmers,Indiana Pacers,L,1/8/2013,26:04,1,6,0.167,1,3,0.333,0,0,,0,4,4,1,3,0,2,3,3,11
Udonis Haslem,Indiana Pacers,L,1/8/2013,24:20,0,2,0,0,0,,0,0,,1,3,4,0,0,0,0,1,0,-6
LeBron James,Portland Trail Blazers,L,1/10/2013,42:39,6,16,0.375,1,5,0.2,2,5,0.4,0,10,10,9,2,1,4,3,15,-9
Chris Bosh,Portland Trail Blazers,L,1/10/2013,39:04,13,18,0.722,0,2,0,3,5,0.6,2,2,4,1,2,4,2,5,29,6
Dwyane Wade,Portland Trail Blazers,L,1/10/2013,35:21,6,18,0.333,0,0,,6,6,1,0,3,3,2,2,0,1,3,18,-13
Udonis Haslem,Portland Trail Blazers,L,1/10/2013,26:38,0,2,0,0,0,,0,0,,2,6,8,0,0,1,1,3,0,1
Mario Chalmers,Portland Trail Blazers,L,1/10/2013,18:04,1,2,0.5,0,1,0,0,0,,0,2,2,3,1,0,1,2,2,-4
Mario Chalmers,Sacramento Kings,W,1/12/2013,30:04,12,16,0.75,10,13,0.769,0,0,,0,2,2,3,2,0,2,1,34,28
LeBron James,Sacramento Kings,W,1/12/2013,29:08,7,10,0.7,0,1,0,6,7,0.857,1,4,5,7,5,2,1,0,20,28
Chris Bosh,Sacramento Kings,W,1/12/2013,28:15,6,11,0.545,0,0,,4,4,1,1,3,4,5,0,1,1,0,16,24
Dwyane Wade,Sacramento Kings,W,1/12/2013,25:04,3,5,0.6,0,1,0,5,6,0.833,1,4,5,7,2,4,2,2,11,33
Udonis Haslem,Sacramento Kings,W,1/12/2013,18:00,1,3,0.333,0,0,,3,4,0.75,2,6,8,1,0,0,1,4,5,21
LeBron James,Utah Jazz,L,1/14/2013,43:41,13,19,0.684,2,4,0.5,4,4,1,1,3,4,6,3,2,3,5,32,1
Mario Chalmers,Utah Jazz,L,1/14/2013,37:17,4,8,0.5,2,4,0.5,2,4,0.5,0,2,2,7,1,0,1,4,12,1
Dwyane Wade,Utah Jazz,L,1/14/2013,29:18,5,11,0.455,1,2,0.5,0,3,0,1,4,5,4,1,0,2,2,11,-6
Chris Bosh,Utah Jazz,L,1/14/2013,26:35,8,13,0.615,0,0,,0,0,,1,0,1,1,0,1,2,4,16,-12
Udonis Haslem,Utah Jazz,L,1/14/2013,18:50,0,1,0,0,0,,0,0,,0,5,5,1,1,0,2,4,0,-1
LeBron James,Golden State Warriors,W,1/16/2013,30:32,11,20,0.55,1,5,0.2,2,3,0.667,1,6,7,10,1,0,1,2,25,33
Dwyane Wade,Golden State Warriors,W,1/16/2013,29:36,6,12,0.5,0,1,0,3,5,0.6,2,6,8,6,5,1,0,1,15,32
Mario Chalmers,Golden State Warriors,W,1/16/2013,26:30,5,11,0.455,4,7,0.571,1,2,0.5,0,1,1,1,3,0,1,3,15,24
Chris Bosh,Golden State Warriors,W,1/16/2013,26:19,5,14,0.357,1,1,1,0,0,,2,4,6,1,1,1,3,3,11,23
Udonis Haslem,Golden State Warriors,W,1/16/2013,23:38,3,4,0.75,0,0,,0,0,,4,6,10,0,0,0,0,2,6,26
LeBron James,Los Angeles Lakers,W,1/17/2013,42:04,17,25,0.68,1,2,0.5,4,4,1,0,7,7,8,3,1,2,2,39,13
Dwyane Wade,Los Angeles Lakers,W,1/17/2013,37:49,11,20,0.55,0,1,0,5,7,0.714,0,4,4,5,2,1,1,3,27,1
Chris Bosh,Los Angeles Lakers,W,1/17/2013,34:59,3,10,0.3,0,0,,1,2,0.5,0,6,6,2,6,0,1,3,7,8
Mario Chalmers,Los Angeles Lakers,W,1/17/2013,21:05,1,7,0.143,0,3,0,2,2,1,0,1,1,3,0,0,1,4,4,3
Udonis Haslem,Los Angeles Lakers,W,1/17/2013,11:32,2,3,0.667,0,0,,0,0,,2,5,7,0,1,0,1,4,4,4
LeBron James,Toronto Raptors,W,1/23/2013,44:50,12,23,0.522,1,5,0.2,6,7,0.857,1,9,10,11,0,0,3,1,31,9
Chris Bosh,Toronto Raptors,W,1/23/2013,40:35,3,7,0.429,0,0,,6,12,0.5,4,8,12,1,0,1,1,2,12,18
Dwyane Wade,Toronto Raptors,W,1/23/2013,40:00,13,19,0.684,0,1,0,9,15,0.6,2,3,5,7,0,1,3,4,35,10
Mario Chalmers,Toronto Raptors,W,1/23/2013,33:32,5,10,0.5,3,6,0.5,1,2,0.5,1,0,1,3,2,0,2,6,14,4
Udonis Haslem,Toronto Raptors,W,1/23/2013,18:46,1,1,1,0,0,,0,0,,3,7,10,1,1,1,1,3,2,-2
Dwyane Wade,Detroit Pistons,W,1/25/2013,34:30,12,20,0.6,0,1,0,5,5,1,1,4,5,7,3,1,5,1,29,24
LeBron James,Detroit Pistons,W,1/25/2013,33:01,9,14,0.643,0,1,0,5,6,0.833,1,6,7,7,1,0,2,0,23,22
Chris Bosh,Detroit Pistons,W,1/25/2013,29:42,5,10,0.5,0,1,0,4,5,0.8,2,5,7,1,1,0,0,1,14,7
Mario Chalmers,Detroit Pistons,W,1/25/2013,27:08,2,6,0.333,1,4,0.25,1,2,0.5,1,1,2,2,4,0,0,3,6,24
Udonis Haslem,Detroit Pistons,W,1/25/2013,18:16,3,3,1,0,0,,0,0,,2,3,5,1,0,0,1,2,6,2
LeBron James,Boston Celtics,L,1/27/2013,51:56,14,31,0.452,3,6,0.5,3,5,0.6,4,12,16,7,3,1,3,3,34,-2
Dwyane Wade,Boston Celtics,L,1/27/2013,46:33,6,20,0.3,0,4,0,5,6,0.833,2,2,4,7,2,1,6,5,17,-9
Chris Bosh,Boston Celtics,L,1/27/2013,46:16,7,12,0.583,0,1,0,2,2,1,5,11,16,0,0,1,5,4,16,1
Mario Chalmers,Boston Celtics,L,1/27/2013,22:09,0,3,0,0,1,0,0,0,,0,1,1,2,0,0,3,4,0,-8
Udonis Haslem,Boston Celtics,L,1/27/2013,14:56,1,2,0.5,0,0,,0,0,,3,3,6,1,1,0,0,1,2,2
Chris Bosh,Brooklyn Nets,W,1/30/2013,36:20,7,14,0.5,0,0,,2,2,1,2,2,4,0,0,0,3,1,16,11
LeBron James,Brooklyn Nets,W,1/30/2013,34:17,10,18,0.556,3,4,0.75,1,4,0.25,2,7,9,7,2,0,4,2,24,22
Dwyane Wade,Brooklyn Nets,W,1/30/2013,33:43,9,16,0.563,1,1,1,2,4,0.5,0,2,2,3,1,0,3,3,21,12
Mario Chalmers,Brooklyn Nets,W,1/30/2013,25:05,5,7,0.714,1,2,0.5,0,0,,1,3,4,4,3,0,0,2,11,15
Udonis Haslem,Brooklyn Nets,W,1/30/2013,22:57,2,5,0.4,0,0,,1,1,1,2,3,5,2,0,0,0,4,5,27
LeBron James,Indiana Pacers,L,2/1/2013,41:58,9,17,0.529,1,3,0.333,9,11,0.818,1,5,6,3,1,1,3,4,28,-9
Dwyane Wade,Indiana Pacers,L,2/1/2013,41:15,7,16,0.438,0,0,,3,6,0.5,2,4,6,5,2,2,1,2,17,-6
Chris Bosh,Indiana Pacers,L,2/1/2013,32:32,5,11,0.455,0,0,,3,4,0.75,1,1,2,0,0,0,2,4,13,-14
Udonis Haslem,Indiana Pacers,L,2/1/2013,23:20,2,4,0.5,0,0,,0,0,,1,2,3,2,0,0,0,3,4,-9
Mario Chalmers,Indiana Pacers,L,2/1/2013,20:58,2,5,0.4,1,2,0.5,2,2,1,0,0,0,4,0,0,1,2,7,-13
LeBron James,Toronto Raptors,W,2/3/2013,39:44,10,16,0.625,1,2,0.5,9,11,0.818,0,8,8,7,2,0,3,1,30,29
Chris Bosh,Toronto Raptors,W,2/3/2013,33:42,12,19,0.632,1,1,1,3,4,0.75,0,5,5,0,1,1,3,3,28,17
Dwyane Wade,Toronto Raptors,W,2/3/2013,31:56,10,18,0.556,0,1,0,3,4,0.75,0,5,5,5,3,1,3,3,23,21
Mario Chalmers,Toronto Raptors,W,2/3/2013,30:08,1,6,0.167,0,2,0,0,0,,0,2,2,5,4,0,1,3,2,17
Udonis Haslem,Toronto Raptors,W,2/3/2013,15:38,2,3,0.667,0,0,,0,0,,2,1,3,0,0,0,0,4,4,5
LeBron James,Charlotte Bobcats,W,2/4/2013,38:00,13,14,0.929,0,0,,5,6,0.833,0,8,8,8,2,0,5,1,31,8
Dwyane Wade,Charlotte Bobcats,W,2/4/2013,37:57,7,19,0.368,0,1,0,6,10,0.6,6,6,12,4,1,2,5,3,20,4
Chris Bosh,Charlotte Bobcats,W,2/4/2013,29:57,11,18,0.611,0,0,,1,3,0.333,2,2,4,1,1,0,0,3,23,1
Mario Chalmers,Charlotte Bobcats,W,2/4/2013,21:05,1,6,0.167,0,3,0,1,1,1,0,1,1,2,0,1,0,3,3,0
Udonis Haslem,Charlotte Bobcats,W,2/4/2013,17:56,1,2,0.5,0,0,,0,0,,1,3,4,1,0,0,0,2,2,-2
LeBron James,Houston Rockets,W,2/6/2013,36:37,11,18,0.611,3,6,0.5,7,10,0.7,1,5,6,5,0,2,4,2,32,4
Dwyane Wade,Houston Rockets,W,2/6/2013,35:28,9,18,0.5,0,1,0,13,13,1,1,4,5,8,4,2,2,2,31,13
Shane Battier,Houston Rockets,W,2/6/2013,29:08,4,6,0.667,4,6,0.667,0,0,,0,1,1,3,0,0,1,2,12,15
Udonis Haslem,Houston Rockets,W,2/6/2013,28:25,4,7,0.571,0,0,,1,1,1,2,11,13,0,1,0,0,3,9,10
Mario Chalmers,Houston Rockets,W,2/6/2013,26:02,2,5,0.4,1,1,1,0,0,,0,0,0,3,1,0,0,1,5,9
Dwyane Wade,Los Angeles Clippers,W,2/8/2013,24:31,3,8,0.375,1,2,0.5,1,1,1,0,1,1,1,2,0,0,1,8,-19
LeBron James,Los Angeles Clippers,W,2/8/2013,24:07,5,7,0.714,0,0,,3,4,0.75,0,5,5,3,0,0,4,4,13,-21
Mario Chalmers,Los Angeles Clippers,W,2/8/2013,22:23,7,11,0.636,0,0,,3,7,0.429,3,3,6,0,0,1,0,2,17,-25
Shane Battier,Los Angeles Clippers,W,2/8/2013,19:36,1,5,0.2,1,1,1,0,0,,1,0,1,2,0,0,3,2,3,-27
Udonis Haslem,Los Angeles Clippers,W,2/8/2013,16:36,2,5,0.4,1,3,0.333,2,2,1,0,1,1,4,0,0,0,1,7,-15
Dwyane Wade,Los Angeles Lakers,W,2/10/2013,38:54,12,18,0.667,0,1,0,6,6,1,0,2,2,5,3,1,4,4,30,7
LeBron James,Los Angeles Lakers,W,2/10/2013,36:15,12,18,0.667,1,2,0.5,7,8,0.875,1,6,7,4,3,0,4,4,32,7
Chris Bosh,Los Angeles Lakers,W,2/10/2013,33:52,6,13,0.462,0,1,0,0,0,,4,7,11,1,2,1,0,2,12,4
Mario Chalmers,Los Angeles Lakers,W,2/10/2013,29:17,6,11,0.545,1,2,0.5,0,0,,1,3,4,3,0,1,0,4,13,6
Udonis Haslem,Los Angeles Lakers,W,2/10/2013,12:22,1,2,0.5,0,0,,0,0,,1,4,5,0,0,0,0,4,2,-2
LeBron James,Portland Trail Blazers,W,2/12/2013,38:45,11,15,0.733,1,3,0.333,7,8,0.875,0,6,6,9,3,2,1,0,30,21
Dwyane Wade,Portland Trail Blazers,W,2/12/2013,35:36,8,18,0.444,0,0,,8,10,0.8,5,4,9,7,1,2,4,2,24,19
Mario Chalmers,Portland Trail Blazers,W,2/12/2013,33:31,2,5,0.4,1,3,0.333,0,0,,0,2,2,4,1,0,1,4,5,41
Chris Bosh,Portland Trail Blazers,W,2/12/2013,31:41,13,16,0.813,0,1,0,6,6,1,3,8,11,0,2,0,0,3,32,34
Udonis Haslem,Portland Trail Blazers,W,2/12/2013,8:37,1,1,1,0,0,,1,2,0.5,0,0,0,0,0,1,0,0,3,3
LeBron James,Oklahoma City Thunder,W,2/14/2013,40:02,14,24,0.583,4,8,0.5,7,9,0.778,3,9,12,7,2,0,4,3,39,15
Chris Bosh,Oklahoma City Thunder,W,2/14/2013,38:46,10,14,0.714,0,0,,0,0,,5,7,12,2,2,3,1,2,20,15
Dwyane Wade,Oklahoma City Thunder,W,2/14/2013,30:58,5,13,0.385,0,0,,3,3,1,0,5,5,8,3,1,4,6,13,9
Mario Chalmers,Oklahoma City Thunder,W,2/14/2013,27:45,2,7,0.286,2,5,0.4,0,2,0,0,2,2,1,1,0,2,3,6,0
Shane Battier,Oklahoma City Thunder,W,2/14/2013,26:51,2,6,0.333,2,5,0.4,0,0,,1,1,2,1,1,0,0,3,6,0
LeBron James,Atlanta Hawks,W,2/20/2013,39:31,8,15,0.533,1,4,0.25,7,8,0.875,0,6,6,11,4,0,2,1,24,16
Dwyane Wade,Atlanta Hawks,W,2/20/2013,34:34,8,18,0.444,0,0,,4,8,0.5,1,2,3,2,3,0,4,0,20,5
Chris Bosh,Atlanta Hawks,W,2/20/2013,28:08,2,10,0.2,0,1,0,2,2,1,0,6,6,1,0,0,2,3,6,1
Mario Chalmers,Atlanta Hawks,W,2/20/2013,21:08,6,9,0.667,2,4,0.5,0,0,,1,1,2,3,2,0,1,3,14,-6
Udonis Haslem,Atlanta Hawks,W,2/20/2013,19:27,1,2,0.5,0,0,,1,1,1,2,3,5,0,0,0,0,3,3,-5
Dwyane Wade,Chicago Bulls,W,2/21/2013,36:45,8,15,0.533,0,0,,1,2,0.5,2,6,8,5,2,2,5,0,17,23
LeBron James,Chicago Bulls,W,2/21/2013,34:29,11,15,0.733,1,4,0.25,3,3,1,1,11,12,7,2,0,4,2,26,6
Chris Bosh,Chicago Bulls,W,2/21/2013,32:06,5,9,0.556,0,1,0,2,4,0.5,2,2,4,0,3,0,3,2,12,12
Mario Chalmers,Chicago Bulls,W,2/21/2013,27:28,4,10,0.4,0,2,0,0,0,,0,3,3,5,1,0,2,2,8,6
Udonis Haslem,Chicago Bulls,W,2/21/2013,16:22,0,2,0,0,0,,0,0,,1,2,3,0,0,0,0,3,0,-3
Dwyane Wade,Philadephia 76ers,W,2/23/2013,32:26,14,18,0.778,0,1,0,5,7,0.714,1,5,6,2,2,0,1,3,33,24
LeBron James,Philadephia 76ers,W,2/23/2013,31:30,7,12,0.583,1,4,0.25,1,2,0.5,1,9,10,11,2,0,2,1,16,14
Mario Chalmers,Philadephia 76ers,W,2/23/2013,26:54,5,8,0.625,2,5,0.4,2,2,1,0,0,0,6,3,0,1,0,14,15
Chris Bosh,Philadephia 76ers,W,2/23/2013,24:45,6,12,0.5,0,2,0,1,1,1,0,1,1,1,0,0,0,0,13,15
Udonis Haslem,Philadephia 76ers,W,2/23/2013,19:41,2,4,0.5,0,0,,0,0,,2,5,7,1,0,0,0,1,4,11
LeBron James,Cleveland Cavaliers,W,2/24/2013,38:51,10,19,0.526,0,1,0,8,11,0.727,2,1,3,8,1,0,2,0,28,6
Dwyane Wade,Cleveland Cavaliers,W,2/24/2013,38:25,11,22,0.5,0,0,,2,3,0.667,0,5,5,6,1,2,1,3,24,-6
Mario Chalmers,Cleveland Cavaliers,W,2/24/2013,34:57,4,6,0.667,4,5,0.8,4,4,1,0,3,3,4,2,0,3,3,16,8
Chris Bosh,Cleveland Cavaliers,W,2/24/2013,32:11,3,7,0.429,1,1,1,0,0,,2,3,5,3,0,4,1,1,7,10
Udonis Haslem,Cleveland Cavaliers,W,2/24/2013,18:08,2,2,1,0,0,,3,4,0.75,0,10,10,0,1,1,0,4,7,12
