Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Atlanta Hawks,F,Kyle Korver,Houston Rockets,L,11/02/2012,14:45,0,3,0.0,0,2,0.0,0,0,0.0,0,2,2,2,2,0,0,5,0,-6
Atlanta Hawks,F,Josh Smith,Houston Rockets,L,11/02/2012,41:33,9,21,0.429,0,1,0.0,0,0,0.0,1,9,10,2,0,3,3,2,18,-7
Atlanta Hawks,C,Al Horford,Houston Rockets,L,11/02/2012,37:28,6,10,0.6,0,0,0.0,2,2,1.0,0,5,5,3,1,0,2,1,14,-11
Atlanta Hawks,G,Devin Harris,Houston Rockets,L,11/02/2012,21:41,4,10,0.4,1,5,0.2,0,0,0.0,0,2,2,2,2,0,1,0,9,-5
Atlanta Hawks,G,Jeff Teague,Houston Rockets,L,11/02/2012,27:01,6,10,0.6,0,0,0.0,2,2,1.0,0,1,1,7,2,1,4,4,14,-10
Atlanta Hawks,F,Kyle Korver,Oklahoma City Thunder,W,11/04/2012,19:49,1,5,0.2,1,5,0.2,1,3,0.333,0,4,4,1,1,0,0,3,4,1
Atlanta Hawks,F,Anthony Tolliver,Oklahoma City Thunder,W,11/04/2012,22:34,2,6,0.333,2,4,0.5,0,0,0.0,1,2,3,0,0,0,1,1,6,-1
Atlanta Hawks,C,Al Horford,Oklahoma City Thunder,W,11/04/2012,33:14,11,19,0.579,0,0,0.0,1,2,0.5,6,6,12,3,1,1,0,4,23,9
Atlanta Hawks,G,DeShawn Stevenson,Oklahoma City Thunder,W,11/04/2012,34:10,3,9,0.333,2,7,0.286,0,0,0.0,1,4,5,0,0,0,0,1,8,4
Atlanta Hawks,G,Jeff Teague,Oklahoma City Thunder,W,11/04/2012,25:59,7,12,0.583,0,0,0.0,2,2,1.0,2,1,3,5,3,0,3,0,16,-3
Atlanta Hawks,F,Josh Smith,Indiana Pacers,W,11/07/2012,34:50,5,12,0.417,0,1,0.0,1,5,0.2,3,2,5,7,1,0,1,3,11,4
Atlanta Hawks,F,Al Horford,Indiana Pacers,W,11/07/2012,33:28,7,12,0.583,0,0,0.0,2,3,0.667,1,8,9,1,0,3,2,1,16,-5
Atlanta Hawks,C,Zaza Pachulia,Indiana Pacers,W,11/07/2012,33:47,3,5,0.6,0,0,0.0,0,0,0.0,6,8,14,1,1,0,3,1,6,-5
