Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Boston Celtics,F,Paul Pierce,Miami Heat,L,10/30/2012,40:34,6,15,0.4,2,4,0.5,9,9,1.0,0,5,5,5,2,0,0,3,23,-17
Boston Celtics,F,Brandon Bass,Miami Heat,L,10/30/2012,28:19,6,11,0.545,0,0,0.0,3,4,0.75,6,5,11,1,0,0,1,2,15,-8
Boston Celtics,C,Kevin Garnett,Miami Heat,L,10/30/2012,31:43,4,8,0.5,0,0,0.0,1,1,1.0,1,11,12,2,0,2,5,4,9,-4
Boston Celtics,G,Courtney Lee,Miami Heat,L,10/30/2012,23:60,5,6,0.833,1,1,1.0,0,0,0.0,0,1,1,1,0,0,1,5,11,-7
Boston Celtics,G,Rajon Rondo,Miami Heat,L,10/30/2012,43:33,9,14,0.643,0,2,0.0,2,4,0.5,0,7,7,13,0,0,4,4,20,-13
Boston Celtics,F,Paul Pierce,Milwaukee Bucks,L,11/02/2012,27:47,3,11,0.273,1,3,0.333,4,4,1.0,0,6,6,2,0,0,4,3,11,-9
Boston Celtics,F,Brandon Bass,Milwaukee Bucks,L,11/02/2012,26:55,3,6,0.5,0,1,0.0,4,4,1.0,1,5,6,3,1,0,1,0,10,-13
Boston Celtics,C,Kevin Garnett,Milwaukee Bucks,L,11/02/2012,25:30,6,14,0.429,0,0,0.0,3,5,0.6,1,3,4,0,1,2,1,1,15,-4
Boston Celtics,G,Courtney Lee,Milwaukee Bucks,L,11/02/2012,32:59,3,7,0.429,1,3,0.333,0,0,0.0,1,1,2,1,1,0,3,2,7,-14
Boston Celtics,G,Rajon Rondo,Milwaukee Bucks,L,11/02/2012,40:30,6,12,0.5,0,1,0.0,2,4,0.5,0,4,4,11,3,0,2,3,14,-14
Boston Celtics,F,Paul Pierce,Washington Wizards,W,11/03/2012,34:42,10,22,0.455,4,8,0.5,3,4,0.75,1,6,7,3,0,0,2,2,27,15
Boston Celtics,F,Jared Sullinger,Washington Wizards,W,11/03/2012,30:14,2,3,0.667,0,0,0.0,0,0,0.0,1,6,7,0,1,1,1,4,4,7
Boston Celtics,C,Kevin Garnett,Washington Wizards,W,11/03/2012,29:08,7,15,0.467,0,0,0.0,1,2,0.5,0,7,7,2,0,1,1,0,15,10
Boston Celtics,G,Courtney Lee,Washington Wizards,W,11/03/2012,28:47,2,7,0.286,0,4,0.0,0,0,0.0,0,2,2,1,1,0,0,0,4,10
Boston Celtics,G,Rajon Rondo,Washington Wizards,W,11/03/2012,40:29,5,10,0.5,2,2,1.0,0,0,0.0,2,3,5,12,2,0,2,1,12,15
Boston Celtics,F,Paul Pierce,Washington Wizards,W,11/07/2012,40:47,2,12,0.167,1,4,0.25,10,12,0.833,1,9,10,2,4,0,1,3,15,-5
Boston Celtics,F,Jared Sullinger,Washington Wizards,W,11/07/2012,24:08,2,5,0.4,0,0,0.0,0,0,0.0,1,3,4,1,0,1,2,0,4,-2
Boston Celtics,C,Kevin Garnett,Washington Wizards,W,11/07/2012,34:54,7,16,0.438,0,0,0.0,6,7,0.857,1,12,13,2,1,2,3,5,20,9
Boston Celtics,G,Courtney Lee,Washington Wizards,W,11/07/2012,18:36,0,3,0.0,0,1,0.0,2,2,1.0,0,0,0,1,0,0,0,1,2,-2
Boston Celtics,G,Rajon Rondo,Washington Wizards,W,11/07/2012,44:20,7,11,0.636,1,2,0.5,3,4,0.75,0,4,4,14,3,0,4,4,18,11
Boston Celtics,F,Paul Pierce,Philadelphia 76ers,L,11/09/2012,35:41,8,16,0.5,2,3,0.667,6,9,0.667,0,4,4,5,2,0,3,4,24,-5
Boston Celtics,F,Jared Sullinger,Philadelphia 76ers,L,11/09/2012,19:20,2,4,0.5,0,0,0.0,0,0,0.0,2,2,4,1,0,1,0,3,4,-7
Boston Celtics,C,Kevin Garnett,Philadelphia 76ers,L,11/09/2012,30:43,8,13,0.615,0,0,0.0,3,4,0.75,2,8,10,2,2,0,1,1,19,-2
Boston Celtics,G,Courtney Lee,Philadelphia 76ers,L,11/09/2012,18:36,3,5,0.6,0,1,0.0,0,0,0.0,0,3,3,0,0,0,2,0,6,-6
Boston Celtics,G,Rajon Rondo,Philadelphia 76ers,L,11/09/2012,41:50,6,17,0.353,0,1,0.0,2,4,0.5,1,1,2,20,2,0,4,1,14,2
Boston Celtics,F,Paul Pierce,Milwaukee Bucks,W,11/10/2012,35:14,8,18,0.444,3,7,0.429,6,8,0.75,1,8,9,3,1,1,2,2,25,8
Boston Celtics,F,Brandon Bass,Milwaukee Bucks,W,11/10/2012,30:43,3,6,0.5,0,0,0.0,2,2,1.0,2,5,7,0,0,1,1,6,8,4
Boston Celtics,C,Kevin Garnett,Milwaukee Bucks,W,11/10/2012,30:46,6,10,0.6,0,0,0.0,6,6,1.0,1,5,6,3,0,0,0,0,18,7
