Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Charlotte Bobcats,,Tyrus Thomas,Indiana Pacers,W,11/02/2012,16:54,1,9,0.111,0,0,0.0,2,2,1.0,0,3,3,1,1,0,1,4,4,-11
Charlotte Bobcats,,Bismack Biyombo,Indiana Pacers,W,11/02/2012,16:46,1,2,0.5,0,0,0.0,0,0,0.0,0,4,4,0,0,2,0,1,2,-13
Charlotte Bobcats,,Ramon Sessions,Indiana Pacers,W,11/02/2012,21:19,3,8,0.375,1,1,1.0,4,4,1.0,0,2,2,4,1,0,2,3,11,-12
Charlotte Bobcats,,Ben Gordon,Indiana Pacers,W,11/02/2012,22:03,4,8,0.5,2,4,0.5,0,0,0.0,0,2,2,2,0,0,1,1,10,-11
Charlotte Bobcats,,Reggie Williams,Indiana Pacers,W,11/02/2012,12:29,1,3,0.333,1,2,0.5,0,0,0.0,0,1,1,0,0,0,1,1,3,-9
Charlotte Bobcats,,Ben Gordon,Dallas Mavericks,L,11/03/2012,18:59,2,6,0.333,0,1,0.0,2,2,1.0,0,0,0,1,1,0,1,0,6,-15
Charlotte Bobcats,,Reggie Williams,Dallas Mavericks,L,11/03/2012,4:58,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,1,0,1,2,2,-17
Charlotte Bobcats,,Ramon Sessions,Dallas Mavericks,L,11/03/2012,28:14,8,13,0.615,1,3,0.333,5,5,1.0,0,4,4,5,0,0,1,0,22,-16
Charlotte Bobcats,,Bismack Biyombo,Dallas Mavericks,L,11/03/2012,10:51,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,1,0,0,-16
Charlotte Bobcats,,Tyrus Thomas,Dallas Mavericks,L,11/03/2012,19:02,4,7,0.571,0,0,0.0,1,2,0.5,0,2,2,1,1,0,0,3,9,-18
Charlotte Bobcats,,Jeff Taylor,Dallas Mavericks,L,11/03/2012,5:51,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2
Charlotte Bobcats,,Matt Carroll,Dallas Mavericks,L,11/03/2012,5:51,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,-2
Charlotte Bobcats,,Cory Higgins,Dallas Mavericks,L,11/03/2012,4:12,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-2
Charlotte Bobcats,,Bismack Biyombo,Phoenix Suns,L,11/07/2012,21:56,2,3,0.667,0,0,0.0,1,1,1.0,2,3,5,0,0,3,1,2,5,-1
Charlotte Bobcats,,Ben Gordon,Phoenix Suns,L,11/07/2012,24:54,5,14,0.357,2,6,0.333,0,0,0.0,1,2,3,5,1,2,2,1,12,-11
Charlotte Bobcats,,Ramon Sessions,Phoenix Suns,L,11/07/2012,34:32,2,10,0.2,1,3,0.333,12,14,0.857,1,2,3,9,0,0,3,0,17,-8
Charlotte Bobcats,,Tyrus Thomas,Phoenix Suns,L,11/07/2012,15:32,3,8,0.375,0,0,0.0,4,4,1.0,2,0,2,1,1,2,0,2,10,-1
Charlotte Bobcats,,Reggie Williams,Phoenix Suns,L,11/07/2012,9:35,4,5,0.8,1,1,1.0,0,0,0.0,2,0,2,0,0,0,0,0,9,0
Charlotte Bobcats,,Tyrus Thomas,New Orleans Hornets,L,11/09/2012,22:50,2,8,0.25,0,0,0.0,2,4,0.5,2,3,5,3,0,3,1,4,6,1
Charlotte Bobcats,,Ramon Sessions,New Orleans Hornets,L,11/09/2012,24:13,4,8,0.5,0,2,0.0,5,6,0.833,0,1,1,4,0,0,1,2,13,-9
Charlotte Bobcats,,Ben Gordon,New Orleans Hornets,L,11/09/2012,34:43,14,21,0.667,3,6,0.5,3,4,0.75,3,3,6,4,0,0,4,1,34,-11
Charlotte Bobcats,,DeSagana Diop,New Orleans Hornets,L,11/09/2012,12:11,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0,-8
Charlotte Bobcats,,Reggie Williams,New Orleans Hornets,L,11/09/2012,14:04,2,3,0.667,1,2,0.5,0,0,0.0,0,2,2,0,2,0,1,0,5,-3
Charlotte Bobcats,,Ben Gordon,Dallas Mavericks,W,11/10/2012,20:25,4,14,0.286,2,4,0.5,1,4,0.25,0,1,1,2,0,0,1,6,11,-12
Charlotte Bobcats,,Bismack Biyombo,Dallas Mavericks,W,11/10/2012,10:04,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,1,0,0,-19
Charlotte Bobcats,,Tyrus Thomas,Dallas Mavericks,W,11/10/2012,14:47,2,2,1.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,1,4,-12
Charlotte Bobcats,,Ramon Sessions,Dallas Mavericks,W,11/10/2012,22:00,5,15,0.333,0,3,0.0,2,4,0.5,2,1,3,4,0,0,4,1,12,0
Charlotte Bobcats,,Reggie Williams,Dallas Mavericks,W,11/10/2012,2:32,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-4
Charlotte Bobcats,,Cory Higgins,Dallas Mavericks,W,11/10/2012,0:15,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2
Charlotte Bobcats,,DeSagana Diop,Dallas Mavericks,W,11/10/2012,8:38,0,2,0.0,0,0,0.0,0,0,0.0,1,0,1,1,1,1,0,0,0,4
Charlotte Bobcats,,Tyrus Thomas,Washington Wizards,W,11/13/2012,21:06,2,7,0.286,0,0,0.0,6,6,1.0,2,4,6,1,0,2,2,3,10,6
Charlotte Bobcats,,Ramon Sessions,Washington Wizards,W,11/13/2012,29:43,7,18,0.389,1,2,0.5,6,8,0.75,1,4,5,2,0,0,2,1,21,11
Charlotte Bobcats,,Bismack Biyombo,Washington Wizards,W,11/13/2012,13:42,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,3,0,3
Charlotte Bobcats,,Reggie Williams,Washington Wizards,W,11/13/2012,14:16,2,4,0.5,0,2,0.0,2,2,1.0,1,3,4,1,0,0,1,0,6,5
Charlotte Bobcats,,DeSagana Diop,Washington Wizards,W,11/13/2012,3:21,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,3
Charlotte Bobcats,,Cory Higgins,Washington Wizards,W,11/13/2012,5:25,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,2,0,-2
Charlotte Bobcats,,Reggie Williams,Minnesota Timberwolves,W,11/14/2012,21:19,3,7,0.429,2,3,0.667,0,0,0.0,1,2,3,2,3,0,0,0,8,10
Charlotte Bobcats,,Ramon Sessions,Minnesota Timberwolves,W,11/14/2012,32:09,8,20,0.4,0,5,0.0,2,5,0.4,1,5,6,4,2,0,0,0,18,2
Charlotte Bobcats,,Cory Higgins,Minnesota Timberwolves,W,11/14/2012,2:48,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-2
Charlotte Bobcats,,Tyrus Thomas,Minnesota Timberwolves,W,11/14/2012,17:41,4,6,0.667,0,0,0.0,2,2,1.0,0,4,4,0,1,3,2,5,10,6
Charlotte Bobcats,,Bismack Biyombo,Minnesota Timberwolves,W,11/14/2012,18:14,2,2,1.0,0,0,0.0,0,0,0.0,0,4,4,0,0,2,1,2,4,16
Charlotte Bobcats,,Ben Gordon,Memphis Grizzlies,L,11/17/2012,29:13,4,10,0.4,2,5,0.4,0,0,0.0,1,2,3,3,2,0,4,2,10,-6
Charlotte Bobcats,,Tyrus Thomas,Memphis Grizzlies,L,11/17/2012,14:30,0,6,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,1,0,2,0,-3
Charlotte Bobcats,,Bismack Biyombo,Memphis Grizzlies,L,11/17/2012,25:59,2,6,0.333,0,0,0.0,0,0,0.0,3,4,7,0,1,1,0,6,4,5
Charlotte Bobcats,,Ramon Sessions,Memphis Grizzlies,L,11/17/2012,25:09,6,11,0.545,0,2,0.0,0,0,0.0,0,4,4,2,1,0,2,1,12,0
Charlotte Bobcats,,Reggie Williams,Memphis Grizzlies,L,11/17/2012,6:14,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,1,0,0,-6
Charlotte Bobcats,,Hakim Warrick,Memphis Grizzlies,L,11/17/2012,9:46,1,2,0.5,0,0,0.0,3,6,0.5,2,2,4,0,0,1,0,0,5,3
Charlotte Bobcats,,Ramon Sessions,Milwaukee Bucks,W,11/19/2012,32:01,6,13,0.462,1,2,0.5,10,10,1.0,0,4,4,4,1,0,5,3,23,6
Charlotte Bobcats,,Bismack Biyombo,Milwaukee Bucks,W,11/19/2012,12:34,1,3,0.333,0,0,0.0,0,0,0.0,3,2,5,0,0,1,1,2,2,-8
Charlotte Bobcats,,Ben Gordon,Milwaukee Bucks,W,11/19/2012,13:35,3,8,0.375,0,2,0.0,2,2,1.0,0,0,0,2,1,0,2,1,8,-9
