Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Charlotte Bobcats,F,Michael Kidd-Gilchrist,Indiana Pacers,W,11/02/2012,19:37,1,7,0.143,0,0,0.0,0,0,0.0,2,5,7,1,0,2,1,0,2,12
Charlotte Bobcats,F,Byron Mullens,Indiana Pacers,W,11/02/2012,31:06,3,10,0.3,0,6,0.0,0,0,0.0,2,5,7,2,2,2,0,2,6,12
Charlotte Bobcats,C,Brendan Haywood,Indiana Pacers,W,11/02/2012,31:14,1,3,0.333,0,0,0.0,2,4,0.5,3,6,9,2,0,0,1,5,4,14
Charlotte Bobcats,G,Gerald Henderson,Indiana Pacers,W,11/02/2012,35:31,6,14,0.429,2,5,0.4,4,4,1.0,0,1,1,3,5,2,2,4,18,10
Charlotte Bobcats,G,Kemba Walker,Indiana Pacers,W,11/02/2012,33:01,10,21,0.476,1,1,1.0,9,10,0.9,3,2,5,3,1,1,1,1,30,13
Charlotte Bobcats,F,Michael Kidd-Gilchrist,Dallas Mavericks,L,11/03/2012,27:10,4,8,0.5,0,0,0.0,5,9,0.556,3,2,5,2,5,1,3,1,13,7
Charlotte Bobcats,F,Byron Mullens,Dallas Mavericks,L,11/03/2012,32:20,7,18,0.389,2,8,0.25,0,0,0.0,3,7,10,1,0,0,1,2,16,-19
Charlotte Bobcats,C,Brendan Haywood,Dallas Mavericks,L,11/03/2012,30:56,7,13,0.538,0,0,0.0,0,0,0.0,7,4,11,0,0,1,0,3,14,-2
Charlotte Bobcats,G,Gerald Henderson,Dallas Mavericks,L,11/03/2012,20:25,2,9,0.222,0,0,0.0,3,4,0.75,2,1,3,2,1,0,1,1,7,-16
Charlotte Bobcats,G,Kemba Walker,Dallas Mavericks,L,11/03/2012,31:11,4,10,0.4,0,3,0.0,2,2,1.0,0,3,3,5,3,0,1,1,10,-17
Charlotte Bobcats,F,Michael Kidd-Gilchrist,Phoenix Suns,L,11/07/2012,29:09,4,10,0.4,0,0,0.0,1,1,1.0,2,6,8,3,0,3,3,3,9,4
Charlotte Bobcats,F,Byron Mullens,Phoenix Suns,L,11/07/2012,36:50,9,16,0.563,6,10,0.6,0,0,0.0,2,6,8,0,1,0,1,5,24,-8
Charlotte Bobcats,C,Brendan Haywood,Phoenix Suns,L,11/07/2012,17:25,3,4,0.75,0,0,0.0,1,1,1.0,3,4,7,0,0,2,2,2,7,-3
Charlotte Bobcats,G,Jeff Taylor,Phoenix Suns,L,11/07/2012,10:04,0,3,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2
Charlotte Bobcats,G,Kemba Walker,Phoenix Suns,L,11/07/2012,40:03,6,14,0.429,0,2,0.0,5,6,0.833,0,1,1,8,1,0,0,5,17,-9
Charlotte Bobcats,F,Michael Kidd-Gilchrist,New Orleans Hornets,L,11/09/2012,33:05,5,9,0.556,1,1,1.0,1,1,1.0,2,4,6,0,2,3,2,3,12,-5
Charlotte Bobcats,F,Byron Mullens,New Orleans Hornets,L,11/09/2012,24:38,2,9,0.222,1,5,0.2,0,0,0.0,1,2,3,0,1,0,0,2,5,-9
Charlotte Bobcats,C,Bismack Biyombo,New Orleans Hornets,L,11/09/2012,35:49,3,6,0.5,0,0,0.0,0,2,0.0,6,7,13,0,0,3,1,1,6,0
Charlotte Bobcats,G,Jeff Taylor,New Orleans Hornets,L,11/09/2012,13:17,3,5,0.6,1,3,0.333,0,0,0.0,0,0,0,0,0,0,0,2,7,3
Charlotte Bobcats,G,Kemba Walker,New Orleans Hornets,L,11/09/2012,25:10,5,14,0.357,0,2,0.0,1,1,1.0,1,3,4,6,1,0,2,2,11,1
Charlotte Bobcats,F,Michael Kidd-Gilchrist,Dallas Mavericks,W,11/10/2012,41:04,8,12,0.667,0,0,0.0,9,10,0.9,5,7,12,0,1,2,0,4,25,19
Charlotte Bobcats,F,Byron Mullens,Dallas Mavericks,W,11/10/2012,38:13,3,9,0.333,1,5,0.2,0,0,0.0,3,11,14,1,0,0,2,3,7,16
Charlotte Bobcats,C,Brendan Haywood,Dallas Mavericks,W,11/10/2012,33:53,4,7,0.571,0,0,0.0,0,2,0.0,4,3,7,0,0,0,2,3,8,17
Charlotte Bobcats,G,Jeff Taylor,Dallas Mavericks,W,11/10/2012,31:53,4,10,0.4,0,4,0.0,0,0,0.0,2,4,6,0,2,2,2,1,8,-1
Charlotte Bobcats,G,Kemba Walker,Dallas Mavericks,W,11/10/2012,41:16,10,22,0.455,0,2,0.0,6,8,0.75,3,3,6,7,8,0,4,4,26,14
Charlotte Bobcats,F,Michael Kidd-Gilchrist,Washington Wizards,W,11/13/2012,27:20,6,11,0.545,0,0,0.0,3,3,1.0,2,6,8,2,0,1,2,5,15,2
Charlotte Bobcats,F,Byron Mullens,Washington Wizards,W,11/13/2012,26:54,3,8,0.375,1,3,0.333,2,4,0.5,0,6,6,4,2,2,1,0,9,10
Charlotte Bobcats,C,Brendan Haywood,Washington Wizards,W,11/13/2012,30:57,4,6,0.667,0,0,0.0,0,0,0.0,4,7,11,1,2,1,1,3,8,10
Charlotte Bobcats,G,Jeff Taylor,Washington Wizards,W,11/13/2012,32:20,2,7,0.286,0,2,0.0,2,2,1.0,3,3,6,4,1,1,3,1,6,7
Charlotte Bobcats,G,Kemba Walker,Washington Wizards,W,11/13/2012,34:56,5,13,0.385,1,4,0.25,6,7,0.857,0,3,3,2,2,0,0,2,17,25
Charlotte Bobcats,F,Michael Kidd-Gilchrist,Minnesota Timberwolves,W,11/14/2012,16:57,1,4,0.25,0,0,0.0,0,0,0.0,1,1,2,2,0,0,2,3,2,-5
Charlotte Bobcats,F,Byron Mullens,Minnesota Timberwolves,W,11/14/2012,33:34,5,12,0.417,0,2,0.0,2,2,1.0,4,11,15,2,1,4,0,5,12,-11
Charlotte Bobcats,C,Brendan Haywood,Minnesota Timberwolves,W,11/14/2012,26:31,3,6,0.5,0,0,0.0,0,0,0.0,2,2,4,0,0,2,3,4,6,-7
Charlotte Bobcats,G,Jeff Taylor,Minnesota Timberwolves,W,11/14/2012,25:28,3,7,0.429,1,3,0.333,0,2,0.0,0,1,1,0,0,0,2,3,7,-3
Charlotte Bobcats,G,Kemba Walker,Minnesota Timberwolves,W,11/14/2012,45:19,9,19,0.474,1,3,0.333,3,3,1.0,0,4,4,5,4,1,5,3,22,4
Charlotte Bobcats,F,Michael Kidd-Gilchrist,Memphis Grizzlies,L,11/17/2012,21:43,3,4,0.75,0,0,0.0,6,10,0.6,4,4,8,1,1,1,3,5,12,1
Charlotte Bobcats,F,Byron Mullens,Memphis Grizzlies,L,11/17/2012,33:30,7,21,0.333,2,4,0.5,2,3,0.667,2,7,9,1,1,0,2,5,18,-4
Charlotte Bobcats,C,Brendan Haywood,Memphis Grizzlies,L,11/17/2012,19:35,2,4,0.5,0,0,0.0,1,1,1.0,1,3,4,1,0,0,0,1,5,-15
Charlotte Bobcats,G,Jeff Taylor,Memphis Grizzlies,L,11/17/2012,12:12,1,2,0.5,0,0,0.0,2,2,1.0,0,1,1,0,0,0,0,0,4,-5
Charlotte Bobcats,G,Kemba Walker,Memphis Grizzlies,L,11/17/2012,42:09,6,17,0.353,0,1,0.0,5,6,0.833,1,4,5,8,0,1,4,3,17,-5
