Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Chicago Bulls,,Taj Gibson,Sacramento Kings,W,10/31/2012,19:14,2,6,0.333,0,0,0.0,0,0,0.0,1,4,5,0,0,4,0,1,4,-1
Chicago Bulls,,Marco Belinelli,Sacramento Kings,W,10/31/2012,11:42,1,2,0.5,1,1,1.0,3,3,1.0,0,0,0,3,0,0,1,0,6,7
Chicago Bulls,,Nate Robinson,Sacramento Kings,W,10/31/2012,19:45,3,8,0.375,1,2,0.5,0,0,0.0,0,5,5,1,0,0,3,2,7,1
Chicago Bulls,,Jimmy Butler,Sacramento Kings,W,10/31/2012,11:10,1,1,1.0,0,0,0.0,2,2,1.0,0,1,1,0,0,0,0,3,4,-5
Chicago Bulls,,Nazr Mohammed,Sacramento Kings,W,10/31/2012,2:44,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,1,0,2,2,0
Chicago Bulls,,Marco Belinelli,Cleveland Cavaliers,W,11/02/2012,21:25,3,4,0.75,0,1,0.0,2,3,0.667,0,2,2,0,1,0,1,1,8,11
Chicago Bulls,,Taj Gibson,Cleveland Cavaliers,W,11/02/2012,18:12,3,7,0.429,0,0,0.0,2,4,0.5,0,6,6,1,0,1,1,2,8,9
Chicago Bulls,,Nazr Mohammed,Cleveland Cavaliers,W,11/02/2012,16:15,0,1,0.0,0,0,0.0,1,2,0.5,0,3,3,1,0,0,1,2,1,-1
Chicago Bulls,,Nate Robinson,Cleveland Cavaliers,W,11/02/2012,27:05,7,9,0.778,2,3,0.667,0,0,0.0,0,5,5,12,1,0,3,3,16,6
Chicago Bulls,,Jimmy Butler,Cleveland Cavaliers,W,11/02/2012,17:10,3,4,0.75,0,0,0.0,2,2,1.0,1,3,4,1,0,0,1,0,8,2
Chicago Bulls,,Marquis Teague,Cleveland Cavaliers,W,11/02/2012,3:32,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,3,0,0,0,1,0,2
Chicago Bulls,,Vladimir Radmanovic,Cleveland Cavaliers,W,11/02/2012,2:35,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,0,0,0,0,1,3,2
Chicago Bulls,,Marco Belinelli,New Orleans Hornets,L,11/03/2012,29:25,4,10,0.4,2,6,0.333,3,3,1.0,0,0,0,2,1,0,1,3,13,5
Chicago Bulls,,Taj Gibson,New Orleans Hornets,L,11/03/2012,21:13,4,7,0.571,0,0,0.0,4,4,1.0,3,2,5,1,0,3,0,2,12,1
Chicago Bulls,,Nazr Mohammed,New Orleans Hornets,L,11/03/2012,4:14,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,0,0,0,-2
Chicago Bulls,,Nate Robinson,New Orleans Hornets,L,11/03/2012,24:00,6,16,0.375,1,5,0.2,2,2,1.0,0,5,5,2,3,0,1,3,15,0
Chicago Bulls,,Jimmy Butler,New Orleans Hornets,L,11/03/2012,6:04,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-1
Chicago Bulls,,Vladimir Radmanovic,New Orleans Hornets,L,11/03/2012,0:27,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,1
Chicago Bulls,,Marco Belinelli,Orlando Magic,W,11/06/2012,7:56,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,1,0,2,-13
Chicago Bulls,,Taj Gibson,Orlando Magic,W,11/06/2012,19:32,5,9,0.556,0,0,0.0,2,3,0.667,0,5,5,0,0,2,0,1,12,5
Chicago Bulls,,Nazr Mohammed,Orlando Magic,W,11/06/2012,7:16,0,3,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-5
Chicago Bulls,,Nate Robinson,Orlando Magic,W,11/06/2012,21:51,5,8,0.625,0,1,0.0,1,2,0.5,0,2,2,6,1,0,2,2,11,10
Chicago Bulls,,Jimmy Butler,Orlando Magic,W,11/06/2012,21:37,1,3,0.333,0,0,0.0,2,2,1.0,2,1,3,2,1,0,0,1,4,13
Chicago Bulls,,Taj Gibson,Oklahoma City Thunder,L,11/08/2012,24:38,2,5,0.4,0,0,0.0,0,0,0.0,0,2,2,2,1,0,1,2,4,-12
Chicago Bulls,,Marco Belinelli,Oklahoma City Thunder,L,11/08/2012,5:53,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,0,0,0,0,0,2,-18
Chicago Bulls,,Nazr Mohammed,Oklahoma City Thunder,L,11/08/2012,1:32,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-5
Chicago Bulls,,Nate Robinson,Oklahoma City Thunder,L,11/08/2012,11:59,1,6,0.167,0,1,0.0,0,0,0.0,0,0,0,2,0,0,1,3,2,-9
Chicago Bulls,,Jimmy Butler,Oklahoma City Thunder,L,11/08/2012,13:17,2,5,0.4,0,1,0.0,2,2,1.0,2,1,3,3,1,0,1,1,6,-1
Chicago Bulls,,Vladimir Radmanovic,Oklahoma City Thunder,L,11/08/2012,0:16,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-4
Chicago Bulls,,Taj Gibson,Minnesota Timberwolves,W,11/10/2012,22:60,3,9,0.333,0,0,0.0,2,2,1.0,4,4,8,0,0,3,2,1,8,1
Chicago Bulls,,Nate Robinson,Minnesota Timberwolves,W,11/10/2012,31:00,8,14,0.571,1,3,0.333,1,2,0.5,0,4,4,2,1,0,5,3,18,1
Chicago Bulls,,Nazr Mohammed,Minnesota Timberwolves,W,11/10/2012,8:09,0,2,0.0,0,0,0.0,1,2,0.5,4,2,6,1,0,2,0,3,1,-1
