Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Denver Nuggets,F,Jordan Hamilton,Philadelphia 76ers,L,10/31/2012,12:51,2,5,0.4,0,2,0.0,0,0,0.0,0,6,6,2,0,0,0,2,4,-5
Denver Nuggets,F,Kenneth Faried,Philadelphia 76ers,L,10/31/2012,17:07,3,9,0.333,0,0,0.0,0,0,0.0,5,2,7,0,1,0,2,2,6,-7
Denver Nuggets,C,Kosta Koufos,Philadelphia 76ers,L,10/31/2012,29:40,2,3,0.667,0,0,0.0,2,4,0.5,4,5,9,0,1,1,1,3,6,0
Denver Nuggets,G,Andre Iguodala,Philadelphia 76ers,L,10/31/2012,34:48,5,13,0.385,0,4,0.0,1,3,0.333,1,3,4,4,2,1,4,0,11,-19
Denver Nuggets,G,Ty Lawson,Philadelphia 76ers,L,10/31/2012,36:38,7,17,0.412,1,2,0.5,1,2,0.5,1,4,5,7,2,0,0,4,16,-3
Denver Nuggets,F,Danilo Gallinari,Orlando Magic,L,11/02/2012,34:56,5,14,0.357,2,9,0.222,11,14,0.786,2,6,8,4,1,1,1,2,23,-3
Denver Nuggets,F,Kenneth Faried,Orlando Magic,L,11/02/2012,19:39,1,3,0.333,0,0,0.0,0,0,0.0,2,3,5,0,0,1,0,0,2,-14
Denver Nuggets,C,Kosta Koufos,Orlando Magic,L,11/02/2012,27:25,3,6,0.5,0,0,0.0,1,3,0.333,3,3,6,1,1,1,1,4,7,9
Denver Nuggets,G,Andre Iguodala,Orlando Magic,L,11/02/2012,35:58,3,10,0.3,1,2,0.5,2,2,1.0,1,7,8,5,1,1,3,2,9,-10
Denver Nuggets,G,Ty Lawson,Orlando Magic,L,11/02/2012,37:37,6,15,0.4,0,3,0.0,0,0,0.0,1,1,2,7,0,0,3,2,12,-13
Denver Nuggets,F,Kenneth Faried,Miami Heat,L,11/03/2012,36:05,11,15,0.733,0,0,0.0,0,1,0.0,7,5,12,1,1,0,1,5,22,-10
Denver Nuggets,F,Danilo Gallinari,Miami Heat,L,11/03/2012,36:36,3,17,0.176,1,9,0.111,6,9,0.667,1,5,6,2,0,0,0,1,13,-19
Denver Nuggets,C,Kosta Koufos,Miami Heat,L,11/03/2012,13:44,1,4,0.25,0,0,0.0,0,0,0.0,1,3,4,0,0,0,0,2,2,-7
Denver Nuggets,G,Andre Iguodala,Miami Heat,L,11/03/2012,39:35,9,15,0.6,2,5,0.4,2,4,0.5,1,4,5,3,1,1,5,2,22,-4
Denver Nuggets,G,Ty Lawson,Miami Heat,L,11/03/2012,40:50,7,15,0.467,0,0,0.0,0,0,0.0,2,2,4,6,2,1,4,2,14,-2
Denver Nuggets,F,Danilo Gallinari,Detroit Pistons,W,11/06/2012,31:40,3,11,0.273,2,8,0.25,0,0,0.0,2,2,4,2,0,2,4,4,8,3
Denver Nuggets,F,Kenneth Faried,Detroit Pistons,W,11/06/2012,22:40,7,10,0.7,0,0,0.0,1,3,0.333,3,5,8,1,0,1,0,3,15,8
Denver Nuggets,C,Kosta Koufos,Detroit Pistons,W,11/06/2012,29:33,7,13,0.538,0,0,0.0,0,0,0.0,2,3,5,0,0,3,1,5,14,0
Denver Nuggets,G,Andre Iguodala,Detroit Pistons,W,11/06/2012,36:21,6,15,0.4,3,6,0.5,2,2,1.0,3,7,10,4,1,1,4,1,17,6
Denver Nuggets,G,Ty Lawson,Detroit Pistons,W,11/06/2012,39:21,3,8,0.375,1,4,0.25,8,10,0.8,0,4,4,9,4,0,1,3,15,21
Denver Nuggets,F,Danilo Gallinari,Houston Rockets,W,11/07/2012,40:54,6,15,0.4,1,5,0.2,0,0,0.0,2,8,10,3,0,1,1,1,13,8
Denver Nuggets,F,Kenneth Faried,Houston Rockets,W,11/07/2012,34:58,7,14,0.5,0,0,0.0,2,7,0.286,9,7,16,0,1,1,1,4,16,-7
Denver Nuggets,C,Kosta Koufos,Houston Rockets,W,11/07/2012,21:00,1,4,0.25,0,0,0.0,2,2,1.0,2,2,4,0,1,0,2,4,4,17
Denver Nuggets,G,Andre Iguodala,Houston Rockets,W,11/07/2012,38:22,5,11,0.455,1,4,0.25,2,2,1.0,0,5,5,3,3,1,5,2,13,3
Denver Nuggets,G,Ty Lawson,Houston Rockets,W,11/07/2012,38:27,9,20,0.45,3,4,0.75,0,4,0.0,0,0,0,8,2,0,4,1,21,7
Denver Nuggets,F,Danilo Gallinari,Utah Jazz,W,11/09/2012,24:44,2,11,0.182,0,2,0.0,1,2,0.5,0,6,6,4,0,1,0,3,5,13
Denver Nuggets,F,Kenneth Faried,Utah Jazz,W,11/09/2012,27:55,5,11,0.455,0,0,0.0,8,10,0.8,4,6,10,2,1,2,0,1,18,19
Denver Nuggets,C,Kosta Koufos,Utah Jazz,W,11/09/2012,25:09,6,8,0.75,0,0,0.0,3,4,0.75,4,6,10,1,2,3,0,5,15,9
Denver Nuggets,G,Andre Iguodala,Utah Jazz,W,11/09/2012,30:52,7,12,0.583,1,4,0.25,0,0,0.0,0,7,7,1,1,1,2,1,15,7
Denver Nuggets,G,Ty Lawson,Utah Jazz,W,11/09/2012,29:03,4,12,0.333,0,0,0.0,1,4,0.25,0,2,2,7,3,0,2,0,9,22
