Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Detroit Pistons,,Kim English,Houston Rockets,L,10/31/2012,13:47,3,6,0.5,2,4,0.5,0,0,0.0,0,0,0,3,2,0,1,1,8,8
Detroit Pistons,,Jonas Jerebko,Houston Rockets,L,10/31/2012,19:32,2,7,0.286,0,1,0.0,3,3,1.0,4,0,4,1,1,0,0,2,7,-10
Detroit Pistons,,Kyle Singler,Houston Rockets,L,10/31/2012,15:38,4,5,0.8,2,2,1.0,0,0,0.0,0,2,2,0,0,1,1,0,10,-1
Detroit Pistons,,Will Bynum,Houston Rockets,L,10/31/2012,13:09,4,6,0.667,1,1,1.0,0,0,0.0,0,2,2,2,1,0,3,4,9,2
Detroit Pistons,,Andre Drummond,Houston Rockets,L,10/31/2012,12:53,1,1,1.0,0,0,0.0,0,0,0.0,0,2,2,0,2,1,2,2,2,0
Detroit Pistons,,Will Bynum,Phoenix Suns,L,11/02/2012,16:40,4,9,0.444,0,0,0.0,2,2,1.0,0,3,3,1,1,0,1,3,10,3
Detroit Pistons,,Kim English,Phoenix Suns,L,11/02/2012,15:38,0,3,0.0,0,1,0.0,0,0,0.0,0,1,1,2,1,0,0,0,0,-2
Detroit Pistons,,Jonas Jerebko,Phoenix Suns,L,11/02/2012,16:36,5,10,0.5,0,3,0.0,1,1,1.0,0,1,1,0,0,0,0,3,11,7
Detroit Pistons,,Andre Drummond,Phoenix Suns,L,11/02/2012,18:50,2,3,0.667,0,0,0.0,1,3,0.333,2,6,8,1,0,2,0,2,5,3
Detroit Pistons,,Kyle Singler,Phoenix Suns,L,11/02/2012,23:55,2,2,1.0,1,1,1.0,0,0,0.0,2,0,2,0,0,0,1,0,5,3
Detroit Pistons,,Jonas Jerebko,Los Angeles Lakers,L,11/04/2012,28:49,5,9,0.556,1,2,0.5,7,9,0.778,2,0,2,2,1,0,1,1,18,-3
Detroit Pistons,,Kim English,Los Angeles Lakers,L,11/04/2012,20:22,2,5,0.4,2,4,0.5,2,2,1.0,0,1,1,0,0,1,2,3,8,-1
Detroit Pistons,,Andre Drummond,Los Angeles Lakers,L,11/04/2012,21:42,2,6,0.333,0,0,0.0,1,2,0.5,4,3,7,0,0,2,1,2,5,2
Detroit Pistons,,Kyle Singler,Los Angeles Lakers,L,11/04/2012,26:20,4,9,0.444,1,4,0.25,2,2,1.0,1,4,5,2,0,0,1,5,11,6
Detroit Pistons,,Will Bynum,Los Angeles Lakers,L,11/04/2012,24:55,4,11,0.364,0,1,0.0,2,2,1.0,1,0,1,5,0,0,2,2,10,1
Detroit Pistons,,Kyle Singler,Denver Nuggets,L,11/06/2012,19:13,3,5,0.6,0,0,0.0,3,4,0.75,1,0,1,0,0,1,1,1,9,-2
Detroit Pistons,,Jonas Jerebko,Denver Nuggets,L,11/06/2012,25:20,4,8,0.5,1,2,0.5,2,2,1.0,1,5,6,0,3,0,1,2,11,-4
Detroit Pistons,,Will Bynum,Denver Nuggets,L,11/06/2012,15:00,1,5,0.2,0,0,0.0,3,3,1.0,0,3,3,8,0,0,2,2,5,-11
Detroit Pistons,,Andre Drummond,Denver Nuggets,L,11/06/2012,12:13,3,3,1.0,1,1,1.0,0,0,0.0,0,2,2,2,0,0,0,0,7,-8
Detroit Pistons,,Kim English,Denver Nuggets,L,11/06/2012,9:22,2,2,1.0,2,2,1.0,0,0,0.0,0,0,0,0,0,1,1,3,6,-6
Detroit Pistons,,Charlie Villanueva,Denver Nuggets,L,11/06/2012,0:04,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Detroit Pistons,,Kyle Singler,Sacramento Kings,L,11/07/2012,25:01,3,8,0.375,1,4,0.25,5,6,0.833,2,2,4,0,1,2,0,2,12,-1
