Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Golden State Warriors,F,Harrison Barnes,Phoenix Suns,W,10/31/2012,13:48,2,5,0.4,0,0,0.0,2,2,1.0,2,1,3,1,0,0,0,1,6,-2
Golden State Warriors,F,David Lee,Phoenix Suns,W,10/31/2012,39:15,2,16,0.125,0,0,0.0,2,2,1.0,3,6,9,3,0,1,1,4,6,3
Golden State Warriors,C,Andrew Bogut,Phoenix Suns,W,10/31/2012,18:29,4,6,0.667,0,0,0.0,0,1,0.0,1,5,6,1,0,1,0,1,8,-7
Golden State Warriors,G,Klay Thompson,Phoenix Suns,W,10/31/2012,33:45,6,16,0.375,4,7,0.571,0,0,0.0,2,6,8,1,0,0,4,2,16,-10
Golden State Warriors,G,Stephen Curry,Phoenix Suns,W,10/31/2012,30:22,2,14,0.143,0,6,0.0,1,3,0.333,3,4,7,3,2,0,4,3,5,-2
Golden State Warriors,F,Harrison Barnes,Memphis Grizzlies,L,11/02/2012,23:22,3,7,0.429,2,5,0.4,0,0,0.0,0,0,0,1,0,0,2,5,8,-11
Golden State Warriors,F,David Lee,Memphis Grizzlies,L,11/02/2012,34:58,8,13,0.615,0,0,0.0,0,0,0.0,0,7,7,0,0,0,4,5,16,-1
Golden State Warriors,C,Andrew Bogut,Memphis Grizzlies,L,11/02/2012,18:00,2,5,0.4,0,0,0.0,0,0,0.0,1,2,3,1,0,1,2,3,4,-16
Golden State Warriors,G,Klay Thompson,Memphis Grizzlies,L,11/02/2012,38:27,4,10,0.4,1,2,0.5,2,2,1.0,0,3,3,5,1,1,1,1,11,-5
Golden State Warriors,G,Stephen Curry,Memphis Grizzlies,L,11/02/2012,42:30,10,20,0.5,6,10,0.6,0,1,0.0,1,4,5,7,1,0,4,3,26,-7
Golden State Warriors,F,Harrison Barnes,Los Angeles Clippers,W,11/03/2012,19:54,4,6,0.667,0,0,0.0,2,2,1.0,0,1,1,1,0,0,0,5,10,3
Golden State Warriors,F,David Lee,Los Angeles Clippers,W,11/03/2012,29:16,4,8,0.5,0,0,0.0,0,0,0.0,1,11,12,4,0,0,1,4,8,3
Golden State Warriors,C,Festus Ezeli,Los Angeles Clippers,W,11/03/2012,27:50,2,4,0.5,0,0,0.0,4,10,0.4,3,2,5,0,0,1,1,4,8,5
Golden State Warriors,G,Klay Thompson,Los Angeles Clippers,W,11/03/2012,28:19,6,17,0.353,2,6,0.333,3,3,1.0,3,5,8,3,1,0,2,4,17,2
Golden State Warriors,G,Stephen Curry,Los Angeles Clippers,W,11/03/2012,43:02,6,16,0.375,2,7,0.286,9,10,0.9,0,4,4,4,3,0,5,4,23,6
Golden State Warriors,F,Harrison Barnes,Sacramento Kings,L,11/05/2012,29:58,3,8,0.375,0,3,0.0,0,0,0.0,0,2,2,4,1,0,1,2,6,2
Golden State Warriors,F,David Lee,Sacramento Kings,L,11/05/2012,41:07,6,13,0.462,0,0,0.0,8,8,1.0,1,5,6,4,1,0,3,4,20,2
Golden State Warriors,C,Andrew Bogut,Sacramento Kings,L,11/05/2012,18:55,5,7,0.714,0,0,0.0,2,3,0.667,1,2,3,1,0,1,1,2,12,2
Golden State Warriors,G,Klay Thompson,Sacramento Kings,L,11/05/2012,39:17,7,17,0.412,3,9,0.333,5,6,0.833,0,7,7,3,2,0,1,2,22,-2
Golden State Warriors,G,Stephen Curry,Sacramento Kings,L,11/05/2012,39:04,3,15,0.2,2,6,0.333,4,5,0.8,1,5,6,8,1,0,3,2,12,0
Golden State Warriors,F,Harrison Barnes,Cleveland Cavaliers,W,11/07/2012,30:24,5,9,0.556,1,2,0.5,3,5,0.6,1,1,2,1,1,0,2,3,14,-6
Golden State Warriors,F,David Lee,Cleveland Cavaliers,W,11/07/2012,37:52,10,16,0.625,0,0,0.0,2,2,1.0,2,12,14,6,3,0,1,4,22,7
Golden State Warriors,C,Andrew Bogut,Cleveland Cavaliers,W,11/07/2012,17:24,0,2,0.0,0,0,0.0,0,0,0.0,1,2,3,5,1,1,1,0,0,3
Golden State Warriors,G,Klay Thompson,Cleveland Cavaliers,W,11/07/2012,22:20,4,10,0.4,1,5,0.2,4,6,0.667,1,1,2,1,1,0,4,4,13,2
Golden State Warriors,G,Stephen Curry,Cleveland Cavaliers,W,11/07/2012,36:28,8,14,0.571,2,6,0.333,3,3,1.0,0,5,5,6,2,0,3,3,21,7
Golden State Warriors,F,Harrison Barnes,Los Angeles Lakers,L,11/09/2012,29:03,3,8,0.375,1,3,0.333,0,0,0.0,0,4,4,0,1,0,3,4,7,-19
Golden State Warriors,F,David Lee,Los Angeles Lakers,L,11/09/2012,30:52,3,10,0.3,0,0,0.0,4,6,0.667,1,11,12,1,0,0,4,2,10,-20
Golden State Warriors,C,Festus Ezeli,Los Angeles Lakers,L,11/09/2012,20:42,2,3,0.667,0,0,0.0,0,0,0.0,2,1,3,0,0,0,0,3,4,-6
Golden State Warriors,G,Klay Thompson,Los Angeles Lakers,L,11/09/2012,29:13,6,16,0.375,3,8,0.375,0,0,0.0,0,2,2,1,0,0,2,4,15,-12
Golden State Warriors,G,Stephen Curry,Los Angeles Lakers,L,11/09/2012,30:16,6,16,0.375,2,6,0.333,4,4,1.0,0,3,3,5,1,0,0,0,18,-19
Golden State Warriors,F,Harrison Barnes,Denver Nuggets,L,11/10/2012,18:48,2,5,0.4,1,1,1.0,2,4,0.5,3,2,5,1,0,1,1,3,7,-1
Golden State Warriors,F,David Lee,Denver Nuggets,L,11/10/2012,48:07,7,19,0.368,0,0,0.0,4,6,0.667,5,4,9,5,4,1,2,4,18,12
Golden State Warriors,C,Festus Ezeli,Denver Nuggets,L,11/10/2012,9:57,0,2,0.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,1,1,0,-13
Golden State Warriors,G,Klay Thompson,Denver Nuggets,L,11/10/2012,54:48,9,26,0.346,5,15,0.333,0,2,0.0,0,5,5,1,0,2,3,4,23,4
Golden State Warriors,G,Stephen Curry,Denver Nuggets,L,11/10/2012,37:12,7,17,0.412,3,6,0.5,2,2,1.0,0,5,5,3,3,0,4,5,19,-5
Golden State Warriors,F,Harrison Barnes,Atlanta Hawks,W,11/14/2012,39:40,6,11,0.545,1,2,0.5,6,8,0.75,3,10,13,1,1,0,3,2,19,-5
