Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Los Angeles Lakers,,Steve Blake,Dallas Mavericks,L,10/30/2012,13:51,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,6,1,0,1,2,0,-5
Los Angeles Lakers,,Jodie Meeks,Dallas Mavericks,L,10/30/2012,13:04,1,3,0.333,1,3,0.333,0,0,0.0,0,2,2,0,0,0,1,1,3,-7
Los Angeles Lakers,,Antawn Jamison,Dallas Mavericks,L,10/30/2012,15:02,2,4,0.5,0,1,0.0,1,1,1.0,1,4,5,2,1,0,0,3,5,0
Los Angeles Lakers,,Jordan Hill,Dallas Mavericks,L,10/30/2012,14:15,4,6,0.667,0,0,0.0,1,6,0.167,4,1,5,0,0,0,1,2,9,-9
Los Angeles Lakers,,Devin Ebanks,Portland Trail Blazers,L,10/31/2012,12:22,1,3,0.333,0,1,0.0,0,0,0.0,1,0,1,1,0,0,2,3,2,-5
Los Angeles Lakers,,Jordan Hill,Portland Trail Blazers,L,10/31/2012,8:21,0,4,0.0,0,0,0.0,1,2,0.5,2,2,4,0,0,0,2,3,1,-20
Los Angeles Lakers,,Steve Blake,Portland Trail Blazers,L,10/31/2012,27:45,3,4,0.75,1,1,1.0,0,0,0.0,1,2,3,3,2,0,0,0,7,3
Los Angeles Lakers,,Antawn Jamison,Portland Trail Blazers,L,10/31/2012,13:14,0,2,0.0,0,2,0.0,2,2,1.0,0,1,1,0,0,0,0,0,2,-21
Los Angeles Lakers,,Chris Duhon,Portland Trail Blazers,L,10/31/2012,4:13,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,-13
Los Angeles Lakers,,Jodie Meeks,Portland Trail Blazers,L,10/31/2012,5:01,1,2,0.5,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,1,3,-13
Los Angeles Lakers,,Robert Sacre,Portland Trail Blazers,L,10/31/2012,0:49,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-4
Los Angeles Lakers,,Jordan Hill,Los Angeles Clippers,L,11/02/2012,8:48,1,4,0.25,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,0,2,-13
Los Angeles Lakers,,Devin Ebanks,Los Angeles Clippers,L,11/02/2012,9:33,1,2,0.5,1,1,1.0,0,0,0.0,0,1,1,1,0,1,0,2,3,-6
Los Angeles Lakers,,Darius Morris,Los Angeles Clippers,L,11/02/2012,12:48,3,5,0.6,1,2,0.5,0,0,0.0,0,0,0,1,1,0,2,1,7,-7
Los Angeles Lakers,,Antawn Jamison,Los Angeles Clippers,L,11/02/2012,19:39,1,2,0.5,0,0,0.0,2,4,0.5,1,5,6,1,1,1,1,0,4,-2
Los Angeles Lakers,,Jordan Hill,Detroit Pistons,W,11/04/2012,19:08,3,4,0.75,0,0,0.0,5,5,1.0,4,3,7,0,1,1,0,2,11,-5
Los Angeles Lakers,,Devin Ebanks,Detroit Pistons,W,11/04/2012,11:37,0,6,0.0,0,2,0.0,2,2,1.0,2,1,3,1,0,0,1,2,2,-6
