Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Memphis Grizzlies,F,Rudy Gay,Los Angeles Clippers,L,10/31/2012,38:18,11,21,0.524,0,1,0.0,3,4,0.75,3,4,7,3,2,1,3,2,25,1
Memphis Grizzlies,F,Zach Randolph,Los Angeles Clippers,L,10/31/2012,39:45,5,15,0.333,0,0,0.0,5,9,0.556,7,9,16,3,1,1,4,3,15,-25
Memphis Grizzlies,C,Marc Gasol,Los Angeles Clippers,L,10/31/2012,38:51,8,13,0.615,0,0,0.0,4,4,1.0,3,4,7,5,1,1,2,3,20,0
Memphis Grizzlies,G,Tony Allen,Los Angeles Clippers,L,10/31/2012,28:30,2,6,0.333,0,1,0.0,4,4,1.0,1,4,5,1,3,0,1,3,8,-11
Memphis Grizzlies,G,Mike Conley,Los Angeles Clippers,L,10/31/2012,34:25,2,10,0.2,1,4,0.25,2,2,1.0,1,2,3,5,3,0,6,3,7,-4
Memphis Grizzlies,F,Rudy Gay,Golden State Warriors,W,11/02/2012,34:49,7,18,0.389,0,2,0.0,4,8,0.5,2,6,8,0,0,1,2,2,18,9
Memphis Grizzlies,F,Zach Randolph,Golden State Warriors,W,11/02/2012,36:09,5,10,0.5,0,1,0.0,5,5,1.0,4,10,14,0,1,1,5,4,15,9
Memphis Grizzlies,C,Marc Gasol,Golden State Warriors,W,11/02/2012,37:22,7,13,0.538,0,0,0.0,7,8,0.875,0,6,6,5,0,1,1,4,21,17
Memphis Grizzlies,G,Tony Allen,Golden State Warriors,W,11/02/2012,29:49,3,9,0.333,0,0,0.0,0,1,0.0,1,2,3,1,1,0,0,2,6,9
Memphis Grizzlies,G,Mike Conley,Golden State Warriors,W,11/02/2012,33:58,5,9,0.556,3,5,0.6,8,8,1.0,0,3,3,7,5,0,3,3,21,14
Memphis Grizzlies,F,Rudy Gay,Utah Jazz,W,11/05/2012,34:42,3,17,0.176,1,4,0.25,8,8,1.0,1,4,5,0,1,2,2,2,15,-5
Memphis Grizzlies,F,Zach Randolph,Utah Jazz,W,11/05/2012,38:03,8,19,0.421,0,1,0.0,0,0,0.0,9,9,18,1,1,0,0,2,16,-2
Memphis Grizzlies,C,Marc Gasol,Utah Jazz,W,11/05/2012,35:53,6,11,0.545,0,0,0.0,10,10,1.0,2,6,8,8,0,3,0,4,22,11
Memphis Grizzlies,G,Tony Allen,Utah Jazz,W,11/05/2012,26:31,4,13,0.308,0,1,0.0,0,0,0.0,0,2,2,2,3,2,0,2,8,12
Memphis Grizzlies,G,Mike Conley,Utah Jazz,W,11/05/2012,33:37,7,10,0.7,1,2,0.5,1,2,0.5,0,5,5,4,1,1,3,1,16,6
Memphis Grizzlies,F,Rudy Gay,Milwaukee Bucks,W,11/07/2012,34:45,7,20,0.35,0,3,0.0,3,4,0.75,1,4,5,2,2,0,3,1,17,8
Memphis Grizzlies,F,Zach Randolph,Milwaukee Bucks,W,11/07/2012,36:16,7,12,0.583,0,0,0.0,4,5,0.8,4,9,13,1,1,0,3,1,18,17
Memphis Grizzlies,C,Marc Gasol,Milwaukee Bucks,W,11/07/2012,36:42,5,8,0.625,0,0,0.0,4,6,0.667,3,6,9,5,1,1,1,3,14,11
Memphis Grizzlies,G,Tony Allen,Milwaukee Bucks,W,11/07/2012,16:36,3,6,0.5,0,1,0.0,0,0,0.0,0,5,5,0,1,2,3,4,6,10
Memphis Grizzlies,G,Mike Conley,Milwaukee Bucks,W,11/07/2012,32:55,5,9,0.556,0,3,0.0,3,3,1.0,0,2,2,12,0,0,2,1,13,5
Memphis Grizzlies,F,Rudy Gay,Houston Rockets,W,11/09/2012,30:13,9,19,0.474,1,4,0.25,2,4,0.5,3,4,7,1,1,0,2,3,21,-6
Memphis Grizzlies,F,Zach Randolph,Houston Rockets,W,11/09/2012,41:19,5,13,0.385,0,0,0.0,5,6,0.833,5,9,14,1,1,3,2,1,15,18
Memphis Grizzlies,C,Marc Gasol,Houston Rockets,W,11/09/2012,32:37,3,12,0.25,0,0,0.0,0,0,0.0,2,2,4,2,0,1,1,4,6,-4
Memphis Grizzlies,G,Tony Allen,Houston Rockets,W,11/09/2012,19:34,3,9,0.333,0,1,0.0,2,2,1.0,0,0,0,0,2,1,0,3,8,-6
Memphis Grizzlies,G,Mike Conley,Houston Rockets,W,11/09/2012,30:53,5,13,0.385,1,3,0.333,3,5,0.6,1,3,4,4,3,0,2,2,14,-4
Memphis Grizzlies,F,Rudy Gay,Miami Heat,W,11/11/2012,37:20,7,17,0.412,2,3,0.667,5,5,1.0,1,7,8,5,4,2,3,0,21,22
Memphis Grizzlies,F,Zach Randolph,Miami Heat,W,11/11/2012,32:29,8,16,0.5,0,0,0.0,2,2,1.0,5,7,12,1,0,0,2,4,18,15
Memphis Grizzlies,C,Marc Gasol,Miami Heat,W,11/11/2012,32:00,1,6,0.167,0,0,0.0,0,0,0.0,1,9,10,6,0,0,0,1,2,20
Memphis Grizzlies,G,Tony Allen,Miami Heat,W,11/11/2012,14:23,1,2,0.5,0,0,0.0,2,2,1.0,0,0,0,0,0,1,0,3,4,-2
Memphis Grizzlies,G,Mike Conley,Miami Heat,W,11/11/2012,31:31,7,11,0.636,3,6,0.5,1,1,1.0,0,3,3,9,0,0,3,3,18,26
Memphis Grizzlies,F,Rudy Gay,Oklahoma City Thunder,W,11/14/2012,42:31,12,21,0.571,2,3,0.667,2,2,1.0,2,4,6,5,0,0,2,3,28,7
Memphis Grizzlies,F,Zach Randolph,Oklahoma City Thunder,W,11/14/2012,36:20,8,14,0.571,0,0,0.0,4,4,1.0,3,8,11,0,2,1,2,3,20,-1
