Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
New York Knicks,,Rasheed Wallace,Brooklyn Nets,L,11/26/2012,22:40,2,11,0.182,2,6,0.333,0,0,0.0,2,6,8,1,1,0,0,0,6,-8
New York Knicks,,J.R. Smith,Brooklyn Nets,L,11/26/2012,41:28,2,7,0.286,0,3,0.0,1,2,0.5,1,6,7,2,0,0,1,3,5,-8
New York Knicks,,Pablo Prigioni,Brooklyn Nets,L,11/26/2012,10:45,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,1,0,1
New York Knicks,,Marcus Camby,Brooklyn Nets,L,11/26/2012,5:20,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,2,2,0,1
New York Knicks,,Steve Novak,Brooklyn Nets,L,11/26/2012,18:22,1,3,0.333,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,-4
New York Knicks,,James White,Brooklyn Nets,L,11/26/2012,2:06,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,-1
New York Knicks,,J.R. Smith,Miami Heat,W,11/02/2012,34:11,3,11,0.273,2,4,0.5,3,3,1.0,0,3,3,6,1,0,1,4,11,13
New York Knicks,,Pablo Prigioni,Miami Heat,W,11/02/2012,16:23,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,3,0,0,3,1,0,-3
New York Knicks,,Kurt Thomas,Miami Heat,W,11/02/2012,16:21,0,2,0.0,0,0,0.0,0,0,0.0,1,2,3,0,1,0,1,2,0,-1
New York Knicks,,Steve Novak,Miami Heat,W,11/02/2012,25:51,6,10,0.6,5,8,0.625,0,0,0.0,0,2,2,1,0,0,0,1,17,9
New York Knicks,,Rasheed Wallace,Miami Heat,W,11/02/2012,3:06,1,2,0.5,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,0,3,1
New York Knicks,,James White,Miami Heat,W,11/02/2012,1:58,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-2
New York Knicks,,Chris Copeland,Miami Heat,W,11/02/2012,1:58,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2
New York Knicks,,J.R. Smith,Philadelphia 76ers,W,11/04/2012,34:51,8,15,0.533,4,5,0.8,0,0,0.0,1,8,9,2,2,0,3,0,20,10
New York Knicks,,Kurt Thomas,Philadelphia 76ers,W,11/04/2012,18:10,2,4,0.5,0,0,0.0,1,1,1.0,1,4,5,2,0,1,0,1,5,5
New York Knicks,,Pablo Prigioni,Philadelphia 76ers,W,11/04/2012,15:23,1,4,0.25,0,1,0.0,0,0,0.0,0,0,0,4,2,0,2,1,2,9
New York Knicks,,Steve Novak,Philadelphia 76ers,W,11/04/2012,23:40,2,5,0.4,2,5,0.4,0,0,0.0,0,1,1,0,1,0,2,1,6,-4
New York Knicks,,Rasheed Wallace,Philadelphia 76ers,W,11/04/2012,3:40,1,1,1.0,0,0,0.0,1,2,0.5,0,2,2,1,1,0,0,0,3,5
New York Knicks,,James White,Philadelphia 76ers,W,11/04/2012,1:53,0,0,0.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,0,1,4
New York Knicks,,Chris Copeland,Philadelphia 76ers,W,11/04/2012,1:53,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,4
New York Knicks,,J.R. Smith,Philadelphia 76ers,W,11/05/2012,33:53,7,15,0.467,2,4,0.5,1,1,1.0,0,7,7,5,2,1,0,2,17,15
New York Knicks,,Kurt Thomas,Philadelphia 76ers,W,11/05/2012,6:03,0,2,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,5
New York Knicks,,Pablo Prigioni,Philadelphia 76ers,W,11/05/2012,24:46,3,5,0.6,1,3,0.333,4,4,1.0,1,0,1,6,2,0,2,4,11,10
New York Knicks,,Steve Novak,Philadelphia 76ers,W,11/05/2012,22:17,0,3,0.0,0,2,0.0,0,0,0.0,0,1,1,1,0,0,0,1,0,3
New York Knicks,,Rasheed Wallace,Philadelphia 76ers,W,11/05/2012,13:33,4,9,0.444,2,6,0.333,0,0,0.0,0,3,3,0,0,2,1,3,10,3
New York Knicks,,James White,Philadelphia 76ers,W,11/05/2012,3:25,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0
New York Knicks,,Chris Copeland,Philadelphia 76ers,W,11/05/2012,3:25,1,2,0.5,1,1,1.0,2,2,1.0,0,0,0,0,0,0,0,0,5,0
New York Knicks,,J.R. Smith,Dallas Mavericks,W,11/09/2012,32:56,8,16,0.5,3,3,1.0,3,3,1.0,0,1,1,0,4,1,0,3,22,3
New York Knicks,,Rasheed Wallace,Dallas Mavericks,W,11/09/2012,17:50,2,6,0.333,0,4,0.0,2,2,1.0,0,6,6,0,0,0,1,2,6,-4
New York Knicks,,Steve Novak,Dallas Mavericks,W,11/09/2012,15:57,2,6,0.333,1,4,0.25,0,0,0.0,0,2,2,1,0,0,1,1,5,-1
New York Knicks,,Pablo Prigioni,Dallas Mavericks,W,11/09/2012,10:20,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,1,0,-7
New York Knicks,,Marcus Camby,Dallas Mavericks,W,11/09/2012,8:02,0,0,0.0,0,0,0.0,2,2,1.0,1,3,4,0,0,0,0,0,2,-8
New York Knicks,,J.R. Smith,Orlando Magic,W,11/13/2012,32:02,9,14,0.643,2,2,1.0,1,2,0.5,1,3,4,3,2,0,1,2,21,9
New York Knicks,,Pablo Prigioni,Orlando Magic,W,11/13/2012,6:59,2,3,0.667,1,1,1.0,0,0,0.0,0,0,0,1,1,0,0,1,5,1
New York Knicks,,Steve Novak,Orlando Magic,W,11/13/2012,19:56,1,2,0.5,1,2,0.5,0,0,0.0,0,2,2,0,1,0,0,1,3,4
New York Knicks,,Rasheed Wallace,Orlando Magic,W,11/13/2012,14:27,2,7,0.286,0,5,0.0,0,0,0.0,1,3,4,0,1,1,0,1,4,0
New York Knicks,,Marcus Camby,Orlando Magic,W,11/13/2012,3:50,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
