Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
New York Knicks,F,Carmelo Anthony,Brooklyn Nets,L,11/26/2012,50:03,11,25,0.44,3,5,0.6,10,16,0.625,6,7,13,1,1,1,3,4,35,-6
New York Knicks,F,Kurt Thomas,Brooklyn Nets,L,11/26/2012,7:31,1,1,1.0,0,0,0.0,0,0,0.0,0,2,2,0,0,1,0,2,2,3
New York Knicks,C,Tyson Chandler,Brooklyn Nets,L,11/26/2012,45:22,12,13,0.923,0,0,0.0,4,4,1.0,7,3,10,1,2,0,3,5,28,-8
New York Knicks,G,Ronnie Brewer,Brooklyn Nets,L,11/26/2012,19:07,1,6,0.167,1,3,0.333,0,0,0.0,1,4,5,2,1,0,0,1,3,3
New York Knicks,G,Raymond Felton,Brooklyn Nets,L,11/26/2012,42:15,3,19,0.158,0,2,0.0,2,2,1.0,0,3,3,5,3,0,5,5,8,-8
New York Knicks,F,Carmelo Anthony,Miami Heat,W,11/02/2012,38:55,10,28,0.357,4,8,0.5,6,7,0.857,4,6,10,2,2,0,1,3,30,24
New York Knicks,F,Ronnie Brewer,Miami Heat,W,11/02/2012,20:21,3,7,0.429,1,2,0.5,0,0,0.0,1,4,5,3,1,0,0,1,7,8
New York Knicks,C,Tyson Chandler,Miami Heat,W,11/02/2012,24:43,5,5,1.0,0,0,0.0,0,0,0.0,6,2,8,0,0,0,2,5,10,14
New York Knicks,G,Raymond Felton,Miami Heat,W,11/02/2012,32:58,5,13,0.385,3,7,0.429,1,2,0.5,0,4,4,9,3,0,3,3,14,19
New York Knicks,G,Jason Kidd,Miami Heat,W,11/02/2012,23:15,3,5,0.6,3,5,0.6,3,3,1.0,1,3,4,3,2,0,1,1,12,20
New York Knicks,F,Carmelo Anthony,Philadelphia 76ers,W,11/04/2012,38:59,10,18,0.556,1,4,0.25,6,9,0.667,1,4,5,1,1,2,2,2,27,5
New York Knicks,F,Ronnie Brewer,Philadelphia 76ers,W,11/04/2012,25:48,4,9,0.444,1,3,0.333,0,2,0.0,2,3,5,1,1,0,1,1,9,12
New York Knicks,C,Tyson Chandler,Philadelphia 76ers,W,11/04/2012,20:39,1,2,0.5,0,0,0.0,0,0,0.0,2,5,7,0,0,2,0,1,2,7
New York Knicks,G,Raymond Felton,Philadelphia 76ers,W,11/04/2012,30:01,5,10,0.5,1,4,0.25,0,0,0.0,0,2,2,1,1,0,4,2,11,9
New York Knicks,G,Jason Kidd,Philadelphia 76ers,W,11/04/2012,25:03,4,8,0.5,2,5,0.4,2,2,1.0,1,2,3,6,3,0,0,1,12,14
New York Knicks,F,Ronnie Brewer,Philadelphia 76ers,W,11/05/2012,32:41,5,8,0.625,3,4,0.75,0,0,0.0,0,10,10,0,1,0,0,0,13,16
New York Knicks,F,Carmelo Anthony,Philadelphia 76ers,W,11/05/2012,30:26,7,16,0.438,1,6,0.167,6,6,1.0,2,5,7,2,0,1,2,2,21,20
New York Knicks,C,Tyson Chandler,Philadelphia 76ers,W,11/05/2012,28:18,5,9,0.556,0,0,0.0,4,4,1.0,4,2,6,0,0,1,0,3,14,14
New York Knicks,G,Raymond Felton,Philadelphia 76ers,W,11/05/2012,23:14,6,13,0.462,2,5,0.4,2,2,1.0,2,1,3,8,1,0,2,1,16,12
New York Knicks,G,Jason Kidd,Philadelphia 76ers,W,11/05/2012,17:59,1,1,1.0,1,1,1.0,0,0,0.0,0,4,4,2,1,0,0,0,3,12
New York Knicks,F,Carmelo Anthony,Dallas Mavericks,W,11/09/2012,34:28,10,22,0.455,2,5,0.4,9,14,0.643,0,7,7,1,0,2,3,5,31,10
New York Knicks,F,Ronnie Brewer,Dallas Mavericks,W,11/09/2012,37:13,4,10,0.4,2,4,0.5,3,5,0.6,4,4,8,2,2,1,0,2,13,19
New York Knicks,C,Tyson Chandler,Dallas Mavericks,W,11/09/2012,30:06,4,8,0.5,0,0,0.0,3,5,0.6,5,4,9,0,1,0,2,3,11,14
New York Knicks,G,Raymond Felton,Dallas Mavericks,W,11/09/2012,37:40,3,11,0.273,0,0,0.0,2,5,0.4,1,3,4,9,2,0,2,3,8,17
New York Knicks,G,Jason Kidd,Dallas Mavericks,W,11/09/2012,15:28,2,3,0.667,0,1,0.0,2,2,1.0,0,1,1,3,3,0,0,1,6,7
New York Knicks,F,Ronnie Brewer,Orlando Magic,W,11/13/2012,17:28,1,3,0.333,0,1,0.0,1,2,0.5,1,2,3,1,0,0,1,1,3,0
New York Knicks,F,Carmelo Anthony,Orlando Magic,W,11/13/2012,42:31,11,22,0.5,1,4,0.25,2,3,0.667,1,7,8,2,1,0,3,2,25,7
New York Knicks,C,Tyson Chandler,Orlando Magic,W,11/13/2012,33:27,4,6,0.667,0,0,0.0,4,4,1.0,1,5,6,1,2,0,1,3,12,19
New York Knicks,G,Raymond Felton,Orlando Magic,W,11/13/2012,37:27,9,23,0.391,3,7,0.429,0,0,0.0,1,2,3,5,1,0,2,2,21,4
New York Knicks,G,Jason Kidd,Orlando Magic,W,11/13/2012,31:53,2,4,0.5,1,2,0.5,0,0,0.0,0,1,1,2,2,0,1,1,5,6
New York Knicks,F,Ronnie Brewer,San Antonio Spurs,W,11/15/2012,18:25,4,8,0.5,1,3,0.333,0,2,0.0,1,2,3,1,1,0,0,0,9,6
New York Knicks,F,Carmelo Anthony,San Antonio Spurs,W,11/15/2012,40:31,3,12,0.25,0,2,0.0,3,4,0.75,5,7,12,3,0,0,2,3,9,-2
New York Knicks,C,Tyson Chandler,San Antonio Spurs,W,11/15/2012,33:06,4,8,0.5,0,0,0.0,5,7,0.714,3,9,12,0,0,1,1,4,13,8
New York Knicks,G,Raymond Felton,San Antonio Spurs,W,11/15/2012,34:50,10,20,0.5,2,4,0.5,3,5,0.6,1,2,3,7,0,0,2,2,25,1
New York Knicks,G,Jason Kidd,San Antonio Spurs,W,11/15/2012,33:50,5,9,0.556,4,7,0.571,0,0,0.0,0,1,1,2,2,3,2,2,14,2
New York Knicks,F,Ronnie Brewer,Memphis Grizzlies,L,11/16/2012,21:15,3,5,0.6,0,1,0.0,0,0,0.0,0,0,0,1,1,0,0,1,6,-9
New York Knicks,F,Carmelo Anthony,Memphis Grizzlies,L,11/16/2012,30:24,7,14,0.5,1,2,0.5,5,5,1.0,1,2,3,1,1,0,5,5,20,2
New York Knicks,C,Tyson Chandler,Memphis Grizzlies,L,11/16/2012,28:04,3,4,0.75,0,0,0.0,1,2,0.5,3,4,7,0,1,0,1,5,7,-9
New York Knicks,G,Raymond Felton,Memphis Grizzlies,L,11/16/2012,35:57,8,16,0.5,0,3,0.0,2,2,1.0,1,2,3,5,2,0,3,1,18,-21
