Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Oklahoma City Thunder,,Nick Collison,San Antonio Spurs,L,11/01/2012,20:01,2,6,0.333,0,0,0.0,2,2,1.0,1,0,1,0,1,1,2,2,6,4
Oklahoma City Thunder,,Kevin Martin,San Antonio Spurs,L,11/01/2012,32:31,4,10,0.4,3,6,0.5,4,4,1.0,1,1,2,5,1,0,1,2,15,6
Oklahoma City Thunder,,Hasheem Thabeet,San Antonio Spurs,L,11/01/2012,12:09,0,0,0.0,0,0,0.0,1,2,0.5,1,1,2,0,2,1,1,2,1,-2
Oklahoma City Thunder,,Eric Maynor,San Antonio Spurs,L,11/01/2012,10:33,3,6,0.5,1,2,0.5,0,0,0.0,0,3,3,0,0,0,1,0,7,-4
Oklahoma City Thunder,,Reggie Jackson,San Antonio Spurs,L,11/01/2012,0:21,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Oklahoma City Thunder,,Nick Collison,Portland Trail Blazers,W,11/02/2012,27:38,5,6,0.833,0,0,0.0,2,2,1.0,0,5,5,2,1,1,1,5,12,11
Oklahoma City Thunder,,Kevin Martin,Portland Trail Blazers,W,11/02/2012,28:48,5,11,0.455,3,3,1.0,6,6,1.0,1,2,3,2,1,1,0,2,19,10
Oklahoma City Thunder,,Hasheem Thabeet,Portland Trail Blazers,W,11/02/2012,17:31,2,2,1.0,0,0,0.0,0,1,0.0,1,3,4,0,0,2,1,6,4,13
Oklahoma City Thunder,,Eric Maynor,Portland Trail Blazers,W,11/02/2012,15:30,1,1,1.0,0,0,0.0,0,1,0.0,0,0,0,0,0,0,1,1,2,12
Oklahoma City Thunder,,Perry Jones,Portland Trail Blazers,W,11/02/2012,5:19,1,1,1.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,0,2,1
Oklahoma City Thunder,,Jeremy Lamb,Portland Trail Blazers,W,11/02/2012,1:08,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,3,3
Oklahoma City Thunder,,Kevin Martin,Atlanta Hawks,L,11/04/2012,29:41,8,11,0.727,6,8,0.75,6,6,1.0,0,1,1,0,1,0,4,2,28,-3
Oklahoma City Thunder,,Nick Collison,Atlanta Hawks,L,11/04/2012,18:03,2,3,0.667,0,0,0.0,0,0,0.0,0,2,2,1,0,1,3,2,4,-6
Oklahoma City Thunder,,Eric Maynor,Atlanta Hawks,L,11/04/2012,11:51,0,4,0.0,0,2,0.0,0,0,0.0,0,0,0,3,0,0,1,0,0,-4
Oklahoma City Thunder,,Hasheem Thabeet,Atlanta Hawks,L,11/04/2012,6:25,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,1,0,2,0,-4
Oklahoma City Thunder,,Reggie Jackson,Atlanta Hawks,L,11/04/2012,4:40,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
Oklahoma City Thunder,,Hasheem Thabeet,Toronto Raptors,W,11/06/2012,22:36,2,2,1.0,0,0,0.0,6,6,1.0,1,4,5,0,1,2,1,6,10,8
Oklahoma City Thunder,,Kevin Martin,Toronto Raptors,W,11/06/2012,21:55,4,9,0.444,1,4,0.25,6,7,0.857,0,3,3,2,2,0,4,2,15,12
Oklahoma City Thunder,,Eric Maynor,Toronto Raptors,W,11/06/2012,20:01,3,9,0.333,0,3,0.0,3,4,0.75,0,0,0,2,1,0,3,0,9,-3
Oklahoma City Thunder,,Nick Collison,Toronto Raptors,W,11/06/2012,13:29,1,3,0.333,0,0,0.0,0,2,0.0,1,3,4,1,0,0,0,3,2,4
Oklahoma City Thunder,,Perry Jones,Toronto Raptors,W,11/06/2012,18:02,0,3,0.0,0,0,0.0,0,0,0.0,0,3,3,1,1,0,1,2,0,-1
Oklahoma City Thunder,,Reggie Jackson,Toronto Raptors,W,11/06/2012,6:24,1,4,0.25,1,2,0.5,0,0,0.0,1,1,2,0,0,0,0,0,3,-3
Oklahoma City Thunder,,Jeremy Lamb,Toronto Raptors,W,11/06/2012,5:55,1,3,0.333,1,3,0.333,0,0,0.0,0,1,1,1,0,0,0,0,3,-3
Oklahoma City Thunder,,DeAndre Liggins,Toronto Raptors,W,11/06/2012,3:09,0,0,0.0,0,0,0.0,0,0,0.0,1,2,3,0,0,0,0,0,0,-2
Oklahoma City Thunder,,Kevin Martin,Chicago Bulls,W,11/08/2012,30:50,3,5,0.6,1,1,1.0,8,9,0.889,0,6,6,2,1,0,2,4,15,10
Oklahoma City Thunder,,Nick Collison,Chicago Bulls,W,11/08/2012,17:00,2,2,1.0,0,0,0.0,0,0,0.0,1,2,3,2,1,1,3,3,4,15
Oklahoma City Thunder,,Eric Maynor,Chicago Bulls,W,11/08/2012,12:26,2,4,0.5,1,1,1.0,5,5,1.0,0,0,0,3,0,0,1,1,10,10
Oklahoma City Thunder,,Hasheem Thabeet,Chicago Bulls,W,11/08/2012,9:39,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,2,1,0,5
Oklahoma City Thunder,,Kevin Martin,Detroit Pistons,W,11/09/2012,32:51,5,14,0.357,2,9,0.222,4,5,0.8,0,1,1,2,3,1,3,4,16,3
Oklahoma City Thunder,,Nick Collison,Detroit Pistons,W,11/09/2012,19:29,1,1,1.0,0,0,0.0,1,2,0.5,2,2,4,1,1,0,2,5,3,7
Oklahoma City Thunder,,Eric Maynor,Detroit Pistons,W,11/09/2012,17:39,5,6,0.833,3,3,1.0,0,0,0.0,0,0,0,3,1,0,0,0,13,14
Oklahoma City Thunder,,Reggie Jackson,Detroit Pistons,W,11/09/2012,6:12,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,9
Oklahoma City Thunder,,Perry Jones,Detroit Pistons,W,11/09/2012,4:50,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,6
Oklahoma City Thunder,,Kevin Martin,Cleveland Cavaliers,W,11/11/2012,30:03,6,9,0.667,1,1,1.0,3,3,1.0,0,5,5,3,2,0,1,2,16,25
Oklahoma City Thunder,,Eric Maynor,Cleveland Cavaliers,W,11/11/2012,12:57,0,4,0.0,0,2,0.0,0,0,0.0,0,0,0,2,0,0,1,0,0,10
Oklahoma City Thunder,,Nick Collison,Cleveland Cavaliers,W,11/11/2012,19:28,2,2,1.0,0,0,0.0,0,0,0.0,0,4,4,0,0,0,1,3,4,14
Oklahoma City Thunder,,Perry Jones,Cleveland Cavaliers,W,11/11/2012,5:39,0,3,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,2,2,0,-3
Oklahoma City Thunder,,DeAndre Liggins,Cleveland Cavaliers,W,11/11/2012,2:02,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,1,0,-4
Oklahoma City Thunder,,Daniel Orton,Cleveland Cavaliers,W,11/11/2012,2:02,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,2,-4
Oklahoma City Thunder,,Jeremy Lamb,Cleveland Cavaliers,W,11/11/2012,2:02,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4
Oklahoma City Thunder,,Reggie Jackson,Cleveland Cavaliers,W,11/11/2012,2:02,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,-4
Oklahoma City Thunder,,Nick Collison,Detroit Pistons,W,11/12/2012,16:23,1,2,0.5,0,0,0.0,0,0,0.0,2,2,4,1,0,1,1,5,2,-7
Oklahoma City Thunder,,Kevin Martin,Detroit Pistons,W,11/12/2012,28:42,2,8,0.25,1,4,0.25,8,8,1.0,0,1,1,0,2,0,0,1,13,10
Oklahoma City Thunder,,Eric Maynor,Detroit Pistons,W,11/12/2012,7:15,1,3,0.333,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-5
Oklahoma City Thunder,,Hasheem Thabeet,Detroit Pistons,W,11/12/2012,3:34,0,0,0.0,0,0,0.0,2,2,1.0,0,1,1,0,0,0,1,1,2,-3
Oklahoma City Thunder,,Jeremy Lamb,Detroit Pistons,W,11/12/2012,2:56,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,2,0,-5
Oklahoma City Thunder,,Nick Collison,Memphis Grizzlies,L,11/14/2012,14:47,2,5,0.4,0,0,0.0,0,0,0.0,3,2,5,0,0,0,1,6,4,-4
Oklahoma City Thunder,,Kevin Martin,Memphis Grizzlies,L,11/14/2012,32:49,1,4,0.25,1,2,0.5,4,4,1.0,0,3,3,0,0,0,0,1,7,-13
Oklahoma City Thunder,,Eric Maynor,Memphis Grizzlies,L,11/14/2012,9:49,0,3,0.0,0,1,0.0,2,2,1.0,0,0,0,1,0,0,0,0,2,-4
Oklahoma City Thunder,,Hasheem Thabeet,Memphis Grizzlies,L,11/14/2012,6:00,0,1,0.0,0,0,0.0,0,0,0.0,2,1,3,1,0,0,0,1,0,-4
Oklahoma City Thunder,,Kevin Martin,New Orleans Hornets,W,11/16/2012,26:33,9,17,0.529,6,11,0.545,3,3,1.0,0,5,5,4,0,0,1,0,27,15
Oklahoma City Thunder,,Nick Collison,New Orleans Hornets,W,11/16/2012,20:31,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,2,1,0,2,2,2,15
Oklahoma City Thunder,,Eric Maynor,New Orleans Hornets,W,11/16/2012,14:09,1,3,0.333,1,2,0.5,0,0,0.0,0,0,0,2,0,0,1,2,3,3
Oklahoma City Thunder,,Hasheem Thabeet,New Orleans Hornets,W,11/16/2012,21:32,1,2,0.5,0,0,0.0,1,2,0.5,3,6,9,0,1,2,3,5,3,-1
Oklahoma City Thunder,,Perry Jones,New Orleans Hornets,W,11/16/2012,12:00,2,4,0.5,0,0,0.0,0,0,0.0,0,2,2,2,0,0,1,1,4,-12
Oklahoma City Thunder,,Reggie Jackson,New Orleans Hornets,W,11/16/2012,6:43,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,3,2,-9
Oklahoma City Thunder,,Jeremy Lamb,New Orleans Hornets,W,11/16/2012,5:49,1,4,0.25,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-6
Oklahoma City Thunder,,DeAndre Liggins,New Orleans Hornets,W,11/16/2012,3:56,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-6
Oklahoma City Thunder,,Kevin Martin,Golden State Warriors,W,11/18/2012,31:25,8,15,0.533,5,7,0.714,2,2,1.0,0,2,2,5,0,0,2,3,23,5
Oklahoma City Thunder,,Nick Collison,Golden State Warriors,W,11/18/2012,20:11,0,1,0.0,0,0,0.0,1,2,0.5,1,1,2,3,0,0,0,2,1,-5
Oklahoma City Thunder,,Hasheem Thabeet,Golden State Warriors,W,11/18/2012,13:20,2,2,1.0,0,0,0.0,2,2,1.0,1,1,2,0,2,0,0,2,6,-11
Oklahoma City Thunder,,Eric Maynor,Golden State Warriors,W,11/18/2012,10:00,2,5,0.4,2,3,0.667,2,2,1.0,0,0,0,2,0,0,0,1,8,-7
Oklahoma City Thunder,,Reggie Jackson,Golden State Warriors,W,11/18/2012,1:47,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,2,-3
Oklahoma City Thunder,,Jeremy Lamb,Golden State Warriors,W,11/18/2012,1:47,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,0,0,-3
Oklahoma City Thunder,,DeAndre Liggins,Golden State Warriors,W,11/18/2012,1:47,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,-3
Oklahoma City Thunder,,Perry Jones,Golden State Warriors,W,11/18/2012,1:47,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-3
Oklahoma City Thunder,,Kevin Martin,Los Angeles Clippers,W,11/21/2012,34:45,6,10,0.6,3,5,0.6,5,5,1.0,0,2,2,0,2,0,3,1,20,5
Oklahoma City Thunder,,Nick Collison,Los Angeles Clippers,W,11/21/2012,18:44,4,7,0.571,0,0,0.0,0,0,0.0,3,2,5,2,1,0,0,3,8,2
Oklahoma City Thunder,,Hasheem Thabeet,Los Angeles Clippers,W,11/21/2012,12:01,4,4,1.0,0,0,0.0,2,3,0.667,2,2,4,0,0,0,1,4,10,-1
Oklahoma City Thunder,,Eric Maynor,Los Angeles Clippers,W,11/21/2012,11:07,0,3,0.0,0,1,0.0,0,0,0.0,1,1,2,2,0,0,1,1,0,0
Oklahoma City Thunder,,Kevin Martin,Boston Celtics,L,11/23/2012,31:42,1,7,0.143,0,2,0.0,1,2,0.5,0,0,0,0,1,0,3,2,3,-15
Oklahoma City Thunder,,Nick Collison,Boston Celtics,L,11/23/2012,17:46,3,5,0.6,0,0,0.0,2,4,0.5,2,2,4,1,0,0,0,3,8,-6
Oklahoma City Thunder,,Eric Maynor,Boston Celtics,L,11/23/2012,11:57,1,5,0.2,0,4,0.0,0,0,0.0,0,1,1,4,0,0,2,0,2,-11
Oklahoma City Thunder,,Hasheem Thabeet,Boston Celtics,L,11/23/2012,6:47,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,1,1,1,1,0,-15
Oklahoma City Thunder,,Kevin Martin,Philadelphia 76ers,W,11/24/2012,37:23,2,9,0.222,1,5,0.2,1,1,1.0,0,4,4,0,2,0,1,2,6,11
Oklahoma City Thunder,,Nick Collison,Philadelphia 76ers,W,11/24/2012,21:17,5,6,0.833,0,0,0.0,4,4,1.0,3,2,5,0,0,0,1,2,14,5
Oklahoma City Thunder,,Hasheem Thabeet,Philadelphia 76ers,W,11/24/2012,8:30,0,1,0.0,0,0,0.0,2,2,1.0,1,2,3,0,1,0,0,2,2,5
Oklahoma City Thunder,,Eric Maynor,Philadelphia 76ers,W,11/24/2012,11:09,0,4,0.0,0,0,0.0,0,0,0.0,1,0,1,2,0,0,0,1,0,-1
Oklahoma City Thunder,,Kevin Martin,Charlotte Bobcats,W,11/26/2012,19:43,3,8,0.375,2,5,0.4,4,4,1.0,0,0,0,0,0,0,1,1,12,12
Oklahoma City Thunder,,Nick Collison,Charlotte Bobcats,W,11/26/2012,9:56,3,3,1.0,0,0,0.0,0,1,0.0,1,3,4,1,0,0,0,1,6,19
Oklahoma City Thunder,,Hasheem Thabeet,Charlotte Bobcats,W,11/26/2012,26:56,5,6,0.833,0,0,0.0,3,3,1.0,3,7,10,0,0,1,1,4,13,8
Oklahoma City Thunder,,Eric Maynor,Charlotte Bobcats,W,11/26/2012,27:14,2,8,0.25,2,4,0.5,1,2,0.5,1,2,3,6,0,0,2,2,7,6
