Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Oklahoma City Thunder,F,Serge Ibaka,San Antonio Spurs,L,11/01/2012,31:02,2,7,0.286,0,1,0.0,0,0,0.0,1,8,9,0,0,2,1,5,4,-8
Oklahoma City Thunder,F,Kevin Durant,San Antonio Spurs,L,11/01/2012,40:39,9,18,0.5,1,2,0.5,4,5,0.8,2,12,14,5,2,0,4,1,23,2
Oklahoma City Thunder,C,Kendrick Perkins,San Antonio Spurs,L,11/01/2012,27:59,1,2,0.5,0,0,0.0,0,0,0.0,3,3,6,2,0,1,1,4,2,-6
Oklahoma City Thunder,G,Thabo Sefolosha,San Antonio Spurs,L,11/01/2012,27:18,2,7,0.286,2,3,0.667,2,2,1.0,0,3,3,1,0,0,1,1,8,-4
Oklahoma City Thunder,G,Russell Westbrook,San Antonio Spurs,L,11/01/2012,37:27,6,21,0.286,0,3,0.0,6,8,0.75,3,5,8,5,0,0,6,3,18,2
Oklahoma City Thunder,F,Kevin Durant,Portland Trail Blazers,W,11/02/2012,42:41,7,14,0.5,1,3,0.333,8,12,0.667,2,15,17,7,0,2,6,1,23,13
Oklahoma City Thunder,F,Serge Ibaka,Portland Trail Blazers,W,11/02/2012,26:40,3,11,0.273,0,0,0.0,1,2,0.5,1,4,5,0,0,2,1,4,7,3
Oklahoma City Thunder,C,Kendrick Perkins,Portland Trail Blazers,W,11/02/2012,21:12,0,2,0.0,0,0,0.0,0,0,0.0,1,2,3,0,0,1,1,0,0,-4
Oklahoma City Thunder,G,Thabo Sefolosha,Portland Trail Blazers,W,11/02/2012,18:16,1,3,0.333,0,0,0.0,0,0,0.0,1,2,3,0,0,1,0,2,2,1
Oklahoma City Thunder,G,Russell Westbrook,Portland Trail Blazers,W,11/02/2012,35:17,13,24,0.542,0,2,0.0,6,8,0.75,1,4,5,6,0,0,1,1,32,7
Oklahoma City Thunder,F,Kevin Durant,Atlanta Hawks,L,11/04/2012,42:05,7,17,0.412,1,4,0.25,7,8,0.875,1,11,12,8,3,2,6,3,22,-8
Oklahoma City Thunder,F,Serge Ibaka,Atlanta Hawks,L,11/04/2012,36:39,6,9,0.667,0,1,0.0,2,2,1.0,2,3,5,0,0,3,1,3,14,-4
Oklahoma City Thunder,C,Kendrick Perkins,Atlanta Hawks,L,11/04/2012,29:57,3,5,0.6,0,0,0.0,3,4,0.75,0,5,5,1,0,1,2,3,9,-3
Oklahoma City Thunder,G,Thabo Sefolosha,Atlanta Hawks,L,11/04/2012,24:30,2,3,0.667,0,0,0.0,0,0,0.0,2,4,6,5,0,1,0,2,4,-9
Oklahoma City Thunder,G,Russell Westbrook,Atlanta Hawks,L,11/04/2012,36:09,5,18,0.278,2,6,0.333,2,2,1.0,1,4,5,9,0,0,3,4,14,-5
Oklahoma City Thunder,F,Kevin Durant,Toronto Raptors,W,11/06/2012,29:09,4,11,0.364,1,4,0.25,6,6,1.0,0,6,6,3,2,0,4,3,15,23
Oklahoma City Thunder,F,Serge Ibaka,Toronto Raptors,W,11/06/2012,23:18,8,9,0.889,0,0,0.0,1,1,1.0,0,4,4,2,1,2,2,1,17,14
Oklahoma City Thunder,C,Kendrick Perkins,Toronto Raptors,W,11/06/2012,22:15,2,3,0.667,0,0,0.0,0,0,0.0,3,6,9,2,0,2,0,3,4,14
Oklahoma City Thunder,G,Thabo Sefolosha,Toronto Raptors,W,11/06/2012,24:59,4,6,0.667,3,5,0.6,0,0,0.0,0,5,5,2,1,2,1,0,11,16
Oklahoma City Thunder,G,Russell Westbrook,Toronto Raptors,W,11/06/2012,28:48,5,12,0.417,2,4,0.5,7,8,0.875,0,1,1,8,1,1,1,2,19,21
Oklahoma City Thunder,F,Kevin Durant,Chicago Bulls,W,11/08/2012,38:23,11,19,0.579,0,2,0.0,2,2,1.0,1,3,4,1,3,3,6,1,24,-3
Oklahoma City Thunder,F,Serge Ibaka,Chicago Bulls,W,11/08/2012,36:52,8,15,0.533,1,1,1.0,4,4,1.0,4,5,9,0,1,4,3,3,21,-2
Oklahoma City Thunder,C,Kendrick Perkins,Chicago Bulls,W,11/08/2012,20:16,0,0,0.0,0,0,0.0,0,0,0.0,1,4,5,0,1,0,2,1,0,-14
Oklahoma City Thunder,G,Thabo Sefolosha,Chicago Bulls,W,11/08/2012,39:00,3,6,0.5,1,1,1.0,0,0,0.0,0,7,7,3,2,0,1,1,7,13
Oklahoma City Thunder,G,Russell Westbrook,Chicago Bulls,W,11/08/2012,35:34,7,22,0.318,1,7,0.143,1,1,1.0,1,1,2,12,1,0,2,4,16,-4
Oklahoma City Thunder,F,Kevin Durant,Detroit Pistons,W,11/09/2012,38:00,9,16,0.563,2,2,1.0,5,5,1.0,1,12,13,2,1,0,3,1,25,7
Oklahoma City Thunder,F,Serge Ibaka,Detroit Pistons,W,11/09/2012,35:26,9,13,0.692,0,2,0.0,7,8,0.875,2,5,7,0,0,3,2,5,25,3
Oklahoma City Thunder,C,Kendrick Perkins,Detroit Pistons,W,11/09/2012,29:23,4,7,0.571,0,0,0.0,1,2,0.5,1,3,4,6,1,0,1,3,9,0
Oklahoma City Thunder,G,Thabo Sefolosha,Detroit Pistons,W,11/09/2012,25:13,2,3,0.667,0,1,0.0,0,0,0.0,0,4,4,1,0,0,2,5,4,10
Oklahoma City Thunder,G,Russell Westbrook,Detroit Pistons,W,11/09/2012,30:57,3,10,0.3,1,2,0.5,3,4,0.75,2,2,4,6,1,0,3,2,10,-4
Oklahoma City Thunder,F,Kevin Durant,Cleveland Cavaliers,W,11/11/2012,35:46,9,16,0.563,1,2,0.5,7,8,0.875,0,8,8,2,0,1,2,1,26,16
Oklahoma City Thunder,F,Serge Ibaka,Cleveland Cavaliers,W,11/11/2012,33:54,5,11,0.455,0,2,0.0,4,4,1.0,0,7,7,0,0,7,2,3,14,20
Oklahoma City Thunder,C,Kendrick Perkins,Cleveland Cavaliers,W,11/11/2012,25:19,4,4,1.0,0,0,0.0,2,3,0.667,2,3,5,1,0,0,1,3,10,4
Oklahoma City Thunder,G,Thabo Sefolosha,Cleveland Cavaliers,W,11/11/2012,29:10,3,6,0.5,1,2,0.5,0,0,0.0,1,2,3,1,1,1,2,2,7,-6
Oklahoma City Thunder,G,Russell Westbrook,Cleveland Cavaliers,W,11/11/2012,39:36,10,16,0.625,4,6,0.667,3,4,0.75,1,5,6,10,4,0,8,5,27,11
Oklahoma City Thunder,F,Kevin Durant,Detroit Pistons,W,11/12/2012,43:49,8,22,0.364,0,2,0.0,10,10,1.0,0,9,9,3,0,4,2,1,26,8
Oklahoma City Thunder,F,Serge Ibaka,Detroit Pistons,W,11/12/2012,38:15,4,9,0.444,0,0,0.0,3,3,1.0,3,4,7,0,0,6,3,4,11,-1
Oklahoma City Thunder,C,Kendrick Perkins,Detroit Pistons,W,11/12/2012,21:16,0,2,0.0,0,0,0.0,1,2,0.5,0,4,4,0,0,1,1,1,1,-6
Oklahoma City Thunder,G,Thabo Sefolosha,Detroit Pistons,W,11/12/2012,34:03,0,2,0.0,0,1,0.0,2,2,1.0,0,8,8,2,2,0,3,4,2,10
Oklahoma City Thunder,G,Russell Westbrook,Detroit Pistons,W,11/12/2012,43:47,11,25,0.44,0,3,0.0,11,15,0.733,4,6,10,4,3,0,2,1,33,9
Oklahoma City Thunder,F,Kevin Durant,Memphis Grizzlies,L,11/14/2012,44:05,12,21,0.571,1,1,1.0,9,9,1.0,0,10,10,5,3,2,5,1,34,-5
Oklahoma City Thunder,F,Serge Ibaka,Memphis Grizzlies,L,11/14/2012,39:27,7,10,0.7,0,1,0.0,3,4,0.75,2,6,8,0,1,4,2,2,17,-4
Oklahoma City Thunder,C,Kendrick Perkins,Memphis Grizzlies,L,11/14/2012,29:54,4,5,0.8,0,0,0.0,0,2,0.0,0,2,2,3,0,0,2,5,8,-2
Oklahoma City Thunder,G,Thabo Sefolosha,Memphis Grizzlies,L,11/14/2012,20:38,3,4,0.75,2,2,1.0,0,0,0.0,1,2,3,0,0,0,3,0,8,-7
Oklahoma City Thunder,G,Russell Westbrook,Memphis Grizzlies,L,11/14/2012,42:31,6,19,0.316,2,6,0.333,3,5,0.6,2,4,6,13,2,0,2,3,17,-7
Oklahoma City Thunder,F,Kevin Durant,New Orleans Hornets,W,11/16/2012,32:30,9,12,0.75,4,5,0.8,5,6,0.833,2,7,9,5,2,1,2,0,27,21
Oklahoma City Thunder,F,Serge Ibaka,New Orleans Hornets,W,11/16/2012,26:28,7,9,0.778,0,0,0.0,1,1,1.0,0,4,4,0,0,3,0,2,15,16
Oklahoma City Thunder,C,Kendrick Perkins,New Orleans Hornets,W,11/16/2012,20:46,2,4,0.5,0,0,0.0,0,0,0.0,0,1,1,1,1,1,0,3,4,9
Oklahoma City Thunder,G,Thabo Sefolosha,New Orleans Hornets,W,11/16/2012,21:01,3,6,0.5,3,6,0.5,2,2,1.0,1,2,3,2,1,0,1,2,11,12
Oklahoma City Thunder,G,Russell Westbrook,New Orleans Hornets,W,11/16/2012,28:02,3,11,0.273,0,4,0.0,4,6,0.667,1,1,2,12,1,0,2,4,10,18
Oklahoma City Thunder,F,Kevin Durant,Golden State Warriors,W,11/18/2012,38:49,8,16,0.5,3,5,0.6,6,7,0.857,0,13,13,10,2,0,2,0,25,25
Oklahoma City Thunder,F,Serge Ibaka,Golden State Warriors,W,11/18/2012,32:16,7,14,0.5,0,0,0.0,2,2,1.0,3,5,8,0,0,2,2,3,16,16
Oklahoma City Thunder,C,Kendrick Perkins,Golden State Warriors,W,11/18/2012,26:02,0,2,0.0,0,0,0.0,3,4,0.75,3,4,7,1,0,1,1,1,3,18
Oklahoma City Thunder,G,Thabo Sefolosha,Golden State Warriors,W,11/18/2012,24:36,2,4,0.5,1,3,0.333,0,0,0.0,0,2,2,3,0,0,0,1,5,1
Oklahoma City Thunder,G,Russell Westbrook,Golden State Warriors,W,11/18/2012,36:13,12,22,0.545,2,2,1.0,4,5,0.8,1,1,2,7,5,0,1,0,30,20
Oklahoma City Thunder,F,Kevin Durant,Los Angeles Clippers,W,11/21/2012,47:17,7,19,0.368,2,6,0.333,19,21,0.905,0,6,6,5,5,0,6,1,35,9
Oklahoma City Thunder,F,Serge Ibaka,Los Angeles Clippers,W,11/21/2012,36:03,5,9,0.556,1,1,1.0,4,4,1.0,3,9,12,1,1,3,3,6,15,4
Oklahoma City Thunder,C,Kendrick Perkins,Los Angeles Clippers,W,11/21/2012,33:22,0,1,0.0,0,0,0.0,0,0,0.0,1,3,4,1,1,2,2,3,0,7
Oklahoma City Thunder,G,Thabo Sefolosha,Los Angeles Clippers,W,11/21/2012,29:30,2,6,0.333,2,5,0.4,0,0,0.0,1,5,6,0,2,0,0,2,6,-4
Oklahoma City Thunder,G,Russell Westbrook,Los Angeles Clippers,W,11/21/2012,42:11,8,20,0.4,3,5,0.6,4,6,0.667,1,2,3,9,0,0,3,3,23,8
Oklahoma City Thunder,F,Kevin Durant,Boston Celtics,L,11/23/2012,37:02,9,20,0.45,3,7,0.429,8,8,1.0,0,3,3,2,1,1,3,3,29,4
Oklahoma City Thunder,F,Serge Ibaka,Boston Celtics,L,11/23/2012,33:56,7,11,0.636,0,1,0.0,3,4,0.75,4,9,13,1,0,2,2,2,17,-1
Oklahoma City Thunder,C,Kendrick Perkins,Boston Celtics,L,11/23/2012,29:52,2,4,0.5,0,0,0.0,1,1,1.0,1,8,9,2,1,2,0,3,5,6
Oklahoma City Thunder,G,Thabo Sefolosha,Boston Celtics,L,11/23/2012,32:52,4,6,0.667,1,3,0.333,1,1,1.0,0,2,2,4,0,0,0,5,10,-9
Oklahoma City Thunder,G,Russell Westbrook,Boston Celtics,L,11/23/2012,38:07,10,21,0.476,2,7,0.286,4,4,1.0,0,7,7,8,2,1,5,4,26,7
Oklahoma City Thunder,F,Kevin Durant,Philadelphia 76ers,W,11/24/2012,49:36,10,22,0.455,2,6,0.333,15,17,0.882,1,7,8,5,4,3,2,3,37,0
Oklahoma City Thunder,F,Serge Ibaka,Philadelphia 76ers,W,11/24/2012,36:43,8,12,0.667,0,0,0.0,2,3,0.667,8,1,9,2,0,0,1,3,18,8
Oklahoma City Thunder,C,Kendrick Perkins,Philadelphia 76ers,W,11/24/2012,20:24,1,4,0.25,0,0,0.0,1,2,0.5,1,1,2,0,1,0,0,3,3,-3
Oklahoma City Thunder,G,Thabo Sefolosha,Philadelphia 76ers,W,11/24/2012,38:07,2,7,0.286,1,5,0.2,1,2,0.5,2,3,5,3,1,1,4,2,6,2
Oklahoma City Thunder,G,Russell Westbrook,Philadelphia 76ers,W,11/24/2012,41:51,11,23,0.478,2,5,0.4,6,6,1.0,1,4,5,9,2,1,3,2,30,8
Oklahoma City Thunder,F,Kevin Durant,Charlotte Bobcats,W,11/26/2012,26:28,6,8,0.75,2,4,0.5,4,4,1.0,1,5,6,4,0,4,2,2,18,44
Oklahoma City Thunder,F,Serge Ibaka,Charlotte Bobcats,W,11/26/2012,17:54,3,6,0.5,0,0,0.0,0,0,0.0,1,6,7,0,0,1,1,2,6,33
Oklahoma City Thunder,C,Kendrick Perkins,Charlotte Bobcats,W,11/26/2012,19:06,4,5,0.8,0,0,0.0,0,0,0.0,1,8,9,2,0,0,2,2,8,35
Oklahoma City Thunder,G,Thabo Sefolosha,Charlotte Bobcats,W,11/26/2012,21:03,4,9,0.444,4,8,0.5,2,2,1.0,1,3,4,3,1,0,0,0,14,45
Oklahoma City Thunder,G,Russell Westbrook,Charlotte Bobcats,W,11/26/2012,21:44,4,8,0.5,0,2,0.0,4,4,1.0,0,2,2,11,2,0,2,2,12,41
Oklahoma City Thunder,F,Kevin Durant,Houston Rockets,W,11/28/2012,42:50,13,22,0.591,2,4,0.5,9,10,0.9,2,5,7,4,0,1,3,3,37,16
Oklahoma City Thunder,F,Serge Ibaka,Houston Rockets,W,11/28/2012,29:25,11,13,0.846,1,1,1.0,0,0,0.0,5,4,9,0,0,6,0,4,23,4
Oklahoma City Thunder,C,Kendrick Perkins,Houston Rockets,W,11/28/2012,22:50,2,4,0.5,0,0,0.0,0,1,0.0,1,3,4,2,2,1,1,2,4,-6
Oklahoma City Thunder,G,Thabo Sefolosha,Houston Rockets,W,11/28/2012,33:03,3,6,0.5,1,3,0.333,2,2,1.0,1,6,7,1,1,0,1,4,9,8
Oklahoma City Thunder,G,Russell Westbrook,Houston Rockets,W,11/28/2012,36:11,6,15,0.4,0,3,0.0,2,5,0.4,1,4,5,9,3,1,5,2,14,7
