Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Philadelphia 76ers,,Spencer Hawes,Denver Nuggets,W,10/31/2012,31:02,6,11,0.545,2,3,0.667,2,2,1.0,3,9,12,2,2,5,3,1,16,10
Philadelphia 76ers,,Dorell Wright,Denver Nuggets,W,10/31/2012,27:38,3,12,0.25,2,8,0.25,6,6,1.0,2,5,7,0,2,1,2,1,14,-1
Philadelphia 76ers,,Nick Young,Denver Nuggets,W,10/31/2012,18:41,3,9,0.333,1,3,0.333,2,2,1.0,0,3,3,0,1,0,1,0,9,-6
Philadelphia 76ers,,Maalik Wayns,Denver Nuggets,W,10/31/2012,2:31,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,0
Philadelphia 76ers,,Damien Wilkins,Denver Nuggets,W,10/31/2012,0:20,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Philadelphia 76ers,,Nick Young,New York Knicks,L,11/04/2012,31:48,2,10,0.2,1,3,0.333,0,0,0.0,0,2,2,0,0,0,1,3,5,-29
Philadelphia 76ers,,Dorell Wright,New York Knicks,L,11/04/2012,33:01,5,11,0.455,1,5,0.2,0,1,0.0,1,8,9,0,2,1,5,0,11,-7
Philadelphia 76ers,,Spencer Hawes,New York Knicks,L,11/04/2012,15:10,4,6,0.667,0,0,0.0,0,0,0.0,0,5,5,2,0,0,0,4,8,-8
Philadelphia 76ers,,Maalik Wayns,New York Knicks,L,11/04/2012,10:34,0,5,0.0,0,1,0.0,0,0,0.0,0,0,0,2,0,0,0,1,0,-13
Philadelphia 76ers,,Royal Ivey,New York Knicks,L,11/04/2012,8:43,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,1,0,0,-2
Philadelphia 76ers,,Spencer Hawes,New York Knicks,L,11/05/2012,21:27,1,4,0.25,0,0,0.0,0,2,0.0,3,4,7,2,0,0,1,2,2,-20
Philadelphia 76ers,,Nick Young,New York Knicks,L,11/05/2012,28:46,4,15,0.267,2,7,0.286,2,2,1.0,0,1,1,1,0,0,2,0,12,-10
Philadelphia 76ers,,Royal Ivey,New York Knicks,L,11/05/2012,18:37,1,4,0.25,1,2,0.5,2,2,1.0,3,3,6,0,0,0,0,1,5,-2
