Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Philadelphia 76ers,F,Evan Turner,Denver Nuggets,W,10/31/2012,28:28,2,7,0.286,0,1,0.0,1,1,1.0,0,6,6,2,0,0,3,4,5,10
Philadelphia 76ers,F,Thaddeus Young,Denver Nuggets,W,10/31/2012,36:27,6,12,0.5,0,0,0.0,1,3,0.333,1,4,5,1,2,1,1,2,13,18
Philadelphia 76ers,C,Lavoy Allen,Denver Nuggets,W,10/31/2012,16:58,1,5,0.2,0,0,0.0,1,2,0.5,4,0,4,0,0,1,1,0,3,-1
Philadelphia 76ers,G,Jason Richardson,Denver Nuggets,W,10/31/2012,36:31,4,13,0.308,2,7,0.286,0,0,0.0,2,2,4,2,4,3,0,3,10,7
Philadelphia 76ers,G,Jrue Holiday,Denver Nuggets,W,10/31/2012,41:24,5,16,0.313,0,3,0.0,4,5,0.8,2,4,6,11,2,0,3,3,14,8
Philadelphia 76ers,F,Evan Turner,New York Knicks,L,11/04/2012,37:04,2,9,0.222,1,1,1.0,6,6,1.0,1,10,11,1,2,0,2,2,11,-9
Philadelphia 76ers,F,Thaddeus Young,New York Knicks,L,11/04/2012,35:59,7,14,0.5,0,0,0.0,2,3,0.667,6,0,6,1,3,0,2,6,16,-1
Philadelphia 76ers,C,Lavoy Allen,New York Knicks,L,11/04/2012,25:45,3,4,0.75,0,0,0.0,0,0,0.0,1,4,5,1,0,1,1,1,6,-9
Philadelphia 76ers,G,Jrue Holiday,New York Knicks,L,11/04/2012,40:09,11,18,0.611,5,6,0.833,0,0,0.0,0,2,2,7,1,0,6,1,27,-2
Philadelphia 76ers,G,Jason Richardson,New York Knicks,L,11/04/2012,1:47,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Philadelphia 76ers,F,Dorell Wright,New York Knicks,L,11/05/2012,34:08,4,14,0.286,2,7,0.286,4,5,0.8,1,8,9,1,0,1,0,1,14,-18
Philadelphia 76ers,F,Thaddeus Young,New York Knicks,L,11/05/2012,29:22,7,12,0.583,0,0,0.0,0,0,0.0,4,6,10,1,1,0,3,1,14,-16
Philadelphia 76ers,C,Kwame Brown,New York Knicks,L,11/05/2012,10:50,2,3,0.667,0,0,0.0,0,0,0.0,1,2,3,0,0,0,0,1,4,2
Philadelphia 76ers,G,Evan Turner,New York Knicks,L,11/05/2012,27:07,3,9,0.333,0,0,0.0,5,5,1.0,3,6,9,6,0,0,1,4,11,-18
Philadelphia 76ers,G,Jrue Holiday,New York Knicks,L,11/05/2012,35:24,4,12,0.333,3,6,0.5,6,6,1.0,1,2,3,8,2,0,4,3,17,-17
Philadelphia 76ers,F,Dorell Wright,New Orleans Hornets,W,11/07/2012,24:48,2,10,0.2,2,7,0.286,1,2,0.5,1,5,6,2,2,1,2,0,7,9
Philadelphia 76ers,F,Thaddeus Young,New Orleans Hornets,W,11/07/2012,36:59,6,8,0.75,0,0,0.0,0,0,0.0,3,7,10,1,0,0,2,2,12,16
Philadelphia 76ers,C,Lavoy Allen,New Orleans Hornets,W,11/07/2012,27:27,6,10,0.6,0,0,0.0,0,0,0.0,1,3,4,0,0,1,2,2,12,20
Philadelphia 76ers,G,Evan Turner,New Orleans Hornets,W,11/07/2012,35:35,7,15,0.467,0,1,0.0,0,0,0.0,2,6,8,3,1,0,1,1,14,12
Philadelphia 76ers,G,Jrue Holiday,New Orleans Hornets,W,11/07/2012,38:56,6,14,0.429,0,3,0.0,2,3,0.667,1,4,5,12,1,1,7,2,14,18
Philadelphia 76ers,F,Dorell Wright,Boston Celtics,W,11/09/2012,35:48,4,9,0.444,2,3,0.667,5,5,1.0,1,3,4,3,4,0,2,1,15,9
Philadelphia 76ers,F,Thaddeus Young,Boston Celtics,W,11/09/2012,40:30,7,13,0.538,0,0,0.0,1,1,1.0,0,5,5,2,2,3,0,3,15,13
Philadelphia 76ers,C,Lavoy Allen,Boston Celtics,W,11/09/2012,22:41,3,5,0.6,0,0,0.0,0,0,0.0,1,3,4,1,0,1,0,5,6,-5
Philadelphia 76ers,G,Evan Turner,Boston Celtics,W,11/09/2012,40:32,9,19,0.474,2,2,1.0,5,7,0.714,0,11,11,4,1,1,3,3,25,1
Philadelphia 76ers,G,Jrue Holiday,Boston Celtics,W,11/09/2012,41:34,7,16,0.438,1,4,0.25,6,6,1.0,2,2,4,14,2,2,7,1,21,14
Philadelphia 76ers,F,Thaddeus Young,Toronto Raptors,W,11/10/2012,33:44,5,11,0.455,0,0,0.0,6,6,1.0,1,7,8,2,1,0,2,2,16,4
Philadelphia 76ers,F,Dorell Wright,Toronto Raptors,W,11/10/2012,26:30,5,12,0.417,4,8,0.5,1,1,1.0,3,3,6,0,1,0,2,1,15,-16
Philadelphia 76ers,C,Lavoy Allen,Toronto Raptors,W,11/10/2012,21:26,0,5,0.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,1,0,7
Philadelphia 76ers,G,Jrue Holiday,Toronto Raptors,W,11/10/2012,35:09,6,11,0.545,1,1,1.0,3,5,0.6,0,3,3,5,2,1,7,4,16,-12
Philadelphia 76ers,G,Evan Turner,Toronto Raptors,W,11/10/2012,37:25,2,7,0.286,0,1,0.0,4,5,0.8,2,10,12,4,1,1,3,4,8,-3
Philadelphia 76ers,F,Evan Turner,Milwaukee Bucks,L,11/12/2012,25:13,3,8,0.375,0,0,0.0,2,4,0.5,0,4,4,5,0,0,3,1,8,-16
Philadelphia 76ers,F,Thaddeus Young,Milwaukee Bucks,L,11/12/2012,35:01,4,6,0.667,0,0,0.0,3,4,0.75,1,6,7,2,3,1,1,2,11,-5
Philadelphia 76ers,C,Lavoy Allen,Milwaukee Bucks,L,11/12/2012,12:48,0,2,0.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,1,1,0,-4
Philadelphia 76ers,G,Jason Richardson,Milwaukee Bucks,L,11/12/2012,36:18,8,16,0.5,3,8,0.375,1,2,0.5,0,4,4,2,2,0,0,0,20,12
Philadelphia 76ers,G,Jrue Holiday,Milwaukee Bucks,L,11/12/2012,37:27,10,18,0.556,1,2,0.5,4,4,1.0,0,1,1,6,1,0,8,3,25,-4
Philadelphia 76ers,F,Evan Turner,Detroit Pistons,L,11/14/2012,23:16,1,6,0.167,0,0,0.0,1,2,0.5,0,3,3,2,1,0,0,2,3,-10
