Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Sacramento Kings,F,James Johnson,Chicago Bulls,L,10/31/2012,21:28,1,8,0.125,0,1,0.0,0,0,0.0,2,1,3,1,3,0,4,3,2,-13
Sacramento Kings,F,Jason Thompson,Chicago Bulls,L,10/31/2012,27:35,3,6,0.5,0,0,0.0,2,2,1.0,3,5,8,2,0,1,0,4,8,-2
Sacramento Kings,C,DeMarcus Cousins,Chicago Bulls,L,10/31/2012,25:02,7,14,0.5,0,0,0.0,0,0,0.0,3,4,7,1,3,2,7,4,14,-12
Sacramento Kings,G,Tyreke Evans,Chicago Bulls,L,10/31/2012,39:05,8,13,0.615,1,2,0.5,4,4,1.0,1,7,8,3,0,1,2,3,21,1
Sacramento Kings,G,Isaiah Thomas,Chicago Bulls,L,10/31/2012,24:43,3,8,0.375,2,3,0.667,2,2,1.0,0,0,0,1,0,0,3,1,10,-6
Sacramento Kings,F,James Johnson,Minnesota Timberwolves,L,11/02/2012,20:45,2,5,0.4,0,0,0.0,1,2,0.5,1,5,6,2,2,0,2,3,5,-7
Sacramento Kings,F,Jason Thompson,Minnesota Timberwolves,L,11/02/2012,33:31,4,10,0.4,0,0,0.0,2,2,1.0,4,3,7,2,1,2,0,4,10,-6
Sacramento Kings,C,DeMarcus Cousins,Minnesota Timberwolves,L,11/02/2012,25:19,5,13,0.385,0,0,0.0,1,1,1.0,0,4,4,0,0,0,1,5,11,-5
Sacramento Kings,G,Tyreke Evans,Minnesota Timberwolves,L,11/02/2012,29:35,3,14,0.214,0,1,0.0,0,0,0.0,2,5,7,5,1,0,2,4,6,-7
Sacramento Kings,G,Isaiah Thomas,Minnesota Timberwolves,L,11/02/2012,25:45,7,13,0.538,3,7,0.429,3,4,0.75,0,2,2,2,0,0,2,5,20,-7
Sacramento Kings,F,James Johnson,Indiana Pacers,L,11/03/2012,19:54,1,5,0.2,0,1,0.0,2,2,1.0,1,1,2,1,1,3,2,0,4,-11
Sacramento Kings,F,Jason Thompson,Indiana Pacers,L,11/03/2012,23:49,2,6,0.333,0,0,0.0,0,0,0.0,0,2,2,1,0,3,0,3,4,0
Sacramento Kings,C,DeMarcus Cousins,Indiana Pacers,L,11/03/2012,42:11,9,27,0.333,0,0,0.0,3,6,0.5,7,6,13,1,4,1,1,4,21,-8
Sacramento Kings,G,Tyreke Evans,Indiana Pacers,L,11/03/2012,44:27,5,15,0.333,0,0,0.0,4,4,1.0,2,7,9,4,3,2,4,3,14,-12
Sacramento Kings,G,Isaiah Thomas,Indiana Pacers,L,11/03/2012,22:36,2,6,0.333,1,4,0.25,0,0,0.0,1,1,2,2,1,0,5,0,5,-2
Sacramento Kings,F,James Johnson,Golden State Warriors,W,11/05/2012,29:07,2,8,0.25,0,2,0.0,3,6,0.5,0,2,2,2,1,2,0,5,7,5
Sacramento Kings,F,Jason Thompson,Golden State Warriors,W,11/05/2012,26:46,1,2,0.5,0,0,0.0,4,4,1.0,0,6,6,0,0,1,1,1,6,2
Sacramento Kings,C,DeMarcus Cousins,Golden State Warriors,W,11/05/2012,33:33,10,16,0.625,0,0,0.0,3,5,0.6,5,10,15,1,2,2,3,2,23,1
