Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Toronto Raptors,,Terrence Ross,Indiana Pacers,L,10/31/2012,6:24,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,4
Toronto Raptors,,Ed Davis,Indiana Pacers,L,10/31/2012,13:38,2,4,0.5,0,0,0.0,1,2,0.5,1,1,2,0,0,2,2,1,5,1
Toronto Raptors,,Jose Calderon,Indiana Pacers,L,10/31/2012,25:43,6,12,0.5,3,6,0.5,0,0,0.0,0,1,1,3,1,0,1,1,15,-8
Toronto Raptors,,Amir Johnson,Indiana Pacers,L,10/31/2012,17:05,2,6,0.333,0,0,0.0,1,2,0.5,3,4,7,0,2,1,0,3,5,4
Toronto Raptors,,Alan Anderson,Indiana Pacers,L,10/31/2012,18:50,0,3,0.0,0,1,0.0,0,0,0.0,1,1,2,4,3,0,1,0,0,1
Toronto Raptors,,Aaron Gray,Indiana Pacers,L,10/31/2012,7:48,2,2,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,2,4,1
Toronto Raptors,,John Lucas III,Indiana Pacers,L,10/31/2012,5:19,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-3
Toronto Raptors,,Amir Johnson,Brooklyn Nets,L,11/03/2012,16:50,5,8,0.625,0,0,0.0,1,2,0.5,3,1,4,0,1,0,1,5,11,-7
Toronto Raptors,,Jose Calderon,Brooklyn Nets,L,11/03/2012,21:06,1,5,0.2,0,2,0.0,0,0,0.0,0,0,0,3,0,0,1,2,2,-7
Toronto Raptors,,Alan Anderson,Brooklyn Nets,L,11/03/2012,12:37,1,4,0.25,1,2,0.5,0,0,0.0,0,0,0,0,0,0,2,2,3,-5
Toronto Raptors,,Ed Davis,Brooklyn Nets,L,11/03/2012,13:39,4,7,0.571,0,0,0.0,3,4,0.75,1,2,3,0,1,1,0,0,11,-2
Toronto Raptors,,Dominic McGuire,Brooklyn Nets,L,11/03/2012,9:18,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,1,0,2,0,-8
Toronto Raptors,,Aaron Gray,Brooklyn Nets,L,11/03/2012,18:30,1,2,0.5,0,0,0.0,1,2,0.5,0,4,4,1,1,0,0,4,3,0
Toronto Raptors,,John Lucas III,Brooklyn Nets,L,11/03/2012,6:01,0,4,0.0,0,1,0.0,0,0,0.0,0,2,2,1,1,0,0,0,0,6
Toronto Raptors,,Terrence Ross,Minnesota Timberwolves,W,11/04/2012,7:13,1,4,0.25,0,1,0.0,0,0,0.0,0,1,1,1,0,0,2,3,2,-3
Toronto Raptors,,Amir Johnson,Minnesota Timberwolves,W,11/04/2012,23:19,3,7,0.429,0,0,0.0,3,4,0.75,2,3,5,3,2,1,1,2,9,16
Toronto Raptors,,Ed Davis,Minnesota Timberwolves,W,11/04/2012,23:59,3,7,0.429,0,0,0.0,0,0,0.0,2,5,7,1,0,0,1,2,6,14
Toronto Raptors,,Jose Calderon,Minnesota Timberwolves,W,11/04/2012,14:15,3,5,0.6,1,2,0.5,0,0,0.0,1,0,1,3,0,0,0,1,7,8
Toronto Raptors,,Alan Anderson,Minnesota Timberwolves,W,11/04/2012,30:51,6,14,0.429,4,8,0.5,2,2,1.0,1,2,3,1,0,0,0,4,18,20
Toronto Raptors,,John Lucas III,Minnesota Timberwolves,W,11/04/2012,6:09,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
Toronto Raptors,,Dominic McGuire,Minnesota Timberwolves,W,11/04/2012,1:59,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,1,0,1
Toronto Raptors,,Alan Anderson,Oklahoma City Thunder,L,11/06/2012,18:39,1,6,0.167,0,5,0.0,1,2,0.5,0,0,0,1,0,1,0,3,3,-9
Toronto Raptors,,Dominic McGuire,Oklahoma City Thunder,L,11/06/2012,14:34,3,4,0.75,0,0,0.0,0,0,0.0,1,3,4,0,1,0,2,1,6,-4
Toronto Raptors,,Jose Calderon,Oklahoma City Thunder,L,11/06/2012,19:32,2,7,0.286,1,4,0.25,3,3,1.0,0,0,0,2,4,0,3,0,8,-7
Toronto Raptors,,Amir Johnson,Oklahoma City Thunder,L,11/06/2012,8:19,1,4,0.25,0,0,0.0,0,0,0.0,2,0,2,0,1,0,1,4,2,-4
Toronto Raptors,,Ed Davis,Oklahoma City Thunder,L,11/06/2012,20:33,2,4,0.5,0,0,0.0,2,3,0.667,2,7,9,0,1,0,0,5,6,0
Toronto Raptors,,John Lucas III,Oklahoma City Thunder,L,11/06/2012,15:48,1,9,0.111,1,6,0.167,0,0,0.0,0,2,2,4,0,0,2,1,3,4
Toronto Raptors,,Terrence Ross,Oklahoma City Thunder,L,11/06/2012,13:54,4,7,0.571,2,3,0.667,0,0,0.0,0,2,2,1,1,0,1,2,10,7
Toronto Raptors,,Aaron Gray,Oklahoma City Thunder,L,11/06/2012,7:29,1,1,1.0,0,0,0.0,1,2,0.5,0,2,2,1,0,0,0,2,3,-4
Toronto Raptors,,Alan Anderson,Dallas Mavericks,L,11/07/2012,16:05,3,9,0.333,2,6,0.333,5,5,1.0,0,0,0,0,1,0,0,2,13,-7
Toronto Raptors,,Amir Johnson,Dallas Mavericks,L,11/07/2012,28:51,6,7,0.857,0,0,0.0,6,7,0.857,6,5,11,3,1,1,1,5,18,4
Toronto Raptors,,Ed Davis,Dallas Mavericks,L,11/07/2012,5:09,0,0,0.0,0,0,0.0,1,2,0.5,0,1,1,0,0,0,0,0,1,-6
Toronto Raptors,,John Lucas III,Dallas Mavericks,L,11/07/2012,14:50,0,3,0.0,0,1,0.0,0,0,0.0,0,2,2,1,0,0,0,1,0,-4
Toronto Raptors,,Terrence Ross,Dallas Mavericks,L,11/07/2012,7:47,1,3,0.333,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,2,2,1
Toronto Raptors,,Aaron Gray,Dallas Mavericks,L,11/07/2012,8:40,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,0,1,0,2,2,2,4
Toronto Raptors,,Quincy Acy,Dallas Mavericks,L,11/07/2012,4:09,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-6
Toronto Raptors,,Dominic McGuire,Dallas Mavericks,L,11/07/2012,12:35,1,1,1.0,0,0,0.0,0,0,0.0,0,2,2,0,1,0,1,4,2,3
Toronto Raptors,,Amir Johnson,Philadelphia 76ers,L,11/10/2012,18:41,1,2,0.5,0,0,0.0,0,0,0.0,0,4,4,1,0,2,2,5,2,-9
Toronto Raptors,,Terrence Ross,Philadelphia 76ers,L,11/10/2012,12:38,2,5,0.4,2,5,0.4,0,0,0.0,0,1,1,1,1,0,1,2,6,-6
