Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Utah Jazz,,Jamaal Tinsley,Dallas Mavericks,W,10/31/2012,18:08,1,4,0.25,0,1,0.0,0,0,0.0,0,1,1,4,1,1,1,3,2,0
Utah Jazz,,Derrick Favors,Dallas Mavericks,W,10/31/2012,17:59,1,2,0.5,0,0,0.0,4,6,0.667,2,8,10,0,0,2,3,3,6,11
Utah Jazz,,Randy Foye,Dallas Mavericks,W,10/31/2012,21:55,4,9,0.444,2,4,0.5,3,3,1.0,0,3,3,3,0,0,1,2,13,19
Utah Jazz,,Enes Kanter,Dallas Mavericks,W,10/31/2012,14:20,3,5,0.6,0,0,0.0,0,2,0.0,1,6,7,0,1,1,4,3,6,2
Utah Jazz,,DeMarre Carroll,Dallas Mavericks,W,10/31/2012,16:11,1,5,0.2,0,1,0.0,3,4,0.75,1,1,2,2,0,1,0,1,5,11
Utah Jazz,,Kevin Murphy,Dallas Mavericks,W,10/31/2012,2:16,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,2,-1
Utah Jazz,,Alec Burks,Dallas Mavericks,W,10/31/2012,2:16,0,0,0.0,0,0,0.0,0,2,0.0,0,0,0,1,0,0,0,0,0,-1
Utah Jazz,,Jeremy Evans,Dallas Mavericks,W,10/31/2012,2:16,0,0,0.0,0,0,0.0,1,2,0.5,0,1,1,0,1,0,0,0,1,-1
Utah Jazz,,Derrick Favors,New Orleans Hornets,L,11/02/2012,22:34,2,5,0.4,0,0,0.0,0,2,0.0,5,4,9,0,1,2,2,1,4,5
Utah Jazz,,DeMarre Carroll,New Orleans Hornets,L,11/02/2012,14:25,2,6,0.333,0,2,0.0,0,0,0.0,1,0,1,0,0,1,0,1,4,6
Utah Jazz,,Randy Foye,New Orleans Hornets,L,11/02/2012,26:52,8,16,0.5,4,7,0.571,0,1,0.0,2,2,4,1,0,2,0,2,20,5
Utah Jazz,,Enes Kanter,New Orleans Hornets,L,11/02/2012,19:43,1,2,0.5,0,0,0.0,0,0,0.0,1,3,4,0,2,0,3,4,2,6
Utah Jazz,,Jamaal Tinsley,New Orleans Hornets,L,11/02/2012,16:38,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,6,1,0,1,1,0,4
Utah Jazz,,Derrick Favors,San Antonio Spurs,L,11/03/2012,23:10,3,5,0.6,0,0,0.0,0,0,0.0,0,2,2,1,0,1,1,4,6,-14
Utah Jazz,,Randy Foye,San Antonio Spurs,L,11/03/2012,25:01,3,8,0.375,0,3,0.0,1,1,1.0,0,0,0,1,0,0,2,1,7,-7
Utah Jazz,,Jamaal Tinsley,San Antonio Spurs,L,11/03/2012,9:28,1,3,0.333,0,0,0.0,0,0,0.0,0,2,2,0,0,0,2,1,2,-9
Utah Jazz,,Enes Kanter,San Antonio Spurs,L,11/03/2012,11:22,0,2,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,4,0,-6
Utah Jazz,,DeMarre Carroll,San Antonio Spurs,L,11/03/2012,6:10,0,0,0.0,0,0,0.0,0,2,0.0,0,1,1,1,2,0,0,1,0,-7
Utah Jazz,,Derrick Favors,Memphis Grizzlies,L,11/05/2012,25:50,6,12,0.5,0,0,0.0,2,4,0.5,3,5,8,1,3,1,2,0,14,-14
Utah Jazz,,Randy Foye,Memphis Grizzlies,L,11/05/2012,22:46,4,9,0.444,2,5,0.4,1,2,0.5,0,0,0,3,1,0,1,1,11,-9
Utah Jazz,,Enes Kanter,Memphis Grizzlies,L,11/05/2012,11:57,1,3,0.333,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,4,2,-9
Utah Jazz,,Alec Burks,Memphis Grizzlies,L,11/05/2012,6:30,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-6
