Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Utah Jazz,F,Marvin Williams,Dallas Mavericks,W,10/31/2012,29:33,7,13,0.538,2,3,0.667,5,5,1.0,0,3,3,1,1,1,1,2,21,9
Utah Jazz,F,Paul Millsap,Dallas Mavericks,W,10/31/2012,32:55,5,12,0.417,0,0,0.0,3,4,0.75,8,7,15,3,1,0,0,3,13,18
Utah Jazz,C,Al Jefferson,Dallas Mavericks,W,10/31/2012,28:30,4,11,0.364,0,0,0.0,4,4,1.0,5,9,14,2,3,0,1,2,12,8
Utah Jazz,G,Gordon Hayward,Dallas Mavericks,W,10/31/2012,23:49,4,10,0.4,0,1,0.0,3,5,0.6,3,0,3,2,0,0,0,3,11,1
Utah Jazz,G,Mo Williams,Dallas Mavericks,W,10/31/2012,29:52,7,16,0.438,2,4,0.5,5,5,1.0,0,2,2,6,2,2,2,2,21,19
Utah Jazz,F,Marvin Williams,New Orleans Hornets,L,11/02/2012,28:48,2,8,0.25,1,6,0.167,0,0,0.0,0,3,3,1,0,0,1,1,5,-7
Utah Jazz,F,Paul Millsap,New Orleans Hornets,L,11/02/2012,25:26,5,9,0.556,1,1,1.0,0,2,0.0,3,3,6,3,1,1,3,4,11,-7
Utah Jazz,C,Al Jefferson,New Orleans Hornets,L,11/02/2012,28:16,5,13,0.385,0,0,0.0,0,0,0.0,2,6,8,1,0,0,1,3,10,-8
Utah Jazz,G,Gordon Hayward,New Orleans Hornets,L,11/02/2012,25:55,4,8,0.5,2,3,0.667,4,5,0.8,2,2,4,3,1,0,1,1,14,-8
Utah Jazz,G,Mo Williams,New Orleans Hornets,L,11/02/2012,31:23,6,16,0.375,2,8,0.25,2,2,1.0,0,4,4,4,1,0,2,3,16,-6
Utah Jazz,F,Marvin Williams,San Antonio Spurs,L,11/03/2012,24:37,4,9,0.444,0,1,0.0,0,0,0.0,2,2,4,1,0,0,1,0,8,3
Utah Jazz,F,Paul Millsap,San Antonio Spurs,L,11/03/2012,31:10,5,10,0.5,2,2,1.0,5,6,0.833,5,5,10,0,3,3,4,4,17,1
Utah Jazz,C,Al Jefferson,San Antonio Spurs,L,11/03/2012,34:45,8,16,0.5,0,0,0.0,0,0,0.0,1,7,8,2,1,2,1,5,16,0
Utah Jazz,G,Gordon Hayward,San Antonio Spurs,L,11/03/2012,35:45,5,11,0.455,1,5,0.2,4,4,1.0,1,2,3,2,3,1,2,1,15,-10
Utah Jazz,G,Mo Williams,San Antonio Spurs,L,11/03/2012,38:32,9,13,0.692,2,2,1.0,9,9,1.0,0,0,0,9,2,0,2,1,29,-1
Utah Jazz,F,Marvin Williams,Memphis Grizzlies,L,11/05/2012,30:04,2,5,0.4,0,1,0.0,2,2,1.0,0,5,5,0,2,2,3,4,6,1
Utah Jazz,F,Paul Millsap,Memphis Grizzlies,L,11/05/2012,33:03,5,13,0.385,2,3,0.667,2,2,1.0,3,5,8,4,0,3,2,6,14,-1
Utah Jazz,C,Al Jefferson,Memphis Grizzlies,L,11/05/2012,29:00,5,10,0.5,0,0,0.0,1,2,0.5,2,8,10,2,1,2,3,4,11,3
Utah Jazz,G,Gordon Hayward,Memphis Grizzlies,L,11/05/2012,36:35,9,17,0.529,0,1,0.0,1,1,1.0,1,4,5,2,1,0,1,1,19,-3
