Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Brooklyn Nets,,Keith Bogans,New York Knicks,W,11/26/2012,19:34,2,8,0.25,1,5,0.2,1,3,0.333,2,1,3,0,0,0,1,2,6,4
Brooklyn Nets,,Reggie Evans,New York Knicks,W,11/26/2012,17:35,2,3,0.667,0,0,0.0,0,0,0.0,6,8,14,1,0,0,1,1,4,9
Brooklyn Nets,,CJ Watson,New York Knicks,W,11/26/2012,9:58,2,7,0.286,0,3,0.0,0,0,0.0,0,0,0,1,0,0,1,1,4,-1
Brooklyn Nets,,Andray Blatche,New York Knicks,W,11/26/2012,7:02,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,2,7
Brooklyn Nets,,Jerry Stackhouse,New York Knicks,W,11/26/2012,22:13,4,6,0.667,4,5,0.8,2,2,1.0,0,1,1,1,0,0,0,0,14,13
Brooklyn Nets,,Josh Childress,New York Knicks,W,11/26/2012,3:24,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,2
Brooklyn Nets,,CJ Watson,Toronto Raptors,W,11/03/2012,27:42,6,9,0.667,3,4,0.75,0,0,0.0,2,0,2,1,1,2,3,0,15,5
Brooklyn Nets,,Andray Blatche,Toronto Raptors,W,11/03/2012,14:49,3,8,0.375,0,1,0.0,1,2,0.5,1,1,2,0,0,0,1,3,7,2
Brooklyn Nets,,MarShon Brooks,Toronto Raptors,W,11/03/2012,18:25,3,5,0.6,0,0,0.0,2,2,1.0,0,2,2,1,0,1,1,4,8,5
Brooklyn Nets,,Reggie Evans,Toronto Raptors,W,11/03/2012,15:41,1,2,0.5,0,0,0.0,0,0,0.0,2,11,13,0,1,1,2,3,2,-2
Brooklyn Nets,,Keith Bogans,Toronto Raptors,W,11/03/2012,0:28,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,3
Brooklyn Nets,,CJ Watson,Minnesota Timberwolves,L,11/05/2012,26:11,4,8,0.5,2,4,0.5,0,0,0.0,1,1,2,4,1,0,2,5,10,-18
Brooklyn Nets,,Andray Blatche,Minnesota Timberwolves,L,11/05/2012,15:17,1,2,0.5,0,0,0.0,2,2,1.0,2,3,5,1,0,1,0,1,4,-5
Brooklyn Nets,,MarShon Brooks,Minnesota Timberwolves,L,11/05/2012,21:17,4,7,0.571,1,1,1.0,2,2,1.0,2,2,4,1,1,0,0,2,11,-14
Brooklyn Nets,,Reggie Evans,Minnesota Timberwolves,L,11/05/2012,15:41,1,1,1.0,0,0,0.0,1,2,0.5,1,1,2,0,0,0,0,2,3,-1
Brooklyn Nets,,Tyshawn Taylor,Minnesota Timberwolves,L,11/05/2012,6:25,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,1,0,2,4
Brooklyn Nets,,Mirza Teletovic,Minnesota Timberwolves,L,11/05/2012,7:38,2,3,0.667,1,2,0.5,0,0,0.0,0,0,0,0,1,0,0,0,5,-12
Brooklyn Nets,,Andray Blatche,Miami Heat,L,11/07/2012,21:09,2,8,0.25,0,0,0.0,0,0,0.0,2,6,8,0,1,0,2,2,4,-19
Brooklyn Nets,,CJ Watson,Miami Heat,L,11/07/2012,24:36,1,5,0.2,0,4,0.0,0,0,0.0,1,0,1,2,1,0,3,1,2,-16
Brooklyn Nets,,Mirza Teletovic,Miami Heat,L,11/07/2012,16:54,1,8,0.125,1,7,0.143,0,0,0.0,1,0,1,1,0,0,0,0,3,-18
Brooklyn Nets,,MarShon Brooks,Miami Heat,L,11/07/2012,18:58,5,7,0.714,0,0,0.0,2,4,0.5,0,1,1,2,1,0,3,1,12,-14
Brooklyn Nets,,Reggie Evans,Miami Heat,L,11/07/2012,13:09,1,1,1.0,0,0,0.0,3,4,0.75,2,3,5,0,0,0,1,2,5,-6
Brooklyn Nets,,Tornike Shengelia,Miami Heat,L,11/07/2012,12:00,0,0,0.0,0,0,0.0,2,2,1.0,0,1,1,0,0,0,2,0,2,-7
Brooklyn Nets,,Tyshawn Taylor,Miami Heat,L,11/07/2012,4:21,0,3,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4
Brooklyn Nets,,CJ Watson,Orlando Magic,W,11/09/2012,18:14,4,5,0.8,1,2,0.5,0,0,0.0,1,0,1,1,2,1,1,1,9,23
