Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Chicago Bulls,F,Luol Deng,Sacramento Kings,W,10/31/2012,41:33,3,13,0.231,0,4,0.0,1,3,0.333,5,7,12,2,0,1,4,3,7,6
Chicago Bulls,F,Carlos Boozer,Sacramento Kings,W,10/31/2012,33:25,8,13,0.615,0,0,0.0,2,5,0.4,1,7,8,2,1,1,3,3,18,5
Chicago Bulls,C,Joakim Noah,Sacramento Kings,W,10/31/2012,40:01,6,12,0.5,0,0,0.0,11,12,0.917,5,5,10,3,5,3,2,2,23,6
Chicago Bulls,G,Richard Hamilton,Sacramento Kings,W,10/31/2012,31:03,7,16,0.438,0,1,0.0,5,5,1.0,0,1,1,3,2,0,3,1,19,6
Chicago Bulls,G,Kirk Hinrich,Sacramento Kings,W,10/31/2012,29:23,1,7,0.143,0,1,0.0,1,3,0.333,1,2,3,7,0,0,2,2,3,5
Chicago Bulls,F,Luol Deng,Cleveland Cavaliers,W,11/02/2012,30:50,5,8,0.625,1,2,0.5,3,3,1.0,1,4,5,1,1,2,1,0,14,27
Chicago Bulls,F,Carlos Boozer,Cleveland Cavaliers,W,11/02/2012,27:13,7,11,0.636,0,0,0.0,5,7,0.714,1,6,7,6,1,0,3,2,19,18
Chicago Bulls,C,Joakim Noah,Cleveland Cavaliers,W,11/02/2012,31:45,4,6,0.667,0,0,0.0,2,2,1.0,1,4,5,1,2,0,4,3,10,30
Chicago Bulls,G,Richard Hamilton,Cleveland Cavaliers,W,11/02/2012,26:35,8,12,0.667,0,2,0.0,3,3,1.0,0,1,1,2,0,0,2,2,19,18
Chicago Bulls,G,Kirk Hinrich,Cleveland Cavaliers,W,11/02/2012,17:23,3,4,0.75,0,0,0.0,3,4,0.75,1,2,3,6,1,1,0,4,9,21
Chicago Bulls,F,Luol Deng,New Orleans Hornets,L,11/03/2012,42:56,6,15,0.4,0,3,0.0,7,10,0.7,4,4,8,4,1,0,2,0,19,-12
Chicago Bulls,F,Carlos Boozer,New Orleans Hornets,L,11/03/2012,25:47,1,8,0.125,0,0,0.0,2,2,1.0,2,5,7,2,0,0,2,2,4,-2
Chicago Bulls,C,Joakim Noah,New Orleans Hornets,L,11/03/2012,43:19,4,12,0.333,0,0,0.0,3,4,0.75,5,6,11,3,1,2,2,6,11,-6
Chicago Bulls,G,Richard Hamilton,New Orleans Hornets,L,11/03/2012,18:35,2,10,0.2,0,0,0.0,0,0,0.0,0,2,2,2,0,0,2,2,4,-12
Chicago Bulls,G,Kirk Hinrich,New Orleans Hornets,L,11/03/2012,24:00,1,8,0.125,0,2,0.0,0,0,0.0,1,1,2,4,5,0,2,2,2,-7
Chicago Bulls,F,Luol Deng,Orlando Magic,W,11/06/2012,38:23,9,16,0.563,0,2,0.0,5,6,0.833,1,7,8,4,0,0,1,1,23,1
Chicago Bulls,F,Carlos Boozer,Orlando Magic,W,11/06/2012,28:29,6,18,0.333,0,0,0.0,0,0,0.0,2,6,8,3,1,0,1,3,12,1
Chicago Bulls,C,Joakim Noah,Orlando Magic,W,11/06/2012,40:44,7,13,0.538,0,1,0.0,6,8,0.75,3,6,9,4,0,5,2,3,20,11
Chicago Bulls,G,Richard Hamilton,Orlando Magic,W,11/06/2012,28:04,3,8,0.375,0,0,0.0,1,1,1.0,0,3,3,2,1,0,2,0,7,11
Chicago Bulls,G,Kirk Hinrich,Orlando Magic,W,11/06/2012,26:09,3,5,0.6,2,2,1.0,0,2,0.0,1,4,5,5,2,0,0,1,8,-4
Chicago Bulls,F,Luol Deng,Oklahoma City Thunder,L,11/08/2012,42:23,11,21,0.524,3,6,0.5,2,2,1.0,0,1,1,2,1,1,3,2,27,-2
Chicago Bulls,F,Carlos Boozer,Oklahoma City Thunder,L,11/08/2012,30:26,3,9,0.333,0,0,0.0,3,4,0.75,2,9,11,2,0,0,5,4,9,4
Chicago Bulls,C,Joakim Noah,Oklahoma City Thunder,L,11/08/2012,39:08,4,9,0.444,0,0,0.0,1,2,0.5,7,6,13,6,1,1,4,2,9,5
Chicago Bulls,G,Richard Hamilton,Oklahoma City Thunder,L,11/08/2012,34:27,7,14,0.5,0,1,0.0,6,6,1.0,1,7,8,0,2,1,4,3,20,9
Chicago Bulls,G,Kirk Hinrich,Oklahoma City Thunder,L,11/08/2012,36:01,5,12,0.417,2,5,0.4,0,0,0.0,0,3,3,5,0,0,1,1,12,3
Chicago Bulls,F,Luol Deng,Minnesota Timberwolves,W,11/10/2012,41:02,6,12,0.5,0,2,0.0,4,4,1.0,1,6,7,4,1,0,3,3,16,12
Chicago Bulls,F,Carlos Boozer,Minnesota Timberwolves,W,11/10/2012,26:39,0,5,0.0,0,0,0.0,2,2,1.0,1,8,9,4,3,0,1,4,2,5
Chicago Bulls,C,Joakim Noah,Minnesota Timberwolves,W,11/10/2012,38:12,7,12,0.583,0,0,0.0,3,4,0.75,4,3,7,3,1,4,2,1,17,9
