Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cleveland Cavaliers,F,Alonzo Gee,Washington Wizards,W,10/30/2012,33:53,2,9,0.222,0,2,0.0,0,0,0.0,2,1,3,2,2,0,3,5,4,14
Cleveland Cavaliers,F,Tristan Thompson,Washington Wizards,W,10/30/2012,31:31,5,8,0.625,0,0,0.0,2,4,0.5,3,7,10,5,1,0,2,2,12,20
Cleveland Cavaliers,C,Anderson Varejao,Washington Wizards,W,10/30/2012,37:22,3,7,0.429,0,0,0.0,3,3,1.0,12,11,23,9,0,2,1,4,9,7
Cleveland Cavaliers,G,Dion Waiters,Washington Wizards,W,10/30/2012,28:14,6,14,0.429,2,5,0.4,3,4,0.75,0,2,2,0,3,0,3,0,17,13
Cleveland Cavaliers,G,Kyrie Irving,Washington Wizards,W,10/30/2012,34:34,11,20,0.55,3,6,0.5,4,5,0.8,0,6,6,3,0,1,4,4,29,23
Cleveland Cavaliers,F,Alonzo Gee,Chicago Bulls,L,11/02/2012,24:49,4,9,0.444,2,3,0.667,2,2,1.0,2,2,4,1,1,0,3,2,12,-13
Cleveland Cavaliers,F,Tristan Thompson,Chicago Bulls,L,11/02/2012,23:32,2,6,0.333,0,0,0.0,2,2,1.0,2,3,5,1,0,0,1,3,6,-5
Cleveland Cavaliers,C,Anderson Varejao,Chicago Bulls,L,11/02/2012,29:32,5,8,0.625,0,0,0.0,2,2,1.0,2,3,5,2,0,0,1,0,12,-18
Cleveland Cavaliers,G,Dion Waiters,Chicago Bulls,L,11/02/2012,25:02,3,7,0.429,1,2,0.5,0,2,0.0,0,2,2,4,1,1,2,2,7,-9
Cleveland Cavaliers,G,Kyrie Irving,Chicago Bulls,L,11/02/2012,30:01,6,15,0.4,0,1,0.0,3,6,0.5,1,1,2,4,1,0,4,2,15,-21
Cleveland Cavaliers,F,Alonzo Gee,Milwaukee Bucks,L,11/03/2012,35:59,6,11,0.545,2,3,0.667,4,4,1.0,0,3,3,6,2,0,3,1,18,11
Cleveland Cavaliers,F,Tristan Thompson,Milwaukee Bucks,L,11/03/2012,29:59,2,5,0.4,0,0,0.0,5,8,0.625,4,2,6,0,1,0,0,3,9,13
Cleveland Cavaliers,C,Anderson Varejao,Milwaukee Bucks,L,11/03/2012,35:51,10,13,0.769,0,0,0.0,0,0,0.0,2,15,17,0,1,0,0,1,20,15
Cleveland Cavaliers,G,Dion Waiters,Milwaukee Bucks,L,11/03/2012,28:59,5,12,0.417,1,2,0.5,2,4,0.5,0,2,2,3,1,0,3,0,13,14
Cleveland Cavaliers,G,Kyrie Irving,Milwaukee Bucks,L,11/03/2012,33:22,10,18,0.556,0,2,0.0,7,8,0.875,0,4,4,7,2,0,4,5,27,13
Cleveland Cavaliers,F,Alonzo Gee,Los Angeles Clippers,W,11/05/2012,33:33,2,8,0.25,0,2,0.0,4,4,1.0,3,0,3,4,1,0,4,2,8,8
Cleveland Cavaliers,F,Tristan Thompson,Los Angeles Clippers,W,11/05/2012,31:48,0,6,0.0,0,0,0.0,1,4,0.25,4,4,8,1,3,1,3,5,1,5
Cleveland Cavaliers,C,Anderson Varejao,Los Angeles Clippers,W,11/05/2012,36:06,7,10,0.7,0,0,0.0,1,2,0.5,5,10,15,1,3,1,1,3,15,5
Cleveland Cavaliers,G,Dion Waiters,Los Angeles Clippers,W,11/05/2012,32:15,10,17,0.588,7,11,0.636,1,1,1.0,0,3,3,1,0,0,1,2,28,3
Cleveland Cavaliers,G,Kyrie Irving,Los Angeles Clippers,W,11/05/2012,37:20,8,23,0.348,4,8,0.5,4,5,0.8,1,2,3,10,1,0,3,1,24,8
Cleveland Cavaliers,F,Alonzo Gee,Golden State Warriors,L,11/07/2012,21:13,2,4,0.5,0,2,0.0,3,3,1.0,0,3,3,1,3,0,4,3,7,-2
Cleveland Cavaliers,F,Samardo Samuels,Golden State Warriors,L,11/07/2012,37:57,5,9,0.556,0,0,0.0,1,2,0.5,2,5,7,2,0,1,1,3,11,-11
Cleveland Cavaliers,C,Tristan Thompson,Golden State Warriors,L,11/07/2012,35:47,4,8,0.5,0,0,0.0,3,8,0.375,4,6,10,1,0,0,3,4,11,10
Cleveland Cavaliers,G,Dion Waiters,Golden State Warriors,L,11/07/2012,30:39,5,15,0.333,2,5,0.4,0,0,0.0,0,0,0,5,0,0,0,3,12,1
Cleveland Cavaliers,G,Kyrie Irving,Golden State Warriors,L,11/07/2012,35:47,10,22,0.455,4,8,0.5,4,4,1.0,1,5,6,7,0,0,3,3,28,-10
Cleveland Cavaliers,F,Alonzo Gee,Phoenix Suns,L,11/09/2012,35:46,5,13,0.385,0,1,0.0,5,5,1.0,0,7,7,1,3,1,1,4,15,8
Cleveland Cavaliers,F,Tristan Thompson,Phoenix Suns,L,11/09/2012,36:48,5,8,0.625,0,0,0.0,0,0,0.0,5,3,8,1,3,1,3,1,10,-7
Cleveland Cavaliers,C,Anderson Varejao,Phoenix Suns,L,11/09/2012,35:36,5,12,0.417,0,1,0.0,4,7,0.571,2,8,10,3,2,0,3,4,14,12
Cleveland Cavaliers,G,Dion Waiters,Phoenix Suns,L,11/09/2012,31:01,9,13,0.692,3,5,0.6,2,2,1.0,0,1,1,2,1,1,1,1,23,-4
Cleveland Cavaliers,G,Kyrie Irving,Phoenix Suns,L,11/09/2012,37:41,4,9,0.444,1,3,0.333,8,9,0.889,0,4,4,8,1,1,7,5,17,5
Cleveland Cavaliers,F,Alonzo Gee,Oklahoma City Thunder,L,11/11/2012,31:56,7,17,0.412,2,7,0.286,2,2,1.0,0,0,0,1,2,0,0,3,18,-11
Cleveland Cavaliers,F,Tristan Thompson,Oklahoma City Thunder,L,11/11/2012,33:12,3,6,0.5,0,0,0.0,4,4,1.0,2,6,8,1,2,0,1,3,10,1
Cleveland Cavaliers,C,Anderson Varejao,Oklahoma City Thunder,L,11/11/2012,32:42,2,8,0.25,0,0,0.0,2,4,0.5,1,7,8,6,2,0,3,3,6,-13
Cleveland Cavaliers,G,Dion Waiters,Oklahoma City Thunder,L,11/11/2012,21:11,3,6,0.5,1,2,0.5,1,2,0.5,1,3,4,0,0,0,2,2,8,9
Cleveland Cavaliers,G,Kyrie Irving,Oklahoma City Thunder,L,11/11/2012,34:04,9,16,0.563,2,3,0.667,0,2,0.0,1,3,4,5,1,0,4,1,20,-14
Cleveland Cavaliers,F,Alonzo Gee,Brooklyn Nets,L,11/13/2012,37:57,2,7,0.286,0,1,0.0,0,0,0.0,0,1,1,2,0,0,1,4,4,6
Cleveland Cavaliers,F,Tristan Thompson,Brooklyn Nets,L,11/13/2012,30:49,6,11,0.545,0,0,0.0,2,5,0.4,3,2,5,0,1,0,1,4,14,-5
Cleveland Cavaliers,C,Anderson Varejao,Brooklyn Nets,L,11/13/2012,37:29,16,21,0.762,0,0,0.0,3,3,1.0,11,7,18,3,2,0,1,2,35,4
Cleveland Cavaliers,G,Dion Waiters,Brooklyn Nets,L,11/13/2012,35:48,3,16,0.188,1,5,0.2,1,2,0.5,0,4,4,2,2,0,2,2,8,-10
Cleveland Cavaliers,G,Kyrie Irving,Brooklyn Nets,L,11/13/2012,37:44,9,19,0.474,2,6,0.333,14,14,1.0,1,3,4,8,3,0,4,2,34,-1
Cleveland Cavaliers,F,Alonzo Gee,Dallas Mavericks,L,11/17/2012,35:27,6,16,0.375,0,3,0.0,3,5,0.6,4,3,7,2,4,1,0,1,15,-4
Cleveland Cavaliers,F,Tristan Thompson,Dallas Mavericks,L,11/17/2012,28:51,5,12,0.417,0,0,0.0,0,0,0.0,4,8,12,3,0,0,2,2,10,3
Cleveland Cavaliers,C,Anderson Varejao,Dallas Mavericks,L,11/17/2012,38:44,2,11,0.182,0,0,0.0,0,0,0.0,4,3,7,3,1,1,1,1,4,-8
Cleveland Cavaliers,G,Dion Waiters,Dallas Mavericks,L,11/17/2012,28:11,4,16,0.25,1,4,0.25,7,8,0.875,0,4,4,3,2,0,1,2,16,-1
Cleveland Cavaliers,G,Kyrie Irving,Dallas Mavericks,L,11/17/2012,33:39,11,21,0.524,2,7,0.286,2,3,0.667,0,0,0,0,1,1,3,3,26,-2
Cleveland Cavaliers,F,Alonzo Gee,Philadelphia 76ers,L,11/18/2012,37:19,6,11,0.545,0,3,0.0,5,5,1.0,1,3,4,2,2,1,2,2,17,-1
Cleveland Cavaliers,F,Tristan Thompson,Philadelphia 76ers,L,11/18/2012,30:47,6,14,0.429,0,0,0.0,2,3,0.667,8,5,13,2,0,1,0,2,14,-3
Cleveland Cavaliers,C,Anderson Varejao,Philadelphia 76ers,L,11/18/2012,37:19,5,12,0.417,0,0,0.0,4,4,1.0,5,10,15,3,1,0,0,1,14,-6
Cleveland Cavaliers,G,Dion Waiters,Philadelphia 76ers,L,11/18/2012,30:55,2,13,0.154,1,6,0.167,0,0,0.0,0,0,0,0,1,0,3,0,5,-3
Cleveland Cavaliers,G,Kyrie Irving,Philadelphia 76ers,L,11/18/2012,37:18,4,14,0.286,0,2,0.0,1,1,1.0,0,4,4,4,1,0,5,3,9,-5
Cleveland Cavaliers,F,Alonzo Gee,Philadelphia 76ers,W,11/21/2012,38:50,5,9,0.556,4,6,0.667,0,0,0.0,1,5,6,2,1,3,2,3,14,7
Cleveland Cavaliers,F,Tristan Thompson,Philadelphia 76ers,W,11/21/2012,24:53,1,7,0.143,0,0,0.0,2,3,0.667,3,8,11,2,0,1,0,1,4,2
Cleveland Cavaliers,C,Anderson Varejao,Philadelphia 76ers,W,11/21/2012,34:23,3,10,0.3,0,0,0.0,4,5,0.8,7,12,19,2,1,0,4,1,10,10
Cleveland Cavaliers,G,Dion Waiters,Philadelphia 76ers,W,11/21/2012,38:56,7,22,0.318,2,5,0.4,0,0,0.0,0,4,4,6,0,0,2,1,16,11
Cleveland Cavaliers,G,Jeremy Pargo,Philadelphia 76ers,W,11/21/2012,38:52,11,19,0.579,4,8,0.5,2,4,0.5,0,5,5,4,1,0,3,3,28,2
Cleveland Cavaliers,F,Alonzo Gee,Orlando Magic,L,11/23/2012,31:07,3,12,0.25,1,5,0.2,5,6,0.833,0,2,2,3,2,1,5,2,12,-8
Cleveland Cavaliers,F,Tristan Thompson,Orlando Magic,L,11/23/2012,28:16,3,6,0.5,0,0,0.0,0,0,0.0,2,3,5,1,0,0,2,3,6,5
Cleveland Cavaliers,C,Anderson Varejao,Orlando Magic,L,11/23/2012,36:33,7,13,0.538,0,0,0.0,5,6,0.833,11,6,17,3,1,0,3,5,19,-5
Cleveland Cavaliers,G,Dion Waiters,Orlando Magic,L,11/23/2012,36:40,9,22,0.409,4,11,0.364,3,3,1.0,0,3,3,5,2,0,0,4,25,-4
Cleveland Cavaliers,G,Jeremy Pargo,Orlando Magic,L,11/23/2012,30:08,7,14,0.5,1,4,0.25,0,0,0.0,0,1,1,1,0,0,0,1,15,0
Cleveland Cavaliers,F,Alonzo Gee,Miami Heat,L,11/24/2012,28:48,4,8,0.5,1,2,0.5,3,5,0.6,1,4,5,1,1,0,2,5,12,-14
Cleveland Cavaliers,F,Tristan Thompson,Miami Heat,L,11/24/2012,22:39,6,7,0.857,0,0,0.0,1,2,0.5,2,3,5,1,0,0,1,1,13,-2
Cleveland Cavaliers,C,Anderson Varejao,Miami Heat,L,11/24/2012,35:05,2,9,0.222,0,1,0.0,6,7,0.857,5,10,15,4,4,0,1,4,10,-9
Cleveland Cavaliers,G,Dion Waiters,Miami Heat,L,11/24/2012,37:33,5,14,0.357,3,9,0.333,3,4,0.75,0,1,1,2,1,0,1,2,16,-4
Cleveland Cavaliers,G,Jeremy Pargo,Miami Heat,L,11/24/2012,32:57,4,13,0.308,2,4,0.5,6,8,0.75,0,1,1,7,1,0,4,4,16,11
Cleveland Cavaliers,F,Alonzo Gee,Memphis Grizzlies,L,11/26/2012,33:09,4,11,0.364,1,2,0.5,0,0,0.0,2,3,5,1,0,0,2,4,9,-10
Cleveland Cavaliers,F,Tristan Thompson,Memphis Grizzlies,L,11/26/2012,32:23,4,7,0.571,0,0,0.0,1,2,0.5,3,2,5,0,2,2,3,5,9,-11
Cleveland Cavaliers,C,Anderson Varejao,Memphis Grizzlies,L,11/26/2012,37:17,7,11,0.636,0,1,0.0,1,2,0.5,8,14,22,3,2,1,3,2,15,-3
Cleveland Cavaliers,G,Dion Waiters,Memphis Grizzlies,L,11/26/2012,35:19,5,16,0.313,0,2,0.0,5,6,0.833,0,0,0,3,4,0,2,1,15,-6
Cleveland Cavaliers,G,Jeremy Pargo,Memphis Grizzlies,L,11/26/2012,30:35,4,12,0.333,1,4,0.25,0,0,0.0,1,1,2,3,1,0,3,0,9,-5
Cleveland Cavaliers,F,Alonzo Gee,Phoenix Suns,L,11/27/2012,34:56,3,7,0.429,0,0,0.0,6,7,0.857,2,1,3,3,2,0,3,3,12,-18
Cleveland Cavaliers,F,Tristan Thompson,Phoenix Suns,L,11/27/2012,23:47,1,7,0.143,0,0,0.0,3,4,0.75,2,4,6,0,0,0,3,3,5,-7
Cleveland Cavaliers,C,Anderson Varejao,Phoenix Suns,L,11/27/2012,37:53,10,15,0.667,0,0,0.0,0,0,0.0,6,12,18,3,1,1,2,3,20,-14
Cleveland Cavaliers,G,Dion Waiters,Phoenix Suns,L,11/27/2012,37:55,7,20,0.35,0,4,0.0,2,3,0.667,1,2,3,7,2,1,3,2,16,-8
Cleveland Cavaliers,G,Jeremy Pargo,Phoenix Suns,L,11/27/2012,35:47,3,12,0.25,1,4,0.25,1,2,0.5,2,2,4,5,1,0,5,5,8,-18
Cleveland Cavaliers,F,Alonzo Gee,Atlanta Hawks,W,11/30/2012,32:14,4,12,0.333,1,4,0.25,4,5,0.8,1,4,5,1,0,0,6,5,13,10
Cleveland Cavaliers,F,Tristan Thompson,Atlanta Hawks,W,11/30/2012,32:50,3,7,0.429,0,0,0.0,0,0,0.0,6,9,15,1,2,1,0,4,6,-1
Cleveland Cavaliers,C,Anderson Varejao,Atlanta Hawks,W,11/30/2012,35:02,7,12,0.583,0,0,0.0,6,6,1.0,7,11,18,3,0,0,2,2,20,-5
Cleveland Cavaliers,G,Dion Waiters,Atlanta Hawks,W,11/30/2012,29:39,6,16,0.375,2,7,0.286,7,7,1.0,0,1,1,7,0,0,4,3,21,0
Cleveland Cavaliers,G,Jeremy Pargo,Atlanta Hawks,W,11/30/2012,31:06,9,13,0.692,2,4,0.5,2,2,1.0,0,1,1,2,2,0,4,2,22,16
Cleveland Cavaliers,F,Alonzo Gee,Portland Trail Blazers,L,12/01/2012,38:21,9,17,0.529,3,8,0.375,1,3,0.333,0,4,4,3,1,0,2,4,22,-3
Cleveland Cavaliers,F,Tristan Thompson,Portland Trail Blazers,L,12/01/2012,37:32,5,8,0.625,0,0,0.0,0,0,0.0,1,1,2,1,0,2,1,5,10,-12
Cleveland Cavaliers,C,Anderson Varejao,Portland Trail Blazers,L,12/01/2012,46:46,7,11,0.636,0,0,0.0,5,6,0.833,8,9,17,5,2,0,2,4,19,0
Cleveland Cavaliers,G,Dion Waiters,Portland Trail Blazers,L,12/01/2012,35:30,4,17,0.235,2,8,0.25,2,2,1.0,0,5,5,7,1,0,2,2,12,-2
Cleveland Cavaliers,G,Jeremy Pargo,Portland Trail Blazers,L,12/01/2012,35:35,3,12,0.25,3,6,0.5,4,4,1.0,0,2,2,8,1,0,3,1,13,-11
Cleveland Cavaliers,F,Omri Casspi,Detroit Pistons,L,12/03/2012,28:12,4,11,0.364,2,5,0.4,0,0,0.0,1,3,4,1,0,1,1,2,10,-9
Cleveland Cavaliers,F,Tristan Thompson,Detroit Pistons,L,12/03/2012,32:33,4,13,0.308,0,0,0.0,2,2,1.0,5,6,11,1,0,2,0,4,10,-8
Cleveland Cavaliers,C,Anderson Varejao,Detroit Pistons,L,12/03/2012,39:29,7,18,0.389,0,1,0.0,3,6,0.5,9,9,18,2,3,1,3,2,17,-4
Cleveland Cavaliers,G,Alonzo Gee,Detroit Pistons,L,12/03/2012,29:44,2,10,0.2,0,3,0.0,2,2,1.0,0,2,2,1,3,0,1,0,6,-5
