Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dallas Mavericks,,Vince Carter,Los Angeles Lakers,W,10/30/2012,26:50,5,12,0.417,0,4,0.0,1,2,0.5,0,4,4,2,1,0,1,3,11,13
Dallas Mavericks,,Eddy Curry,Los Angeles Lakers,W,10/30/2012,16:44,3,7,0.429,0,0,0.0,1,2,0.5,2,2,4,0,0,0,1,4,7,6
Dallas Mavericks,,Jae Crowder,Los Angeles Lakers,W,10/30/2012,19:30,3,7,0.429,2,4,0.5,0,0,0.0,0,3,3,2,1,0,0,1,8,2
Dallas Mavericks,,Rodrigue Beaubois,Los Angeles Lakers,W,10/30/2012,16:50,4,8,0.5,1,2,0.5,2,2,1.0,1,0,1,5,1,0,0,2,11,9
Dallas Mavericks,,Dahntay Jones,Los Angeles Lakers,W,10/30/2012,8:22,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,2
Dallas Mavericks,,Vince Carter,Utah Jazz,L,10/31/2012,20:00,3,12,0.25,2,4,0.5,4,4,1.0,0,1,1,2,0,0,1,5,12,-9
Dallas Mavericks,,Eddy Curry,Utah Jazz,L,10/31/2012,8:01,1,1,1.0,0,0,0.0,0,2,0.0,0,0,0,0,0,0,2,3,2,0
Dallas Mavericks,,Jae Crowder,Utah Jazz,L,10/31/2012,21:38,3,11,0.273,2,6,0.333,0,2,0.0,0,3,3,1,0,0,0,5,8,-10
Dallas Mavericks,,Rodrigue Beaubois,Utah Jazz,L,10/31/2012,15:19,3,5,0.6,1,2,0.5,1,1,1.0,0,1,1,0,2,1,1,3,8,-16
Dallas Mavericks,,Bernard James,Utah Jazz,L,10/31/2012,16:09,1,5,0.2,0,0,0.0,6,6,1.0,2,4,6,0,1,0,1,3,8,-27
Dallas Mavericks,,Dahntay Jones,Utah Jazz,L,10/31/2012,7:43,1,4,0.25,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-25
Dallas Mavericks,,Dominique Jones,Utah Jazz,L,10/31/2012,0:45,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Dallas Mavericks,,Jared Cunningham,Utah Jazz,L,10/31/2012,6:03,0,3,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,1,1,0,-4
Dallas Mavericks,,Jae Crowder,Charlotte Bobcats,W,11/03/2012,21:36,4,5,0.8,1,2,0.5,1,1,1.0,0,3,3,2,1,1,1,3,10,12
Dallas Mavericks,,Chris Kaman,Charlotte Bobcats,W,11/03/2012,20:27,8,9,0.889,0,0,0.0,0,0,0.0,1,3,4,2,0,0,2,2,16,26
