Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dallas Mavericks,F,Shawn Marion,Los Angeles Lakers,W,10/30/2012,32:53,5,11,0.455,0,0,0.0,1,1,1.0,2,7,9,4,1,1,2,4,11,-2
Dallas Mavericks,F,Elton Brand,Los Angeles Lakers,W,10/30/2012,36:12,3,10,0.3,0,0,0.0,2,2,1.0,2,9,11,2,1,1,0,4,8,7
Dallas Mavericks,C,Brandan Wright,Los Angeles Lakers,W,10/30/2012,19:31,5,5,1.0,0,0,0.0,4,5,0.8,1,4,5,0,0,3,3,3,14,4
Dallas Mavericks,G,O.J. Mayo,Los Angeles Lakers,W,10/30/2012,31:10,4,13,0.308,2,4,0.5,2,2,1.0,1,0,1,3,1,0,2,0,12,-1
Dallas Mavericks,G,Darren Collison,Los Angeles Lakers,W,10/30/2012,32:00,8,12,0.667,0,1,0.0,1,2,0.5,0,2,2,4,3,0,2,2,17,0
Dallas Mavericks,F,Shawn Marion,Utah Jazz,L,10/31/2012,29:27,2,7,0.286,1,2,0.5,0,0,0.0,2,9,11,4,0,0,4,1,5,1
Dallas Mavericks,F,Elton Brand,Utah Jazz,L,10/31/2012,25:42,2,8,0.25,0,0,0.0,1,2,0.5,3,4,7,2,3,2,2,3,5,-2
Dallas Mavericks,C,Brandan Wright,Utah Jazz,L,10/31/2012,25:53,7,8,0.875,0,0,0.0,1,2,0.5,0,3,3,1,0,2,1,2,15,1
Dallas Mavericks,G,O.J. Mayo,Utah Jazz,L,10/31/2012,30:39,3,9,0.333,3,5,0.6,3,4,0.75,0,4,4,3,0,0,2,4,12,-1
Dallas Mavericks,G,Darren Collison,Utah Jazz,L,10/31/2012,32:41,6,12,0.5,2,2,1.0,3,3,1.0,1,3,4,7,1,0,1,2,17,-3
Dallas Mavericks,F,Shawn Marion,Charlotte Bobcats,W,11/03/2012,21:48,3,3,1.0,0,0,0.0,2,3,0.667,2,7,9,2,0,2,5,1,8,6
Dallas Mavericks,F,Elton Brand,Charlotte Bobcats,W,11/03/2012,20:04,1,5,0.2,0,0,0.0,0,0,0.0,1,1,2,3,0,1,2,2,2,10
Dallas Mavericks,C,Brandan Wright,Charlotte Bobcats,W,11/03/2012,23:15,5,8,0.625,0,0,0.0,0,2,0.0,1,5,6,1,1,1,2,2,10,3
Dallas Mavericks,G,O.J. Mayo,Charlotte Bobcats,W,11/03/2012,31:38,10,17,0.588,7,10,0.7,3,3,1.0,1,5,6,3,0,0,2,2,30,27
Dallas Mavericks,G,Darren Collison,Charlotte Bobcats,W,11/03/2012,31:54,8,12,0.667,2,2,1.0,0,0,0.0,0,3,3,10,1,0,2,2,18,21
Dallas Mavericks,F,Shawn Marion,Portland Trail Blazers,W,11/05/2012,24:15,4,6,0.667,0,0,0.0,0,0,0.0,0,7,7,3,1,2,1,1,8,5
Dallas Mavericks,F,Elton Brand,Portland Trail Blazers,W,11/05/2012,23:33,4,7,0.571,0,0,0.0,0,0,0.0,1,4,5,2,1,0,1,5,8,12
Dallas Mavericks,C,Brandan Wright,Portland Trail Blazers,W,11/05/2012,25:09,5,7,0.714,0,0,0.0,0,0,0.0,1,3,4,2,1,1,0,0,10,23
Dallas Mavericks,G,O.J. Mayo,Portland Trail Blazers,W,11/05/2012,39:27,12,18,0.667,6,8,0.75,2,2,1.0,0,2,2,1,2,1,3,1,32,21
