Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Denver Nuggets,,Andre Miller,Philadelphia 76ers,L,10/31/2012,32:21,5,15,0.333,0,1,0.0,0,0,0.0,1,6,7,5,2,0,3,2,10,0
Denver Nuggets,,Corey Brewer,Philadelphia 76ers,L,10/31/2012,27:22,3,9,0.333,2,6,0.333,0,0,0.0,0,6,6,0,1,0,5,4,8,0
Denver Nuggets,,JaVale McGee,Philadelphia 76ers,L,10/31/2012,18:20,2,5,0.4,0,0,0.0,0,0,0.0,4,3,7,0,0,3,3,0,4,-9
Denver Nuggets,,Wilson Chandler,Philadelphia 76ers,L,10/31/2012,20:34,2,8,0.25,0,1,0.0,1,2,0.5,0,3,3,0,0,0,1,4,5,-7
Denver Nuggets,,Evan Fournier,Philadelphia 76ers,L,10/31/2012,10:19,2,4,0.5,1,2,0.5,0,0,0.0,0,0,0,1,0,0,1,1,5,5
Denver Nuggets,,JaVale McGee,Orlando Magic,L,11/02/2012,11:27,2,5,0.4,0,0,0.0,0,0,0.0,1,1,2,1,0,1,2,2,4,-10
Denver Nuggets,,Corey Brewer,Orlando Magic,L,11/02/2012,23:38,3,9,0.333,2,6,0.333,0,0,0.0,0,4,4,0,1,0,1,2,8,-11
Denver Nuggets,,Wilson Chandler,Orlando Magic,L,11/02/2012,18:44,3,10,0.3,1,3,0.333,2,4,0.5,2,4,6,0,0,0,2,2,9,-4
Denver Nuggets,,Andre Miller,Orlando Magic,L,11/02/2012,20:34,5,8,0.625,1,1,1.0,0,0,0.0,2,1,3,4,0,0,1,1,11,-10
Denver Nuggets,,Evan Fournier,Orlando Magic,L,11/02/2012,6:46,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3
Denver Nuggets,,Jordan Hamilton,Orlando Magic,L,11/02/2012,3:16,1,2,0.5,0,0,0.0,2,4,0.5,1,0,1,0,1,0,0,0,4,4
Denver Nuggets,,JaVale McGee,Miami Heat,L,11/03/2012,22:42,6,9,0.667,0,0,0.0,4,5,0.8,4,5,9,0,0,1,0,4,16,10
Denver Nuggets,,Andre Miller,Miami Heat,L,11/03/2012,27:39,8,10,0.8,0,0,0.0,1,1,1.0,1,1,2,1,0,0,3,1,17,5
Denver Nuggets,,Corey Brewer,Miami Heat,L,11/03/2012,22:49,4,10,0.4,2,7,0.286,0,0,0.0,1,4,5,0,1,0,0,4,10,12
Denver Nuggets,,Andre Miller,Detroit Pistons,W,11/06/2012,26:09,2,5,0.4,0,2,0.0,4,5,0.8,2,1,3,6,3,0,2,1,8,1
Denver Nuggets,,Wilson Chandler,Detroit Pistons,W,11/06/2012,16:09,2,8,0.25,1,3,0.333,0,0,0.0,4,3,7,0,0,0,1,2,5,7
Denver Nuggets,,Corey Brewer,Detroit Pistons,W,11/06/2012,20:06,4,11,0.364,3,7,0.429,0,0,0.0,2,6,8,0,1,1,1,2,11,5
Denver Nuggets,,JaVale McGee,Detroit Pistons,W,11/06/2012,18:01,7,11,0.636,0,0,0.0,2,2,1.0,3,0,3,1,0,3,1,0,16,9
Denver Nuggets,,Andre Miller,Houston Rockets,W,11/07/2012,24:25,0,2,0.0,0,0,0.0,0,0,0.0,0,7,7,5,0,0,5,3,0,-1
Denver Nuggets,,JaVale McGee,Houston Rockets,W,11/07/2012,20:01,5,7,0.714,0,0,0.0,2,2,1.0,3,3,6,0,0,0,3,1,12,-8
Denver Nuggets,,Corey Brewer,Houston Rockets,W,11/07/2012,21:53,4,9,0.444,2,5,0.4,4,4,1.0,0,1,1,1,2,2,0,0,14,11
Denver Nuggets,,JaVale McGee,Utah Jazz,W,11/09/2012,18:17,2,8,0.25,0,0,0.0,0,0,0.0,1,4,5,1,1,1,2,0,4,5
Denver Nuggets,,Corey Brewer,Utah Jazz,W,11/09/2012,20:28,7,14,0.5,5,8,0.625,1,1,1.0,1,2,3,0,2,0,0,0,20,4
Denver Nuggets,,Timofey Mozgov,Utah Jazz,W,11/09/2012,19:39,1,3,0.333,0,0,0.0,2,2,1.0,1,3,4,0,1,2,0,5,4,-2
Denver Nuggets,,Andre Miller,Utah Jazz,W,11/09/2012,24:31,2,6,0.333,0,1,0.0,2,2,1.0,0,3,3,7,0,2,1,1,6,10
Denver Nuggets,,Evan Fournier,Utah Jazz,W,11/09/2012,12:00,1,3,0.333,0,2,0.0,0,0,0.0,1,0,1,2,0,0,3,0,2,4
Denver Nuggets,,Anthony Randolph,Utah Jazz,W,11/09/2012,4:34,1,1,1.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,1,2,6
Denver Nuggets,,Jordan Hamilton,Utah Jazz,W,11/09/2012,2:48,2,3,0.667,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,4,3
Denver Nuggets,,JaVale McGee,Golden State Warriors,W,11/10/2012,21:18,4,9,0.444,0,0,0.0,1,2,0.5,7,5,12,0,0,2,1,3,9,-8
Denver Nuggets,,Corey Brewer,Golden State Warriors,W,11/10/2012,21:16,5,12,0.417,0,3,0.0,1,2,0.5,0,4,4,1,1,0,2,1,11,-2
Denver Nuggets,,Andre Miller,Golden State Warriors,W,11/10/2012,30:32,5,14,0.357,0,0,0.0,3,4,0.75,3,2,5,9,1,0,1,3,13,16
Denver Nuggets,,JaVale McGee,Phoenix Suns,L,11/12/2012,24:09,8,12,0.667,0,0,0.0,0,0,0.0,1,2,3,1,0,2,1,2,16,-5
Denver Nuggets,,Corey Brewer,Phoenix Suns,L,11/12/2012,21:44,3,9,0.333,1,3,0.333,0,0,0.0,0,0,0,2,0,0,0,2,7,-8
Denver Nuggets,,Andre Miller,Phoenix Suns,L,11/12/2012,26:01,2,7,0.286,1,2,0.5,3,4,0.75,1,1,2,6,0,0,3,2,8,-17
Denver Nuggets,,Wilson Chandler,Phoenix Suns,L,11/12/2012,13:53,3,6,0.5,0,1,0.0,1,2,0.5,0,4,4,0,0,1,1,2,7,-5
Denver Nuggets,,Timofey Mozgov,Phoenix Suns,L,11/12/2012,2:22,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,0,-1
Denver Nuggets,,JaVale McGee,Miami Heat,L,11/15/2012,21:13,9,12,0.75,0,0,0.0,0,0,0.0,3,3,6,0,0,4,1,2,18,14
Denver Nuggets,,Corey Brewer,Miami Heat,L,11/15/2012,18:42,1,8,0.125,0,3,0.0,0,0,0.0,0,2,2,0,0,0,0,2,2,6
Denver Nuggets,,Andre Miller,Miami Heat,L,11/15/2012,25:57,7,9,0.778,2,2,1.0,3,3,1.0,3,2,5,7,1,0,2,3,19,6
Denver Nuggets,,Jordan Hamilton,Miami Heat,L,11/15/2012,20:35,4,11,0.364,3,7,0.429,0,0,0.0,0,3,3,0,1,0,1,1,11,-2
Denver Nuggets,,JaVale McGee,San Antonio Spurs,L,11/17/2012,20:20,6,10,0.6,0,0,0.0,0,0,0.0,1,7,8,1,1,2,1,3,12,-1
Denver Nuggets,,Andre Miller,San Antonio Spurs,L,11/17/2012,19:07,1,2,0.5,0,0,0.0,2,2,1.0,0,1,1,3,1,0,0,1,4,-14
Denver Nuggets,,Corey Brewer,San Antonio Spurs,L,11/17/2012,27:57,4,9,0.444,2,3,0.667,3,4,0.75,1,6,7,2,1,0,2,3,13,0
Denver Nuggets,,Timofey Mozgov,San Antonio Spurs,L,11/17/2012,12:38,2,2,1.0,0,0,0.0,0,0,0.0,2,1,3,0,0,0,1,2,4,-22
Denver Nuggets,,Jordan Hamilton,San Antonio Spurs,L,11/17/2012,14:55,1,5,0.2,1,2,0.5,1,2,0.5,1,0,1,2,0,0,1,0,4,-10
Denver Nuggets,,Evan Fournier,San Antonio Spurs,L,11/17/2012,7:39,4,5,0.8,1,2,0.5,1,2,0.5,0,0,0,2,0,0,1,1,10,-3
Denver Nuggets,,Andre Miller,Memphis Grizzlies,W,11/19/2012,29:37,2,6,0.333,0,1,0.0,2,2,1.0,0,0,0,8,3,0,3,0,6,14
Denver Nuggets,,Corey Brewer,Memphis Grizzlies,W,11/19/2012,19:29,3,7,0.429,1,2,0.5,3,6,0.5,0,2,2,0,2,0,0,2,10,-1
Denver Nuggets,,JaVale McGee,Memphis Grizzlies,W,11/19/2012,17:45,7,12,0.583,0,0,0.0,1,3,0.333,5,3,8,0,0,1,0,1,15,13
