Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Detroit Pistons,F,Tayshaun Prince,Houston Rockets,L,10/31/2012,32:22,4,9,0.444,0,1,0.0,4,4,1.0,0,4,4,1,1,0,1,0,12,-8
Detroit Pistons,F,Jason Maxiell,Houston Rockets,L,10/31/2012,24:00,4,7,0.571,0,0,0.0,2,2,1.0,4,4,8,0,0,2,2,2,10,4
Detroit Pistons,C,Greg Monroe,Houston Rockets,L,10/31/2012,35:07,7,13,0.538,0,0,0.0,0,3,0.0,2,6,8,4,3,0,4,4,14,-9
Detroit Pistons,G,Rodney Stuckey,Houston Rockets,L,10/31/2012,36:47,1,10,0.1,0,3,0.0,7,8,0.875,0,2,2,6,1,0,0,0,9,-19
Detroit Pistons,G,Brandon Knight,Houston Rockets,L,10/31/2012,36:45,5,15,0.333,1,4,0.25,4,6,0.667,0,4,4,4,1,0,2,0,15,-12
Detroit Pistons,F,Tayshaun Prince,Phoenix Suns,L,11/02/2012,34:21,7,15,0.467,1,1,1.0,3,5,0.6,1,2,3,2,0,0,1,1,18,0
Detroit Pistons,F,Jason Maxiell,Phoenix Suns,L,11/02/2012,31:23,7,12,0.583,0,0,0.0,2,3,0.667,4,2,6,0,0,1,1,2,16,-9
Detroit Pistons,C,Greg Monroe,Phoenix Suns,L,11/02/2012,29:10,5,17,0.294,0,0,0.0,0,2,0.0,1,5,6,0,0,0,1,4,10,-6
Detroit Pistons,G,Rodney Stuckey,Phoenix Suns,L,11/02/2012,22:07,0,7,0.0,0,3,0.0,1,1,1.0,0,4,4,4,0,2,2,1,1,-7
Detroit Pistons,G,Brandon Knight,Phoenix Suns,L,11/02/2012,31:21,5,12,0.417,2,4,0.5,1,2,0.5,0,5,5,10,0,0,2,3,13,-7
Detroit Pistons,F,Tayshaun Prince,Los Angeles Lakers,L,11/04/2012,24:07,3,8,0.375,0,0,0.0,3,4,0.75,0,2,2,0,0,1,1,1,9,-40
Detroit Pistons,F,Jason Maxiell,Los Angeles Lakers,L,11/04/2012,19:11,3,7,0.429,0,0,0.0,2,2,1.0,3,3,6,0,0,0,2,2,8,-26
