Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Houston Rockets,,Carlos Delfino,Detroit Pistons,W,10/31/2012,23:56,5,6,0.833,5,6,0.833,0,0,0.0,1,6,7,0,1,0,3,3,15,8
Houston Rockets,,Greg Smith,Detroit Pistons,W,10/31/2012,17:02,4,4,1.0,0,0,0.0,2,2,1.0,2,3,5,0,2,0,0,5,10,4
Houston Rockets,,Toney Douglas,Detroit Pistons,W,10/31/2012,12:33,0,5,0.0,0,2,0.0,2,2,1.0,0,0,0,1,0,0,1,1,2,-14
Houston Rockets,,Daequan Cook,Detroit Pistons,W,10/31/2012,5:54,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-3
Houston Rockets,,Marcus Morris,Atlanta Hawks,W,11/02/2012,19:02,8,14,0.571,1,6,0.167,0,0,0.0,2,3,5,0,0,0,1,2,17,-6
Houston Rockets,,Cole Aldrich,Atlanta Hawks,W,11/02/2012,12:31,2,3,0.667,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,3,4,-6
Houston Rockets,,Toney Douglas,Atlanta Hawks,W,11/02/2012,8:10,0,3,0.0,0,2,0.0,0,0,0.0,0,2,2,2,0,0,1,3,0,-2
Houston Rockets,,Carlos Delfino,Atlanta Hawks,W,11/02/2012,25:47,2,8,0.25,1,5,0.2,2,2,1.0,0,2,2,2,2,0,2,1,7,-6
Houston Rockets,,Cole Aldrich,Portland Trail Blazers,L,11/03/2012,16:20,3,5,0.6,0,0,0.0,0,0,0.0,2,4,6,0,1,0,1,2,6,-2
Houston Rockets,,Carlos Delfino,Portland Trail Blazers,L,11/03/2012,20:06,1,7,0.143,0,5,0.0,0,0,0.0,0,4,4,1,1,0,0,3,2,0
Houston Rockets,,Toney Douglas,Portland Trail Blazers,L,11/03/2012,15:42,1,6,0.167,0,1,0.0,0,0,0.0,0,1,1,2,4,0,0,0,2,7
Houston Rockets,,Marcus Morris,Portland Trail Blazers,L,11/03/2012,14:56,4,8,0.5,2,4,0.5,3,6,0.5,3,0,3,0,0,1,1,0,13,19
Houston Rockets,,Carlos Delfino,Denver Nuggets,L,11/07/2012,30:48,6,14,0.429,4,10,0.4,3,4,0.75,1,4,5,2,2,0,1,0,19,0
Houston Rockets,,Marcus Morris,Denver Nuggets,L,11/07/2012,18:52,1,7,0.143,0,3,0.0,1,2,0.5,2,3,5,1,0,0,1,2,3,-15
Houston Rockets,,Cole Aldrich,Denver Nuggets,L,11/07/2012,15:34,1,2,0.5,0,0,0.0,2,3,0.667,1,2,3,1,0,1,0,3,4,9
Houston Rockets,,Toney Douglas,Denver Nuggets,L,11/07/2012,14:60,1,4,0.25,0,1,0.0,2,2,1.0,0,1,1,2,1,0,1,4,4,-5
Houston Rockets,,Carlos Delfino,Memphis Grizzlies,L,11/09/2012,27:18,3,9,0.333,2,7,0.286,0,0,0.0,0,4,4,2,1,1,2,0,8,-1
Houston Rockets,,Daequan Cook,Memphis Grizzlies,L,11/09/2012,7:00,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,-2
Houston Rockets,,Marcus Morris,Memphis Grizzlies,L,11/09/2012,14:57,2,6,0.333,1,2,0.5,0,0,0.0,0,3,3,0,1,0,0,2,5,-12
Houston Rockets,,Cole Aldrich,Memphis Grizzlies,L,11/09/2012,4:50,1,3,0.333,0,0,0.0,0,0,0.0,1,0,1,0,0,1,0,2,2,-6
Houston Rockets,,Toney Douglas,Detroit Pistons,W,11/10/2012,20:46,3,7,0.429,1,3,0.333,4,4,1.0,0,2,2,2,1,0,4,2,11,13
Houston Rockets,,Marcus Morris,Detroit Pistons,W,11/10/2012,19:13,6,7,0.857,0,0,0.0,0,2,0.0,2,6,8,0,2,0,0,1,12,21
Houston Rockets,,Carlos Delfino,Detroit Pistons,W,11/10/2012,22:51,2,7,0.286,1,4,0.25,0,1,0.0,0,3,3,1,1,0,0,1,5,12
Houston Rockets,,Greg Smith,Detroit Pistons,W,11/10/2012,11:32,0,2,0.0,0,0,0.0,2,2,1.0,1,3,4,4,1,1,0,3,2,20
Houston Rockets,,Terrence Jones,Detroit Pistons,W,11/10/2012,12:26,1,6,0.167,1,3,0.333,2,2,1.0,0,0,0,0,0,2,0,1,5,-12
Houston Rockets,,Cole Aldrich,Detroit Pistons,W,11/10/2012,3:44,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,-8
Houston Rockets,,Daequan Cook,Detroit Pistons,W,11/10/2012,5:30,2,2,1.0,1,1,1.0,0,0,0.0,0,1,1,3,0,0,0,1,5,-9
Houston Rockets,,Donatas Motiejunas,Detroit Pistons,W,11/10/2012,5:19,1,1,1.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,2,3,-8
Houston Rockets,,Marcus Morris,Miami Heat,L,11/12/2012,19:30,3,4,0.75,2,3,0.667,0,0,0.0,1,4,5,0,0,0,0,6,8,7
Houston Rockets,,Carlos Delfino,Miami Heat,L,11/12/2012,23:49,3,10,0.3,2,7,0.286,0,0,0.0,0,4,4,3,0,0,1,2,8,19
