Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Houston Rockets,F,Chandler Parsons,Detroit Pistons,W,10/31/2012,42:26,3,9,0.333,1,4,0.25,4,5,0.8,2,5,7,6,0,0,3,3,11,9
Houston Rockets,F,Marcus Morris,Detroit Pistons,W,10/31/2012,25:36,3,10,0.3,0,2,0.0,0,0,0.0,4,3,7,1,0,0,2,3,6,-3
Houston Rockets,C,Omer Asik,Detroit Pistons,W,10/31/2012,33:02,5,6,0.833,0,0,0.0,2,6,0.333,2,7,9,0,1,2,3,2,12,3
Houston Rockets,G,James Harden,Detroit Pistons,W,10/31/2012,44:04,14,25,0.56,4,10,0.4,5,6,0.833,1,5,6,12,4,1,4,2,37,18
Houston Rockets,G,Jeremy Lin,Detroit Pistons,W,10/31/2012,35:27,5,12,0.417,0,2,0.0,2,2,1.0,0,4,4,8,4,0,4,4,12,23
Houston Rockets,F,Chandler Parsons,Atlanta Hawks,W,11/02/2012,30:41,2,9,0.222,1,6,0.167,1,2,0.5,2,3,5,6,3,0,3,2,6,1
Houston Rockets,F,Patrick Patterson,Atlanta Hawks,W,11/02/2012,28:58,4,11,0.364,1,4,0.25,0,0,0.0,3,4,7,2,2,1,3,0,9,13
Houston Rockets,C,Omer Asik,Atlanta Hawks,W,11/02/2012,35:13,0,7,0.0,0,0,0.0,0,0,0.0,9,10,19,1,1,1,3,2,0,15
Houston Rockets,G,James Harden,Atlanta Hawks,W,11/02/2012,39:49,14,19,0.737,2,4,0.5,15,17,0.882,1,6,7,2,0,0,5,3,45,17
Houston Rockets,G,Jeremy Lin,Atlanta Hawks,W,11/02/2012,39:50,6,16,0.375,2,3,0.667,7,8,0.875,5,5,10,7,0,0,3,2,21,9
