Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Los Angeles Lakers,F,Metta World Peace,Dallas Mavericks,L,10/30/2012,36:29,1,8,0.125,0,3,0.0,1,2,0.5,2,6,8,4,3,0,3,1,3,-5
Los Angeles Lakers,F,Pau Gasol,Dallas Mavericks,L,10/30/2012,40:19,8,19,0.421,1,1,1.0,6,8,0.75,4,9,13,6,0,3,2,2,23,3
Los Angeles Lakers,C,Dwight Howard,Dallas Mavericks,L,10/30/2012,37:59,8,12,0.667,0,0,0.0,3,14,0.214,4,6,10,2,0,1,3,6,19,-13
Los Angeles Lakers,G,Kobe Bryant,Dallas Mavericks,L,10/30/2012,34:52,11,14,0.786,0,0,0.0,0,0,0.0,0,1,1,0,1,0,2,3,22,-1
Los Angeles Lakers,G,Steve Nash,Dallas Mavericks,L,10/30/2012,34:09,3,9,0.333,1,4,0.25,0,0,0.0,0,2,2,4,0,1,1,1,7,-3
Los Angeles Lakers,F,Metta World Peace,Portland Trail Blazers,L,10/31/2012,32:32,4,5,0.8,2,3,0.667,0,0,0.0,0,3,3,2,1,1,6,6,10,10
Los Angeles Lakers,F,Pau Gasol,Portland Trail Blazers,L,10/31/2012,39:51,7,14,0.5,0,0,0.0,2,2,1.0,3,6,9,2,1,0,2,3,16,6
Los Angeles Lakers,C,Dwight Howard,Portland Trail Blazers,L,10/31/2012,41:21,9,15,0.6,0,0,0.0,15,19,0.789,6,8,14,5,1,1,3,5,33,-2
Los Angeles Lakers,G,Kobe Bryant,Portland Trail Blazers,L,10/31/2012,38:29,10,20,0.5,4,9,0.444,6,7,0.857,2,4,6,3,0,0,7,5,30,9
Los Angeles Lakers,G,Steve Nash,Portland Trail Blazers,L,10/31/2012,16:02,1,3,0.333,0,1,0.0,0,0,0.0,0,4,4,4,1,0,2,1,2,0
Los Angeles Lakers,F,Metta World Peace,Los Angeles Clippers,L,11/02/2012,38:18,3,10,0.3,1,7,0.143,1,2,0.5,0,1,1,3,2,0,2,5,8,-2
Los Angeles Lakers,F,Pau Gasol,Los Angeles Clippers,L,11/02/2012,38:50,5,9,0.556,0,0,0.0,0,0,0.0,3,11,14,3,1,0,1,3,10,-8
Los Angeles Lakers,C,Dwight Howard,Los Angeles Clippers,L,11/02/2012,30:28,4,7,0.571,0,0,0.0,5,10,0.5,1,7,8,2,0,5,4,5,13,-3
Los Angeles Lakers,G,Kobe Bryant,Los Angeles Clippers,L,11/02/2012,42:55,14,23,0.609,2,3,0.667,10,10,1.0,2,4,6,1,2,0,6,1,40,-7
Los Angeles Lakers,G,Steve Blake,Los Angeles Clippers,L,11/02/2012,38:41,2,6,0.333,2,3,0.667,2,2,1.0,0,1,1,2,0,0,3,6,8,-2
