Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Memphis Grizzlies,,Jerryd Bayless,Los Angeles Clippers,L,10/31/2012,15:20,1,8,0.125,1,3,0.333,3,4,0.75,0,1,1,4,1,1,1,3,6,-6
Memphis Grizzlies,,Marreese Speights,Los Angeles Clippers,L,10/31/2012,16:51,2,4,0.5,0,0,0.0,3,3,1.0,0,2,2,0,1,0,0,4,7,7
Memphis Grizzlies,,Wayne Ellington,Los Angeles Clippers,L,10/31/2012,15:31,2,5,0.4,0,2,0.0,0,0,0.0,1,1,2,0,0,0,0,2,4,3
Memphis Grizzlies,,Quincy Pondexter,Los Angeles Clippers,L,10/31/2012,12:28,0,4,0.0,0,3,0.0,0,0,0.0,1,0,1,3,2,0,1,2,0,-10
Memphis Grizzlies,,Marreese Speights,Golden State Warriors,W,11/02/2012,18:19,2,7,0.286,0,0,0.0,0,0,0.0,2,3,5,0,0,1,1,4,4,-5
Memphis Grizzlies,,Wayne Ellington,Golden State Warriors,W,11/02/2012,17:43,3,6,0.5,2,4,0.5,2,2,1.0,0,0,0,3,1,0,0,0,10,2
Memphis Grizzlies,,Quincy Pondexter,Golden State Warriors,W,11/02/2012,17:50,1,2,0.5,0,0,0.0,2,2,1.0,0,1,1,2,1,0,0,1,4,-1
Memphis Grizzlies,,Jerryd Bayless,Golden State Warriors,W,11/02/2012,14:02,2,3,0.667,1,1,1.0,0,0,0.0,0,0,0,4,0,0,1,2,5,-4
Memphis Grizzlies,,Quincy Pondexter,Utah Jazz,W,11/05/2012,22:20,5,8,0.625,2,2,1.0,2,3,0.667,1,1,2,1,0,0,1,1,14,3
Memphis Grizzlies,,Marreese Speights,Utah Jazz,W,11/05/2012,21:29,3,5,0.6,0,0,0.0,1,2,0.5,0,6,6,1,1,1,3,4,7,11
Memphis Grizzlies,,Wayne Ellington,Utah Jazz,W,11/05/2012,13:02,1,5,0.2,0,1,0.0,0,0,0.0,1,2,3,0,1,0,0,0,2,6
Memphis Grizzlies,,Jerryd Bayless,Utah Jazz,W,11/05/2012,14:23,1,3,0.333,1,3,0.333,0,0,0.0,0,2,2,4,1,1,2,1,3,3
Memphis Grizzlies,,Wayne Ellington,Milwaukee Bucks,W,11/07/2012,18:28,2,3,0.667,1,2,0.5,0,0,0.0,1,2,3,2,0,0,0,2,5,9
Memphis Grizzlies,,Marreese Speights,Milwaukee Bucks,W,11/07/2012,21:59,9,13,0.692,0,0,0.0,0,1,0.0,1,8,9,1,0,2,1,4,18,10
Memphis Grizzlies,,Jerryd Bayless,Milwaukee Bucks,W,11/07/2012,13:05,3,4,0.75,2,3,0.667,0,0,0.0,0,1,1,3,1,0,0,2,8,14
Memphis Grizzlies,,Quincy Pondexter,Milwaukee Bucks,W,11/07/2012,23:08,3,6,0.5,3,4,0.75,0,0,0.0,1,1,2,1,1,0,0,2,9,12
Memphis Grizzlies,,Tony Wroten,Milwaukee Bucks,W,11/07/2012,3:05,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3
Memphis Grizzlies,,Josh Selby,Milwaukee Bucks,W,11/07/2012,3:05,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,0,0,-3
Memphis Grizzlies,,Marreese Speights,Houston Rockets,W,11/09/2012,20:37,2,9,0.222,0,0,0.0,3,4,0.75,6,1,7,2,0,2,0,0,7,9
Memphis Grizzlies,,Quincy Pondexter,Houston Rockets,W,11/09/2012,28:59,2,7,0.286,1,4,0.25,0,0,0.0,1,0,1,1,4,0,1,1,5,12
Memphis Grizzlies,,Jerryd Bayless,Houston Rockets,W,11/09/2012,17:56,4,8,0.5,2,4,0.5,2,2,1.0,0,2,2,3,3,0,1,1,12,9
Memphis Grizzlies,,Wayne Ellington,Houston Rockets,W,11/09/2012,17:53,2,4,0.5,1,3,0.333,0,0,0.0,0,1,1,2,0,1,0,1,5,12
Memphis Grizzlies,,Quincy Pondexter,Miami Heat,W,11/11/2012,19:27,3,6,0.5,1,2,0.5,0,2,0.0,0,1,1,1,1,0,0,2,7,19
Memphis Grizzlies,,Marreese Speights,Miami Heat,W,11/11/2012,19:05,1,6,0.167,0,0,0.0,2,2,1.0,3,2,5,1,0,0,2,3,4,-15
Memphis Grizzlies,,Jerryd Bayless,Miami Heat,W,11/11/2012,16:29,2,3,0.667,1,1,1.0,0,0,0.0,0,1,1,0,1,1,3,2,5,-8
Memphis Grizzlies,,Wayne Ellington,Miami Heat,W,11/11/2012,27:20,8,13,0.615,7,11,0.636,2,2,1.0,0,1,1,3,0,0,0,2,25,36
Memphis Grizzlies,,Josh Selby,Miami Heat,W,11/11/2012,3:30,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,1,0,0,1,0,-9
Memphis Grizzlies,,Tony Wroten,Miami Heat,W,11/11/2012,3:30,0,3,0.0,0,0,0.0,0,0,0.0,1,0,1,0,1,0,0,1,0,-9
Memphis Grizzlies,,Hamed Haddadi,Miami Heat,W,11/11/2012,2:56,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-5
Memphis Grizzlies,,Quincy Pondexter,Oklahoma City Thunder,W,11/14/2012,27:16,4,10,0.4,3,7,0.429,2,2,1.0,1,1,2,2,0,0,0,2,13,8
Memphis Grizzlies,,Marreese Speights,Oklahoma City Thunder,W,11/14/2012,7:22,0,3,0.0,0,0,0.0,0,0,0.0,1,2,3,0,0,0,0,0,0,7
Memphis Grizzlies,,Jerryd Bayless,Oklahoma City Thunder,W,11/14/2012,17:19,5,8,0.625,2,3,0.667,0,0,0.0,0,2,2,4,0,0,1,5,12,13
Memphis Grizzlies,,Wayne Ellington,Oklahoma City Thunder,W,11/14/2012,11:21,3,5,0.6,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,2,6,9
Memphis Grizzlies,,Quincy Pondexter,New York Knicks,W,11/16/2012,24:56,1,3,0.333,1,3,0.333,0,0,0.0,0,3,3,1,0,0,0,0,3,-3
Memphis Grizzlies,,Jerryd Bayless,New York Knicks,W,11/16/2012,13:10,3,6,0.5,0,1,0.0,0,0,0.0,0,1,1,1,0,0,2,3,6,-2
Memphis Grizzlies,,Wayne Ellington,New York Knicks,W,11/16/2012,16:59,2,4,0.5,1,2,0.5,0,0,0.0,0,0,0,1,1,0,1,1,5,-10
Memphis Grizzlies,,Marreese Speights,New York Knicks,W,11/16/2012,11:21,2,6,0.333,0,0,0.0,1,2,0.5,0,1,1,0,0,1,1,3,5,-9
Memphis Grizzlies,,Tony Wroten,New York Knicks,W,11/16/2012,1:03,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4
Memphis Grizzlies,,Josh Selby,New York Knicks,W,11/16/2012,1:03,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-4
Memphis Grizzlies,,Quincy Pondexter,Charlotte Bobcats,W,11/17/2012,22:46,1,3,0.333,0,2,0.0,0,0,0.0,0,3,3,1,0,0,1,2,2,-4
Memphis Grizzlies,,Marreese Speights,Charlotte Bobcats,W,11/17/2012,20:35,1,7,0.143,0,0,0.0,7,8,0.875,3,3,6,0,0,0,4,3,9,-3
Memphis Grizzlies,,Jerryd Bayless,Charlotte Bobcats,W,11/17/2012,21:44,2,5,0.4,0,1,0.0,1,1,1.0,0,2,2,3,0,3,2,2,5,0
Memphis Grizzlies,,Wayne Ellington,Charlotte Bobcats,W,11/17/2012,11:29,0,5,0.0,0,4,0.0,0,0,0.0,0,1,1,1,0,0,0,1,0,0
Memphis Grizzlies,,Quincy Pondexter,Denver Nuggets,L,11/19/2012,26:12,3,7,0.429,0,3,0.0,0,0,0.0,1,1,2,1,2,0,0,2,6,-13
Memphis Grizzlies,,Wayne Ellington,Denver Nuggets,L,11/19/2012,8:12,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-3
Memphis Grizzlies,,Jerryd Bayless,Denver Nuggets,L,11/19/2012,19:06,4,8,0.5,1,5,0.2,0,2,0.0,0,1,1,3,2,0,2,2,9,-3
Memphis Grizzlies,,Marreese Speights,Denver Nuggets,L,11/19/2012,13:20,4,7,0.571,0,0,0.0,0,0,0.0,1,2,3,1,0,2,1,4,8,-5
Memphis Grizzlies,,Quincy Pondexter,Los Angeles Lakers,W,11/23/2012,21:19,2,2,1.0,2,2,1.0,2,2,1.0,1,1,2,0,0,0,1,4,8,1
Memphis Grizzlies,,Marreese Speights,Los Angeles Lakers,W,11/23/2012,14:02,1,4,0.25,0,0,0.0,2,2,1.0,1,3,4,1,0,0,0,4,4,-11
