Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Milwaukee Bucks,,Larry Sanders,Boston Celtics,W,11/02/2012,21:40,5,7,0.714,0,0,0.0,0,0,0.0,2,5,7,0,0,2,1,5,10,0
Milwaukee Bucks,,Mike Dunleavy,Boston Celtics,W,11/02/2012,22:41,2,5,0.4,1,1,1.0,2,2,1.0,1,5,6,2,2,0,2,0,7,10
Milwaukee Bucks,,Ekpe Udoh,Boston Celtics,W,11/02/2012,23:21,3,5,0.6,0,0,0.0,4,4,1.0,2,1,3,1,2,2,1,1,10,7
Milwaukee Bucks,,Beno Udrih,Boston Celtics,W,11/02/2012,21:15,3,6,0.5,1,3,0.333,3,3,1.0,0,5,5,2,0,0,3,1,10,2
Milwaukee Bucks,,Marquis Daniels,Boston Celtics,W,11/02/2012,9:37,0,5,0.0,0,2,0.0,0,0,0.0,0,0,0,0,1,0,1,1,0,-4
Milwaukee Bucks,,Doron Lamb,Boston Celtics,W,11/02/2012,2:37,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-9
Milwaukee Bucks,,Mike Dunleavy,Cleveland Cavaliers,W,11/03/2012,34:42,10,12,0.833,6,7,0.857,3,5,0.6,0,12,12,6,2,1,1,1,29,24
Milwaukee Bucks,,Beno Udrih,Cleveland Cavaliers,W,11/03/2012,16:46,5,10,0.5,1,2,0.5,0,0,0.0,0,2,2,5,1,0,0,1,11,20
Milwaukee Bucks,,Larry Sanders,Cleveland Cavaliers,W,11/03/2012,29:59,8,9,0.889,0,0,0.0,1,2,0.5,0,7,7,0,0,4,1,6,17,19
Milwaukee Bucks,,Ekpe Udoh,Cleveland Cavaliers,W,11/03/2012,23:24,2,4,0.5,0,0,0.0,1,2,0.5,0,0,0,1,1,0,1,2,5,8
Milwaukee Bucks,,Doron Lamb,Cleveland Cavaliers,W,11/03/2012,5:31,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,13
Milwaukee Bucks,,Joel Przybilla,Cleveland Cavaliers,W,11/03/2012,5:40,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,0,-4
Milwaukee Bucks,,Mike Dunleavy,Memphis Grizzlies,L,11/07/2012,23:42,4,10,0.4,2,3,0.667,0,0,0.0,0,2,2,2,1,0,1,2,10,-4
Milwaukee Bucks,,Larry Sanders,Memphis Grizzlies,L,11/07/2012,26:26,4,8,0.5,0,0,0.0,2,2,1.0,5,6,11,3,1,3,4,4,10,-11
Milwaukee Bucks,,Doron Lamb,Memphis Grizzlies,L,11/07/2012,16:39,1,5,0.2,0,0,0.0,0,0,0.0,0,0,0,2,0,0,1,0,2,-14
Milwaukee Bucks,,Ekpe Udoh,Memphis Grizzlies,L,11/07/2012,10:01,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,0,-15
Milwaukee Bucks,,John Henson,Memphis Grizzlies,L,11/07/2012,17:00,1,5,0.2,0,0,0.0,1,4,0.25,3,0,3,1,1,2,1,3,3,7
Milwaukee Bucks,,Joel Przybilla,Memphis Grizzlies,L,11/07/2012,6:12,1,2,0.5,0,0,0.0,0,0,0.0,1,2,3,0,0,0,0,0,2,2
Milwaukee Bucks,,Marquis Daniels,Memphis Grizzlies,L,11/07/2012,6:12,5,6,0.833,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,0,10,2
Milwaukee Bucks,,Mike Dunleavy,Washington Wizards,W,11/09/2012,32:47,5,10,0.5,2,5,0.4,1,2,0.5,0,9,9,3,1,0,2,4,13,18
Milwaukee Bucks,,Larry Sanders,Washington Wizards,W,11/09/2012,30:42,4,7,0.571,0,1,0.0,5,6,0.833,1,8,9,1,0,3,2,5,13,15
Milwaukee Bucks,,Beno Udrih,Washington Wizards,W,11/09/2012,17:38,4,7,0.571,0,0,0.0,0,0,0.0,0,0,0,3,2,1,1,1,8,12
Milwaukee Bucks,,Ekpe Udoh,Washington Wizards,W,11/09/2012,29:39,4,4,1.0,0,0,0.0,1,1,1.0,1,1,2,1,1,0,1,4,9,18
Milwaukee Bucks,,Marquis Daniels,Washington Wizards,W,11/09/2012,14:50,3,6,0.5,0,0,0.0,0,0,0.0,1,2,3,1,2,0,2,1,6,10
Milwaukee Bucks,,Mike Dunleavy,Boston Celtics,L,11/10/2012,13:37,1,4,0.25,0,1,0.0,0,0,0.0,1,0,1,1,0,0,1,4,2,-3
Milwaukee Bucks,,Larry Sanders,Boston Celtics,L,11/10/2012,26:22,4,7,0.571,0,0,0.0,2,2,1.0,5,7,12,0,0,1,1,6,10,4
Milwaukee Bucks,,Marquis Daniels,Boston Celtics,L,11/10/2012,23:49,5,9,0.556,0,1,0.0,2,2,1.0,0,2,2,2,2,1,1,0,12,7
Milwaukee Bucks,,Ekpe Udoh,Boston Celtics,L,11/10/2012,15:42,2,5,0.4,0,0,0.0,0,0,0.0,2,2,4,0,0,1,0,1,4,6
Milwaukee Bucks,,Beno Udrih,Boston Celtics,L,11/10/2012,16:44,1,5,0.2,0,1,0.0,0,0,0.0,1,2,3,1,1,0,3,2,2,2
Milwaukee Bucks,,Mike Dunleavy,Philadelphia 76ers,W,11/12/2012,32:32,4,6,0.667,2,3,0.667,3,5,0.6,0,5,5,3,0,0,2,0,13,8
Milwaukee Bucks,,Larry Sanders,Philadelphia 76ers,W,11/12/2012,17:35,1,2,0.5,0,0,0.0,0,0,0.0,1,8,9,0,0,2,4,5,2,5
Milwaukee Bucks,,Ekpe Udoh,Philadelphia 76ers,W,11/12/2012,21:16,2,5,0.4,0,0,0.0,3,3,1.0,1,4,5,0,0,2,1,0,7,1
Milwaukee Bucks,,Beno Udrih,Philadelphia 76ers,W,11/12/2012,13:31,3,4,0.75,0,0,0.0,0,0,0.0,1,2,3,2,0,0,3,0,6,-16
Milwaukee Bucks,,Marquis Daniels,Philadelphia 76ers,W,11/12/2012,24:45,2,7,0.286,0,1,0.0,2,2,1.0,1,2,3,1,2,0,0,1,6,5
Milwaukee Bucks,,Beno Udrih,Indiana Pacers,W,11/14/2012,27:11,3,7,0.429,0,0,0.0,3,3,1.0,2,4,6,10,3,0,0,2,9,-6
Milwaukee Bucks,,Ekpe Udoh,Indiana Pacers,W,11/14/2012,19:28,1,6,0.167,0,0,0.0,2,2,1.0,4,3,7,0,2,0,0,1,4,-6
Milwaukee Bucks,,Mike Dunleavy,Indiana Pacers,W,11/14/2012,23:36,2,9,0.222,1,6,0.167,0,0,0.0,0,3,3,0,0,0,1,3,5,6
Milwaukee Bucks,,Larry Sanders,Indiana Pacers,W,11/14/2012,21:52,4,6,0.667,0,0,0.0,1,4,0.25,4,1,5,2,1,2,0,4,9,-9
Milwaukee Bucks,,Marquis Daniels,Indiana Pacers,W,11/14/2012,12:28,0,4,0.0,0,2,0.0,0,0,0.0,0,0,0,1,0,0,1,0,0,-15
Milwaukee Bucks,,John Henson,Indiana Pacers,W,11/14/2012,7:30,5,8,0.625,0,0,0.0,0,0,0.0,1,0,1,0,0,2,0,1,10,-10
Milwaukee Bucks,,Joel Przybilla,Indiana Pacers,W,11/14/2012,6:46,0,0,0.0,0,0,0.0,0,0,0.0,1,3,4,0,0,1,0,0,0,-9
Milwaukee Bucks,,Doron Lamb,Indiana Pacers,W,11/14/2012,4:32,0,3,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-9
Milwaukee Bucks,,Mike Dunleavy,New Orleans Hornets,W,11/17/2012,30:51,5,12,0.417,4,7,0.571,3,4,0.75,3,6,9,5,1,0,0,1,17,-4
Milwaukee Bucks,,Larry Sanders,New Orleans Hornets,W,11/17/2012,20:49,1,5,0.2,0,0,0.0,2,6,0.333,2,4,6,0,1,3,1,5,4,-6
Milwaukee Bucks,,Beno Udrih,New Orleans Hornets,W,11/17/2012,13:39,2,6,0.333,2,3,0.667,2,2,1.0,0,2,2,1,2,0,4,1,8,-2
Milwaukee Bucks,,Ekpe Udoh,New Orleans Hornets,W,11/17/2012,22:31,1,4,0.25,0,0,0.0,0,0,0.0,0,4,4,1,0,0,0,0,2,4
Milwaukee Bucks,,Marquis Daniels,New Orleans Hornets,W,11/17/2012,7:40,2,3,0.667,1,1,1.0,0,0,0.0,0,0,0,1,0,0,0,0,5,10
Milwaukee Bucks,,John Henson,New Orleans Hornets,W,11/17/2012,6:50,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,1,2,9
