Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Minnesota Timberwolves,F,Andrei Kirilenko,Sacramento Kings,W,11/02/2012,30:36,4,7,0.571,0,0,0.0,2,3,0.667,2,5,7,5,0,1,2,0,10,7
Minnesota Timberwolves,F,Derrick Williams,Sacramento Kings,W,11/02/2012,21:10,3,12,0.25,0,1,0.0,2,4,0.5,4,3,7,0,0,1,0,1,8,-11
Minnesota Timberwolves,C,Nikola Pekovic,Sacramento Kings,W,11/02/2012,31:49,2,8,0.25,0,0,0.0,5,8,0.625,3,2,5,0,0,1,1,2,9,5
Minnesota Timberwolves,G,Brandon Roy,Sacramento Kings,W,11/02/2012,30:14,4,14,0.286,0,5,0.0,2,4,0.5,2,3,5,6,1,0,1,0,10,-4
Minnesota Timberwolves,G,Luke Ridnour,Sacramento Kings,W,11/02/2012,20:29,4,7,0.571,1,2,0.5,0,0,0.0,0,3,3,1,1,1,2,2,9,-14
Minnesota Timberwolves,F,Andrei Kirilenko,Toronto Raptors,L,11/04/2012,28:33,6,7,0.857,1,1,1.0,4,5,0.8,1,5,6,3,1,3,2,1,17,-10
Minnesota Timberwolves,F,Derrick Williams,Toronto Raptors,L,11/04/2012,25:39,3,7,0.429,1,1,1.0,2,4,0.5,1,7,8,1,0,0,1,1,9,-5
Minnesota Timberwolves,C,Nikola Pekovic,Toronto Raptors,L,11/04/2012,28:56,6,11,0.545,0,0,0.0,3,4,0.75,1,2,3,1,1,1,3,1,15,-5
Minnesota Timberwolves,G,Brandon Roy,Toronto Raptors,L,11/04/2012,21:50,0,3,0.0,0,1,0.0,4,4,1.0,0,1,1,0,1,0,5,2,4,-4
Minnesota Timberwolves,G,Luke Ridnour,Toronto Raptors,L,11/04/2012,32:22,3,5,0.6,0,2,0.0,2,2,1.0,0,5,5,5,3,0,4,2,8,-4
Minnesota Timberwolves,F,Andrei Kirilenko,Brooklyn Nets,W,11/05/2012,32:52,7,11,0.636,1,2,0.5,1,2,0.5,3,7,10,6,1,4,2,0,16,4
Minnesota Timberwolves,F,Derrick Williams,Brooklyn Nets,W,11/05/2012,18:18,3,12,0.25,0,1,0.0,2,2,1.0,1,1,2,1,0,0,0,0,8,-12
Minnesota Timberwolves,C,Nikola Pekovic,Brooklyn Nets,W,11/05/2012,26:11,9,14,0.643,0,0,0.0,3,3,1.0,6,1,7,1,1,2,3,4,21,3
Minnesota Timberwolves,G,Brandon Roy,Brooklyn Nets,W,11/05/2012,28:56,3,7,0.429,0,2,0.0,0,0,0.0,0,2,2,7,0,0,0,1,6,-2
