Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
New Orleans Hornets,,Roger Mason Jr.,San Antonio Spurs,L,10/31/2012,27:03,3,7,0.429,2,4,0.5,0,0,0.0,0,1,1,2,0,0,0,5,8,-1
New Orleans Hornets,,Ryan Anderson,San Antonio Spurs,L,10/31/2012,28:51,3,10,0.3,1,5,0.2,4,4,1.0,0,5,5,0,0,0,0,2,11,16
New Orleans Hornets,,Jason Smith,San Antonio Spurs,L,10/31/2012,16:34,5,6,0.833,0,0,0.0,2,2,1.0,3,3,6,1,1,1,1,1,12,12
New Orleans Hornets,,Darius Miller,San Antonio Spurs,L,10/31/2012,14:08,1,2,0.5,1,2,0.5,0,0,0.0,0,1,1,2,2,0,2,2,3,15
New Orleans Hornets,,Brian Roberts,San Antonio Spurs,L,10/31/2012,0:09,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3
New Orleans Hornets,,Ryan Anderson,Utah Jazz,W,11/02/2012,31:14,7,15,0.467,5,9,0.556,0,0,0.0,2,4,6,3,0,0,1,5,19,5
New Orleans Hornets,,Roger Mason Jr.,Utah Jazz,W,11/02/2012,15:49,0,2,0.0,0,2,0.0,2,2,1.0,0,2,2,0,0,0,0,0,2,-1
New Orleans Hornets,,Darius Miller,Utah Jazz,W,11/02/2012,11:20,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,2,1,0,0,1,0,-14
New Orleans Hornets,,Jason Smith,Utah Jazz,W,11/02/2012,19:12,3,9,0.333,0,0,0.0,0,0,0.0,2,2,4,0,1,0,1,3,6,-8
New Orleans Hornets,,Brian Roberts,Utah Jazz,W,11/02/2012,4:44,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-7
New Orleans Hornets,,Xavier Henry,Utah Jazz,W,11/02/2012,7:54,1,2,0.5,0,0,0.0,0,1,0.0,1,1,2,0,0,0,1,0,2,-9
New Orleans Hornets,,Jason Smith,Chicago Bulls,W,11/03/2012,15:27,4,5,0.8,0,0,0.0,8,8,1.0,1,1,2,0,0,2,0,4,16,-4
New Orleans Hornets,,Brian Roberts,Chicago Bulls,W,11/03/2012,5:40,0,5,0.0,0,1,0.0,2,2,1.0,1,2,3,1,0,0,1,0,2,-1
New Orleans Hornets,,Roger Mason Jr.,Chicago Bulls,W,11/03/2012,21:07,2,3,0.667,2,3,0.667,2,2,1.0,0,2,2,1,0,0,0,1,8,-1
New Orleans Hornets,,Darius Miller,Chicago Bulls,W,11/03/2012,17:58,0,1,0.0,0,1,0.0,0,0,0.0,0,3,3,1,1,0,0,2,0,4
New Orleans Hornets,,Lance Thomas,Chicago Bulls,W,11/03/2012,5:15,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-3
