Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Orlando Magic,F,Hedo Turkoglu,Denver Nuggets,W,11/02/2012,16:42,3,4,0.75,0,1,0.0,0,0,0.0,1,1,2,1,2,0,0,3,6,-2
Orlando Magic,F,Glen Davis,Denver Nuggets,W,11/02/2012,33:47,13,25,0.52,0,0,0.0,3,5,0.6,4,6,10,0,0,2,1,3,29,17
Orlando Magic,C,Nikola Vucevic,Denver Nuggets,W,11/02/2012,16:04,3,6,0.5,0,0,0.0,0,0,0.0,1,3,4,0,1,2,1,4,6,-5
Orlando Magic,G,Arron Afflalo,Denver Nuggets,W,11/02/2012,32:11,3,13,0.231,0,3,0.0,1,2,0.5,0,6,6,2,1,1,1,1,7,2
Orlando Magic,G,Jameer Nelson,Denver Nuggets,W,11/02/2012,35:00,2,9,0.222,1,4,0.25,4,4,1.0,0,4,4,7,1,0,2,2,9,2
Orlando Magic,F,DeQuan Jones,Phoenix Suns,W,11/04/2012,16:04,1,3,0.333,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,2,6
Orlando Magic,F,Glen Davis,Phoenix Suns,W,11/04/2012,32:07,9,22,0.409,0,0,0.0,4,4,1.0,1,7,8,5,2,0,0,3,22,7
Orlando Magic,C,Nikola Vucevic,Phoenix Suns,W,11/04/2012,36:42,9,16,0.563,0,0,0.0,0,0,0.0,6,7,13,3,1,0,2,3,18,26
Orlando Magic,G,Arron Afflalo,Phoenix Suns,W,11/04/2012,38:15,8,16,0.5,3,3,1.0,3,3,1.0,1,3,4,1,0,0,1,3,22,7
Orlando Magic,G,E'Twaun Moore,Phoenix Suns,W,11/04/2012,38:00,6,11,0.545,3,3,1.0,0,0,0.0,2,1,3,6,3,0,3,2,15,15
Orlando Magic,F,DeQuan Jones,Chicago Bulls,L,11/06/2012,11:51,1,2,0.5,0,0,0.0,0,0,0.0,0,2,2,0,1,1,0,0,2,-9
Orlando Magic,F,Glen Davis,Chicago Bulls,L,11/06/2012,35:45,7,22,0.318,0,1,0.0,2,5,0.4,4,6,10,1,1,0,1,6,16,-8
Orlando Magic,C,Nikola Vucevic,Chicago Bulls,L,11/06/2012,41:32,5,13,0.385,0,0,0.0,6,7,0.857,3,7,10,0,1,2,2,3,16,1
Orlando Magic,G,Arron Afflalo,Chicago Bulls,L,11/06/2012,34:08,10,17,0.588,3,7,0.429,5,5,1.0,1,4,5,5,1,1,0,3,28,-4
Orlando Magic,G,E'Twaun Moore,Chicago Bulls,L,11/06/2012,33:27,7,13,0.538,3,4,0.75,0,0,0.0,3,2,5,2,0,0,1,4,17,-4
Orlando Magic,F,Josh McRoberts,Minnesota Timberwolves,L,11/07/2012,22:22,3,8,0.375,1,1,1.0,0,0,0.0,2,2,4,1,1,1,1,1,7,-23
Orlando Magic,F,Glen Davis,Minnesota Timberwolves,L,11/07/2012,19:18,2,9,0.222,0,0,0.0,0,1,0.0,2,4,6,3,0,0,4,3,4,-16
Orlando Magic,C,Nikola Vucevic,Minnesota Timberwolves,L,11/07/2012,17:58,1,4,0.25,0,0,0.0,0,0,0.0,1,3,4,0,0,0,0,2,2,-15
Orlando Magic,G,Arron Afflalo,Minnesota Timberwolves,L,11/07/2012,28:07,5,11,0.455,1,3,0.333,1,1,1.0,0,3,3,0,0,0,2,3,12,-19
Orlando Magic,G,E'Twaun Moore,Minnesota Timberwolves,L,11/07/2012,35:47,4,14,0.286,0,3,0.0,2,4,0.5,2,3,5,5,1,0,4,0,10,-16
Orlando Magic,F,Josh McRoberts,Brooklyn Nets,L,11/09/2012,12:16,1,3,0.333,0,1,0.0,0,0,0.0,0,2,2,0,0,1,0,1,2,-15
Orlando Magic,F,Glen Davis,Brooklyn Nets,L,11/09/2012,32:28,4,13,0.308,0,0,0.0,0,0,0.0,1,2,3,5,1,0,2,2,8,-33
Orlando Magic,C,Nikola Vucevic,Brooklyn Nets,L,11/09/2012,31:36,5,10,0.5,0,0,0.0,0,0,0.0,1,4,5,3,0,1,2,4,10,-35
Orlando Magic,G,Arron Afflalo,Brooklyn Nets,L,11/09/2012,32:21,6,12,0.5,0,3,0.0,0,0,0.0,1,4,5,0,0,0,1,2,12,-25
Orlando Magic,G,E'Twaun Moore,Brooklyn Nets,L,11/09/2012,40:15,7,15,0.467,4,6,0.667,0,0,0.0,1,3,4,5,0,0,6,3,18,-19
Orlando Magic,F,Arron Afflalo,Brooklyn Nets,L,11/11/2012,40:48,7,17,0.412,0,3,0.0,5,5,1.0,0,7,7,5,1,1,1,1,19,4
Orlando Magic,F,Glen Davis,Brooklyn Nets,L,11/11/2012,38:03,9,21,0.429,0,0,0.0,1,2,0.5,2,8,10,1,3,2,2,4,19,0
Orlando Magic,C,Nikola Vucevic,Brooklyn Nets,L,11/11/2012,39:45,6,15,0.4,0,0,0.0,2,2,1.0,4,9,13,3,0,1,1,4,14,0
Orlando Magic,G,JJ Redick,Brooklyn Nets,L,11/11/2012,37:57,3,12,0.25,0,4,0.0,4,5,0.8,0,2,2,9,1,0,1,3,10,3
Orlando Magic,G,E'Twaun Moore,Brooklyn Nets,L,11/11/2012,40:39,3,11,0.273,1,5,0.2,1,2,0.5,1,1,2,1,0,0,4,4,8,-8
Orlando Magic,F,Arron Afflalo,New York Knicks,L,11/13/2012,38:29,4,14,0.286,2,4,0.5,3,5,0.6,0,4,4,5,1,0,7,4,13,-13
Orlando Magic,F,Glen Davis,New York Knicks,L,11/13/2012,30:48,5,5,1.0,0,0,0.0,0,0,0.0,1,5,6,3,1,0,2,2,10,-4
Orlando Magic,C,Nikola Vucevic,New York Knicks,L,11/13/2012,36:25,6,10,0.6,0,0,0.0,0,0,0.0,1,9,10,2,2,0,4,1,12,-8
Orlando Magic,G,JJ Redick,New York Knicks,L,11/13/2012,38:10,7,13,0.538,1,3,0.333,3,4,0.75,1,3,4,7,1,0,4,0,18,-5
Orlando Magic,G,E'Twaun Moore,New York Knicks,L,11/13/2012,39:00,5,14,0.357,2,6,0.333,0,0,0.0,0,3,3,8,0,1,0,0,12,-5
Orlando Magic,F,Arron Afflalo,Detroit Pistons,W,11/16/2012,37:03,7,14,0.5,2,4,0.5,3,3,1.0,0,2,2,1,2,0,2,2,19,0
Orlando Magic,F,Glen Davis,Detroit Pistons,W,11/16/2012,35:53,8,14,0.571,0,0,0.0,1,2,0.5,6,7,13,2,0,0,2,2,17,3
Orlando Magic,C,Nikola Vucevic,Detroit Pistons,W,11/16/2012,27:53,5,12,0.417,0,0,0.0,1,2,0.5,4,9,13,3,0,2,3,2,11,1
Orlando Magic,G,JJ Redick,Detroit Pistons,W,11/16/2012,38:15,7,13,0.538,3,7,0.429,6,6,1.0,0,1,1,5,1,0,4,1,23,0
Orlando Magic,G,Jameer Nelson,Detroit Pistons,W,11/16/2012,32:14,4,11,0.364,1,4,0.25,4,4,1.0,0,4,4,10,2,0,1,5,13,2
Orlando Magic,F,DeQuan Jones,Toronto Raptors,L,11/18/2012,22:44,3,5,0.6,1,1,1.0,0,0,0.0,1,4,5,1,0,0,1,3,7,-1
Orlando Magic,F,Glen Davis,Toronto Raptors,L,11/18/2012,33:28,8,17,0.471,0,0,0.0,0,0,0.0,4,8,12,1,0,0,2,2,16,-14
Orlando Magic,C,Nikola Vucevic,Toronto Raptors,L,11/18/2012,32:59,5,11,0.455,0,0,0.0,2,4,0.5,0,6,6,1,0,1,0,3,12,-19
Orlando Magic,G,Arron Afflalo,Toronto Raptors,L,11/18/2012,35:06,4,10,0.4,1,1,1.0,6,6,1.0,0,0,0,2,0,0,3,2,15,-8
Orlando Magic,G,Jameer Nelson,Toronto Raptors,L,11/18/2012,35:17,3,13,0.231,0,5,0.0,2,2,1.0,1,3,4,9,2,0,4,2,8,-13
Orlando Magic,F,Arron Afflalo,Atlanta Hawks,L,11/19/2012,25:54,3,10,0.3,0,1,0.0,0,0,0.0,1,3,4,2,0,0,3,0,6,-17
Orlando Magic,F,Glen Davis,Atlanta Hawks,L,11/19/2012,23:42,5,13,0.385,0,0,0.0,1,3,0.333,2,5,7,1,2,0,2,3,11,-17
Orlando Magic,C,Nikola Vucevic,Atlanta Hawks,L,11/19/2012,25:41,2,4,0.5,0,0,0.0,1,2,0.5,3,10,13,2,1,1,1,1,5,-19
Orlando Magic,G,JJ Redick,Atlanta Hawks,L,11/19/2012,17:37,1,7,0.143,0,1,0.0,0,0,0.0,0,1,1,1,0,0,3,3,2,-24
Orlando Magic,G,Jameer Nelson,Atlanta Hawks,L,11/19/2012,28:01,3,8,0.375,2,6,0.333,0,0,0.0,0,3,3,1,1,0,1,2,8,-16
Orlando Magic,F,Maurice Harkless,Detroit Pistons,W,11/21/2012,21:16,3,7,0.429,0,0,0.0,1,2,0.5,2,2,4,2,0,1,1,3,7,4
Orlando Magic,F,Glen Davis,Detroit Pistons,W,11/21/2012,27:12,4,9,0.444,0,0,0.0,3,4,0.75,3,11,14,1,0,0,1,2,11,18
Orlando Magic,C,Nikola Vucevic,Detroit Pistons,W,11/21/2012,22:23,3,6,0.5,0,0,0.0,0,0,0.0,1,5,6,0,1,1,3,4,6,10
