Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Phoenix Suns,,Markieff Morris,Golden State Warriors,L,10/31/2012,16:03,2,5,0.4,0,2,0.0,0,0,0.0,0,3,3,1,1,0,1,3,4,-2
Phoenix Suns,,Jermaine O'Neal,Golden State Warriors,L,10/31/2012,13:41,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,1,1,1,0,-12
Phoenix Suns,,Shannon Brown,Golden State Warriors,L,10/31/2012,15:46,2,8,0.25,0,2,0.0,4,4,1.0,0,0,0,1,1,0,3,2,8,-15
Phoenix Suns,,Sebastian Telfair,Golden State Warriors,L,10/31/2012,11:21,1,3,0.333,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,4,2,-8
Phoenix Suns,,PJ Tucker,Golden State Warriors,L,10/31/2012,23:04,5,9,0.556,0,0,0.0,0,0,0.0,2,0,2,0,1,1,1,2,10,5
Phoenix Suns,,Markieff Morris,Detroit Pistons,W,11/02/2012,19:14,3,12,0.25,0,0,0.0,0,0,0.0,3,1,4,0,1,0,3,2,6,-13
Phoenix Suns,,Wesley Johnson,Detroit Pistons,W,11/02/2012,8:16,1,3,0.333,1,1,1.0,0,0,0.0,1,1,2,0,0,0,1,1,3,-3
Phoenix Suns,,Sebastian Telfair,Detroit Pistons,W,11/02/2012,13:43,2,3,0.667,0,1,0.0,1,2,0.5,0,1,1,1,0,1,0,2,5,0
Phoenix Suns,,Shannon Brown,Detroit Pistons,W,11/02/2012,24:43,7,14,0.5,0,2,0.0,0,1,0.0,0,4,4,2,0,0,1,0,14,-5
Phoenix Suns,,Jermaine O'Neal,Detroit Pistons,W,11/02/2012,12:26,0,1,0.0,0,0,0.0,0,0,0.0,0,4,4,0,0,1,1,3,0,-1
Phoenix Suns,,PJ Tucker,Detroit Pistons,W,11/02/2012,9:25,1,2,0.5,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,2,-4
Phoenix Suns,,Shannon Brown,Orlando Magic,L,11/04/2012,20:11,3,9,0.333,0,2,0.0,0,0,0.0,0,2,2,3,0,0,3,2,6,-9
Phoenix Suns,,Wesley Johnson,Orlando Magic,L,11/04/2012,8:43,1,5,0.2,0,2,0.0,0,0,0.0,0,3,3,0,0,0,0,0,2,-6
Phoenix Suns,,Markieff Morris,Orlando Magic,L,11/04/2012,15:45,2,6,0.333,0,1,0.0,0,2,0.0,2,1,3,1,0,1,2,4,4,-16
Phoenix Suns,,Sebastian Telfair,Orlando Magic,L,11/04/2012,12:05,1,5,0.2,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,2,2,-3
Phoenix Suns,,Jermaine O'Neal,Orlando Magic,L,11/04/2012,10:07,0,1,0.0,0,0,0.0,4,4,1.0,0,4,4,0,0,2,0,1,4,3
Phoenix Suns,,PJ Tucker,Orlando Magic,L,11/04/2012,7:42,0,1,0.0,0,0,0.0,1,2,0.5,0,1,1,0,1,0,0,1,1,-14
Phoenix Suns,,Luke Zeller,Orlando Magic,L,11/04/2012,2:50,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-6
Phoenix Suns,,Kendall Marshall,Orlando Magic,L,11/04/2012,1:23,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4
