Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Portland Trail Blazers,,Nolan Smith,Los Angeles Lakers,W,10/31/2012,13:40,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,2,0,0,1,0,2,-4
Portland Trail Blazers,,Sasha Pavlovic,Los Angeles Lakers,W,10/31/2012,18:14,3,4,0.75,1,1,1.0,0,1,0.0,1,0,1,1,1,0,0,0,7,13
Portland Trail Blazers,,Meyers Leonard,Los Angeles Lakers,W,10/31/2012,23:20,1,2,0.5,0,0,0.0,2,2,1.0,0,3,3,1,0,0,0,3,4,16
Portland Trail Blazers,,Jared Jeffries,Los Angeles Lakers,W,10/31/2012,9:18,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,2,0,8
Portland Trail Blazers,,Meyers Leonard,Oklahoma City Thunder,L,11/02/2012,14:40,0,0,0.0,0,0,0.0,3,4,0.75,0,4,4,0,0,0,1,2,3,-8
Portland Trail Blazers,,Nolan Smith,Oklahoma City Thunder,L,11/02/2012,10:27,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,2,2,2,-5
Portland Trail Blazers,,Sasha Pavlovic,Oklahoma City Thunder,L,11/02/2012,22:44,0,2,0.0,0,2,0.0,0,0,0.0,0,2,2,1,1,0,0,5,0,-9
Portland Trail Blazers,,Joel Freeland,Oklahoma City Thunder,L,11/02/2012,6:07,0,2,0.0,0,0,0.0,2,2,1.0,1,2,3,0,0,0,0,0,2,-3
Portland Trail Blazers,,Jared Jeffries,Oklahoma City Thunder,L,11/02/2012,4:59,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0
Portland Trail Blazers,,Luke Babbitt,Oklahoma City Thunder,L,11/02/2012,8:47,3,5,0.6,2,3,0.667,0,0,0.0,0,1,1,1,0,0,0,1,8,-6
