Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
San Antonio Spurs,F,Kawhi Leonard,New Orleans Hornets,W,10/31/2012,34:17,6,13,0.462,3,6,0.5,4,4,1.0,1,6,7,1,5,0,2,5,19,12
San Antonio Spurs,F,Tim Duncan,New Orleans Hornets,W,10/31/2012,34:22,10,15,0.667,0,0,0.0,4,5,0.8,2,9,11,3,0,3,5,3,24,13
San Antonio Spurs,C,Boris Diaw,New Orleans Hornets,W,10/31/2012,29:49,2,3,0.667,0,1,0.0,0,0,0.0,2,2,4,6,2,1,2,1,4,13
San Antonio Spurs,G,Danny Green,New Orleans Hornets,W,10/31/2012,32:37,4,11,0.364,1,5,0.2,0,0,0.0,0,3,3,0,1,2,1,1,9,-4
San Antonio Spurs,G,Tony Parker,New Orleans Hornets,W,10/31/2012,35:25,9,19,0.474,1,1,1.0,4,6,0.667,0,3,3,6,0,0,0,2,23,12
San Antonio Spurs,F,Kawhi Leonard,Oklahoma City Thunder,W,11/01/2012,32:06,2,8,0.25,0,3,0.0,2,2,1.0,1,3,4,1,5,0,4,4,6,1
San Antonio Spurs,F,Tim Duncan,Oklahoma City Thunder,W,11/01/2012,33:43,8,19,0.421,0,0,0.0,4,6,0.667,0,8,8,1,0,3,0,2,20,-5
San Antonio Spurs,C,Boris Diaw,Oklahoma City Thunder,W,11/01/2012,35:20,4,6,0.667,0,2,0.0,2,4,0.5,1,6,7,4,1,1,3,4,10,11
San Antonio Spurs,G,Danny Green,Oklahoma City Thunder,W,11/01/2012,34:35,5,9,0.556,3,6,0.5,0,0,0.0,0,5,5,2,1,0,0,2,13,0
San Antonio Spurs,G,Tony Parker,Oklahoma City Thunder,W,11/01/2012,34:52,6,13,0.462,1,2,0.5,1,2,0.5,1,2,3,11,0,0,1,3,14,-2
San Antonio Spurs,F,Kawhi Leonard,Utah Jazz,W,11/03/2012,32:22,5,5,1.0,1,1,1.0,2,2,1.0,1,4,5,3,0,0,1,1,13,25
San Antonio Spurs,F,Tim Duncan,Utah Jazz,W,11/03/2012,31:40,7,14,0.5,0,0,0.0,5,6,0.833,1,10,11,1,2,3,1,3,19,17
San Antonio Spurs,C,Boris Diaw,Utah Jazz,W,11/03/2012,26:31,1,3,0.333,0,0,0.0,0,0,0.0,1,2,3,3,1,0,2,4,2,13
San Antonio Spurs,G,Danny Green,Utah Jazz,W,11/03/2012,32:30,8,9,0.889,3,3,1.0,2,2,1.0,0,0,0,3,1,0,1,0,21,10
San Antonio Spurs,G,Tony Parker,Utah Jazz,W,11/03/2012,32:31,9,20,0.45,1,1,1.0,5,6,0.833,0,2,2,10,2,0,5,1,24,12
San Antonio Spurs,F,Kawhi Leonard,Indiana Pacers,W,11/05/2012,24:40,3,9,0.333,0,2,0.0,3,3,1.0,2,2,4,1,1,0,1,1,9,6
San Antonio Spurs,F,Tim Duncan,Indiana Pacers,W,11/05/2012,25:39,7,16,0.438,0,0,0.0,0,0,0.0,1,10,11,3,3,1,0,0,14,6
San Antonio Spurs,C,Boris Diaw,Indiana Pacers,W,11/05/2012,18:50,2,3,0.667,1,1,1.0,0,0,0.0,0,0,0,1,1,0,0,1,5,6
San Antonio Spurs,G,Danny Green,Indiana Pacers,W,11/05/2012,25:50,4,8,0.5,2,3,0.667,0,0,0.0,2,2,4,0,0,0,1,2,10,-3
San Antonio Spurs,G,Tony Parker,Indiana Pacers,W,11/05/2012,25:36,3,13,0.231,0,2,0.0,0,0,0.0,1,3,4,7,0,0,1,1,6,13
