Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Washington Wizards,,Jan Vesely,Cleveland Cavaliers,L,10/30/2012,21:14,3,4,0.75,0,0,0.0,1,4,0.25,3,1,4,1,0,1,1,3,7,-2
Washington Wizards,,Martell Webster,Cleveland Cavaliers,L,10/30/2012,23:25,4,6,0.667,1,3,0.333,0,0,0.0,0,3,3,1,2,0,0,1,9,-1
Washington Wizards,,Jordan Crawford,Cleveland Cavaliers,L,10/30/2012,28:42,4,13,0.308,0,6,0.0,3,4,0.75,1,2,3,5,1,1,1,1,11,0
Washington Wizards,,Chris Singleton,Cleveland Cavaliers,L,10/30/2012,17:11,2,7,0.286,0,1,0.0,0,0,0.0,2,2,4,2,2,0,1,2,4,1
Washington Wizards,,Jannero Pargo,Cleveland Cavaliers,L,10/30/2012,16:21,2,6,0.333,1,4,0.25,2,2,1.0,0,1,1,3,0,0,1,3,7,7
Washington Wizards,,Earl Barron,Cleveland Cavaliers,L,10/30/2012,16:15,4,6,0.667,0,0,0.0,0,1,0.0,4,4,8,0,1,1,0,2,8,1
Washington Wizards,,Martell Webster,Boston Celtics,L,11/03/2012,25:15,1,6,0.167,0,3,0.0,2,2,1.0,0,4,4,4,0,1,1,3,4,10
Washington Wizards,,Kevin Seraphin,Boston Celtics,L,11/03/2012,28:35,8,9,0.889,0,0,0.0,3,4,0.75,0,7,7,0,0,1,2,1,19,17
Washington Wizards,,Jordan Crawford,Boston Celtics,L,11/03/2012,25:13,8,14,0.571,2,4,0.5,3,6,0.5,0,4,4,3,0,0,2,2,21,17
Washington Wizards,,Jan Vesely,Boston Celtics,L,11/03/2012,21:50,2,5,0.4,0,0,0.0,0,0,0.0,2,2,4,3,2,0,1,2,4,5
Washington Wizards,,Jannero Pargo,Boston Celtics,L,11/03/2012,19:30,4,7,0.571,1,3,0.333,0,0,0.0,0,4,4,4,0,0,1,2,9,7
Washington Wizards,,Chris Singleton,Boston Celtics,L,11/03/2012,0:18,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Washington Wizards,,Cartier Martin,Boston Celtics,L,11/03/2012,6:06,2,2,1.0,1,1,1.0,0,0,0.0,0,1,1,0,1,0,2,0,5,5
Washington Wizards,,Kevin Seraphin,Boston Celtics,L,11/07/2012,36:21,8,19,0.421,0,0,0.0,0,0,0.0,4,5,9,3,0,1,6,5,16,-7
