Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Washington Wizards,F,Trevor Ariza,Cleveland Cavaliers,L,10/30/2012,24:35,3,8,0.375,2,4,0.5,1,2,0.5,1,2,3,4,3,2,0,0,9,-9
Washington Wizards,F,Trevor Booker,Cleveland Cavaliers,L,10/30/2012,16:45,2,9,0.222,0,1,0.0,0,0,0.0,1,0,1,1,1,1,4,4,4,-15
Washington Wizards,C,Emeka Okafor,Cleveland Cavaliers,L,10/30/2012,24:35,4,10,0.4,0,0,0.0,2,4,0.5,5,2,7,0,0,4,1,1,10,-5
Washington Wizards,G,Bradley Beal,Cleveland Cavaliers,L,10/30/2012,21:33,2,8,0.25,2,4,0.5,2,2,1.0,0,3,3,3,1,0,2,1,8,-16
Washington Wizards,G,A.J. Price,Cleveland Cavaliers,L,10/30/2012,29:24,2,13,0.154,2,9,0.222,1,1,1.0,1,1,2,6,0,0,1,1,7,-11
Washington Wizards,F,Trevor Ariza,Boston Celtics,L,11/03/2012,16:40,0,4,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,1,1,0,-18
Washington Wizards,F,Trevor Booker,Boston Celtics,L,11/03/2012,28:42,5,10,0.5,0,1,0.0,1,1,1.0,3,7,10,0,1,1,2,3,11,-10
Washington Wizards,C,Emeka Okafor,Boston Celtics,L,11/03/2012,16:36,1,6,0.167,0,0,0.0,1,2,0.5,2,5,7,1,0,1,1,0,3,-18
Washington Wizards,G,Bradley Beal,Boston Celtics,L,11/03/2012,21:52,0,5,0.0,0,2,0.0,2,2,1.0,0,1,1,1,0,0,0,0,2,-18
Washington Wizards,G,A.J. Price,Boston Celtics,L,11/03/2012,29:26,3,10,0.3,2,5,0.4,0,0,0.0,0,4,4,4,2,0,2,0,8,-12
Washington Wizards,F,Trevor Ariza,Boston Celtics,L,11/07/2012,18:41,1,6,0.167,0,1,0.0,0,0,0.0,1,2,3,2,2,0,0,2,2,-8
Washington Wizards,F,Trevor Booker,Boston Celtics,L,11/07/2012,20:18,3,7,0.429,0,0,0.0,0,0,0.0,1,3,4,1,0,0,0,1,6,-4
Washington Wizards,C,Emeka Okafor,Boston Celtics,L,11/07/2012,11:15,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,0,1,2,0,0,2,-4
Washington Wizards,G,Bradley Beal,Boston Celtics,L,11/07/2012,38:19,6,15,0.4,3,8,0.375,1,1,1.0,0,4,4,3,1,1,2,4,16,6
Washington Wizards,G,A.J. Price,Boston Celtics,L,11/07/2012,36:41,6,13,0.462,3,8,0.375,0,0,0.0,0,5,5,7,1,0,6,3,15,6
Washington Wizards,F,Trevor Ariza,Milwaukee Bucks,L,11/09/2012,31:34,5,11,0.455,1,2,0.5,4,4,1.0,1,7,8,4,3,1,3,2,15,1
Washington Wizards,F,Trevor Booker,Milwaukee Bucks,L,11/09/2012,27:13,5,7,0.714,0,0,0.0,1,2,0.5,0,1,1,2,2,0,1,1,11,3
Washington Wizards,C,Emeka Okafor,Milwaukee Bucks,L,11/09/2012,34:59,5,11,0.455,0,0,0.0,1,2,0.5,4,2,6,1,3,3,1,2,11,-1
Washington Wizards,G,Bradley Beal,Milwaukee Bucks,L,11/09/2012,34:28,7,14,0.5,0,4,0.0,8,8,1.0,1,3,4,2,2,0,3,2,22,7
Washington Wizards,G,A.J. Price,Milwaukee Bucks,L,11/09/2012,36:11,4,12,0.333,1,5,0.2,3,3,1.0,0,6,6,9,0,0,3,3,12,2
