Team,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Washington Wizards,Cleveland Cavaliers,L,10/30/2012,240:00,32,90,0.356,8,32,0.25,12,20,0.6,18,21,39,26,11,10,12,19,84,-10
Cleveland Cavaliers,Washington Wizards,W,10/30/2012,240:00,36,79,0.456,7,20,0.35,15,22,0.682,18,36,54,22,7,5,20,21,94,10
Miami Heat,Boston Celtics,W,10/30/2012,240:00,43,79,0.544,8,16,0.5,26,32,0.813,5,31,36,25,8,5,8,20,120,13
Boston Celtics,Miami Heat,L,10/30/2012,240:00,39,75,0.52,6,13,0.462,23,28,0.821,7,34,41,24,4,2,15,23,107,-13
Los Angeles Lakers,Dallas Mavericks,L,10/30/2012,240:00,38,77,0.494,3,13,0.231,12,31,0.387,15,31,46,24,6,5,14,21,91,-8
Dallas Mavericks,Los Angeles Lakers,W,10/30/2012,240:00,40,85,0.471,5,15,0.333,14,18,0.778,9,31,40,22,9,5,11,25,99,8
Toronto Raptors,Indiana Pacers,L,10/31/2012,240:00,33,91,0.363,6,17,0.353,16,19,0.842,15,27,42,18,12,8,10,18,88,-2
Indiana Pacers,Toronto Raptors,W,10/31/2012,240:00,37,78,0.474,5,11,0.455,11,16,0.688,9,37,46,22,3,10,18,16,90,2
Philadelphia 76ers,Denver Nuggets,W,10/31/2012,240:00,30,85,0.353,7,25,0.28,17,21,0.81,14,33,47,18,13,11,15,14,84,9
Denver Nuggets,Philadelphia 76ers,L,10/31/2012,240:00,33,88,0.375,4,18,0.222,5,11,0.455,16,38,54,19,9,5,20,22,75,-9
Houston Rockets,Detroit Pistons,W,10/31/2012,240:00,39,79,0.494,10,27,0.37,17,23,0.739,12,33,45,28,12,3,20,24,105,9
Detroit Pistons,Houston Rockets,L,10/31/2012,240:00,35,79,0.443,6,16,0.375,20,26,0.769,10,26,36,21,12,4,16,15,96,-9
Sacramento Kings,Chicago Bulls,L,10/31/2012,240:00,34,84,0.405,6,17,0.353,13,16,0.813,11,29,40,14,10,5,19,29,87,-6
Chicago Bulls,Sacramento Kings,W,10/31/2012,240:00,33,79,0.418,2,9,0.222,25,33,0.758,14,32,46,21,8,10,18,19,93,6
San Antonio Spurs,New Orleans Hornets,W,10/31/2012,240:00,38,80,0.475,6,20,0.3,17,26,0.654,10,33,43,22,9,8,15,21,99,4
New Orleans Hornets,San Antonio Spurs,L,10/31/2012,240:00,35,80,0.438,4,17,0.235,21,23,0.913,9,34,43,26,7,6,13,20,95,-4
Utah Jazz,Dallas Mavericks,W,10/31/2012,240:00,38,89,0.427,6,14,0.429,31,42,0.738,20,41,61,24,10,8,14,25,113,19
Dallas Mavericks,Utah Jazz,L,10/31/2012,240:00,32,85,0.376,11,22,0.5,19,26,0.731,8,32,40,20,8,5,16,32,94,-19
Phoenix Suns,Golden State Warriors,L,10/31/2012,240:00,32,80,0.4,4,21,0.19,17,22,0.773,11,33,44,16,10,12,18,23,85,-2
Golden State Warriors,Phoenix Suns,W,10/31/2012,240:00,33,86,0.384,5,17,0.294,16,23,0.696,17,32,49,19,9,3,18,20,87,2
Memphis Grizzlies,Los Angeles Clippers,L,10/31/2012,240:00,33,86,0.384,2,14,0.143,24,30,0.8,17,27,44,24,14,4,18,25,92,-9
Los Angeles Clippers,Memphis Grizzlies,W,10/31/2012,240:00,38,74,0.514,5,15,0.333,20,29,0.69,8,31,39,25,12,9,22,27,101,9
Portland Trail Blazers,Los Angeles Lakers,W,10/31/2012,240:00,42,83,0.506,9,20,0.45,23,28,0.821,10,20,30,19,10,5,12,20,116,10
Los Angeles Lakers,Portland Trail Blazers,L,10/31/2012,240:00,36,72,0.5,8,18,0.444,26,32,0.813,15,30,45,21,6,2,24,29,106,-10
New York Knicks,Brooklyn Nets,L,11/26/2012,265:00,33,85,0.388,6,21,0.286,17,24,0.708,17,33,50,14,9,2,14,24,89,-7
Brooklyn Nets,New York Knicks,W,11/26/2012,265:00,37,91,0.407,9,28,0.321,13,19,0.684,18,32,50,23,5,7,12,21,96,7
San Antonio Spurs,Oklahoma City Thunder,W,11/01/2012,240:00,35,79,0.443,5,19,0.263,11,16,0.688,6,33,39,27,9,4,13,21,86,2
Oklahoma City Thunder,San Antonio Spurs,L,11/01/2012,240:00,29,77,0.377,7,17,0.412,19,23,0.826,12,36,48,18,6,5,18,20,84,-2
Indiana Pacers,Charlotte Bobcats,L,11/02/2012,240:00,33,83,0.398,7,26,0.269,16,27,0.593,14,38,52,19,5,5,17,16,89,-1
Charlotte Bobcats,Indiana Pacers,W,11/02/2012,240:00,31,85,0.365,7,19,0.368,21,24,0.875,10,31,41,18,10,9,10,22,90,1
