Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Atlanta Hawks,,DeShawn Stevenson,Houston Rockets,L,11/02/2012,28:59,4,6,0.667,4,6,0.667,0,0,0.0,1,1,2,1,2,0,0,6,12,2
Atlanta Hawks,,Zaza Pachulia,Houston Rockets,L,11/02/2012,21:51,4,5,0.8,0,0,0.0,5,6,0.833,5,3,8,1,0,0,0,4,13,-3
Atlanta Hawks,,Louis Williams,Houston Rockets,L,11/02/2012,30:38,7,17,0.412,2,5,0.4,6,7,0.857,0,4,4,5,3,0,3,2,22,4
Atlanta Hawks,,Anthony Tolliver,Houston Rockets,L,11/02/2012,16:05,0,3,0.0,0,3,0.0,0,0,0.0,0,2,2,0,0,0,0,2,0,1
Atlanta Hawks,,Ivan Johnson,Oklahoma City Thunder,W,11/04/2012,12:15,5,6,0.833,0,1,0.0,0,2,0.0,0,4,4,0,1,0,2,2,10,5
Atlanta Hawks,,Devin Harris,Oklahoma City Thunder,W,11/04/2012,22:39,2,5,0.4,1,1,1.0,2,2,1.0,0,0,0,1,0,0,0,3,7,14
Atlanta Hawks,,Louis Williams,Oklahoma City Thunder,W,11/04/2012,27:33,5,14,0.357,1,6,0.167,8,9,0.889,0,0,0,4,2,0,2,0,19,6
Atlanta Hawks,,Zaza Pachulia,Oklahoma City Thunder,W,11/04/2012,27:57,3,5,0.6,0,0,0.0,0,0,0.0,2,4,6,6,1,0,2,5,6,5
Atlanta Hawks,,Anthony Morrow,Oklahoma City Thunder,W,11/04/2012,13:50,2,2,1.0,1,1,1.0,0,0,0.0,0,1,1,0,3,0,0,1,5,5
Atlanta Hawks,,DeShawn Stevenson,Indiana Pacers,W,11/07/2012,17:11,2,2,1.0,2,2,1.0,2,3,0.667,1,2,3,1,1,0,0,0,8,0
Atlanta Hawks,,Louis Williams,Indiana Pacers,W,11/07/2012,20:35,4,11,0.364,1,5,0.2,0,0,0.0,1,2,3,3,0,0,2,0,9,2
Atlanta Hawks,,Devin Harris,Indiana Pacers,W,11/07/2012,14:45,2,6,0.333,0,1,0.0,0,0,0.0,0,1,1,3,0,0,4,4,4,-3
Atlanta Hawks,,Ivan Johnson,Indiana Pacers,W,11/07/2012,8:34,2,4,0.5,0,0,0.0,1,1,1.0,2,1,3,0,0,0,1,3,5,11
Atlanta Hawks,,Anthony Tolliver,Indiana Pacers,W,11/07/2012,13:36,1,7,0.143,0,1,0.0,0,0,0.0,1,1,2,1,2,0,0,1,2,-1
Atlanta Hawks,,Devin Harris,Miami Heat,L,11/09/2012,19:37,1,3,0.333,0,1,0.0,2,2,1.0,0,2,2,3,0,0,2,1,4,-10
Atlanta Hawks,,Louis Williams,Miami Heat,L,11/09/2012,19:25,0,6,0.0,0,3,0.0,2,2,1.0,0,3,3,3,0,0,2,0,2,-9
Atlanta Hawks,,Anthony Tolliver,Miami Heat,L,11/09/2012,13:53,2,3,0.667,1,2,0.5,0,0,0.0,0,3,3,0,1,0,2,1,5,-3
Atlanta Hawks,,Zaza Pachulia,Miami Heat,L,11/09/2012,13:41,1,3,0.333,0,1,0.0,0,0,0.0,0,4,4,1,0,0,1,2,2,-4
Atlanta Hawks,,Anthony Morrow,Miami Heat,L,11/09/2012,15:29,6,11,0.545,2,2,1.0,3,3,1.0,1,0,1,0,0,0,0,2,17,5
Atlanta Hawks,,Ivan Johnson,Miami Heat,L,11/09/2012,5:24,1,2,0.5,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,2,0
Atlanta Hawks,,Devin Harris,Los Angeles Clippers,L,11/11/2012,25:10,2,7,0.286,1,5,0.2,0,2,0.0,0,4,4,3,0,2,2,1,5,-7
Atlanta Hawks,,Louis Williams,Los Angeles Clippers,L,11/11/2012,18:57,4,9,0.444,3,5,0.6,0,0,0.0,0,1,1,2,1,0,2,0,11,-15
Atlanta Hawks,,Ivan Johnson,Los Angeles Clippers,L,11/11/2012,14:22,1,1,1.0,0,0,0.0,0,0,0.0,1,2,3,1,0,1,2,3,2,0
Atlanta Hawks,,Anthony Tolliver,Los Angeles Clippers,L,11/11/2012,15:32,3,6,0.5,0,1,0.0,2,3,0.667,1,2,3,0,0,0,0,0,8,-3
Atlanta Hawks,,John Jenkins,Los Angeles Clippers,L,11/11/2012,3:48,2,4,0.5,0,0,0.0,2,2,1.0,1,1,2,0,0,0,0,0,6,7
Atlanta Hawks,,Mike Scott,Los Angeles Clippers,L,11/11/2012,3:48,0,2,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,0,0,7
Atlanta Hawks,,Anthony Tolliver,Portland Trail Blazers,W,11/12/2012,10:00,1,3,0.333,0,2,0.0,2,2,1.0,0,1,1,0,1,0,3,1,4,-4
Atlanta Hawks,,Louis Williams,Portland Trail Blazers,W,11/12/2012,18:09,3,7,0.429,0,3,0.0,5,6,0.833,1,0,1,1,4,0,1,1,11,-4
Atlanta Hawks,,Devin Harris,Portland Trail Blazers,W,11/12/2012,8:45,2,3,0.667,0,0,0.0,0,1,0.0,0,1,1,2,0,0,0,1,4,-2
Atlanta Hawks,,Zaza Pachulia,Portland Trail Blazers,W,11/12/2012,23:10,1,6,0.167,0,0,0.0,0,0,0.0,3,6,9,0,0,2,0,2,2,-14
Atlanta Hawks,,Anthony Morrow,Portland Trail Blazers,W,11/12/2012,12:54,2,5,0.4,1,2,0.5,0,0,0.0,0,0,0,0,1,1,0,3,5,4
Atlanta Hawks,,Ivan Johnson,Portland Trail Blazers,W,11/12/2012,5:04,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-3
Atlanta Hawks,,Ivan Johnson,Golden State Warriors,L,11/14/2012,21:32,7,8,0.875,0,0,0.0,1,4,0.25,3,1,4,0,2,0,2,5,15,0
Atlanta Hawks,,Louis Williams,Golden State Warriors,L,11/14/2012,25:23,5,14,0.357,3,8,0.375,5,7,0.714,0,3,3,6,1,0,2,1,18,-4
Atlanta Hawks,,Anthony Morrow,Golden State Warriors,L,11/14/2012,12:19,1,5,0.2,0,2,0.0,1,1,1.0,0,0,0,0,0,0,0,0,3,-13
Atlanta Hawks,,Anthony Tolliver,Golden State Warriors,L,11/14/2012,11:45,0,3,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,2,0,-8
Atlanta Hawks,,Johan Petro,Golden State Warriors,L,11/14/2012,5:02,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-5
Atlanta Hawks,,Mike Scott,Golden State Warriors,L,11/14/2012,3:33,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,-5
Atlanta Hawks,,Louis Williams,Sacramento Kings,W,11/16/2012,28:38,5,8,0.625,2,5,0.4,9,11,0.818,0,4,4,5,2,0,0,2,21,13
Atlanta Hawks,,Devin Harris,Sacramento Kings,W,11/16/2012,13:16,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,1,0,0
Atlanta Hawks,,Ivan Johnson,Sacramento Kings,W,11/16/2012,16:56,3,4,0.75,0,0,0.0,0,0,0.0,0,2,2,1,2,0,0,1,6,-2
Atlanta Hawks,,Anthony Morrow,Sacramento Kings,W,11/16/2012,4:41,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,2,-3
Atlanta Hawks,,John Jenkins,Sacramento Kings,W,11/16/2012,1:25,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0
Atlanta Hawks,,Mike Scott,Sacramento Kings,W,11/16/2012,1:25,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Atlanta Hawks,,DeShawn Stevenson,Orlando Magic,W,11/19/2012,11:51,0,3,0.0,0,3,0.0,0,0,0.0,0,0,0,0,1,0,0,1,0,5
Atlanta Hawks,,Louis Williams,Orlando Magic,W,11/19/2012,27:43,6,12,0.5,0,3,0.0,2,2,1.0,0,3,3,3,1,1,0,2,14,3
Atlanta Hawks,,Zaza Pachulia,Orlando Magic,W,11/19/2012,22:12,3,5,0.6,0,0,0.0,2,2,1.0,3,8,11,1,0,0,2,3,8,16
Atlanta Hawks,,Ivan Johnson,Orlando Magic,W,11/19/2012,17:31,4,8,0.5,0,0,0.0,1,1,1.0,1,7,8,0,1,0,1,3,9,9
Atlanta Hawks,,Anthony Morrow,Orlando Magic,W,11/19/2012,21:06,3,7,0.429,1,3,0.333,0,0,0.0,0,0,0,1,2,0,0,2,7,5
Atlanta Hawks,,Mike Scott,Orlando Magic,W,11/19/2012,5:05,0,2,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,1,0,-10
Atlanta Hawks,,John Jenkins,Orlando Magic,W,11/19/2012,5:05,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-10
Atlanta Hawks,,Anthony Tolliver,Orlando Magic,W,11/19/2012,3:33,0,2,0.0,0,2,0.0,0,0,0.0,2,1,3,0,0,0,1,0,0,-8
Atlanta Hawks,,Louis Williams,Washington Wizards,W,11/21/2012,16:56,4,10,0.4,1,4,0.25,0,0,0.0,0,0,0,3,1,0,1,1,9,-19
Atlanta Hawks,,Zaza Pachulia,Washington Wizards,W,11/21/2012,18:30,2,4,0.5,0,0,0.0,3,3,1.0,3,3,6,2,2,0,1,3,7,-7
Atlanta Hawks,,DeShawn Stevenson,Washington Wizards,W,11/21/2012,8:35,1,2,0.5,0,1,0.0,0,0,0.0,1,3,4,1,0,0,0,1,2,-2
Atlanta Hawks,,Anthony Morrow,Washington Wizards,W,11/21/2012,3:56,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-8
Atlanta Hawks,,Ivan Johnson,Washington Wizards,W,11/21/2012,5:31,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,2,1,0,-13
Atlanta Hawks,,Louis Williams,Charlotte Bobcats,W,11/23/2012,25:57,3,6,0.5,0,2,0.0,0,0,0.0,0,1,1,1,0,3,2,3,6,-11
Atlanta Hawks,,Devin Harris,Charlotte Bobcats,W,11/23/2012,17:39,3,6,0.5,1,3,0.333,1,3,0.333,0,0,0,1,1,3,0,1,8,-4
Atlanta Hawks,,Zaza Pachulia,Charlotte Bobcats,W,11/23/2012,13:41,3,4,0.75,0,0,0.0,3,4,0.75,2,5,7,1,1,1,3,2,9,0
Atlanta Hawks,,Anthony Morrow,Charlotte Bobcats,W,11/23/2012,5:01,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,2,2,3
Atlanta Hawks,,Ivan Johnson,Charlotte Bobcats,W,11/23/2012,4:54,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,1,2,-3
Atlanta Hawks,,Anthony Morrow,Los Angeles Clippers,W,11/24/2012,24:40,3,8,0.375,1,1,1.0,2,2,1.0,0,2,2,0,1,0,1,2,9,-2
Atlanta Hawks,,Ivan Johnson,Los Angeles Clippers,W,11/24/2012,16:41,2,5,0.4,0,0,0.0,0,0,0.0,1,6,7,0,1,0,0,2,4,11
Atlanta Hawks,,Louis Williams,Los Angeles Clippers,W,11/24/2012,24:35,5,9,0.556,2,4,0.5,6,6,1.0,0,1,1,5,0,0,3,3,18,5
Atlanta Hawks,,Mike Scott,Los Angeles Clippers,W,11/24/2012,2:35,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,-8
Atlanta Hawks,,Johan Petro,Los Angeles Clippers,W,11/24/2012,2:35,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-8
Atlanta Hawks,,John Jenkins,Los Angeles Clippers,W,11/24/2012,2:35,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-8
Atlanta Hawks,,Louis Williams,Charlotte Bobcats,W,11/28/2012,29:11,7,16,0.438,3,8,0.375,0,0,0.0,0,1,1,5,1,0,0,1,17,5
Atlanta Hawks,,Devin Harris,Charlotte Bobcats,W,11/28/2012,23:40,2,7,0.286,2,6,0.333,1,2,0.5,0,1,1,4,2,0,1,0,7,1
Atlanta Hawks,,Zaza Pachulia,Charlotte Bobcats,W,11/28/2012,20:59,2,7,0.286,0,0,0.0,2,3,0.667,4,2,6,0,0,0,1,2,6,0
Atlanta Hawks,,Anthony Morrow,Charlotte Bobcats,W,11/28/2012,15:46,3,5,0.6,1,1,1.0,1,2,0.5,1,1,2,0,0,0,1,2,8,-1
Atlanta Hawks,,Louis Williams,Cleveland Cavaliers,L,11/30/2012,25:50,5,10,0.5,3,5,0.6,5,5,1.0,1,2,3,0,0,0,0,2,18,1
Atlanta Hawks,,Anthony Morrow,Cleveland Cavaliers,L,11/30/2012,6:08,2,3,0.667,1,2,0.5,0,0,0.0,0,0,0,0,1,0,0,2,5,-7
Atlanta Hawks,,Zaza Pachulia,Cleveland Cavaliers,L,11/30/2012,21:13,1,5,0.2,0,0,0.0,0,0,0.0,2,0,2,1,0,1,1,1,2,3
Atlanta Hawks,,Ivan Johnson,Cleveland Cavaliers,L,11/30/2012,8:59,2,3,0.667,1,1,1.0,1,2,0.5,0,2,2,1,1,0,0,0,6,18
Atlanta Hawks,,Louis Williams,Denver Nuggets,W,12/05/2012,29:41,4,13,0.308,2,6,0.333,6,6,1.0,0,1,1,6,2,1,2,2,16,17
Atlanta Hawks,,Zaza Pachulia,Denver Nuggets,W,12/05/2012,22:52,3,7,0.429,0,0,0.0,5,6,0.833,4,3,7,2,0,1,1,2,11,8
Atlanta Hawks,,Anthony Morrow,Denver Nuggets,W,12/05/2012,6:30,2,6,0.333,0,2,0.0,0,0,0.0,2,1,3,0,0,0,0,0,4,7
Atlanta Hawks,,Ivan Johnson,Denver Nuggets,W,12/05/2012,15:35,3,6,0.5,0,0,0.0,0,0,0.0,2,2,4,1,1,0,0,1,6,6
Atlanta Hawks,,Louis Williams,Washington Wizards,W,12/07/2012,16:00,4,5,0.8,1,1,1.0,0,0,0.0,0,1,1,0,1,0,4,3,9,-9
Atlanta Hawks,,Zaza Pachulia,Washington Wizards,W,12/07/2012,27:18,1,2,0.5,0,0,0.0,2,2,1.0,5,4,9,4,1,0,0,2,4,-2
Atlanta Hawks,,Anthony Morrow,Washington Wizards,W,12/07/2012,11:36,2,3,0.667,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,1,5,-10
Atlanta Hawks,,John Jenkins,Washington Wizards,W,12/07/2012,1:05,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2
Atlanta Hawks,,Ivan Johnson,Memphis Grizzlies,W,12/08/2012,10:30,3,5,0.6,0,0,0.0,0,0,0.0,0,0,0,1,1,0,2,0,6,0
Atlanta Hawks,,Louis Williams,Memphis Grizzlies,W,12/08/2012,31:12,6,16,0.375,4,6,0.667,5,7,0.714,0,3,3,1,2,0,2,2,21,9
Atlanta Hawks,,Anthony Morrow,Memphis Grizzlies,W,12/08/2012,19:28,1,5,0.2,0,3,0.0,4,5,0.8,1,4,5,3,0,0,1,3,6,-2
Atlanta Hawks,,Anthony Tolliver,Memphis Grizzlies,W,12/08/2012,3:22,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1
Atlanta Hawks,,Louis Williams,Miami Heat,L,12/10/2012,31:02,3,8,0.375,0,3,0.0,5,5,1.0,0,1,1,4,2,0,1,0,11,-5
Atlanta Hawks,,Zaza Pachulia,Miami Heat,L,12/10/2012,18:35,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,1,0,0,1,2,0,-3
Atlanta Hawks,,Anthony Morrow,Miami Heat,L,12/10/2012,16:04,3,4,0.75,0,1,0.0,0,0,0.0,0,3,3,0,1,0,1,1,6,2
Atlanta Hawks,,John Jenkins,Miami Heat,L,12/10/2012,2:41,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,0,2,5
Atlanta Hawks,,Johan Petro,Miami Heat,L,12/10/2012,2:41,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,2,5
Atlanta Hawks,,Anthony Tolliver,Miami Heat,L,12/10/2012,2:41,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,0,0,0,1,0,2,5
