G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak
1,Sat Nov 3 2012,11/03/2012,Toronto Raptors,W,107,100,1,0,W 1
2,Mon Nov 5 2012,11/05/2012,Minnesota Timberwolves,L,96,107,1,1,L 1
3,Wed Nov 7 2012,11/07/2012,Miami Heat,L,73,103,1,2,L 2
4,Fri Nov 9 2012,11/09/2012,Orlando Magic,W,107,68,2,2,W 1
5,Sun Nov 11 2012,11/11/2012,Orlando Magic,W,82,74,3,2,W 2
6,Tue Nov 13 2012,11/13/2012,Cleveland Cavaliers,W,114,101,4,2,W 3
7,Thu Nov 15 2012,11/15/2012,Boston Celtics,W,102,97,5,2,W 4
8,Sun Nov 18 2012,11/18/2012,Sacramento Kings,W,99,90,6,2,W 5
9,Tue Nov 20 2012,11/20/2012,Los Angeles Lakers,L,90,95,6,3,L 1
10,Wed Nov 21 2012,11/21/2012,Golden State Warriors,L,93,102,6,4,L 2
11,Fri Nov 23 2012,11/23/2012,Los Angeles Clippers,W,86,76,7,4,W 1
12,Sun Nov 25 2012,11/25/2012,Portland Trail Blazers,W,98,85,8,4,W 2
13,Mon Nov 26 2012,11/26/2012,New York Knicks,W,96,89,9,4,W 3
14,Wed Nov 28 2012,11/28/2012,Boston Celtics,W,95,83,10,4,W 4
15,Fri Nov 30 2012,11/30/2012,Orlando Magic,W,98,86,11,4,W 5
16,Sat Dec 1 2012,12/01/2012,Miami Heat,L,89,102,11,5,L 1
17,Tue Dec 4 2012,12/04/2012,Oklahoma City Thunder,L,111,117,11,6,L 2
18,Fri Dec 7 2012,12/07/2012,Golden State Warriors,L,102,109,11,7,L 3
19,Sun Dec 9 2012,12/09/2012,Milwaukee Bucks,L,88,97,11,8,L 4
20,Tue Dec 11 2012,12/11/2012,New York Knicks,L,97,100,11,9,L 5
21,Wed Dec 12 2012,12/12/2012,Toronto Raptors,W,94,88,12,9,W 1
22,Fri Dec 14 2012,12/14/2012,Detroit Pistons,W,107,105,13,9,W 2
23,Sat Dec 15 2012,12/15/2012,Chicago Bulls,L,82,83,13,10,L 1
24,Tue Dec 18 2012,12/18/2012,Utah Jazz,L,90,92,13,11,L 2
25,Wed Dec 19 2012,12/19/2012,New York Knicks,L,86,100,13,12,L 3
26,Sun Dec 23 2012,12/23/2012,Philadelphia 76ers,W,95,92,14,12,W 1
27,Tue Dec 25 2012,12/25/2012,Boston Celtics,L,76,93,14,13,L 1
28,Wed Dec 26 2012,12/26/2012,Milwaukee Bucks,L,93,108,14,14,L 2
29,Fri Dec 28 2012,12/28/2012,Charlotte Bobcats,W,97,81,15,14,W 1
30,Sat Dec 29 2012,12/29/2012,Cleveland Cavaliers,W,103,100,16,14,W 2
31,Mon Dec 31 2012,12/31/2012,San Antonio Spurs,L,73,104,16,15,L 1
32,Wed Jan 2 2013,01/02/2013,Oklahoma City Thunder,W,110,93,17,15,W 1
33,Fri Jan 4 2013,01/04/2013,Washington Wizards,W,115,113,18,15,W 2
34,Sat Jan 5 2013,01/05/2013,Sacramento Kings,W,113,93,19,15,W 3
35,Tue Jan 8 2013,01/08/2013,Philadelphia 76ers,W,109,89,20,15,W 4
36,Fri Jan 11 2013,01/11/2013,Phoenix Suns,W,99,79,21,15,W 5
37,Sun Jan 13 2013,01/13/2013,Indiana Pacers,W,97,86,22,15,W 6
38,Tue Jan 15 2013,01/15/2013,Toronto Raptors,W,113,106,23,15,W 7
39,Wed Jan 16 2013,01/16/2013,Atlanta Hawks,L,95,109,23,16,L 1
40,Fri Jan 18 2013,01/18/2013,Atlanta Hawks,W,94,89,24,16,W 1
41,Mon Jan 21 2013,01/21/2013,New York Knicks,W,88,85,25,16,W 2
42,Wed Jan 23 2013,01/23/2013,Minnesota Timberwolves,W,91,83,26,16,W 3
43,Fri Jan 25 2013,01/25/2013,Memphis Grizzlies,L,77,101,26,17,L 1
44,Sat Jan 26 2013,01/26/2013,Houston Rockets,L,106,119,26,18,L 2
45,Mon Jan 28 2013,01/28/2013,Orlando Magic,W,97,77,27,18,W 1
