G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak
1,Fri Nov 2 2012,11/02/2012,Indiana Pacers,W,90,89,1,0,W 1
2,Sat Nov 3 2012,11/03/2012,Dallas Mavericks,L,99,126,1,1,L 1
3,Wed Nov 7 2012,11/07/2012,Phoenix Suns,L,110,117,1,2,L 2
4,Fri Nov 9 2012,11/09/2012,New Orleans Hornets,L,99,107,1,3,L 3
5,Sat Nov 10 2012,11/10/2012,Dallas Mavericks,W,101,97,2,3,W 1
6,Tue Nov 13 2012,11/13/2012,Washington Wizards,W,92,76,3,3,W 2
7,Wed Nov 14 2012,11/14/2012,Minnesota Timberwolves,W,89,87,4,3,W 3
8,Sat Nov 17 2012,11/17/2012,Memphis Grizzlies,L,87,94,4,4,L 1
9,Mon Nov 19 2012,11/19/2012,Milwaukee Bucks,W,102,98,5,4,W 1
10,Wed Nov 21 2012,11/21/2012,Toronto Raptors,W,98,97,6,4,W 2
11,Fri Nov 23 2012,11/23/2012,Atlanta Hawks,L,91,101,6,5,L 1
12,Sat Nov 24 2012,11/24/2012,Washington Wizards,W,108,106,7,5,W 1
13,Mon Nov 26 2012,11/26/2012,Oklahoma City Thunder,L,69,114,7,6,L 1
14,Wed Nov 28 2012,11/28/2012,Atlanta Hawks,L,91,94,7,7,L 2
15,Fri Nov 30 2012,11/30/2012,Philadelphia 76ers,L,98,104,7,8,L 3
16,Mon Dec 3 2012,12/03/2012,Portland Trail Blazers,L,112,118,7,9,L 4
17,Wed Dec 5 2012,12/05/2012,New York Knicks,L,98,100,7,10,L 5
18,Fri Dec 7 2012,12/07/2012,Milwaukee Bucks,L,93,108,7,11,L 6
19,Sat Dec 8 2012,12/08/2012,San Antonio Spurs,L,102,132,7,12,L 7
20,Mon Dec 10 2012,12/10/2012,Golden State Warriors,L,96,104,7,13,L 8
21,Wed Dec 12 2012,12/12/2012,Los Angeles Clippers,L,94,100,7,14,L 9
22,Thu Dec 13 2012,12/13/2012,Atlanta Hawks,L,90,113,7,15,L 10
23,Sat Dec 15 2012,12/15/2012,Orlando Magic,L,98,107,7,16,L 11
24,Tue Dec 18 2012,12/18/2012,Los Angeles Lakers,L,100,101,7,17,L 12
25,Wed Dec 19 2012,12/19/2012,Phoenix Suns,L,104,121,7,18,L 13
26,Fri Dec 21 2012,12/21/2012,Golden State Warriors,L,100,115,7,19,L 14
27,Sat Dec 22 2012,12/22/2012,Denver Nuggets,L,88,110,7,20,L 15
28,Wed Dec 26 2012,12/26/2012,Miami Heat,L,92,105,7,21,L 16
29,Fri Dec 28 2012,12/28/2012,Brooklyn Nets,L,81,97,7,22,L 17
30,Sat Dec 29 2012,12/29/2012,New Orleans Hornets,L,95,98,7,23,L 18
31,Mon Dec 31 2012,12/31/2012,Chicago Bulls,W,91,81,8,23,W 1
32,Fri Jan 4 2013,01/04/2013,Cleveland Cavaliers,L,104,106,8,24,L 1
33,Sun Jan 6 2013,01/06/2013,Detroit Pistons,W,108,101,9,24,W 1
34,Wed Jan 9 2013,01/09/2013,Utah Jazz,L,102,112,9,25,L 1
35,Fri Jan 11 2013,01/11/2013,Toronto Raptors,L,78,99,9,26,L 2
36,Sat Jan 12 2013,01/12/2013,Indiana Pacers,L,88,96,9,27,L 3
37,Mon Jan 14 2013,01/14/2013,Boston Celtics,L,89,100,9,28,L 4
38,Tue Jan 15 2013,01/15/2013,Indiana Pacers,L,76,103,9,29,L 5
39,Fri Jan 18 2013,01/18/2013,Orlando Magic,W,106,100,10,29,W 1
40,Sat Jan 19 2013,01/19/2013,Sacramento Kings,L,93,97,10,30,L 1
41,Mon Jan 21 2013,01/21/2013,Houston Rockets,L,94,100,10,31,L 2
42,Wed Jan 23 2013,01/23/2013,Atlanta Hawks,L,92,104,10,32,L 3
43,Sat Jan 26 2013,01/26/2013,Minnesota Timberwolves,W,102,101,11,32,W 1
44,Mon Jan 28 2013,01/28/2013,Chicago Bulls,L,85,93,11,33,L 1
45,Wed Jan 30 2013,01/30/2013,San Antonio Spurs,L,78,102,11,34,L 2
46,Sat Feb 2 2013,02/02/2013,Houston Rockets,L,95,109,11,35,L 3
47,Mon Feb 4 2013,02/04/2013,Miami Heat,L,94,99,11,36,L 4
48,Wed Feb 6 2013,02/06/2013,Cleveland Cavaliers,L,95,122,11,37,L 5
49,Fri Feb 8 2013,02/08/2013,Los Angeles Lakers,L,93,100,11,38,L 6
50,Sat Feb 9 2013,02/09/2013,Philadelphia 76ers,L,76,87,11,39,L 7
51,Mon Feb 11 2013,02/11/2013,Boston Celtics,W,94,91,12,39,W 1
52,Wed Feb 13 2013,02/13/2013,Indiana Pacers,L,77,101,12,40,L 1
53,Tue Feb 19 2013,02/19/2013,Orlando Magic,W,105,92,13,40,W 1
54,Wed Feb 20 2013,02/20/2013,Detroit Pistons,L,99,105,13,41,L 1
55,Fri Feb 22 2013,02/22/2013,Chicago Bulls,L,75,105,13,42,L 2
56,Sat Feb 23 2013,02/23/2013,Denver Nuggets,L,99,113,13,43,L 3
57,Tue Feb 26 2013,02/26/2013,Los Angeles Clippers,L,84,106,13,44,L 4
58,Fri Mar 1 2013,03/01/2013,Utah Jazz,L,68,98,13,45,L 5
59,Sun Mar 3 2013,03/03/2013,Sacramento Kings,L,83,119,13,46,L 6
60,Mon Mar 4 2013,03/04/2013,Portland Trail Blazers,L,105,122,13,47,L 7
61,Wed Mar 6 2013,03/06/2013,Brooklyn Nets,L,78,99,13,48,L 8
62,Fri Mar 8 2013,03/08/2013,Oklahoma City Thunder,L,94,116,13,49,L 9
63,Sat Mar 9 2013,03/09/2013,Washington Wizards,L,87,104,13,50,L 10
64,Tue Mar 12 2013,03/12/2013,Boston Celtics,W,100,74,14,50,W 1
65,Fri Mar 15 2013,03/15/2013,Toronto Raptors,L,78,92,14,51,L 1
66,Sat Mar 16 2013,03/16/2013,Boston Celtics,L,88,105,14,52,L 2
67,Mon Mar 18 2013,03/18/2013,Washington Wizards,W,119,114,15,52,W 1
68,Wed Mar 20 2013,03/20/2013,Toronto Raptors,W,107,101,16,52,W 2
69,Sat Mar 23 2013,03/23/2013,Detroit Pistons,L,91,92,16,53,L 1
70,Sun Mar 24 2013,03/24/2013,Miami Heat,L,77,109,16,54,L 2
71,Wed Mar 27 2013,03/27/2013,Orlando Magic,W,114,108,17,54,W 1
72,Fri Mar 29 2013,03/29/2013,New York Knicks,L,102,111,17,55,L 1
73,Sat Mar 30 2013,03/30/2013,Philadelphia 76ers,L,92,100,17,56,L 2
74,Mon Apr 1 2013,04/01/2013,Milwaukee Bucks,L,102,131,17,57,L 3
75,Wed Apr 3 2013,04/03/2013,Philadelphia 76ers,W,88,83,18,57,W 1
76,Fri Apr 5 2013,04/05/2013,Miami Heat,L,79,89,18,58,L 1
77,Sat Apr 6 2013,04/06/2013,Brooklyn Nets,L,96,105,18,59,L 2
78,Tue Apr 9 2013,04/09/2013,Memphis Grizzlies,L,75,94,18,60,L 3
79,Fri Apr 12 2013,04/12/2013,Detroit Pistons,L,93,113,18,61,L 4
80,Sat Apr 13 2013,04/13/2013,Milwaukee Bucks,W,95,85,19,61,W 1
81,Mon Apr 15 2013,04/15/2013,New York Knicks,W,106,95,20,61,W 2
82,Wed Apr 17 2013,04/17/2013,Cleveland Cavaliers,W,105,98,21,61,W 3
