G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak
1,Tue Oct 30 2012,10/30/2012,Los Angeles Lakers,W,99,91,1,0,W 1
2,Wed Oct 31 2012,10/31/2012,Utah Jazz,L,94,113,1,1,L 1
3,Sat Nov 3 2012,11/03/2012,Charlotte Bobcats,W,126,99,2,1,W 1
4,Mon Nov 5 2012,11/05/2012,Portland Trail Blazers,W,114,91,3,1,W 2
5,Wed Nov 7 2012,11/07/2012,Toronto Raptors,W,109,104,4,1,W 3
6,Fri Nov 9 2012,11/09/2012,New York Knicks,L,94,104,4,2,L 1
7,Sat Nov 10 2012,11/10/2012,Charlotte Bobcats,L,97,101,4,3,L 2
8,Mon Nov 12 2012,11/12/2012,Minnesota Timberwolves,L,82,90,4,4,L 3
9,Wed Nov 14 2012,11/14/2012,Washington Wizards,W,107,101,5,4,W 1
10,Fri Nov 16 2012,11/16/2012,Indiana Pacers,L,83,103,5,5,L 1
11,Sat Nov 17 2012,11/17/2012,Cleveland Cavaliers,W,103,95,6,5,W 1
12,Mon Nov 19 2012,11/19/2012,Golden State Warriors,L,101,105,6,6,L 1
13,Wed Nov 21 2012,11/21/2012,New York Knicks,W,114,111,7,6,W 1
14,Sat Nov 24 2012,11/24/2012,Los Angeles Lakers,L,89,115,7,7,L 1
15,Tue Nov 27 2012,11/27/2012,Philadelphia 76ers,L,98,100,7,8,L 2
16,Wed Nov 28 2012,11/28/2012,Chicago Bulls,L,78,101,7,9,L 3
17,Sat Dec 1 2012,12/01/2012,Detroit Pistons,W,92,77,8,9,W 1
18,Wed Dec 5 2012,12/05/2012,Los Angeles Clippers,L,90,112,8,10,L 1
19,Thu Dec 6 2012,12/06/2012,Phoenix Suns,W,97,94,9,10,W 1
20,Sat Dec 8 2012,12/08/2012,Houston Rockets,W,116,109,10,10,W 2
21,Mon Dec 10 2012,12/10/2012,Sacramento Kings,W,119,96,11,10,W 3
22,Wed Dec 12 2012,12/12/2012,Boston Celtics,L,115,117,11,11,L 1
23,Fri Dec 14 2012,12/14/2012,Toronto Raptors,L,74,95,11,12,L 2
24,Sat Dec 15 2012,12/15/2012,Minnesota Timberwolves,L,106,114,11,13,L 3
25,Tue Dec 18 2012,12/18/2012,Philadelphia 76ers,W,107,100,12,13,W 1
26,Thu Dec 20 2012,12/20/2012,Miami Heat,L,95,110,12,14,L 1
27,Fri Dec 21 2012,12/21/2012,Memphis Grizzlies,L,82,92,12,15,L 2
28,Sun Dec 23 2012,12/23/2012,San Antonio Spurs,L,91,129,12,16,L 3
29,Thu Dec 27 2012,12/27/2012,Oklahoma City Thunder,L,105,111,12,17,L 4
30,Fri Dec 28 2012,12/28/2012,Denver Nuggets,L,85,106,12,18,L 5
31,Sun Dec 30 2012,12/30/2012,San Antonio Spurs,L,86,111,12,19,L 6
32,Tue Jan 1 2013,01/01/2013,Washington Wizards,W,103,94,13,19,W 1
33,Wed Jan 2 2013,01/02/2013,Miami Heat,L,109,119,13,20,L 1
34,Sat Jan 5 2013,01/05/2013,New Orleans Hornets,L,96,99,13,21,L 2
35,Mon Jan 7 2013,01/07/2013,Utah Jazz,L,94,100,13,22,L 3
36,Wed Jan 9 2013,01/09/2013,Los Angeles Clippers,L,93,99,13,23,L 4
37,Thu Jan 10 2013,01/10/2013,Sacramento Kings,W,117,112,14,23,W 1
38,Sat Jan 12 2013,01/12/2013,Memphis Grizzlies,W,104,83,15,23,W 2
39,Mon Jan 14 2013,01/14/2013,Minnesota Timberwolves,W,113,98,16,23,W 3
40,Wed Jan 16 2013,01/16/2013,Houston Rockets,W,105,100,17,23,W 4
41,Fri Jan 18 2013,01/18/2013,Oklahoma City Thunder,L,114,117,17,24,L 1
