G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak
1,Wed Oct 31 2012,10/31/2012,Houston Rockets,L,96,105,0,1,L 1
2,Fri Nov 2 2012,11/02/2012,Phoenix Suns,L,89,92,0,2,L 2
3,Sun Nov 4 2012,11/04/2012,Los Angeles Lakers,L,79,108,0,3,L 3
4,Tue Nov 6 2012,11/06/2012,Denver Nuggets,L,97,109,0,4,L 4
5,Wed Nov 7 2012,11/07/2012,Sacramento Kings,L,103,105,0,5,L 5
6,Fri Nov 9 2012,11/09/2012,Oklahoma City Thunder,L,94,105,0,6,L 6
7,Sat Nov 10 2012,11/10/2012,Houston Rockets,L,82,96,0,7,L 7
8,Mon Nov 12 2012,11/12/2012,Oklahoma City Thunder,L,90,92,0,8,L 8
9,Wed Nov 14 2012,11/14/2012,Philadelphia 76ers,W,94,76,1,8,W 1
10,Fri Nov 16 2012,11/16/2012,Orlando Magic,L,106,110,1,9,L 1
11,Sun Nov 18 2012,11/18/2012,Boston Celtics,W,103,83,2,9,W 1
12,Wed Nov 21 2012,11/21/2012,Orlando Magic,L,74,90,2,10,L 1
13,Fri Nov 23 2012,11/23/2012,Toronto Raptors,W,91,90,3,10,W 1
14,Sun Nov 25 2012,11/25/2012,New York Knicks,L,100,121,3,11,L 1
15,Mon Nov 26 2012,11/26/2012,Portland Trail Blazers,W,108,101,4,11,W 1
16,Wed Nov 28 2012,11/28/2012,Phoenix Suns,W,117,77,5,11,W 2
17,Fri Nov 30 2012,11/30/2012,Memphis Grizzlies,L,78,90,5,12,L 1
18,Sat Dec 1 2012,12/01/2012,Dallas Mavericks,L,77,92,5,13,L 2
19,Mon Dec 3 2012,12/03/2012,Cleveland Cavaliers,W,89,79,6,13,W 1
20,Wed Dec 5 2012,12/05/2012,Golden State Warriors,L,97,104,6,14,L 1
21,Fri Dec 7 2012,12/07/2012,Chicago Bulls,L,104,108,6,15,L 2
22,Sat Dec 8 2012,12/08/2012,Cleveland Cavaliers,W,104,97,7,15,W 1
23,Mon Dec 10 2012,12/10/2012,Philadelphia 76ers,L,97,104,7,16,L 1
24,Tue Dec 11 2012,12/11/2012,Denver Nuggets,L,94,101,7,17,L 2
25,Fri Dec 14 2012,12/14/2012,Brooklyn Nets,L,105,107,7,18,L 3
26,Sat Dec 15 2012,12/15/2012,Indiana Pacers,L,77,88,7,19,L 4
27,Mon Dec 17 2012,12/17/2012,Los Angeles Clippers,L,76,88,7,20,L 5
28,Wed Dec 19 2012,12/19/2012,Toronto Raptors,L,91,97,7,21,L 6
29,Fri Dec 21 2012,12/21/2012,Washington Wizards,W,100,68,8,21,W 1
30,Sat Dec 22 2012,12/22/2012,Washington Wizards,W,96,87,9,21,W 2
31,Wed Dec 26 2012,12/26/2012,Atlanta Hawks,L,119,126,9,22,L 1
32,Fri Dec 28 2012,12/28/2012,Miami Heat,W,109,99,10,22,W 1
33,Sun Dec 30 2012,12/30/2012,Milwaukee Bucks,W,96,94,11,22,W 2
34,Tue Jan 1 2013,01/01/2013,Sacramento Kings,W,103,97,12,22,W 3
35,Fri Jan 4 2013,01/04/2013,Atlanta Hawks,W,85,84,13,22,W 4
36,Sun Jan 6 2013,01/06/2013,Charlotte Bobcats,L,101,108,13,23,L 1
37,Fri Jan 11 2013,01/11/2013,Milwaukee Bucks,W,103,87,14,23,W 1
