G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak
1,Wed Oct 31 2012,10/31/2012,Detroit Pistons,W,105,96,1,0,W 1
2,Fri Nov 2 2012,11/02/2012,Atlanta Hawks,W,109,102,2,0,W 2
3,Sat Nov 3 2012,11/03/2012,Portland Trail Blazers,L,85,95,2,1,L 1
4,Wed Nov 7 2012,11/07/2012,Denver Nuggets,L,87,93,2,2,L 2
5,Fri Nov 9 2012,11/09/2012,Memphis Grizzlies,L,85,93,2,3,L 3
6,Sat Nov 10 2012,11/10/2012,Detroit Pistons,W,96,82,3,3,W 1
7,Mon Nov 12 2012,11/12/2012,Miami Heat,L,110,113,3,4,L 1
8,Wed Nov 14 2012,11/14/2012,New Orleans Hornets,W,100,96,4,4,W 1
9,Fri Nov 16 2012,11/16/2012,Portland Trail Blazers,L,117,119,4,5,L 1
10,Sun Nov 18 2012,11/18/2012,Los Angeles Lakers,L,108,119,4,6,L 2
11,Mon Nov 19 2012,11/19/2012,Utah Jazz,L,91,102,4,7,L 3
12,Wed Nov 21 2012,11/21/2012,Chicago Bulls,W,93,89,5,7,W 1
13,Fri Nov 23 2012,11/23/2012,New York Knicks,W,131,103,6,7,W 2
14,Tue Nov 27 2012,11/27/2012,Toronto Raptors,W,117,101,7,7,W 3
15,Wed Nov 28 2012,11/28/2012,Oklahoma City Thunder,L,98,120,7,8,L 1
16,Sat Dec 1 2012,12/01/2012,Utah Jazz,W,124,116,8,8,W 1
17,Tue Dec 4 2012,12/04/2012,Los Angeles Lakers,W,107,105,9,8,W 2
18,Fri Dec 7 2012,12/07/2012,San Antonio Spurs,L,92,114,9,9,L 1
19,Sat Dec 8 2012,12/08/2012,Dallas Mavericks,L,109,116,9,10,L 2
20,Mon Dec 10 2012,12/10/2012,San Antonio Spurs,L,126,134,9,11,L 3
21,Wed Dec 12 2012,12/12/2012,Washington Wizards,W,99,93,10,11,W 1
22,Fri Dec 14 2012,12/14/2012,Boston Celtics,W,101,89,11,11,W 2
23,Sun Dec 16 2012,12/16/2012,Toronto Raptors,L,96,103,11,12,L 1
24,Mon Dec 17 2012,12/17/2012,New York Knicks,W,109,96,12,12,W 1
25,Wed Dec 19 2012,12/19/2012,Philadelphia 76ers,W,125,103,13,12,W 2
26,Sat Dec 22 2012,12/22/2012,Memphis Grizzlies,W,121,96,14,12,W 3
27,Tue Dec 25 2012,12/25/2012,Chicago Bulls,W,120,97,15,12,W 4
28,Wed Dec 26 2012,12/26/2012,Minnesota Timberwolves,W,87,84,16,12,W 5
29,Fri Dec 28 2012,12/28/2012,San Antonio Spurs,L,116,122,16,13,L 1
30,Sat Dec 29 2012,12/29/2012,Oklahoma City Thunder,L,94,124,16,14,L 2
31,Mon Dec 31 2012,12/31/2012,Atlanta Hawks,W,123,104,17,14,W 1
32,Wed Jan 2 2013,01/02/2013,New Orleans Hornets,W,104,92,18,14,W 2
33,Fri Jan 4 2013,01/04/2013,Milwaukee Bucks,W,115,101,19,14,W 3
34,Sat Jan 5 2013,01/05/2013,Cleveland Cavaliers,W,112,104,20,14,W 4
35,Tue Jan 8 2013,01/08/2013,Los Angeles Lakers,W,125,112,21,14,W 5
36,Wed Jan 9 2013,01/09/2013,New Orleans Hornets,L,79,88,21,15,L 1
37,Fri Jan 11 2013,01/11/2013,Boston Celtics,L,91,103,21,16,L 2
38,Sat Jan 12 2013,01/12/2013,Philadelphia 76ers,L,100,107,21,17,L 3
39,Tue Jan 15 2013,01/15/2013,Los Angeles Clippers,L,109,117,21,18,L 4
40,Wed Jan 16 2013,01/16/2013,Dallas Mavericks,L,100,105,21,19,L 5
41,Fri Jan 18 2013,01/18/2013,Indiana Pacers,L,95,105,21,20,L 6
42,Sat Jan 19 2013,01/19/2013,Minnesota Timberwolves,L,79,92,21,21,L 7
43,Mon Jan 21 2013,01/21/2013,Charlotte Bobcats,W,100,94,22,21,W 1
44,Wed Jan 23 2013,01/23/2013,Denver Nuggets,L,95,105,22,22,L 1
45,Fri Jan 25 2013,01/25/2013,New Orleans Hornets,W,100,82,23,22,W 1
46,Sat Jan 26 2013,01/26/2013,Brooklyn Nets,W,119,106,24,22,W 2
47,Mon Jan 28 2013,01/28/2013,Utah Jazz,W,125,80,25,22,W 3
48,Wed Jan 30 2013,01/30/2013,Denver Nuggets,L,110,118,25,23,L 1
49,Sat Feb 2 2013,02/02/2013,Charlotte Bobcats,W,109,95,26,23,W 1
50,Tue Feb 5 2013,02/05/2013,Golden State Warriors,W,140,109,27,23,W 2
51,Wed Feb 6 2013,02/06/2013,Miami Heat,L,108,114,27,24,L 1
52,Fri Feb 8 2013,02/08/2013,Portland Trail Blazers,W,118,103,28,24,W 1
53,Sun Feb 10 2013,02/10/2013,Sacramento Kings,L,111,117,28,25,L 1
54,Tue Feb 12 2013,02/12/2013,Golden State Warriors,W,116,107,29,25,W 1
55,Wed Feb 13 2013,02/13/2013,Los Angeles Clippers,L,96,106,29,26,L 1
56,Wed Feb 20 2013,02/20/2013,Oklahoma City Thunder,W,122,119,30,26,W 1
57,Fri Feb 22 2013,02/22/2013,Brooklyn Nets,W,106,96,31,26,W 2
58,Sat Feb 23 2013,02/23/2013,Washington Wizards,L,103,105,31,27,L 1
59,Wed Feb 27 2013,02/27/2013,Milwaukee Bucks,L,107,110,31,28,L 2
60,Fri Mar 1 2013,03/01/2013,Orlando Magic,W,118,110,32,28,W 1
61,Sun Mar 3 2013,03/03/2013,Dallas Mavericks,W,136,103,33,28,W 2
62,Wed Mar 6 2013,03/06/2013,Dallas Mavericks,L,108,112,33,29,L 1
63,Fri Mar 8 2013,03/08/2013,Golden State Warriors,W,94,88,34,29,W 1
64,Sat Mar 9 2013,03/09/2013,Phoenix Suns,L,105,107,34,30,L 1
65,Wed Mar 13 2013,03/13/2013,Phoenix Suns,W,111,81,35,30,W 1
66,Fri Mar 15 2013,03/15/2013,Minnesota Timberwolves,W,108,100,36,30,W 2
67,Sun Mar 17 2013,03/17/2013,Golden State Warriors,L,78,108,36,31,L 1
68,Wed Mar 20 2013,03/20/2013,Utah Jazz,W,100,93,37,31,W 1
69,Fri Mar 22 2013,03/22/2013,Cleveland Cavaliers,W,116,78,38,31,W 2
70,Sun Mar 24 2013,03/24/2013,San Antonio Spurs,W,96,95,39,31,W 3
71,Wed Mar 27 2013,03/27/2013,Indiana Pacers,L,91,100,39,32,L 1
72,Fri Mar 29 2013,03/29/2013,Memphis Grizzlies,L,94,103,39,33,L 2
73,Sat Mar 30 2013,03/30/2013,Los Angeles Clippers,W,98,81,40,33,W 1
74,Mon Apr 1 2013,04/01/2013,Orlando Magic,W,111,103,41,33,W 2
75,Wed Apr 3 2013,04/03/2013,Sacramento Kings,W,112,102,42,33,W 3
76,Fri Apr 5 2013,04/05/2013,Portland Trail Blazers,W,116,98,43,33,W 4
77,Sat Apr 6 2013,04/06/2013,Denver Nuggets,L,114,132,43,34,L 1
78,Tue Apr 9 2013,04/09/2013,Phoenix Suns,W,101,98,44,34,W 1
79,Fri Apr 12 2013,04/12/2013,Memphis Grizzlies,L,78,82,44,35,L 1
80,Sun Apr 14 2013,04/14/2013,Sacramento Kings,W,121,100,45,35,W 1
81,Mon Apr 15 2013,04/15/2013,Phoenix Suns,L,112,119,45,36,L 1
82,Wed Apr 17 2013,04/17/2013,Los Angeles Lakers,L,95,99,45,37,L 2
