G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak
1,Wed Oct 31 2012,10/31/2012,Los Angeles Clippers,L,92,101,0,1,L 1
2,Fri Nov 2 2012,11/02/2012,Golden State Warriors,W,104,94,1,1,W 1
3,Mon Nov 5 2012,11/05/2012,Utah Jazz,W,103,94,2,1,W 2
4,Wed Nov 7 2012,11/07/2012,Milwaukee Bucks,W,108,90,3,1,W 3
5,Fri Nov 9 2012,11/09/2012,Houston Rockets,W,93,85,4,1,W 4
6,Sun Nov 11 2012,11/11/2012,Miami Heat,W,104,86,5,1,W 5
7,Wed Nov 14 2012,11/14/2012,Oklahoma City Thunder,W,107,97,6,1,W 6
8,Fri Nov 16 2012,11/16/2012,New York Knicks,W,105,95,7,1,W 7
9,Sat Nov 17 2012,11/17/2012,Charlotte Bobcats,W,94,87,8,1,W 8
10,Mon Nov 19 2012,11/19/2012,Denver Nuggets,L,92,97,8,2,L 1
11,Fri Nov 23 2012,11/23/2012,Los Angeles Lakers,W,106,98,9,2,W 1
12,Mon Nov 26 2012,11/26/2012,Cleveland Cavaliers,W,84,78,10,2,W 2
13,Wed Nov 28 2012,11/28/2012,Toronto Raptors,W,103,82,11,2,W 3
14,Fri Nov 30 2012,11/30/2012,Detroit Pistons,W,90,78,12,2,W 4
15,Sat Dec 1 2012,12/01/2012,San Antonio Spurs,L,95,99,12,3,L 1
16,Tue Dec 4 2012,12/04/2012,Phoenix Suns,W,108,98,13,3,W 1
17,Fri Dec 7 2012,12/07/2012,New Orleans Hornets,W,96,89,14,3,W 2
18,Sat Dec 8 2012,12/08/2012,Atlanta Hawks,L,83,93,14,4,L 1
19,Wed Dec 12 2012,12/12/2012,Phoenix Suns,L,80,82,14,5,L 2
20,Fri Dec 14 2012,12/14/2012,Denver Nuggets,L,94,99,14,6,L 3
21,Sat Dec 15 2012,12/15/2012,Utah Jazz,W,99,86,15,6,W 1
22,Mon Dec 17 2012,12/17/2012,Chicago Bulls,W,80,71,16,6,W 2
23,Wed Dec 19 2012,12/19/2012,Milwaukee Bucks,W,90,80,17,6,W 3
24,Fri Dec 21 2012,12/21/2012,Dallas Mavericks,W,92,82,18,6,W 4
25,Sat Dec 22 2012,12/22/2012,Houston Rockets,L,96,121,18,7,L 1
26,Wed Dec 26 2012,12/26/2012,Philadelphia 76ers,L,89,99,18,8,L 2
27,Sat Dec 29 2012,12/29/2012,Denver Nuggets,W,81,72,19,8,W 1
28,Mon Dec 31 2012,12/31/2012,Indiana Pacers,L,83,88,19,9,L 1
29,Wed Jan 2 2013,01/02/2013,Boston Celtics,W,93,83,20,9,W 1
30,Fri Jan 4 2013,01/04/2013,Portland Trail Blazers,L,84,86,20,10,L 1
31,Sun Jan 6 2013,01/06/2013,Phoenix Suns,W,92,81,21,10,W 1
32,Mon Jan 7 2013,01/07/2013,Sacramento Kings,W,113,81,22,10,W 2
33,Wed Jan 9 2013,01/09/2013,Golden State Warriors,W,94,87,23,10,W 3
34,Fri Jan 11 2013,01/11/2013,San Antonio Spurs,W,101,98,24,10,W 4
35,Sat Jan 12 2013,01/12/2013,Dallas Mavericks,L,83,104,24,11,L 1
36,Mon Jan 14 2013,01/14/2013,Los Angeles Clippers,L,73,99,24,12,L 2
37,Wed Jan 16 2013,01/16/2013,San Antonio Spurs,L,82,103,24,13,L 3
38,Fri Jan 18 2013,01/18/2013,Sacramento Kings,W,85,69,25,13,W 1
39,Sat Jan 19 2013,01/19/2013,Chicago Bulls,W,85,82,26,13,W 2
40,Mon Jan 21 2013,01/21/2013,Indiana Pacers,L,81,82,26,14,L 1
41,Wed Jan 23 2013,01/23/2013,Los Angeles Lakers,W,106,93,27,14,W 1
42,Fri Jan 25 2013,01/25/2013,Brooklyn Nets,W,101,77,28,14,W 2
43,Sun Jan 27 2013,01/27/2013,New Orleans Hornets,L,83,91,28,15,L 1
44,Mon Jan 28 2013,01/28/2013,Philadelphia 76ers,W,103,100,29,15,W 1
