G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak
1,Thu Nov 1 2012,11/01/2012,San Antonio Spurs,L,84,86,0,1,L 1
2,Fri Nov 2 2012,11/02/2012,Portland Trail Blazers,W,106,92,1,1,W 1
3,Sun Nov 4 2012,11/04/2012,Atlanta Hawks,L,95,104,1,2,L 1
4,Tue Nov 6 2012,11/06/2012,Toronto Raptors,W,108,88,2,2,W 1
5,Thu Nov 8 2012,11/08/2012,Chicago Bulls,W,97,91,3,2,W 2
6,Fri Nov 9 2012,11/09/2012,Detroit Pistons,W,105,94,4,2,W 3
7,Sun Nov 11 2012,11/11/2012,Cleveland Cavaliers,W,106,91,5,2,W 4
8,Mon Nov 12 2012,11/12/2012,Detroit Pistons,W,92,90,6,2,W 5
9,Wed Nov 14 2012,11/14/2012,Memphis Grizzlies,L,97,107,6,3,L 1
10,Fri Nov 16 2012,11/16/2012,New Orleans Hornets,W,110,95,7,3,W 1
11,Sun Nov 18 2012,11/18/2012,Golden State Warriors,W,119,109,8,3,W 2
12,Wed Nov 21 2012,11/21/2012,Los Angeles Clippers,W,117,111,9,3,W 3
13,Fri Nov 23 2012,11/23/2012,Boston Celtics,L,100,108,9,4,L 1
14,Sat Nov 24 2012,11/24/2012,Philadelphia 76ers,W,116,109,10,4,W 1
15,Mon Nov 26 2012,11/26/2012,Charlotte Bobcats,W,114,69,11,4,W 2
16,Wed Nov 28 2012,11/28/2012,Houston Rockets,W,120,98,12,4,W 3
17,Fri Nov 30 2012,11/30/2012,Utah Jazz,W,106,94,13,4,W 4
18,Sat Dec 1 2012,12/01/2012,New Orleans Hornets,W,100,79,14,4,W 5
19,Tue Dec 4 2012,12/04/2012,Brooklyn Nets,W,117,111,15,4,W 6
20,Fri Dec 7 2012,12/07/2012,Los Angeles Lakers,W,114,108,16,4,W 7
21,Sun Dec 9 2012,12/09/2012,Indiana Pacers,W,104,93,17,4,W 8
22,Wed Dec 12 2012,12/12/2012,New Orleans Hornets,W,92,88,18,4,W 9
23,Fri Dec 14 2012,12/14/2012,Sacramento Kings,W,113,103,19,4,W 10
24,Mon Dec 17 2012,12/17/2012,San Antonio Spurs,W,107,93,20,4,W 11
25,Wed Dec 19 2012,12/19/2012,Atlanta Hawks,W,100,92,21,4,W 12
26,Thu Dec 20 2012,12/20/2012,Minnesota Timberwolves,L,93,99,21,5,L 1
27,Tue Dec 25 2012,12/25/2012,Miami Heat,L,97,103,21,6,L 2
28,Thu Dec 27 2012,12/27/2012,Dallas Mavericks,W,111,105,22,6,W 1
29,Sat Dec 29 2012,12/29/2012,Houston Rockets,W,124,94,23,6,W 2
30,Mon Dec 31 2012,12/31/2012,Phoenix Suns,W,114,96,24,6,W 3
31,Wed Jan 2 2013,01/02/2013,Brooklyn Nets,L,93,110,24,7,L 1
32,Fri Jan 4 2013,01/04/2013,Philadelphia 76ers,W,109,85,25,7,W 1
33,Sun Jan 6 2013,01/06/2013,Toronto Raptors,W,104,92,26,7,W 2
34,Mon Jan 7 2013,01/07/2013,Washington Wizards,L,99,101,26,8,L 1
35,Wed Jan 9 2013,01/09/2013,Minnesota Timberwolves,W,106,84,27,8,W 1
36,Fri Jan 11 2013,01/11/2013,Los Angeles Lakers,W,116,101,28,8,W 2
37,Sun Jan 13 2013,01/13/2013,Portland Trail Blazers,W,87,83,29,8,W 3
38,Mon Jan 14 2013,01/14/2013,Phoenix Suns,W,102,90,30,8,W 4
39,Wed Jan 16 2013,01/16/2013,Denver Nuggets,W,117,97,31,8,W 5
40,Fri Jan 18 2013,01/18/2013,Dallas Mavericks,W,117,114,32,8,W 6
41,Sun Jan 20 2013,01/20/2013,Denver Nuggets,L,118,121,32,9,L 1
42,Tue Jan 22 2013,01/22/2013,Los Angeles Clippers,W,109,97,33,9,W 1
43,Wed Jan 23 2013,01/23/2013,Golden State Warriors,L,99,104,33,10,L 1
44,Fri Jan 25 2013,01/25/2013,Sacramento Kings,W,105,95,34,10,W 1
45,Sun Jan 27 2013,01/27/2013,Los Angeles Lakers,L,96,105,34,11,L 1
46,Thu Jan 31 2013,01/31/2013,Memphis Grizzlies,W,106,89,35,11,W 1
47,Sat Feb 2 2013,02/02/2013,Cleveland Cavaliers,L,110,115,35,12,L 1
48,Mon Feb 4 2013,02/04/2013,Dallas Mavericks,W,112,91,36,12,W 1
49,Wed Feb 6 2013,02/06/2013,Golden State Warriors,W,119,98,37,12,W 2
50,Fri Feb 8 2013,02/08/2013,Phoenix Suns,W,127,96,38,12,W 3
51,Sun Feb 10 2013,02/10/2013,Phoenix Suns,W,97,69,39,12,W 4
52,Tue Feb 12 2013,02/12/2013,Utah Jazz,L,94,109,39,13,L 1
53,Thu Feb 14 2013,02/14/2013,Miami Heat,L,100,110,39,14,L 2
54,Wed Feb 20 2013,02/20/2013,Houston Rockets,L,119,122,39,15,L 3
55,Fri Feb 22 2013,02/22/2013,Minnesota Timberwolves,W,127,111,40,15,W 1
56,Sun Feb 24 2013,02/24/2013,Chicago Bulls,W,102,72,41,15,W 2
57,Wed Feb 27 2013,02/27/2013,New Orleans Hornets,W,119,74,42,15,W 3
58,Fri Mar 1 2013,03/01/2013,Denver Nuggets,L,103,105,42,16,L 1
59,Sun Mar 3 2013,03/03/2013,Los Angeles Clippers,W,108,104,43,16,W 1
60,Tue Mar 5 2013,03/05/2013,Los Angeles Lakers,W,122,105,44,16,W 2
61,Thu Mar 7 2013,03/07/2013,New York Knicks,W,95,94,45,16,W 3
62,Fri Mar 8 2013,03/08/2013,Charlotte Bobcats,W,116,94,46,16,W 4
63,Sun Mar 10 2013,03/10/2013,Boston Celtics,W,91,79,47,16,W 5
64,Mon Mar 11 2013,03/11/2013,San Antonio Spurs,L,93,105,47,17,L 1
65,Wed Mar 13 2013,03/13/2013,Utah Jazz,W,110,87,48,17,W 1
66,Fri Mar 15 2013,03/15/2013,Orlando Magic,W,117,104,49,17,W 2
67,Sun Mar 17 2013,03/17/2013,Dallas Mavericks,W,107,101,50,17,W 3
68,Tue Mar 19 2013,03/19/2013,Denver Nuggets,L,104,114,50,18,L 1
69,Wed Mar 20 2013,03/20/2013,Memphis Grizzlies,L,89,90,50,19,L 2
70,Fri Mar 22 2013,03/22/2013,Orlando Magic,W,97,89,51,19,W 1
71,Sun Mar 24 2013,03/24/2013,Portland Trail Blazers,W,103,83,52,19,W 2
72,Wed Mar 27 2013,03/27/2013,Washington Wizards,W,103,80,53,19,W 3
73,Fri Mar 29 2013,03/29/2013,Minnesota Timberwolves,L,93,101,53,20,L 1
74,Sat Mar 30 2013,03/30/2013,Milwaukee Bucks,W,109,99,54,20,W 1
75,Thu Apr 4 2013,04/04/2013,San Antonio Spurs,W,100,88,55,20,W 2
76,Fri Apr 5 2013,04/05/2013,Indiana Pacers,W,97,75,56,20,W 3
77,Sun Apr 7 2013,04/07/2013,New York Knicks,L,120,125,56,21,L 1
78,Tue Apr 9 2013,04/09/2013,Utah Jazz,W,90,80,57,21,W 1
79,Thu Apr 11 2013,04/11/2013,Golden State Warriors,W,116,97,58,21,W 2
80,Fri Apr 12 2013,04/12/2013,Portland Trail Blazers,W,106,90,59,21,W 3
81,Mon Apr 15 2013,04/15/2013,Sacramento Kings,W,104,95,60,21,W 4
82,Wed Apr 17 2013,04/17/2013,Milwaukee Bucks,L,89,95,60,22,L 1
