G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak
1,Wed Oct 31 2012,10/31/2012,New Orleans Hornets,W,99,95,1,0,W 1
2,Thu Nov 1 2012,11/01/2012,Oklahoma City Thunder,W,86,84,2,0,W 2
3,Sat Nov 3 2012,11/03/2012,Utah Jazz,W,110,100,3,0,W 3
4,Mon Nov 5 2012,11/05/2012,Indiana Pacers,W,101,79,4,0,W 4
5,Wed Nov 7 2012,11/07/2012,Los Angeles Clippers,L,84,106,4,1,L 1
6,Fri Nov 9 2012,11/09/2012,Sacramento Kings,W,97,86,5,1,W 1
7,Sat Nov 10 2012,11/10/2012,Portland Trail Blazers,W,112,109,6,1,W 2
8,Tue Nov 13 2012,11/13/2012,Los Angeles Lakers,W,84,82,7,1,W 3
9,Thu Nov 15 2012,11/15/2012,New York Knicks,L,100,104,7,2,L 1
10,Sat Nov 17 2012,11/17/2012,Denver Nuggets,W,126,100,8,2,W 1
11,Mon Nov 19 2012,11/19/2012,Los Angeles Clippers,L,87,92,8,3,L 1
12,Wed Nov 21 2012,11/21/2012,Boston Celtics,W,112,100,9,3,W 1
13,Fri Nov 23 2012,11/23/2012,Indiana Pacers,W,104,97,10,3,W 2
14,Sun Nov 25 2012,11/25/2012,Toronto Raptors,W,111,106,11,3,W 3
15,Mon Nov 26 2012,11/26/2012,Washington Wizards,W,118,92,12,3,W 4
16,Wed Nov 28 2012,11/28/2012,Orlando Magic,W,110,89,13,3,W 5
17,Thu Nov 29 2012,11/29/2012,Miami Heat,L,100,105,13,4,L 1
18,Sat Dec 1 2012,12/01/2012,Memphis Grizzlies,W,99,95,14,4,W 1
19,Wed Dec 5 2012,12/05/2012,Milwaukee Bucks,W,110,99,15,4,W 2
20,Fri Dec 7 2012,12/07/2012,Houston Rockets,W,114,92,16,4,W 3
21,Sat Dec 8 2012,12/08/2012,Charlotte Bobcats,W,132,102,17,4,W 4
22,Mon Dec 10 2012,12/10/2012,Houston Rockets,W,134,126,18,4,W 5
23,Wed Dec 12 2012,12/12/2012,Utah Jazz,L,96,99,18,5,L 1
24,Thu Dec 13 2012,12/13/2012,Portland Trail Blazers,L,90,98,18,6,L 2
25,Sat Dec 15 2012,12/15/2012,Boston Celtics,W,103,88,19,6,W 1
26,Mon Dec 17 2012,12/17/2012,Oklahoma City Thunder,L,93,107,19,7,L 1
27,Tue Dec 18 2012,12/18/2012,Denver Nuggets,L,106,112,19,8,L 2
28,Fri Dec 21 2012,12/21/2012,New Orleans Hornets,W,99,94,20,8,W 1
29,Sun Dec 23 2012,12/23/2012,Dallas Mavericks,W,129,91,21,8,W 2
30,Wed Dec 26 2012,12/26/2012,Toronto Raptors,W,100,80,22,8,W 3
31,Fri Dec 28 2012,12/28/2012,Houston Rockets,W,122,116,23,8,W 4
32,Sun Dec 30 2012,12/30/2012,Dallas Mavericks,W,111,86,24,8,W 5
33,Mon Dec 31 2012,12/31/2012,Brooklyn Nets,W,104,73,25,8,W 6
34,Wed Jan 2 2013,01/02/2013,Milwaukee Bucks,W,117,110,26,8,W 7
35,Thu Jan 3 2013,01/03/2013,New York Knicks,L,83,100,26,9,L 1
36,Sat Jan 5 2013,01/05/2013,Philadelphia 76ers,W,109,86,27,9,W 1
37,Mon Jan 7 2013,01/07/2013,New Orleans Hornets,L,88,95,27,10,L 1
38,Wed Jan 9 2013,01/09/2013,Los Angeles Lakers,W,108,105,28,10,W 1
39,Fri Jan 11 2013,01/11/2013,Memphis Grizzlies,L,98,101,28,11,L 1
40,Sun Jan 13 2013,01/13/2013,Minnesota Timberwolves,W,106,88,29,11,W 1
41,Wed Jan 16 2013,01/16/2013,Memphis Grizzlies,W,103,82,30,11,W 2
42,Fri Jan 18 2013,01/18/2013,Golden State Warriors,W,95,88,31,11,W 3
43,Sat Jan 19 2013,01/19/2013,Atlanta Hawks,W,98,93,32,11,W 4
44,Mon Jan 21 2013,01/21/2013,Philadelphia 76ers,W,90,85,33,11,W 5
45,Wed Jan 23 2013,01/23/2013,New Orleans Hornets,W,106,102,34,11,W 6
46,Fri Jan 25 2013,01/25/2013,Dallas Mavericks,W,113,107,35,11,W 7
47,Sat Jan 26 2013,01/26/2013,Phoenix Suns,W,108,99,36,11,W 8
48,Wed Jan 30 2013,01/30/2013,Charlotte Bobcats,W,102,78,37,11,W 9
49,Sat Feb 2 2013,02/02/2013,Washington Wizards,W,96,86,38,11,W 10
50,Wed Feb 6 2013,02/06/2013,Minnesota Timberwolves,W,104,94,39,11,W 11
51,Fri Feb 8 2013,02/08/2013,Detroit Pistons,L,109,119,39,12,L 1
52,Sun Feb 10 2013,02/10/2013,Brooklyn Nets,W,111,86,40,12,W 1
53,Mon Feb 11 2013,02/11/2013,Chicago Bulls,W,103,89,41,12,W 2
54,Wed Feb 13 2013,02/13/2013,Cleveland Cavaliers,W,96,95,42,12,W 3
55,Tue Feb 19 2013,02/19/2013,Sacramento Kings,W,108,102,43,12,W 4
56,Thu Feb 21 2013,02/21/2013,Los Angeles Clippers,W,116,90,44,12,W 5
57,Fri Feb 22 2013,02/22/2013,Golden State Warriors,L,101,107,44,13,L 1
58,Sun Feb 24 2013,02/24/2013,Phoenix Suns,W,97,87,45,13,W 1
59,Wed Feb 27 2013,02/27/2013,Phoenix Suns,L,101,105,45,14,L 1
60,Fri Mar 1 2013,03/01/2013,Sacramento Kings,W,130,102,46,14,W 1
61,Sun Mar 3 2013,03/03/2013,Detroit Pistons,W,114,75,47,14,W 2
62,Wed Mar 6 2013,03/06/2013,Chicago Bulls,W,101,83,48,14,W 3
63,Fri Mar 8 2013,03/08/2013,Portland Trail Blazers,L,106,136,48,15,L 1
64,Mon Mar 11 2013,03/11/2013,Oklahoma City Thunder,W,105,93,49,15,W 1
65,Tue Mar 12 2013,03/12/2013,Minnesota Timberwolves,L,83,107,49,16,L 1
66,Thu Mar 14 2013,03/14/2013,Dallas Mavericks,W,92,91,50,16,W 1
67,Sat Mar 16 2013,03/16/2013,Cleveland Cavaliers,W,119,113,51,16,W 2
68,Wed Mar 20 2013,03/20/2013,Golden State Warriors,W,104,93,52,16,W 3
69,Fri Mar 22 2013,03/22/2013,Utah Jazz,W,104,97,53,16,W 4
70,Sun Mar 24 2013,03/24/2013,Houston Rockets,L,95,96,53,17,L 1
71,Wed Mar 27 2013,03/27/2013,Denver Nuggets,W,100,99,54,17,W 1
72,Fri Mar 29 2013,03/29/2013,Los Angeles Clippers,W,104,102,55,17,W 2
73,Sun Mar 31 2013,03/31/2013,Miami Heat,L,86,88,55,18,L 1
74,Mon Apr 1 2013,04/01/2013,Memphis Grizzlies,L,90,92,55,19,L 2
75,Wed Apr 3 2013,04/03/2013,Orlando Magic,W,98,84,56,19,W 1
76,Thu Apr 4 2013,04/04/2013,Oklahoma City Thunder,L,88,100,56,20,L 1
77,Sat Apr 6 2013,04/06/2013,Atlanta Hawks,W,99,97,57,20,W 1
78,Wed Apr 10 2013,04/10/2013,Denver Nuggets,L,86,96,57,21,L 1
79,Fri Apr 12 2013,04/12/2013,Sacramento Kings,W,108,101,58,21,W 1
80,Sun Apr 14 2013,04/14/2013,Los Angeles Lakers,L,86,91,58,22,L 1
81,Mon Apr 15 2013,04/15/2013,Golden State Warriors,L,106,116,58,23,L 2
82,Wed Apr 17 2013,04/17/2013,Minnesota Timberwolves,L,95,108,58,24,L 3
