G,Date0,Date,Opponent,WinLoss,TmScore,OppScore,W,L,Streak
1,Tue Oct 30 2012,10/30/2012,Cleveland Cavaliers,L,84,94,0,1,L 1
2,Sat Nov 3 2012,11/03/2012,Boston Celtics,L,86,89,0,2,L 2
3,Wed Nov 7 2012,11/07/2012,Boston Celtics,L,94,100,0,3,L 3
4,Fri Nov 9 2012,11/09/2012,Milwaukee Bucks,L,91,101,0,4,L 4
5,Sat Nov 10 2012,11/10/2012,Indiana Pacers,L,85,89,0,5,L 5
6,Tue Nov 13 2012,11/13/2012,Charlotte Bobcats,L,76,92,0,6,L 6
7,Wed Nov 14 2012,11/14/2012,Dallas Mavericks,L,101,107,0,7,L 7
8,Sat Nov 17 2012,11/17/2012,Utah Jazz,L,76,83,0,8,L 8
9,Mon Nov 19 2012,11/19/2012,Indiana Pacers,L,89,96,0,9,L 9
10,Wed Nov 21 2012,11/21/2012,Atlanta Hawks,L,100,101,0,10,L 10
11,Sat Nov 24 2012,11/24/2012,Charlotte Bobcats,L,106,108,0,11,L 11
12,Mon Nov 26 2012,11/26/2012,San Antonio Spurs,L,92,118,0,12,L 12
13,Wed Nov 28 2012,11/28/2012,Portland Trail Blazers,W,84,82,1,12,W 1
14,Fri Nov 30 2012,11/30/2012,New York Knicks,L,87,108,1,13,L 1
15,Tue Dec 4 2012,12/04/2012,Miami Heat,W,105,101,2,13,W 1
16,Fri Dec 7 2012,12/07/2012,Atlanta Hawks,L,95,104,2,14,L 1
17,Sat Dec 8 2012,12/08/2012,Golden State Warriors,L,97,101,2,15,L 2
18,Tue Dec 11 2012,12/11/2012,New Orleans Hornets,W,77,70,3,15,W 1
19,Wed Dec 12 2012,12/12/2012,Houston Rockets,L,93,99,3,16,L 1
20,Fri Dec 14 2012,12/14/2012,Los Angeles Lakers,L,96,102,3,17,L 2
21,Sat Dec 15 2012,12/15/2012,Miami Heat,L,72,102,3,18,L 3
22,Tue Dec 18 2012,12/18/2012,Atlanta Hawks,L,95,100,3,19,L 4
23,Wed Dec 19 2012,12/19/2012,Orlando Magic,L,83,90,3,20,L 5
24,Fri Dec 21 2012,12/21/2012,Detroit Pistons,L,68,100,3,21,L 6
25,Sat Dec 22 2012,12/22/2012,Detroit Pistons,L,87,96,3,22,L 7
26,Wed Dec 26 2012,12/26/2012,Cleveland Cavaliers,L,84,87,3,23,L 8
27,Fri Dec 28 2012,12/28/2012,Orlando Magic,W,105,97,4,23,W 1
28,Sat Dec 29 2012,12/29/2012,Chicago Bulls,L,77,87,4,24,L 1
29,Tue Jan 1 2013,01/01/2013,Dallas Mavericks,L,94,103,4,25,L 2
30,Wed Jan 2 2013,01/02/2013,Indiana Pacers,L,81,89,4,26,L 3
31,Fri Jan 4 2013,01/04/2013,Brooklyn Nets,L,113,115,4,27,L 4
32,Sun Jan 6 2013,01/06/2013,Miami Heat,L,71,99,4,28,L 5
33,Mon Jan 7 2013,01/07/2013,Oklahoma City Thunder,W,101,99,5,28,W 1
34,Sat Jan 12 2013,01/12/2013,Atlanta Hawks,W,93,83,6,28,W 2
35,Mon Jan 14 2013,01/14/2013,Orlando Magic,W,120,91,7,28,W 3
36,Wed Jan 16 2013,01/16/2013,Sacramento Kings,L,94,95,7,29,L 1
37,Fri Jan 18 2013,01/18/2013,Denver Nuggets,W,112,108,8,29,W 1
38,Sat Jan 19 2013,01/19/2013,Los Angeles Clippers,L,87,94,8,30,L 1
39,Mon Jan 21 2013,01/21/2013,Portland Trail Blazers,W,98,95,9,30,W 1
40,Wed Jan 23 2013,01/23/2013,Utah Jazz,L,88,92,9,31,L 1
41,Fri Jan 25 2013,01/25/2013,Minnesota Timberwolves,W,114,101,10,31,W 1
42,Sat Jan 26 2013,01/26/2013,Chicago Bulls,W,86,73,11,31,W 2
43,Mon Jan 28 2013,01/28/2013,Sacramento Kings,L,94,96,11,32,L 1
44,Wed Jan 30 2013,01/30/2013,Philadelphia 76ers,L,84,92,11,33,L 2
45,Fri Feb 1 2013,02/01/2013,Memphis Grizzlies,L,76,85,11,34,L 3
46,Sat Feb 2 2013,02/02/2013,San Antonio Spurs,L,86,96,11,35,L 4
47,Mon Feb 4 2013,02/04/2013,Los Angeles Clippers,W,98,90,12,35,W 1
48,Wed Feb 6 2013,02/06/2013,New York Knicks,W,106,96,13,35,W 2
49,Fri Feb 8 2013,02/08/2013,Brooklyn Nets,W,89,74,14,35,W 3
50,Mon Feb 11 2013,02/11/2013,Milwaukee Bucks,W,102,90,15,35,W 4
51,Wed Feb 13 2013,02/13/2013,Detroit Pistons,L,85,96,15,36,L 1
52,Tue Feb 19 2013,02/19/2013,Toronto Raptors,L,88,96,15,37,L 2
53,Fri Feb 22 2013,02/22/2013,Denver Nuggets,W,119,113,16,37,W 1
54,Sat Feb 23 2013,02/23/2013,Houston Rockets,W,105,103,17,37,W 2
55,Mon Feb 25 2013,02/25/2013,Toronto Raptors,W,90,84,18,37,W 3
56,Wed Feb 27 2013,02/27/2013,Detroit Pistons,L,95,96,18,38,L 1
57,Fri Mar 1 2013,03/01/2013,New York Knicks,L,88,96,18,39,L 2
58,Sun Mar 3 2013,03/03/2013,Philadelphia 76ers,W,90,87,19,39,W 1
59,Wed Mar 6 2013,03/06/2013,Minnesota Timberwolves,L,82,87,19,40,L 1
60,Fri Mar 8 2013,03/08/2013,Brooklyn Nets,L,78,95,19,41,L 2
61,Sat Mar 9 2013,03/09/2013,Charlotte Bobcats,W,104,87,20,41,W 1
62,Tue Mar 12 2013,03/12/2013,Cleveland Cavaliers,L,90,95,20,42,L 1
63,Wed Mar 13 2013,03/13/2013,Milwaukee Bucks,W,106,93,21,42,W 1
64,Fri Mar 15 2013,03/15/2013,New Orleans Hornets,W,96,87,22,42,W 2
65,Sat Mar 16 2013,03/16/2013,Phoenix Suns,W,127,105,23,42,W 3
66,Mon Mar 18 2013,03/18/2013,Charlotte Bobcats,L,114,119,23,43,L 1
67,Wed Mar 20 2013,03/20/2013,Phoenix Suns,W,88,79,24,43,W 1
68,Fri Mar 22 2013,03/22/2013,Los Angeles Lakers,W,103,100,25,43,W 2
69,Sat Mar 23 2013,03/23/2013,Golden State Warriors,L,92,101,25,44,L 1
70,Mon Mar 25 2013,03/25/2013,Memphis Grizzlies,W,107,94,26,44,W 1
71,Wed Mar 27 2013,03/27/2013,Oklahoma City Thunder,L,80,103,26,45,L 1
72,Fri Mar 29 2013,03/29/2013,Orlando Magic,L,92,97,26,46,L 2
73,Sun Mar 31 2013,03/31/2013,Toronto Raptors,W,109,92,27,46,W 1
74,Tue Apr 2 2013,04/02/2013,Chicago Bulls,W,90,86,28,46,W 2
75,Wed Apr 3 2013,04/03/2013,Toronto Raptors,L,78,88,28,47,L 1
76,Sat Apr 6 2013,04/06/2013,Indiana Pacers,W,104,85,29,47,W 1
77,Sun Apr 7 2013,04/07/2013,Boston Celtics,L,96,107,29,48,L 1
78,Tue Apr 9 2013,04/09/2013,New York Knicks,L,99,120,29,49,L 2
79,Wed Apr 10 2013,04/10/2013,Miami Heat,L,98,103,29,50,L 3
80,Fri Apr 12 2013,04/12/2013,Philadelphia 76ers,L,86,97,29,51,L 4
81,Mon Apr 15 2013,04/15/2013,Brooklyn Nets,L,101,106,29,52,L 5
82,Wed Apr 17 2013,04/17/2013,Chicago Bulls,L,92,95,29,53,L 6
