Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Boston Celtics,,Jared Sullinger,Miami Heat,L,10/30/2012,8:06,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,2,-3
Boston Celtics,,Jason Terry,Miami Heat,L,10/30/2012,24:51,2,7,0.286,0,3,0.0,4,4,1.0,0,0,0,1,1,0,3,3,8,-10
Boston Celtics,,Jeff Green,Miami Heat,L,10/30/2012,23:04,0,4,0.0,0,0,0.0,3,4,0.75,0,3,3,0,1,0,1,0,3,-7
Boston Celtics,,Leandro Barbosa,Miami Heat,L,10/30/2012,15:50,6,8,0.75,3,3,1.0,1,2,0.5,0,1,1,1,0,0,0,1,16,4
Boston Celtics,,Jeff Green,Milwaukee Bucks,L,11/02/2012,26:42,5,9,0.556,1,4,0.25,0,0,0.0,0,1,1,0,2,1,1,0,11,-16
Boston Celtics,,Jared Sullinger,Milwaukee Bucks,L,11/02/2012,17:59,2,5,0.4,0,0,0.0,2,2,1.0,3,4,7,0,1,1,0,4,6,-4
Boston Celtics,,Darko Milicic,Milwaukee Bucks,L,11/02/2012,4:30,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,2,1,0,-3
Boston Celtics,,Jason Terry,Milwaukee Bucks,L,11/02/2012,24:41,4,6,0.667,2,2,1.0,0,0,0.0,0,2,2,2,0,0,3,4,10,1
Boston Celtics,,Leandro Barbosa,Milwaukee Bucks,L,11/02/2012,7:13,1,3,0.333,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,2,3
Boston Celtics,,Kris Joseph,Milwaukee Bucks,L,11/02/2012,2:37,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,0,0,9
Boston Celtics,,Chris Wilcox,Milwaukee Bucks,L,11/02/2012,2:37,0,0,0.0,0,0,0.0,2,2,1.0,0,1,1,1,0,0,0,0,2,9
Boston Celtics,,Brandon Bass,Washington Wizards,W,11/03/2012,27:43,2,6,0.333,0,0,0.0,1,1,1.0,2,3,5,2,1,2,0,2,5,-8
Boston Celtics,,Chris Wilcox,Washington Wizards,W,11/03/2012,7:42,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-5
Boston Celtics,,Jason Terry,Washington Wizards,W,11/03/2012,17:27,2,8,0.25,0,2,0.0,4,4,1.0,0,0,0,3,2,0,1,0,8,-12
Boston Celtics,,Jeff Green,Washington Wizards,W,11/03/2012,16:00,5,10,0.5,1,2,0.5,0,2,0.0,0,2,2,0,1,0,1,1,11,-5
Boston Celtics,,Leandro Barbosa,Washington Wizards,W,11/03/2012,7:49,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0,1,0,0,1,0,3,-12
Boston Celtics,,Brandon Bass,Washington Wizards,W,11/07/2012,32:57,4,9,0.444,0,0,0.0,3,4,0.75,2,5,7,0,1,0,2,4,11,6
Boston Celtics,,Jason Terry,Washington Wizards,W,11/07/2012,32:16,7,15,0.467,2,5,0.4,0,0,0.0,0,1,1,3,0,0,1,0,16,7
Boston Celtics,,Jeff Green,Washington Wizards,W,11/07/2012,21:34,3,6,0.5,0,0,0.0,0,0,0.0,0,2,2,2,0,0,2,0,6,2
Boston Celtics,,Leandro Barbosa,Washington Wizards,W,11/07/2012,11:48,1,3,0.333,0,1,0.0,0,0,0.0,1,0,1,1,0,1,1,0,2,-4
Boston Celtics,,Chris Wilcox,Washington Wizards,W,11/07/2012,3:41,1,1,1.0,0,0,0.0,4,5,0.8,0,2,2,0,0,1,0,0,6,8
Boston Celtics,,Brandon Bass,Philadelphia 76ers,L,11/09/2012,23:14,2,7,0.286,0,0,0.0,4,4,1.0,1,1,2,0,0,1,2,3,8,-5
Boston Celtics,,Jeff Green,Philadelphia 76ers,L,11/09/2012,17:54,1,5,0.2,0,1,0.0,2,3,0.667,1,3,4,0,0,1,0,0,4,-6
Boston Celtics,,Jason Terry,Philadelphia 76ers,L,11/09/2012,29:08,5,7,0.714,2,4,0.5,1,1,1.0,0,1,1,1,1,0,1,2,13,5
Boston Celtics,,Chris Wilcox,Philadelphia 76ers,L,11/09/2012,12:11,1,1,1.0,0,0,0.0,4,6,0.667,0,0,0,0,0,0,0,3,6,1
Boston Celtics,,Leandro Barbosa,Philadelphia 76ers,L,11/09/2012,11:23,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,2,0,0,1,2,2,-7
Boston Celtics,,Chris Wilcox,Milwaukee Bucks,W,11/10/2012,15:06,3,5,0.6,0,0,0.0,0,0,0.0,1,2,3,0,1,0,2,3,6,-5
Boston Celtics,,Jared Sullinger,Milwaukee Bucks,W,11/10/2012,6:49,0,0,0.0,0,0,0.0,2,2,1.0,1,3,4,0,0,0,0,2,2,-1
Boston Celtics,,Jeff Green,Milwaukee Bucks,W,11/10/2012,25:20,3,8,0.375,0,1,0.0,6,8,0.75,0,3,3,0,1,2,3,3,12,-1
Boston Celtics,,Courtney Lee,Milwaukee Bucks,W,11/10/2012,28:00,0,3,0.0,0,2,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,3
Boston Celtics,,Leandro Barbosa,Milwaukee Bucks,W,11/10/2012,8:27,0,6,0.0,0,2,0.0,0,0,0.0,0,1,1,1,0,0,1,0,0,-4
Boston Celtics,,Jared Sullinger,Chicago Bulls,W,11/12/2012,12:54,1,2,0.5,1,1,1.0,0,0,0.0,0,1,1,4,0,1,0,2,3,-10
Boston Celtics,,Chris Wilcox,Chicago Bulls,W,11/12/2012,19:25,2,2,1.0,0,0,0.0,3,3,1.0,1,1,2,0,0,0,0,4,7,-4
Boston Celtics,,Courtney Lee,Chicago Bulls,W,11/12/2012,17:47,2,3,0.667,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,1,4,-17
Boston Celtics,,Jeff Green,Chicago Bulls,W,11/12/2012,15:14,3,7,0.429,1,2,0.5,0,0,0.0,1,4,5,0,0,0,1,0,7,-7
Boston Celtics,,Leandro Barbosa,Chicago Bulls,W,11/12/2012,15:12,3,7,0.429,0,2,0.0,0,0,0.0,0,0,0,3,0,0,1,2,6,-7
Boston Celtics,,Chris Wilcox,Utah Jazz,W,11/14/2012,18:20,3,3,1.0,0,0,0.0,1,2,0.5,1,4,5,0,1,0,1,1,7,-4
Boston Celtics,,Jeff Green,Utah Jazz,W,11/14/2012,27:17,5,9,0.556,0,0,0.0,6,7,0.857,1,3,4,2,0,0,2,2,16,12
Boston Celtics,,Jared Sullinger,Utah Jazz,W,11/14/2012,15:49,1,1,1.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,3,2,7
Boston Celtics,,Courtney Lee,Utah Jazz,W,11/14/2012,17:37,3,6,0.5,0,1,0.0,0,0,0.0,0,2,2,1,1,0,1,1,6,11
Boston Celtics,,Leandro Barbosa,Utah Jazz,W,11/14/2012,22:42,6,8,0.75,1,1,1.0,3,6,0.5,0,2,2,3,0,0,0,1,16,13
Boston Celtics,,Chris Wilcox,Brooklyn Nets,L,11/15/2012,12:32,2,2,1.0,0,0,0.0,2,2,1.0,2,1,3,1,0,2,2,3,6,16
Boston Celtics,,Courtney Lee,Brooklyn Nets,L,11/15/2012,33:28,4,8,0.5,1,2,0.5,4,4,1.0,3,6,9,3,3,0,1,3,13,-3
Boston Celtics,,Jeff Green,Brooklyn Nets,L,11/15/2012,25:03,2,6,0.333,1,1,1.0,0,0,0.0,1,5,6,1,0,0,4,3,5,1
Boston Celtics,,Jason Collins,Brooklyn Nets,L,11/15/2012,8:18,1,2,0.5,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,2,2,-1
Boston Celtics,,Jared Sullinger,Brooklyn Nets,L,11/15/2012,7:39,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,0
Boston Celtics,,Chris Wilcox,Toronto Raptors,W,11/17/2012,24:45,4,8,0.5,0,0,0.0,0,1,0.0,2,0,2,1,1,0,2,4,8,17
Boston Celtics,,Jared Sullinger,Toronto Raptors,W,11/17/2012,26:23,5,8,0.625,0,0,0.0,2,2,1.0,4,7,11,0,1,0,0,3,12,9
Boston Celtics,,Courtney Lee,Toronto Raptors,W,11/17/2012,18:41,2,5,0.4,0,0,0.0,0,0,0.0,0,3,3,4,3,0,3,2,4,8
