Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Brooklyn Nets,F,Gerald Wallace,New York Knicks,W,11/26/2012,41:52,6,13,0.462,2,5,0.4,2,4,0.5,1,4,5,2,2,2,0,4,16,-3
Brooklyn Nets,F,Kris Humphries,New York Knicks,W,11/26/2012,18:57,2,3,0.667,0,0,0.0,0,0,0.0,1,4,5,0,0,0,0,1,4,-2
Brooklyn Nets,C,Brook Lopez,New York Knicks,W,11/26/2012,37:44,9,20,0.45,0,0,0.0,4,5,0.8,7,4,11,0,0,5,3,5,22,-2
Brooklyn Nets,G,Joe Johnson,New York Knicks,W,11/26/2012,43:39,3,12,0.25,1,4,0.25,1,1,1.0,0,4,4,3,0,0,2,2,8,0
Brooklyn Nets,G,Deron Williams,New York Knicks,W,11/26/2012,43:03,6,17,0.353,1,6,0.167,3,4,0.75,1,5,6,14,3,0,4,4,16,8
Brooklyn Nets,F,Gerald Wallace,Toronto Raptors,W,11/03/2012,29:60,4,8,0.5,1,3,0.333,1,2,0.5,0,6,6,4,2,0,2,3,10,-2
Brooklyn Nets,F,Kris Humphries,Toronto Raptors,W,11/03/2012,22:47,1,5,0.2,0,0,0.0,3,4,0.75,0,5,5,1,0,0,0,1,5,6
Brooklyn Nets,C,Brook Lopez,Toronto Raptors,W,11/03/2012,31:35,8,17,0.471,0,0,0.0,11,15,0.733,2,3,5,0,1,1,1,2,27,3
Brooklyn Nets,G,Joe Johnson,Toronto Raptors,W,11/03/2012,39:40,5,13,0.385,1,2,0.5,3,4,0.75,2,3,5,4,1,0,3,2,14,13
Brooklyn Nets,G,Deron Williams,Toronto Raptors,W,11/03/2012,38:55,6,14,0.429,1,5,0.2,6,8,0.75,0,1,1,9,0,0,4,1,19,2
Brooklyn Nets,F,Keith Bogans,Minnesota Timberwolves,L,11/05/2012,14:07,3,5,0.6,3,4,0.75,0,0,0.0,0,1,1,1,1,0,1,2,9,3
Brooklyn Nets,F,Kris Humphries,Minnesota Timberwolves,L,11/05/2012,22:53,1,2,0.5,0,0,0.0,0,1,0.0,0,4,4,1,0,1,3,2,2,7
Brooklyn Nets,C,Brook Lopez,Minnesota Timberwolves,L,11/05/2012,32:04,5,14,0.357,0,0,0.0,3,5,0.6,0,8,8,0,1,2,1,0,13,-2
Brooklyn Nets,G,Joe Johnson,Minnesota Timberwolves,L,11/05/2012,40:49,8,18,0.444,3,5,0.6,0,0,0.0,1,0,1,2,0,0,1,1,19,-7
Brooklyn Nets,G,Deron Williams,Minnesota Timberwolves,L,11/05/2012,37:38,5,12,0.417,3,7,0.429,5,6,0.833,1,1,2,13,1,0,4,2,18,-10
Brooklyn Nets,F,Joe Johnson,Miami Heat,L,11/07/2012,32:13,4,14,0.286,1,3,0.333,0,0,0.0,0,2,2,1,2,0,0,1,9,-19
Brooklyn Nets,F,Kris Humphries,Miami Heat,L,11/07/2012,24:14,4,8,0.5,0,0,0.0,3,6,0.5,5,6,11,1,0,0,1,2,11,-12
Brooklyn Nets,C,Brook Lopez,Miami Heat,L,11/07/2012,20:34,4,8,0.5,0,0,0.0,0,1,0.0,2,5,7,1,0,1,0,1,8,-5
Brooklyn Nets,G,Keith Bogans,Miami Heat,L,11/07/2012,21:00,1,3,0.333,1,3,0.333,0,0,0.0,0,2,2,1,1,0,0,2,3,-12
Brooklyn Nets,G,Deron Williams,Miami Heat,L,11/07/2012,30:52,7,15,0.467,0,4,0.0,0,0,0.0,0,1,1,3,1,0,7,3,14,-18
Brooklyn Nets,F,Keith Bogans,Orlando Magic,W,11/09/2012,17:20,2,6,0.333,1,5,0.2,0,0,0.0,0,2,2,0,0,0,0,1,5,13
Brooklyn Nets,F,Kris Humphries,Orlando Magic,W,11/09/2012,19:43,3,7,0.429,0,0,0.0,2,2,1.0,2,6,8,1,0,1,1,2,8,12
Brooklyn Nets,C,Brook Lopez,Orlando Magic,W,11/09/2012,23:50,5,7,0.714,0,0,0.0,4,7,0.571,3,7,10,1,0,3,1,1,14,18
Brooklyn Nets,G,Joe Johnson,Orlando Magic,W,11/09/2012,29:16,5,11,0.455,2,5,0.4,1,1,1.0,1,2,3,4,1,0,1,0,13,24
Brooklyn Nets,G,Deron Williams,Orlando Magic,W,11/09/2012,29:13,5,8,0.625,0,2,0.0,2,2,1.0,0,0,0,4,1,0,3,1,12,10
Brooklyn Nets,F,Keith Bogans,Orlando Magic,W,11/11/2012,18:25,0,5,0.0,0,4,0.0,0,0,0.0,1,2,3,3,0,0,0,0,0,10
Brooklyn Nets,F,Kris Humphries,Orlando Magic,W,11/11/2012,34:01,6,11,0.545,0,0,0.0,2,2,1.0,6,15,21,0,0,1,1,5,14,-1
Brooklyn Nets,C,Brook Lopez,Orlando Magic,W,11/11/2012,34:55,9,18,0.5,0,0,0.0,2,2,1.0,1,2,3,3,0,3,7,3,20,4
Brooklyn Nets,G,Joe Johnson,Orlando Magic,W,11/11/2012,41:23,3,13,0.231,2,5,0.4,5,6,0.833,1,2,3,4,1,0,1,0,13,12
Brooklyn Nets,G,Deron Williams,Orlando Magic,W,11/11/2012,36:14,5,12,0.417,3,7,0.429,4,6,0.667,0,7,7,7,0,2,3,2,17,0
