Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cleveland Cavaliers,,CJ Miles,Washington Wizards,W,10/30/2012,17:42,1,5,0.2,0,1,0.0,0,0,0.0,0,4,4,1,0,0,3,0,2,2
Cleveland Cavaliers,,Tyler Zeller,Washington Wizards,W,10/30/2012,14:53,2,4,0.5,0,0,0.0,1,2,0.5,0,2,2,0,1,1,0,2,5,4
Cleveland Cavaliers,,Daniel Gibson,Washington Wizards,W,10/30/2012,16:11,3,5,0.6,2,4,0.5,2,4,0.5,1,2,3,1,0,1,0,2,10,-9
Cleveland Cavaliers,,Luke Walton,Washington Wizards,W,10/30/2012,12:14,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,0,0,0,2,0,2,-11
Cleveland Cavaliers,,Donald Sloan,Washington Wizards,W,10/30/2012,13:26,2,5,0.4,0,1,0.0,0,0,0.0,0,0,0,1,0,0,2,2,4,-13
Cleveland Cavaliers,,Tyler Zeller,Chicago Bulls,L,11/02/2012,14:17,3,5,0.6,0,0,0.0,2,5,0.4,2,0,2,0,2,0,1,4,8,-7
Cleveland Cavaliers,,CJ Miles,Chicago Bulls,L,11/02/2012,18:27,3,11,0.273,2,5,0.4,0,0,0.0,0,1,1,2,1,0,1,1,8,-11
Cleveland Cavaliers,,Daniel Gibson,Chicago Bulls,L,11/02/2012,20:59,1,4,0.25,1,3,0.333,0,0,0.0,0,3,3,4,1,0,3,6,3,-17
Cleveland Cavaliers,,Luke Walton,Chicago Bulls,L,11/02/2012,4:26,0,3,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-11
Cleveland Cavaliers,,Samardo Samuels,Chicago Bulls,L,11/02/2012,17:50,3,5,0.6,0,0,0.0,1,2,0.5,1,4,5,0,0,0,0,2,7,-11
Cleveland Cavaliers,,Donald Sloan,Chicago Bulls,L,11/02/2012,17:59,1,3,0.333,1,2,0.5,1,2,0.5,1,1,2,5,0,0,1,1,4,-8
Cleveland Cavaliers,,Omri Casspi,Chicago Bulls,L,11/02/2012,6:43,1,2,0.5,1,2,0.5,1,4,0.25,0,0,0,0,0,0,0,0,4,-8
Cleveland Cavaliers,,Jon Leuer,Chicago Bulls,L,11/02/2012,6:23,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,-6
Cleveland Cavaliers,,CJ Miles,Milwaukee Bucks,L,11/03/2012,14:54,0,6,0.0,0,3,0.0,0,0,0.0,0,1,1,1,0,0,3,4,0,-16
Cleveland Cavaliers,,Tyler Zeller,Milwaukee Bucks,L,11/03/2012,20:43,1,5,0.2,0,0,0.0,0,2,0.0,2,5,7,1,0,0,0,1,2,-18
Cleveland Cavaliers,,Daniel Gibson,Milwaukee Bucks,L,11/03/2012,20:36,2,6,0.333,1,3,0.333,0,2,0.0,0,0,0,0,1,0,0,4,5,-17
Cleveland Cavaliers,,Luke Walton,Milwaukee Bucks,L,11/03/2012,7:02,0,2,0.0,0,1,0.0,0,0,0.0,1,0,1,0,1,0,1,0,0,-16
Cleveland Cavaliers,,Donald Sloan,Milwaukee Bucks,L,11/03/2012,12:35,3,5,0.6,2,2,1.0,0,1,0.0,0,1,1,1,0,0,1,2,8,-14
Cleveland Cavaliers,,Daniel Gibson,Los Angeles Clippers,W,11/05/2012,20:20,1,5,0.2,1,4,0.25,0,0,0.0,0,3,3,3,1,0,0,1,3,4
Cleveland Cavaliers,,Tyler Zeller,Los Angeles Clippers,W,11/05/2012,24:12,6,10,0.6,0,0,0.0,3,6,0.5,4,3,7,2,1,0,3,3,15,1
Cleveland Cavaliers,,Donald Sloan,Los Angeles Clippers,W,11/05/2012,6:05,1,4,0.25,0,1,0.0,0,0,0.0,0,0,0,2,0,0,0,0,2,-1
Cleveland Cavaliers,,CJ Miles,Los Angeles Clippers,W,11/05/2012,14:27,4,7,0.571,2,3,0.667,0,0,0.0,0,0,0,0,2,0,1,1,10,-1
Cleveland Cavaliers,,Samardo Samuels,Los Angeles Clippers,W,11/05/2012,3:54,1,2,0.5,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,0,2,3
Cleveland Cavaliers,,CJ Miles,Golden State Warriors,L,11/07/2012,17:16,3,11,0.273,1,7,0.143,0,0,0.0,0,1,1,0,1,0,1,5,7,-15
Cleveland Cavaliers,,Jon Leuer,Golden State Warriors,L,11/07/2012,21:48,3,5,0.6,0,0,0.0,1,2,0.5,2,2,4,1,1,0,2,4,7,-19
Cleveland Cavaliers,,Daniel Gibson,Golden State Warriors,L,11/07/2012,21:40,4,8,0.5,4,8,0.5,0,0,0.0,0,1,1,1,2,0,1,1,12,-9
Cleveland Cavaliers,,Donald Sloan,Golden State Warriors,L,11/07/2012,7:54,0,3,0.0,0,1,0.0,1,2,0.5,0,2,2,2,0,0,0,0,1,-2
Cleveland Cavaliers,,Omri Casspi,Golden State Warriors,L,11/07/2012,9:59,0,1,0.0,0,1,0.0,0,0,0.0,2,3,5,0,0,0,1,0,0,7
Cleveland Cavaliers,,Samardo Samuels,Phoenix Suns,L,11/09/2012,23:17,2,6,0.333,0,0,0.0,3,4,0.75,2,0,2,2,0,0,2,5,7,-10
Cleveland Cavaliers,,Daniel Gibson,Phoenix Suns,L,11/09/2012,22:07,7,9,0.778,5,7,0.714,0,0,0.0,0,2,2,0,1,0,1,4,19,-4
Cleveland Cavaliers,,CJ Miles,Phoenix Suns,L,11/09/2012,12:14,0,7,0.0,0,4,0.0,0,0,0.0,0,5,5,1,0,0,1,1,0,-10
Cleveland Cavaliers,,Donald Sloan,Phoenix Suns,L,11/09/2012,5:31,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,0,0,0
Cleveland Cavaliers,,Samardo Samuels,Oklahoma City Thunder,L,11/11/2012,6:21,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,2,0,-9
Cleveland Cavaliers,,Daniel Gibson,Oklahoma City Thunder,L,11/11/2012,28:54,6,12,0.5,1,5,0.2,3,3,1.0,1,4,5,0,1,0,0,1,16,-24
Cleveland Cavaliers,,Jon Leuer,Oklahoma City Thunder,L,11/11/2012,23:45,2,8,0.25,0,1,0.0,0,2,0.0,2,0,2,2,0,0,0,2,4,-9
Cleveland Cavaliers,,Donald Sloan,Oklahoma City Thunder,L,11/11/2012,11:54,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,4,0,0,1,0,0,-5
Cleveland Cavaliers,,Omri Casspi,Oklahoma City Thunder,L,11/11/2012,13:59,1,7,0.143,1,4,0.25,4,4,1.0,1,3,4,0,2,0,1,2,7,-4
Cleveland Cavaliers,,Jeremy Pargo,Oklahoma City Thunder,L,11/11/2012,2:02,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,2,4
Cleveland Cavaliers,,Jon Leuer,Brooklyn Nets,L,11/13/2012,17:05,2,7,0.286,0,0,0.0,0,0,0.0,0,1,1,0,0,0,2,2,4,-13
