Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Golden State Warriors,,Festus Ezeli,Phoenix Suns,W,10/31/2012,13:52,1,2,0.5,0,0,0.0,1,2,0.5,1,4,5,0,3,0,0,1,3,0
Golden State Warriors,,Brandon Rush,Phoenix Suns,W,10/31/2012,23:30,6,9,0.667,0,2,0.0,2,3,0.667,0,1,1,2,0,0,3,5,14,3
Golden State Warriors,,Jarrett Jack,Phoenix Suns,W,10/31/2012,29:32,3,7,0.429,1,1,1.0,3,4,0.75,0,3,3,7,1,0,4,2,10,8
Golden State Warriors,,Carl Landry,Phoenix Suns,W,10/31/2012,22:56,7,9,0.778,0,0,0.0,3,4,0.75,5,1,6,1,1,0,2,0,17,13
Golden State Warriors,,Richard Jefferson,Phoenix Suns,W,10/31/2012,13:17,0,2,0.0,0,1,0.0,2,2,1.0,0,0,0,0,2,1,0,0,2,7
Golden State Warriors,,Draymond Green,Phoenix Suns,W,10/31/2012,1:15,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-3
Golden State Warriors,,Carl Landry,Memphis Grizzlies,L,11/02/2012,23:40,5,10,0.5,0,0,0.0,10,12,0.833,4,2,6,1,1,0,3,3,20,12
Golden State Warriors,,Brandon Rush,Memphis Grizzlies,L,11/02/2012,1:51,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,3
Golden State Warriors,,Festus Ezeli,Memphis Grizzlies,L,11/02/2012,12:31,2,5,0.4,0,0,0.0,0,0,0.0,2,2,4,0,2,2,2,1,4,-4
Golden State Warriors,,Andris Biedrins,Memphis Grizzlies,L,11/02/2012,6:06,0,1,0.0,0,0,0.0,0,2,0.0,0,1,1,0,0,1,0,1,0,-11
Golden State Warriors,,Jarrett Jack,Memphis Grizzlies,L,11/02/2012,27:17,2,6,0.333,1,2,0.5,0,0,0.0,0,4,4,6,0,0,0,2,5,1
Golden State Warriors,,Richard Jefferson,Memphis Grizzlies,L,11/02/2012,9:40,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,-9
Golden State Warriors,,Draymond Green,Memphis Grizzlies,L,11/02/2012,1:39,0,2,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,-2
Golden State Warriors,,Richard Jefferson,Los Angeles Clippers,W,11/03/2012,21:60,3,7,0.429,0,2,0.0,3,4,0.75,1,1,2,1,2,0,1,1,9,9
Golden State Warriors,,Carl Landry,Los Angeles Clippers,W,11/03/2012,32:14,11,16,0.688,0,0,0.0,1,4,0.25,6,4,10,2,0,1,2,5,23,0
