Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Indiana Pacers,,Tyler Hansbrough,Toronto Raptors,W,10/31/2012,20:07,2,5,0.4,0,0,0.0,4,4,1.0,0,3,3,1,0,0,0,0,8,2
Indiana Pacers,,Sam Young,Toronto Raptors,W,10/31/2012,11:21,2,2,1.0,0,0,0.0,0,0,0.0,1,2,3,1,0,0,0,0,4,1
Indiana Pacers,,D.J. Augustin,Toronto Raptors,W,10/31/2012,15:12,1,4,0.25,1,1,1.0,2,3,0.667,0,1,1,2,1,0,2,1,5,0
Indiana Pacers,,Ian Mahinmi,Toronto Raptors,W,10/31/2012,18:44,0,1,0.0,0,0,0.0,1,2,0.5,2,3,5,0,0,2,4,3,1,-5
Indiana Pacers,,Lance Stephenson,Toronto Raptors,W,10/31/2012,12:50,2,3,0.667,1,1,1.0,0,0,0.0,1,3,4,0,0,0,0,0,5,-1
Indiana Pacers,,Sam Young,Charlotte Bobcats,L,11/02/2012,0:20,0,0,0.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,0,1,1
Indiana Pacers,,Lance Stephenson,Charlotte Bobcats,L,11/02/2012,25:06,6,9,0.667,2,3,0.667,1,2,0.5,0,6,6,4,2,0,3,0,15,13
Indiana Pacers,,Tyler Hansbrough,Charlotte Bobcats,L,11/02/2012,16:44,4,9,0.444,0,1,0.0,7,8,0.875,4,2,6,0,1,2,1,2,15,9
Indiana Pacers,,Ian Mahinmi,Charlotte Bobcats,L,11/02/2012,21:31,2,5,0.4,0,0,0.0,3,4,0.75,2,6,8,0,0,1,1,1,7,5
Indiana Pacers,,D.J. Augustin,Charlotte Bobcats,L,11/02/2012,16:46,1,7,0.143,1,5,0.2,0,0,0.0,0,4,4,5,0,0,0,1,3,11
Indiana Pacers,,Sam Young,Sacramento Kings,W,11/03/2012,11:42,1,5,0.2,0,2,0.0,0,0,0.0,1,0,1,0,1,0,4,1,2,-13
Indiana Pacers,,Tyler Hansbrough,Sacramento Kings,W,11/03/2012,15:43,1,3,0.333,0,0,0.0,4,4,1.0,3,2,5,0,0,0,0,2,6,-9
