Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Indiana Pacers,F,Gerald Green,Toronto Raptors,W,10/31/2012,36:41,2,7,0.286,2,4,0.5,0,0,0.0,0,2,2,2,0,1,6,1,6,1
Indiana Pacers,F,David West,Toronto Raptors,W,10/31/2012,27:54,12,19,0.632,0,1,0.0,1,1,1.0,0,2,2,1,1,0,0,3,25,0
Indiana Pacers,C,Roy Hibbert,Toronto Raptors,W,10/31/2012,29:14,6,13,0.462,0,0,0.0,2,4,0.5,3,7,10,3,1,5,0,3,14,7
Indiana Pacers,G,Paul George,Toronto Raptors,W,10/31/2012,35:10,7,15,0.467,0,0,0.0,0,0,0.0,2,13,15,5,0,1,5,2,14,3
Indiana Pacers,G,George Hill,Toronto Raptors,W,10/31/2012,32:48,3,9,0.333,1,4,0.25,1,2,0.5,0,1,1,7,0,1,1,3,8,2
Indiana Pacers,F,Gerald Green,Charlotte Bobcats,L,11/02/2012,31:54,3,12,0.25,1,6,0.167,0,4,0.0,1,3,4,0,0,1,2,2,7,-16
Indiana Pacers,F,David West,Charlotte Bobcats,L,11/02/2012,34:02,7,17,0.412,0,0,0.0,0,2,0.0,0,6,6,2,1,0,1,1,14,-11
Indiana Pacers,C,Roy Hibbert,Charlotte Bobcats,L,11/02/2012,23:43,3,4,0.75,0,0,0.0,1,2,0.5,6,1,7,1,0,1,2,4,7,-5
Indiana Pacers,G,Paul George,Charlotte Bobcats,L,11/02/2012,36:00,4,11,0.364,2,5,0.4,2,2,1.0,1,6,7,6,1,0,5,3,12,-4
Indiana Pacers,G,George Hill,Charlotte Bobcats,L,11/02/2012,33:54,3,9,0.333,1,6,0.167,1,1,1.0,0,4,4,1,0,0,2,2,8,-8
Indiana Pacers,F,Gerald Green,Sacramento Kings,W,11/03/2012,24:18,6,9,0.667,1,3,0.333,4,4,1.0,2,1,3,0,2,0,2,4,17,-2
Indiana Pacers,F,David West,Sacramento Kings,W,11/03/2012,46:54,7,21,0.333,0,1,0.0,4,4,1.0,5,13,18,1,1,2,1,1,18,21
Indiana Pacers,C,Roy Hibbert,Sacramento Kings,W,11/03/2012,43:12,6,11,0.545,0,0,0.0,0,2,0.0,5,5,10,3,0,6,2,2,12,16
Indiana Pacers,G,Paul George,Sacramento Kings,W,11/03/2012,47:54,6,15,0.4,2,7,0.286,2,2,1.0,1,16,17,3,2,4,4,3,16,7
Indiana Pacers,G,George Hill,Sacramento Kings,W,11/03/2012,44:39,7,17,0.412,0,2,0.0,4,5,0.8,2,6,8,5,2,1,3,1,18,15
Indiana Pacers,F,Sam Young,San Antonio Spurs,L,11/05/2012,16:27,1,2,0.5,0,0,0.0,1,2,0.5,2,1,3,0,0,0,1,2,3,-12
Indiana Pacers,F,David West,San Antonio Spurs,L,11/05/2012,24:44,4,9,0.444,0,0,0.0,2,2,1.0,1,10,11,1,0,1,1,1,10,-1
Indiana Pacers,C,Roy Hibbert,San Antonio Spurs,L,11/05/2012,26:45,1,7,0.143,0,0,0.0,0,0,0.0,4,1,5,0,1,1,3,2,2,-8
Indiana Pacers,G,Paul George,San Antonio Spurs,L,11/05/2012,40:31,5,13,0.385,1,3,0.333,3,3,1.0,1,2,3,1,1,2,4,2,14,-20
Indiana Pacers,G,George Hill,San Antonio Spurs,L,11/05/2012,30:50,5,15,0.333,2,7,0.286,3,3,1.0,0,4,4,6,1,0,3,1,15,-13
Indiana Pacers,F,David West,Atlanta Hawks,L,11/07/2012,36:06,9,18,0.5,0,1,0.0,2,2,1.0,3,3,6,2,0,1,1,4,20,1
Indiana Pacers,F,Sam Young,Atlanta Hawks,L,11/07/2012,11:18,1,3,0.333,0,1,0.0,0,0,0.0,0,2,2,1,0,0,2,1,2,-1
Indiana Pacers,C,Roy Hibbert,Atlanta Hawks,L,11/07/2012,36:52,4,12,0.333,0,0,0.0,1,1,1.0,3,4,7,3,0,2,1,2,9,12
Indiana Pacers,G,Paul George,Atlanta Hawks,L,11/07/2012,39:05,5,13,0.385,2,7,0.286,1,1,1.0,1,6,7,2,4,1,3,1,13,5
Indiana Pacers,G,George Hill,Atlanta Hawks,L,11/07/2012,38:14,7,12,0.583,4,7,0.571,2,2,1.0,0,3,3,5,4,1,2,1,20,8
Indiana Pacers,F,David West,Minnesota Timberwolves,L,11/09/2012,37:18,8,16,0.5,0,0,0.0,3,4,0.75,6,7,13,1,2,2,2,3,19,8
Indiana Pacers,F,Sam Young,Minnesota Timberwolves,L,11/09/2012,10:59,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,1,0,1,2,0,-7
Indiana Pacers,C,Roy Hibbert,Minnesota Timberwolves,L,11/09/2012,27:47,5,11,0.455,0,0,0.0,0,0,0.0,2,2,4,0,0,1,2,4,10,0
Indiana Pacers,G,Paul George,Minnesota Timberwolves,L,11/09/2012,34:57,4,12,0.333,2,6,0.333,1,2,0.5,0,3,3,4,0,0,2,1,11,-2
Indiana Pacers,G,George Hill,Minnesota Timberwolves,L,11/09/2012,34:56,11,17,0.647,2,4,0.5,5,5,1.0,2,3,5,7,1,1,2,0,29,4
Indiana Pacers,F,Paul George,Washington Wizards,W,11/10/2012,36:41,8,12,0.667,2,5,0.4,2,2,1.0,0,7,7,3,0,0,2,1,20,1
Indiana Pacers,F,David West,Washington Wizards,W,11/10/2012,35:08,4,16,0.25,0,0,0.0,3,3,1.0,2,2,4,2,0,1,0,1,11,1
Indiana Pacers,C,Roy Hibbert,Washington Wizards,W,11/10/2012,26:01,3,15,0.2,0,0,0.0,1,2,0.5,8,4,12,1,1,2,4,3,7,-10
Indiana Pacers,G,Lance Stephenson,Washington Wizards,W,11/10/2012,30:38,5,7,0.714,2,2,1.0,0,0,0.0,0,4,4,2,0,0,1,2,12,-5
Indiana Pacers,G,George Hill,Washington Wizards,W,11/10/2012,34:43,3,9,0.333,1,3,0.333,1,2,0.5,0,2,2,5,0,0,1,2,8,3
Indiana Pacers,F,Paul George,Toronto Raptors,L,11/13/2012,41:16,3,14,0.214,2,6,0.333,4,4,1.0,3,6,9,4,3,0,2,4,12,5
Indiana Pacers,F,David West,Toronto Raptors,L,11/13/2012,36:49,3,12,0.25,0,0,0.0,5,8,0.625,2,4,6,2,0,2,2,0,11,2
Indiana Pacers,C,Roy Hibbert,Toronto Raptors,L,11/13/2012,24:19,3,9,0.333,0,0,0.0,0,0,0.0,3,6,9,1,3,2,2,3,6,-10
Indiana Pacers,G,Lance Stephenson,Toronto Raptors,L,11/13/2012,27:04,3,6,0.5,1,2,0.5,0,0,0.0,0,3,3,3,0,0,1,3,7,-7
Indiana Pacers,G,George Hill,Toronto Raptors,L,11/13/2012,36:55,8,20,0.4,0,4,0.0,2,2,1.0,2,3,5,2,2,1,3,2,18,-3
Indiana Pacers,F,Paul George,Milwaukee Bucks,L,11/14/2012,30:11,5,17,0.294,1,6,0.167,1,1,1.0,0,3,3,2,1,1,2,2,12,-27
Indiana Pacers,F,David West,Milwaukee Bucks,L,11/14/2012,22:58,3,9,0.333,0,0,0.0,1,2,0.5,1,8,9,1,0,0,2,3,7,-24
