Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Los Angeles Clippers,,Ryan Hollins,Memphis Grizzlies,W,10/31/2012,7:48,1,2,0.5,0,0,0.0,0,0,0.0,1,2,3,0,0,1,1,5,2,-10
Los Angeles Clippers,,Jamal Crawford,Memphis Grizzlies,W,10/31/2012,29:51,10,14,0.714,3,7,0.429,6,8,0.75,1,1,2,1,1,0,1,1,29,5
Los Angeles Clippers,,Eric Bledsoe,Memphis Grizzlies,W,10/31/2012,17:11,5,8,0.625,0,1,0.0,3,4,0.75,1,3,4,4,0,0,1,1,13,9
Los Angeles Clippers,,Ronny Turiaf,Memphis Grizzlies,W,10/31/2012,15:32,0,1,0.0,0,0,0.0,3,4,0.75,0,0,0,1,2,1,0,3,3,10
Los Angeles Clippers,,Lamar Odom,Memphis Grizzlies,W,10/31/2012,16:36,1,2,0.5,0,1,0.0,0,0,0.0,0,6,6,2,2,4,3,2,2,7
Los Angeles Clippers,,Matt Barnes,Los Angeles Lakers,W,11/02/2012,28:17,4,9,0.444,0,2,0.0,0,0,0.0,2,3,5,1,1,0,0,1,8,8
Los Angeles Clippers,,Ryan Hollins,Los Angeles Lakers,W,11/02/2012,12:17,0,1,0.0,0,0,0.0,2,2,1.0,1,1,2,0,0,0,1,6,2,2
Los Angeles Clippers,,Jamal Crawford,Los Angeles Lakers,W,11/02/2012,31:13,5,12,0.417,2,4,0.5,9,9,1.0,0,3,3,1,3,0,0,1,21,3
Los Angeles Clippers,,Ronny Turiaf,Los Angeles Lakers,W,11/02/2012,6:54,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,1,1,0,0,2
Los Angeles Clippers,,Eric Bledsoe,Los Angeles Lakers,W,11/02/2012,14:04,4,8,0.5,0,0,0.0,2,2,1.0,1,1,2,1,1,0,1,2,10,-7
Los Angeles Clippers,,Lamar Odom,Los Angeles Lakers,W,11/02/2012,18:36,2,8,0.25,1,4,0.25,0,0,0.0,0,2,2,1,0,0,0,0,5,-6
Los Angeles Clippers,,Ryan Hollins,Golden State Warriors,L,11/03/2012,17:50,1,1,1.0,0,0,0.0,2,2,1.0,0,4,4,0,0,1,2,2,4,-6
Los Angeles Clippers,,Matt Barnes,Golden State Warriors,L,11/03/2012,24:24,0,3,0.0,0,3,0.0,1,2,0.5,1,1,2,2,0,1,0,3,1,-1
Los Angeles Clippers,,Jamal Crawford,Golden State Warriors,L,11/03/2012,31:53,8,17,0.471,4,8,0.5,7,9,0.778,0,3,3,1,0,0,1,1,27,14
Los Angeles Clippers,,Eric Bledsoe,Golden State Warriors,L,11/03/2012,14:58,2,5,0.4,0,0,0.0,0,0,0.0,1,0,1,3,2,0,1,2,4,-11
Los Angeles Clippers,,Lamar Odom,Golden State Warriors,L,11/03/2012,9:59,1,5,0.2,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,4,2,-4
Los Angeles Clippers,,Eric Bledsoe,Cleveland Cavaliers,L,11/05/2012,25:38,3,10,0.3,0,2,0.0,5,6,0.833,2,3,5,5,4,1,2,0,11,5
Los Angeles Clippers,,Jamal Crawford,Cleveland Cavaliers,L,11/05/2012,25:05,7,13,0.538,4,8,0.5,1,1,1.0,0,0,0,1,0,0,4,2,19,-4
Los Angeles Clippers,,Matt Barnes,Cleveland Cavaliers,L,11/05/2012,16:06,0,4,0.0,0,2,0.0,0,0,0.0,1,7,8,0,0,0,3,4,0,-1
Los Angeles Clippers,,Ryan Hollins,Cleveland Cavaliers,L,11/05/2012,13:29,1,1,1.0,0,0,0.0,0,0,0.0,4,1,5,1,1,1,2,1,2,-3
Los Angeles Clippers,,Ronny Turiaf,Cleveland Cavaliers,L,11/05/2012,13:44,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,2,0,1,0,-1
Los Angeles Clippers,,Lamar Odom,Cleveland Cavaliers,L,11/05/2012,4:00,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,2,2,5
