Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Miami Heat,,Ray Allen,Boston Celtics,W,10/30/2012,30:35,5,7,0.714,2,3,0.667,7,8,0.875,0,2,2,2,0,0,0,1,19,9
Miami Heat,,Udonis Haslem,Boston Celtics,W,10/30/2012,11:03,0,1,0.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,1,1,0,-2
Miami Heat,,Rashard Lewis,Boston Celtics,W,10/30/2012,18:55,4,5,0.8,1,2,0.5,1,2,0.5,0,5,5,1,0,1,0,1,10,1
Miami Heat,,Norris Cole,Boston Celtics,W,10/30/2012,6:21,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,1,0,0,1,2,3,5
Miami Heat,,Mike Miller,Boston Celtics,W,10/30/2012,6:36,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,8
Miami Heat,,Ray Allen,New York Knicks,L,11/02/2012,26:45,2,5,0.4,1,3,0.333,0,0,0.0,0,2,2,3,0,0,2,0,5,-13
Miami Heat,,Norris Cole,New York Knicks,L,11/02/2012,22:59,3,6,0.5,0,1,0.0,0,0,0.0,0,0,0,1,0,0,2,2,6,-4
Miami Heat,,Udonis Haslem,New York Knicks,L,11/02/2012,19:29,1,3,0.333,0,0,0.0,0,0,0.0,0,5,5,1,0,0,0,1,2,-5
Miami Heat,,Rashard Lewis,New York Knicks,L,11/02/2012,20:22,5,9,0.556,4,6,0.667,2,2,1.0,2,4,6,1,0,0,0,1,16,2
Miami Heat,,Mike Miller,New York Knicks,L,11/02/2012,3:06,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,1,0,0,-1
Miami Heat,,James Jones,New York Knicks,L,11/02/2012,3:06,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1
Miami Heat,,Josh Harrellson,New York Knicks,L,11/02/2012,1:58,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,2
Miami Heat,,Ray Allen,Denver Nuggets,W,11/03/2012,28:40,8,12,0.667,6,10,0.6,1,1,1.0,1,4,5,1,2,1,1,2,23,-4
Miami Heat,,Mike Miller,Denver Nuggets,W,11/03/2012,16:09,1,3,0.333,1,3,0.333,0,0,0.0,0,3,3,1,0,0,0,1,3,-6
Miami Heat,,Udonis Haslem,Denver Nuggets,W,11/03/2012,5:16,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-6
Miami Heat,,Rashard Lewis,Denver Nuggets,W,11/03/2012,15:10,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,3,2,-5
Miami Heat,,Joel Anthony,Denver Nuggets,W,11/03/2012,7:19,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-7
Miami Heat,,Ray Allen,Phoenix Suns,W,11/05/2012,28:25,4,9,0.444,3,4,0.75,4,4,1.0,0,6,6,6,1,0,2,2,15,15
Miami Heat,,Udonis Haslem,Phoenix Suns,W,11/05/2012,18:50,5,8,0.625,0,0,0.0,2,3,0.667,0,5,5,0,0,0,0,3,12,9
Miami Heat,,Rashard Lewis,Phoenix Suns,W,11/05/2012,18:56,2,8,0.25,2,6,0.333,0,0,0.0,1,5,6,2,0,0,3,3,6,1
Miami Heat,,Norris Cole,Phoenix Suns,W,11/05/2012,19:53,2,3,0.667,1,1,1.0,1,2,0.5,0,1,1,2,0,0,1,3,6,1
Miami Heat,,Mike Miller,Phoenix Suns,W,11/05/2012,4:22,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-6
Miami Heat,,Terrel Harris,Phoenix Suns,W,11/05/2012,6:10,1,2,0.5,0,0,0.0,0,0,0.0,2,0,2,0,0,0,2,1,2,-4
Miami Heat,,Joel Anthony,Phoenix Suns,W,11/05/2012,3:59,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,-3
Miami Heat,,James Jones,Phoenix Suns,W,11/05/2012,3:59,2,3,0.667,2,3,0.667,0,0,0.0,0,0,0,0,0,0,0,0,6,-3
Miami Heat,,Ray Allen,Brooklyn Nets,W,11/07/2012,26:43,4,6,0.667,1,2,0.5,0,0,0.0,0,3,3,1,0,0,1,5,9,12
Miami Heat,,Norris Cole,Brooklyn Nets,W,11/07/2012,20:32,0,2,0.0,0,1,0.0,2,2,1.0,0,1,1,4,1,0,2,2,2,21
Miami Heat,,Udonis Haslem,Brooklyn Nets,W,11/07/2012,19:39,2,3,0.667,0,0,0.0,0,0,0.0,0,6,6,0,0,0,1,0,4,13
Miami Heat,,Rashard Lewis,Brooklyn Nets,W,11/07/2012,19:11,6,9,0.667,1,3,0.333,0,0,0.0,0,0,0,0,1,0,0,1,13,13
Miami Heat,,Mike Miller,Brooklyn Nets,W,11/07/2012,4:21,1,1,1.0,1,1,1.0,0,0,0.0,0,1,1,1,0,0,0,0,3,4
Miami Heat,,Joel Anthony,Brooklyn Nets,W,11/07/2012,4:21,1,1,1.0,0,0,0.0,0,0,0.0,0,2,2,0,0,2,0,0,2,4
Miami Heat,,Josh Harrellson,Brooklyn Nets,W,11/07/2012,4:02,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,1,0,4
Miami Heat,,James Jones,Brooklyn Nets,W,11/07/2012,3:43,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,0,0,0,0,0,3,6
Miami Heat,,Ray Allen,Atlanta Hawks,W,11/09/2012,24:03,6,12,0.5,3,5,0.6,2,2,1.0,0,1,1,1,0,0,2,4,17,2
Miami Heat,,Norris Cole,Atlanta Hawks,W,11/09/2012,20:20,3,7,0.429,0,2,0.0,0,0,0.0,0,2,2,4,1,0,0,1,6,2
Miami Heat,,Rashard Lewis,Atlanta Hawks,W,11/09/2012,20:33,3,6,0.5,1,1,1.0,0,0,0.0,0,0,0,1,1,0,4,4,7,6
Miami Heat,,Udonis Haslem,Atlanta Hawks,W,11/09/2012,23:57,1,3,0.333,0,0,0.0,0,0,0.0,1,9,10,0,0,0,2,1,2,4
Miami Heat,,Udonis Haslem,Memphis Grizzlies,L,11/11/2012,21:03,1,3,0.333,0,0,0.0,3,4,0.75,0,1,1,1,0,2,1,3,5,1
Miami Heat,,Ray Allen,Memphis Grizzlies,L,11/11/2012,25:18,2,7,0.286,1,3,0.333,0,1,0.0,0,1,1,2,3,1,2,0,5,-23
Miami Heat,,Norris Cole,Memphis Grizzlies,L,11/11/2012,21:46,0,3,0.0,0,1,0.0,7,8,0.875,0,4,4,2,0,0,1,2,7,-3
Miami Heat,,Rashard Lewis,Memphis Grizzlies,L,11/11/2012,13:16,1,4,0.25,1,2,0.5,1,2,0.5,1,0,1,0,1,0,1,2,4,-8
Miami Heat,,Joel Anthony,Memphis Grizzlies,L,11/11/2012,4:37,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,1,0,0,4
Miami Heat,,James Jones,Memphis Grizzlies,L,11/11/2012,4:37,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,4
Miami Heat,,Mike Miller,Memphis Grizzlies,L,11/11/2012,4:37,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,0,0,4
Miami Heat,,Josh Harrellson,Memphis Grizzlies,L,11/11/2012,3:30,2,2,1.0,1,1,1.0,0,0,0.0,2,2,4,0,0,0,0,0,5,9
Miami Heat,,Ray Allen,Houston Rockets,W,11/12/2012,25:35,3,7,0.429,2,5,0.4,0,0,0.0,2,2,4,3,1,0,1,2,8,-2
Miami Heat,,Udonis Haslem,Houston Rockets,W,11/12/2012,15:23,5,6,0.833,0,0,0.0,0,0,0.0,5,2,7,0,0,0,0,2,10,-11
Miami Heat,,Norris Cole,Houston Rockets,W,11/12/2012,14:47,1,6,0.167,0,1,0.0,0,0,0.0,0,1,1,0,0,0,3,3,2,-12
Miami Heat,,Rashard Lewis,Houston Rockets,W,11/12/2012,9:10,1,4,0.25,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3,2,-4
Miami Heat,,Ray Allen,Los Angeles Clippers,L,11/14/2012,26:33,4,6,0.667,1,2,0.5,5,6,0.833,1,2,3,2,5,0,1,4,14,-5
Miami Heat,,Udonis Haslem,Los Angeles Clippers,L,11/14/2012,20:15,1,3,0.333,0,0,0.0,1,3,0.333,2,4,6,0,0,0,2,3,3,1
Miami Heat,,Norris Cole,Los Angeles Clippers,L,11/14/2012,13:46,2,4,0.5,0,1,0.0,0,0,0.0,3,0,3,2,0,0,3,1,4,7
Miami Heat,,Rashard Lewis,Los Angeles Clippers,L,11/14/2012,14:19,4,4,1.0,3,3,1.0,0,2,0.0,0,0,0,0,2,0,0,3,11,-10
Miami Heat,,Joel Anthony,Los Angeles Clippers,L,11/14/2012,6:06,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,2,12
Miami Heat,,James Jones,Los Angeles Clippers,L,11/14/2012,2:28,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,3,7
Miami Heat,,Terrel Harris,Los Angeles Clippers,L,11/14/2012,2:28,0,1,0.0,0,0,0.0,2,2,1.0,0,1,1,0,0,0,0,0,2,7
Miami Heat,,Norris Cole,Denver Nuggets,W,11/15/2012,38:41,3,12,0.25,1,2,0.5,0,0,0.0,0,1,1,3,1,1,3,1,7,5
Miami Heat,,Ray Allen,Denver Nuggets,W,11/15/2012,25:58,2,8,0.25,1,4,0.25,4,6,0.667,1,2,3,3,1,0,0,1,9,-3
Miami Heat,,Udonis Haslem,Denver Nuggets,W,11/15/2012,17:41,4,4,1.0,0,0,0.0,0,0,0.0,1,3,4,0,0,0,0,2,8,-8
Miami Heat,,Rashard Lewis,Denver Nuggets,W,11/15/2012,11:43,1,3,0.333,1,3,0.333,0,0,0.0,0,2,2,0,0,0,0,1,3,2
Miami Heat,,Joel Anthony,Denver Nuggets,W,11/15/2012,4:51,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,2,0,1,0,-4
Miami Heat,,Rashard Lewis,Phoenix Suns,W,11/17/2012,10:39,2,3,0.667,1,2,0.5,0,0,0.0,0,2,2,0,0,0,2,0,5,-15
Miami Heat,,Udonis Haslem,Phoenix Suns,W,11/17/2012,17:53,1,3,0.333,0,0,0.0,0,0,0.0,2,4,6,0,1,0,2,3,2,-11
Miami Heat,,Ray Allen,Phoenix Suns,W,11/17/2012,24:42,3,4,0.75,0,0,0.0,3,3,1.0,1,2,3,3,0,0,3,3,9,-14
Miami Heat,,Norris Cole,Phoenix Suns,W,11/17/2012,16:09,2,7,0.286,0,1,0.0,0,0,0.0,0,0,0,2,2,0,3,3,4,-3
Miami Heat,,Joel Anthony,Phoenix Suns,W,11/17/2012,3:27,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2
Miami Heat,,Udonis Haslem,Milwaukee Bucks,W,11/21/2012,18:21,1,5,0.2,0,0,0.0,0,0,0.0,2,6,8,0,2,0,0,2,2,7
Miami Heat,,Ray Allen,Milwaukee Bucks,W,11/21/2012,30:29,4,10,0.4,3,5,0.6,6,7,0.857,2,1,3,0,1,0,1,1,17,11
Miami Heat,,Norris Cole,Milwaukee Bucks,W,11/21/2012,17:22,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,6,0,0,1,2,2,-5
Miami Heat,,Mike Miller,Milwaukee Bucks,W,11/21/2012,13:19,1,2,0.5,1,2,0.5,0,0,0.0,0,1,1,2,0,0,0,0,3,3
Miami Heat,,Joel Anthony,Milwaukee Bucks,W,11/21/2012,2:18,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-6
Miami Heat,,Udonis Haslem,Cleveland Cavaliers,W,11/24/2012,19:18,1,1,1.0,0,0,0.0,0,0,0.0,2,3,5,3,0,0,2,2,2,-12
Miami Heat,,Ray Allen,Cleveland Cavaliers,W,11/24/2012,22:41,6,11,0.545,3,5,0.6,2,3,0.667,1,4,5,1,0,0,1,2,17,2
Miami Heat,,Norris Cole,Cleveland Cavaliers,W,11/24/2012,12:52,1,3,0.333,0,0,0.0,0,0,0.0,0,2,2,2,0,0,0,3,2,-9
Miami Heat,,Mike Miller,Cleveland Cavaliers,W,11/24/2012,14:18,2,4,0.5,1,3,0.333,0,0,0.0,0,1,1,1,0,0,2,3,5,-7
