Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Miami Heat,F,LeBron James,Boston Celtics,W,10/30/2012,28:52,10,16,0.625,2,4,0.5,4,5,0.8,1,9,10,3,2,0,0,2,26,12
Miami Heat,F,Shane Battier,Boston Celtics,W,10/30/2012,29:05,2,4,0.5,2,3,0.667,0,0,0.0,0,2,2,1,1,0,0,3,6,12
Miami Heat,C,Chris Bosh,Boston Celtics,W,10/30/2012,36:57,8,15,0.533,0,1,0.0,3,4,0.75,2,8,10,1,0,3,1,3,19,15
Miami Heat,G,Dwyane Wade,Boston Celtics,W,10/30/2012,35:07,10,22,0.455,0,0,0.0,9,11,0.818,2,1,3,4,2,1,4,3,29,-6
Miami Heat,G,Mario Chalmers,Boston Celtics,W,10/30/2012,36:29,3,7,0.429,0,1,0.0,2,2,1.0,0,1,1,11,3,0,1,3,8,11
Miami Heat,F,Shane Battier,New York Knicks,L,11/02/2012,24:27,1,3,0.333,0,2,0.0,0,0,0.0,1,1,2,0,2,1,2,3,2,-20
Miami Heat,F,LeBron James,New York Knicks,L,11/02/2012,36:41,8,16,0.5,2,3,0.667,5,6,0.833,0,7,7,5,0,3,5,2,23,-21
Miami Heat,C,Chris Bosh,New York Knicks,L,11/02/2012,26:46,5,13,0.385,0,1,0.0,2,2,1.0,4,7,11,1,1,1,3,1,12,-13
Miami Heat,G,Mario Chalmers,New York Knicks,L,11/02/2012,19:34,1,5,0.2,0,3,0.0,1,2,0.5,0,1,1,1,0,0,2,6,3,-10
Miami Heat,G,Dwyane Wade,New York Knicks,L,11/02/2012,34:47,7,10,0.7,0,0,0.0,1,1,1.0,0,5,5,4,0,0,4,2,15,-16
Miami Heat,F,Shane Battier,Denver Nuggets,W,11/03/2012,21:01,2,5,0.4,2,5,0.4,2,2,1.0,1,1,2,1,0,0,0,2,8,0
Miami Heat,F,LeBron James,Denver Nuggets,W,11/03/2012,39:12,8,17,0.471,0,1,0.0,4,4,1.0,1,8,9,11,0,2,0,2,20,7
Miami Heat,C,Chris Bosh,Denver Nuggets,W,11/03/2012,39:23,15,22,0.682,1,3,0.333,9,10,0.9,3,4,7,2,1,0,2,1,40,17
Miami Heat,G,Dwyane Wade,Denver Nuggets,W,11/03/2012,33:48,5,12,0.417,0,1,0.0,4,6,0.667,1,2,3,4,2,4,1,1,14,7
Miami Heat,G,Mario Chalmers,Denver Nuggets,W,11/03/2012,34:02,3,7,0.429,0,2,0.0,3,4,0.75,0,3,3,5,3,1,2,2,9,12
Miami Heat,F,LeBron James,Phoenix Suns,W,11/05/2012,30:11,10,17,0.588,2,3,0.667,1,3,0.333,3,8,11,1,0,0,3,2,23,25
Miami Heat,F,Shane Battier,Phoenix Suns,W,11/05/2012,23:35,2,6,0.333,1,4,0.25,0,0,0.0,0,5,5,2,1,1,1,1,5,24
Miami Heat,C,Chris Bosh,Phoenix Suns,W,11/05/2012,25:11,7,10,0.7,0,1,0.0,4,4,1.0,0,4,4,2,0,2,0,2,18,19
Miami Heat,G,Dwyane Wade,Phoenix Suns,W,11/05/2012,28:22,9,14,0.643,1,1,1.0,3,3,1.0,0,3,3,6,2,0,2,3,22,23
Miami Heat,G,Mario Chalmers,Phoenix Suns,W,11/05/2012,28:07,3,5,0.6,3,3,1.0,0,0,0.0,0,4,4,11,3,1,1,2,9,24
Miami Heat,F,LeBron James,Brooklyn Nets,W,11/07/2012,29:59,7,12,0.583,2,3,0.667,4,4,1.0,4,8,12,8,1,0,2,1,20,18
Miami Heat,F,Shane Battier,Brooklyn Nets,W,11/07/2012,24:47,3,9,0.333,3,8,0.375,0,0,0.0,0,2,2,0,0,0,0,2,9,13
Miami Heat,C,Chris Bosh,Brooklyn Nets,W,11/07/2012,24:00,2,10,0.2,0,1,0.0,4,6,0.667,2,2,4,1,3,1,0,2,8,13
Miami Heat,G,Dwyane Wade,Brooklyn Nets,W,11/07/2012,32:04,10,14,0.714,0,1,0.0,2,2,1.0,1,1,2,5,1,2,1,2,22,24
Miami Heat,G,Mario Chalmers,Brooklyn Nets,W,11/07/2012,26:38,3,7,0.429,1,2,0.5,1,2,0.5,1,5,6,5,1,0,4,2,8,5
Miami Heat,F,Shane Battier,Atlanta Hawks,W,11/09/2012,20:20,1,4,0.25,0,2,0.0,0,0,0.0,0,0,0,0,1,1,1,4,2,5
Miami Heat,F,LeBron James,Atlanta Hawks,W,11/09/2012,35:40,10,17,0.588,0,2,0.0,1,3,0.333,2,9,11,9,1,0,2,2,21,0
Miami Heat,C,Chris Bosh,Atlanta Hawks,W,11/09/2012,37:42,7,13,0.538,0,2,0.0,10,10,1.0,3,2,5,2,3,1,2,2,24,7
Miami Heat,G,Mike Miller,Atlanta Hawks,W,11/09/2012,30:47,1,4,0.25,1,4,0.25,1,1,1.0,2,4,6,2,0,0,1,2,4,4
Miami Heat,G,Mario Chalmers,Atlanta Hawks,W,11/09/2012,26:39,5,10,0.5,2,4,0.5,0,0,0.0,0,1,1,3,1,0,0,2,12,0
Miami Heat,F,LeBron James,Memphis Grizzlies,L,11/11/2012,35:43,10,19,0.526,0,1,0.0,0,4,0.0,3,7,10,6,2,1,2,2,20,-18
Miami Heat,F,Shane Battier,Memphis Grizzlies,L,11/11/2012,16:01,1,3,0.333,1,3,0.333,2,4,0.5,2,0,2,0,0,1,2,4,5,-11
Miami Heat,C,Chris Bosh,Memphis Grizzlies,L,11/11/2012,32:59,8,12,0.667,0,0,0.0,6,8,0.75,3,5,8,0,0,0,2,0,22,-20
