Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Minnesota Timberwolves,,Alexey Shved,Sacramento Kings,W,11/02/2012,15:03,0,3,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,1,1,2,0,9
Minnesota Timberwolves,,Chase Budinger,Sacramento Kings,W,11/02/2012,21:29,3,12,0.25,0,5,0.0,3,3,1.0,2,3,5,0,0,1,2,1,9,14
Minnesota Timberwolves,,Jose Juan Barea,Sacramento Kings,W,11/02/2012,27:31,6,11,0.545,1,2,0.5,8,8,1.0,1,3,4,5,1,0,1,1,21,26
Minnesota Timberwolves,,Dante Cunningham,Sacramento Kings,W,11/02/2012,25:28,3,6,0.5,0,0,0.0,1,2,0.5,1,8,9,0,0,0,1,5,7,21
Minnesota Timberwolves,,Greg Stiemsma,Sacramento Kings,W,11/02/2012,16:11,3,7,0.429,0,0,0.0,3,4,0.75,2,5,7,0,1,4,0,3,9,7
Minnesota Timberwolves,,Alexey Shved,Toronto Raptors,L,11/04/2012,22:01,2,6,0.333,1,4,0.25,3,4,0.75,2,2,4,4,1,0,3,1,8,-10
Minnesota Timberwolves,,Chase Budinger,Toronto Raptors,L,11/04/2012,20:49,3,5,0.6,2,3,0.667,1,2,0.5,0,3,3,1,0,0,4,3,9,-9
Minnesota Timberwolves,,Dante Cunningham,Toronto Raptors,L,11/04/2012,19:07,2,7,0.286,0,0,0.0,0,0,0.0,1,1,2,1,0,0,1,3,4,-12
Minnesota Timberwolves,,Jose Juan Barea,Toronto Raptors,L,11/04/2012,7:35,3,5,0.6,1,3,0.333,2,2,1.0,0,1,1,1,0,0,0,0,9,-1
Minnesota Timberwolves,,Greg Stiemsma,Toronto Raptors,L,11/04/2012,17:01,1,3,0.333,0,0,0.0,0,0,0.0,1,0,1,1,0,4,1,1,2,-9
Minnesota Timberwolves,,Will Conroy,Toronto Raptors,L,11/04/2012,8:03,0,4,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,-14
Minnesota Timberwolves,,Lou Amundson,Toronto Raptors,L,11/04/2012,4:02,0,1,0.0,0,0,0.0,1,4,0.25,0,1,1,0,1,0,0,0,1,-6
Minnesota Timberwolves,,Malcolm Lee,Toronto Raptors,L,11/04/2012,4:02,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-6
Minnesota Timberwolves,,Jose Juan Barea,Brooklyn Nets,W,11/05/2012,29:35,3,8,0.375,0,2,0.0,0,0,0.0,1,2,3,6,0,0,2,4,6,17
Minnesota Timberwolves,,Greg Stiemsma,Brooklyn Nets,W,11/05/2012,9:43,2,3,0.667,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,4,1
Minnesota Timberwolves,,Chase Budinger,Brooklyn Nets,W,11/05/2012,25:56,7,10,0.7,2,5,0.4,0,0,0.0,0,5,5,1,1,0,1,0,16,21
Minnesota Timberwolves,,Lou Amundson,Brooklyn Nets,W,11/05/2012,5:31,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,1,2,0,-6
Minnesota Timberwolves,,Alexey Shved,Brooklyn Nets,W,11/05/2012,17:41,3,8,0.375,2,5,0.4,2,2,1.0,1,1,2,4,1,0,1,0,10,16
Minnesota Timberwolves,,Dante Cunningham,Brooklyn Nets,W,11/05/2012,26:17,5,11,0.455,0,0,0.0,1,2,0.5,4,7,11,2,2,1,0,1,11,18
Minnesota Timberwolves,,Greg Stiemsma,Orlando Magic,W,11/07/2012,21:03,6,7,0.857,0,0,0.0,0,0,0.0,1,4,5,0,1,2,1,4,12,6
